,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,38.01,,,
1,2015-01-05,37.3,-0.0189,,
2,2015-01-06,36.71,-0.0157,,
3,2015-01-07,37.2,0.0132,,
4,2015-01-08,38.32,0.0295,,
5,2015-01-09,38.04,-0.0074,,
6,2015-01-12,37.59,-0.0119,,
7,2015-01-13,37.06,-0.0141,,
8,2015-01-14,36.6,-0.0125,,
9,2015-01-15,35.62,-0.0272,,
10,2015-01-16,35.84,0.0063,,
11,2015-01-20,35.54,-0.0084,,
12,2015-01-21,35.76,0.006,,
13,2015-01-22,37.15,0.0383,,
14,2015-01-23,36.37,-0.0214,,
15,2015-01-26,36.69,0.0087,,
16,2015-01-27,36.31,-0.0103,,
17,2015-01-28,35.61,-0.0195,,
18,2015-01-29,36.04,0.012,,
19,2015-01-30,35.39,-0.0181,,
20,2015-02-02,36.26,0.0241,,
21,2015-02-03,37.13,0.0238,,
22,2015-02-04,36.65,-0.013,,
23,2015-02-05,37.04,0.0107,,
24,2015-02-06,36.86,-0.0048,,
25,2015-02-09,36.58,-0.0077,,
26,2015-02-10,37.17,0.016,,
27,2015-02-11,36.86,-0.0086,,
28,2015-02-12,37.5,0.0174,,
29,2015-02-13,37.62,0.0032,,
30,2015-02-17,37.97,0.0092,,
31,2015-02-18,38.93,0.0249,,
32,2015-02-19,38.56,-0.0094,,
33,2015-02-20,39.31,0.0193,,
34,2015-02-23,39.1,-0.0053,,
35,2015-02-24,39.41,0.0079,,
36,2015-02-25,39.54,0.0033,,
37,2015-02-26,39.69,0.0038,,
38,2015-02-27,39.55,-0.0035,,
39,2015-03-02,40.01,0.0115,,
40,2015-03-03,39.6,-0.0104,,
41,2015-03-04,39.36,-0.0062,,
42,2015-03-05,39.56,0.0052,,
43,2015-03-06,38.92,-0.0165,,
44,2015-03-09,39.11,0.005,,
45,2015-03-10,38.07,-0.027,,
46,2015-03-11,38.28,0.0054,,
47,2015-03-12,38.51,0.0061,,
48,2015-03-13,38.3,-0.0056,,
49,2015-03-16,39.18,0.0227,,
50,2015-03-17,38.96,-0.0055,0.254799,32.59623933524573
51,2015-03-18,39.47,0.0129,0.257025,32.88100979651228
52,2015-03-19,39.55,0.0021,0.261184,33.41306745527581
53,2015-03-20,39.55,0.0,0.26414000000000004,33.79122625289663
54,2015-03-23,39.54,-0.0002,0.26782,34.2620058115044
