,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,37.31,,,
1,2015-01-05,37.07,-0.0065,,
2,2015-01-06,36.13,-0.0257,,
3,2015-01-07,37.28,0.0313,,
4,2015-01-08,38.96,0.0441,,
5,2015-01-09,38.41,-0.0142,,
6,2015-01-12,38.56,0.0039,,
7,2015-01-13,38.81,0.0065,,
8,2015-01-14,38.25,-0.0145,,
9,2015-01-15,37.11,-0.0303,,
10,2015-01-16,37.92,0.0216,,
11,2015-01-20,37.87,-0.0013,,
12,2015-01-21,37.81,-0.0016,,
13,2015-01-22,38.94,0.0294,,
14,2015-01-23,39.48,0.0138,,
15,2015-01-26,39.57,0.0023,,
16,2015-01-27,38.63,-0.024,,
17,2015-01-28,49.94,0.2568,,
18,2015-01-29,52.25,0.0452,,
19,2015-01-30,51.74,-0.0098,,
20,2015-02-02,51.86,0.0023,,
21,2015-02-03,52.89,0.0197,,
22,2015-02-04,54.15,0.0235,,
23,2015-02-05,55.52,0.025,,
24,2015-02-06,57.94,0.0427,,
25,2015-02-09,56.81,-0.0197,,
26,2015-02-10,57.69,0.0154,,
27,2015-02-11,58.9,0.0208,,
28,2015-02-12,59.93,0.0173,,
29,2015-02-13,60.39,0.0076,,
30,2015-02-17,60.62,0.0038,,
31,2015-02-18,60.57,-0.0008,,
32,2015-02-19,60.52,-0.0008,,
33,2015-02-20,60.35,-0.0028,,
34,2015-02-23,61.12,0.0127,,
35,2015-02-24,60.92,-0.0033,,
36,2015-02-25,60.17,-0.0124,,
37,2015-02-26,61.0,0.0137,,
38,2015-02-27,60.79,-0.0034,,
39,2015-03-02,62.19,0.0228,,
40,2015-03-03,60.15,-0.0334,,
41,2015-03-04,61.24,0.018,,
42,2015-03-05,61.38,0.0023,,
43,2015-03-06,60.35,-0.0169,,
44,2015-03-09,59.91,-0.0073,,
45,2015-03-10,59.09,-0.0138,,
46,2015-03-11,58.7,-0.0066,,
47,2015-03-12,61.26,0.0427,,
48,2015-03-13,60.86,-0.0066,,
49,2015-03-16,61.24,0.0062,,
50,2015-03-17,60.12,-0.0185,1.943741,142.21514757890753
51,2015-03-18,60.44,0.0053,1.9162379999999999,140.20287166155913
52,2015-03-19,61.1,0.0109,1.883749,137.82579162379116
53,2015-03-20,60.0,-0.0182,1.842122,134.78012352898475
54,2015-03-23,61.43,0.0236,1.7991640000000002,131.63707190343652
55,2015-03-24,72.48,0.1654,1.766132,129.22026289707895
56,2015-03-25,70.52,-0.0274,1.782815,130.44088607015547
57,2015-03-26,69.03,-0.0214,1.777482,130.0506934559963
58,2015-03-27,70.31,0.0184,1.7565819999999999,128.52153057658018
59,2015-03-30,73.47,0.044,1.730511,126.61402792446259
60,2015-03-31,71.58,-0.0261,1.705641,124.79439726364542
61,2015-04-01,69.92,-0.0235,1.663703,121.72597463986776
62,2015-04-02,70.72,0.0114,1.600364,117.09173312698078
63,2015-04-06,70.87,0.0021,1.528124,111.8062438251138
64,2015-04-07,69.73,-0.0162,1.4544739999999998,106.41759090315219
65,2015-04-08,69.63,-0.0014,1.365958,99.94125686322889
66,2015-04-09,69.8,0.0024,1.261159,92.27356592543319
67,2015-04-10,69.35,-0.0065,1.121929,82.08670718375346
68,2015-04-13,67.99,-0.0198,1.092933,79.96519489420562
69,2015-04-14,67.49,-0.0074,1.070196,78.30162664591451
70,2015-04-15,67.45,-0.0006,1.037723,75.92571725915472
71,2015-04-16,68.3,0.0125,1.0013800000000002,73.26665665979493
72,2015-04-17,67.29,-0.0149,0.971583,71.08653865415079
73,2015-04-20,69.33,0.0299,0.943771,69.0516545392072
74,2015-04-21,69.71,0.0055,0.9296510000000001,68.0185550245012
75,2015-04-22,69.31,-0.0058,0.9283159999999999,67.92087883100739
76,2015-04-23,69.57,0.0037,0.916716,67.07215685008744
77,2015-04-24,68.83,-0.0107,0.908737,66.48836782545293
78,2015-04-27,66.0,-0.042,0.902152,66.00657176990482
79,2015-04-28,66.93,0.014,0.89275,65.31866797123162
80,2015-04-29,65.49,-0.0217,0.8856430000000001,64.79867942654212
81,2015-04-30,63.22,-0.0353,0.8773449999999999,64.19155054743231
82,2015-05-01,63.79,0.009,0.869999,63.65407540330835
83,2015-05-04,65.14,0.0209,0.8614149999999999,63.026021137427584
