,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,47.16,,,
1,2015-01-05,46.3,-0.0184,,
2,2015-01-06,45.21,-0.0238,,
3,2015-01-07,45.69,0.0105,,
4,2015-01-08,46.5,0.0175,,
5,2015-01-09,46.46,-0.0007,,
6,2015-01-12,45.99,-0.0101,,
7,2015-01-13,45.47,-0.0115,,
8,2015-01-14,45.43,-0.0007,,
9,2015-01-15,44.77,-0.0147,,
10,2015-01-16,45.59,0.018,,
11,2015-01-20,46.18,0.013,,
12,2015-01-21,46.34,0.0035,,
13,2015-01-22,46.49,0.0031,,
14,2015-01-23,46.28,-0.0044,,
15,2015-01-26,46.41,0.0027,,
16,2015-01-27,45.32,-0.0239,,
17,2015-01-28,44.94,-0.0083,,
18,2015-01-29,45.2,0.0057,,
19,2015-01-30,44.25,-0.0213,,
20,2015-02-02,44.41,0.0036,,
21,2015-02-03,45.82,0.0314,,
22,2015-02-04,45.66,-0.0035,,
23,2015-02-05,46.66,0.0215,,
24,2015-02-06,46.71,0.0011,,
25,2015-02-09,46.33,-0.0082,,
26,2015-02-10,47.16,0.0178,,
27,2015-02-11,47.23,0.0014,,
28,2015-02-12,48.16,0.0196,,
29,2015-02-13,48.44,0.0058,,
30,2015-02-17,49.93,0.0304,,
31,2015-02-18,49.57,-0.0073,,
32,2015-02-19,49.8,0.0046,,
33,2015-02-20,50.21,0.0082,,
34,2015-02-23,50.08,-0.0025,,
35,2015-02-24,50.61,0.0106,,
36,2015-02-25,50.43,-0.0037,,
37,2015-02-26,50.33,-0.0019,,
38,2015-02-27,50.04,-0.0058,,
39,2015-03-02,51.1,0.021,,
40,2015-03-03,50.21,-0.0176,,
41,2015-03-04,49.92,-0.0058,,
42,2015-03-05,49.96,0.0009,,
43,2015-03-06,49.52,-0.0089,,
44,2015-03-09,49.97,0.0091,,
45,2015-03-10,48.9,-0.0218,,
46,2015-03-11,48.97,0.0016,,
47,2015-03-12,49.16,0.0038,,
48,2015-03-13,49.18,0.0003,,
49,2015-03-16,50.26,0.0218,,
50,2015-03-17,50.23,-0.0007,0.394739,50.30839515586462
51,2015-03-18,51.01,0.0154,0.40076999999999996,51.077029446332546
52,2015-03-19,51.29,0.0055,0.408833,52.10463652377293
53,2015-03-20,52.2,0.0177,0.41346499999999997,52.69497212872193
54,2015-03-23,51.63,-0.011,0.424925,54.15551747257245
55,2015-03-24,51.6,-0.0007,0.43374899999999994,55.2801118978898
56,2015-03-25,49.2,-0.0475,0.44121299999999997,56.23137807995789
57,2015-03-26,49.08,-0.0024,0.43762300000000004,55.77384249667488
58,2015-03-27,50.3,0.0244,0.431105,54.94314140145519
59,2015-03-30,55.4,0.0966,0.42649000000000004,54.3549723995468
60,2015-03-31,53.85,-0.0283,0.45382,57.83810540543114
61,2015-04-01,53.49,-0.0068,0.46672199999999997,59.48242966602096
62,2015-04-02,53.2,-0.0053,0.47735,60.83693890811898
63,2015-04-06,53.67,0.0086,0.484998,61.811655381920794
64,2015-04-07,54.06,0.0073,0.494633,63.0396095169993
65,2015-04-08,54.43,0.0068,0.5042329999999999,64.26310299875888
66,2015-04-09,54.73,0.0056,0.514981,65.6329059093789
67,2015-04-10,54.91,0.0033,0.519717,66.23649602704697
68,2015-04-13,54.49,-0.0077,0.520549,66.34253212879948
69,2015-04-14,53.49,-0.0187,0.517661,65.97446450637014
70,2015-04-15,54.65,0.0215,0.498952,63.590054136553434
71,2015-04-16,54.8,0.0028,0.484767,61.78221507001595
72,2015-04-17,54.21,-0.0108,0.480321,61.21558465127604
73,2015-04-20,54.47,0.0047,0.46862200000000004,59.724579417619225
74,2015-04-21,55.02,0.0101,0.463498,59.07153977173004
75,2015-04-22,55.13,0.0019,0.45989800000000003,58.61272971607019
76,2015-04-23,54.36,-0.0141,0.45156399999999997,57.55058443721764
77,2015-04-24,53.45,-0.0168,0.44307699999999994,56.468939730999544
78,2015-04-27,53.57,0.0022,0.429673,54.76063695709272
79,2015-04-28,54.04,0.0087,0.421616,53.73379456307844
80,2015-04-29,53.7,-0.0063,0.41577800000000004,52.98975758948339
81,2015-04-30,52.86,-0.0157,0.415082,52.90105431205582
82,2015-05-01,54.08,0.0229,0.410476,52.314032335286576
83,2015-05-04,54.07,-0.0003,0.40950200000000003,52.18989872578305
84,2015-05-05,52.8,-0.0237,0.409422,52.17970294676839
85,2015-05-06,52.69,-0.0021,0.40557099999999996,51.68890363445003
86,2015-05-07,53.03,0.0065,0.403239,51.3916966761726
87,2015-05-08,53.61,0.0109,0.40043799999999996,51.034716963421694
88,2015-05-11,53.55,-0.0013,0.398021,50.72667698994119
89,2015-05-12,53.07,-0.009,0.39378599999999997,50.18693793835244
90,2015-05-13,53.2,0.0026,0.392273,49.994110267737625
91,2015-05-14,54.2,0.0185,0.38751800000000003,49.38809865255359
92,2015-05-15,54.01,-0.0035,0.382938,48.804390303964105
93,2015-05-18,54.16,0.0028,0.377314,48.087627039233276
94,2015-05-19,54.24,0.0014,0.368579,46.974375418069734
95,2015-05-20,56.57,0.0421,0.361914,46.1249395789106
96,2015-05-21,55.98,-0.0105,0.35782600000000003,45.60393527126131
97,2015-05-22,57.36,0.0243,0.348053,44.3583934173825
98,2015-05-26,57.14,-0.0037,0.34751800000000005,44.290209145221944
99,2015-05-27,58.73,0.0273,0.34252099999999996,43.65335529851853
100,2015-05-28,58.74,0.0003,0.358339,45.66931570419283
101,2015-05-29,58.44,-0.0051,0.37053800000000003,47.224044556691304
102,2015-06-01,59.12,0.0116,0.38201799999999997,48.68713884529548
103,2015-06-02,58.23,-0.0152,0.398581,50.798047443043835
104,2015-06-03,57.87,-0.0062,0.40946,52.18454594180035
105,2015-06-04,57.57,-0.0052,0.41386,52.74531378760683
106,2015-06-05,57.94,0.0064,0.414936,52.88244701535406
107,2015-06-08,56.71,-0.0213,0.39799500000000004,50.72336336176143
108,2015-06-09,56.49,-0.004,0.369977,47.15254665635097
109,2015-06-10,58.24,0.0304,0.350304,44.64527714940759
110,2015-06-11,57.81,-0.0074,0.360986,46.0066685423405
111,2015-06-12,56.98,-0.0144,0.366988,46.77160686291561
112,2015-06-15,57.36,0.0066,0.367491,46.83571282347031
113,2015-06-16,57.3,-0.0011,0.367849,46.88133893456093
114,2015-06-17,57.82,0.009,0.36906300000000003,47.03605988110845
115,2015-06-18,58.74,0.0158,0.373181,47.56088760588823
116,2015-06-19,58.4,-0.0057,0.382603,48.76169547934021
117,2015-06-22,58.49,0.0016,0.389785,49.6770215403816
118,2015-06-23,58.07,-0.0072,0.39710900000000005,50.61044510917403
119,2015-06-24,57.48,-0.0103,0.40104,51.11144020050704
120,2015-06-25,57.26,-0.0037,0.39889600000000003,50.83819332291407
121,2015-06-26,56.59,-0.0119,0.399479,50.91249506248342
122,2015-06-29,55.03,-0.0279,0.398855,50.83296798616905
123,2015-06-30,55.2,0.0031,0.396889,50.5824067168837
124,2015-07-01,55.53,0.0059,0.395391,50.39149075483413
125,2015-07-02,55.36,-0.0029,0.39476599999999995,50.311836231282065
126,2015-07-06,54.68,-0.0123,0.39445399999999997,50.27207269312488
127,2015-07-07,54.5,-0.0033,0.393572,50.15966422948822
128,2015-07-08,53.27,-0.023,0.389599,49.6533163541725
