,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,70.69,,,
1,2015-01-05,70.64,-0.0007,,
2,2015-01-06,70.05,-0.0083,,
3,2015-01-07,70.66,0.0087,,
4,2015-01-08,72.28,0.0227,,
5,2015-01-09,71.77,-0.0072,,
6,2015-01-12,71.42,-0.0049,,
7,2015-01-13,71.27,-0.002,,
8,2015-01-14,71.07,-0.0029,,
9,2015-01-15,71.04,-0.0005,,
10,2015-01-16,71.77,0.0103,,
11,2015-01-20,72.11,0.0047,,
12,2015-01-21,71.77,-0.0048,,
13,2015-01-22,73.5,0.024,,
14,2015-01-23,73.71,0.0028,,
15,2015-01-26,73.47,-0.0032,,
16,2015-01-27,72.67,-0.0109,,
17,2015-01-28,71.74,-0.0129,,
18,2015-01-29,71.59,-0.0021,,
19,2015-01-30,70.04,-0.0218,,
20,2015-02-02,70.81,0.011,,
21,2015-02-03,72.26,0.0202,,
22,2015-02-04,73.48,0.0168,,
23,2015-02-05,73.98,0.0068,,
24,2015-02-06,73.36,-0.0084,,
25,2015-02-09,73.0,-0.005,,
26,2015-02-10,73.43,0.0059,,
27,2015-02-11,73.68,0.0035,,
28,2015-02-12,74.47,0.0107,,
29,2015-02-13,75.32,0.0113,,
30,2015-02-17,73.93,-0.0187,,
31,2015-02-18,74.34,0.0055,,
32,2015-02-19,74.46,0.0016,,
33,2015-02-20,75.27,0.0109,,
34,2015-02-23,75.68,0.0054,,
35,2015-02-24,75.75,0.001,,
36,2015-02-25,75.59,-0.0021,,
37,2015-02-26,75.4,-0.0026,,
38,2015-02-27,75.4,0.0,,
39,2015-03-02,76.53,0.015,,
40,2015-03-03,75.28,-0.0165,,
41,2015-03-04,73.48,-0.0242,,
42,2015-03-05,73.62,0.002,,
43,2015-03-06,72.99,-0.0087,,
44,2015-03-09,73.7,0.0097,,
45,2015-03-10,72.27,-0.0197,,
46,2015-03-11,72.55,0.0039,,
47,2015-03-12,73.74,0.0163,,
48,2015-03-13,73.31,-0.0059,,
49,2015-03-16,74.56,0.017,,
50,2015-03-17,73.96,-0.0082,0.31985800000000003,44.77941494607734
51,2015-03-18,74.56,0.0082,0.31364000000000003,43.90890865223848
52,2015-03-19,74.58,0.0002,0.30796500000000004,43.11442116148012
53,2015-03-20,74.92,0.0046,0.29712700000000003,41.5971250513763
54,2015-03-23,74.53,-0.0053,0.290829,40.71541893387917
55,2015-03-24,74.24,-0.0039,0.29063,40.687559372529236
56,2015-03-25,72.33,-0.026,0.287536,40.25440619254573
57,2015-03-26,72.05,-0.0039,0.283601,39.70351486635469
58,2015-03-27,72.24,0.0026,0.279735,39.1622833880689
59,2015-03-30,73.32,0.0148,0.273737,38.32257660929028
60,2015-03-31,73.1,-0.0029,0.264801,37.07155630666178
61,2015-04-01,72.78,-0.0044,0.260315,36.443526195024425
62,2015-04-02,73.34,0.0077,0.258017,36.12181126044068
63,2015-04-06,73.62,0.0038,0.252882,35.40292257937562
64,2015-04-07,73.29,-0.0045,0.252839,35.3969026741593
65,2015-04-08,73.9,0.0082,0.253067,35.42882217158537
66,2015-04-09,73.92,0.0003,0.253066,35.42868217378964
67,2015-04-10,73.7,-0.003,0.251578,35.22036545374586
68,2015-04-13,73.34,-0.0049,0.245626,34.387098573570746
69,2015-04-14,73.09,-0.0035,0.23857399999999998,33.39983411809445
70,2015-04-15,73.2,0.0016,0.216094,30.25268367012123
71,2015-04-16,72.88,-0.0044,0.200157,28.021538799598574
72,2015-04-17,71.3,-0.0219,0.19703900000000002,27.585025672517595
73,2015-04-20,72.39,0.0151,0.20900200000000002,29.2598193028158
74,2015-04-21,72.64,0.0035,0.212759,29.785791021367192
75,2015-04-22,72.82,0.0025,0.21482700000000002,30.075306462933415
76,2015-04-23,73.21,0.0054,0.21537800000000001,30.15244524837973
77,2015-04-24,72.56,-0.009,0.21574400000000002,30.203684441616307
78,2015-04-27,72.3,-0.0035,0.218376,30.57215863997331
79,2015-04-28,73.08,0.0107,0.221181,30.96485245699132
80,2015-04-29,72.89,-0.0026,0.217553,30.456940454088883
81,2015-04-30,72.16,-0.01,0.218552,30.5967982520215
82,2015-05-01,73.44,0.0175,0.221553,31.01693163700227
83,2015-05-04,73.84,0.0054,0.220455,30.863214057292545
84,2015-05-05,73.08,-0.0103,0.21579399999999999,30.21068433140272
85,2015-05-06,72.91,-0.0023,0.20834,29.16714076204363
86,2015-05-07,73.67,0.0104,0.19978,27.96875963060899
87,2015-05-08,74.56,0.0121,0.191187,26.76575857191531
88,2015-05-11,74.44,-0.0016,0.18607800000000002,26.05050983353919
89,2015-05-12,74.06,-0.0052,0.180227,25.231382730732637
90,2015-05-13,73.67,-0.0052,0.159398,22.315368643506915
91,2015-05-14,75.11,0.0193,0.150622,21.08674798819495
92,2015-05-15,74.92,-0.0025,0.158131,22.137991436319098
93,2015-05-18,74.67,-0.0033,0.163562,22.89831946491975
94,2015-05-19,75.03,0.0048,0.16685,23.35863221727455
95,2015-05-20,74.63,-0.0054,0.172335,24.126520126844525
96,2015-05-21,74.49,-0.0018,0.172165,24.10272050157071
97,2015-05-22,74.11,-0.0052,0.172273,24.117840263509372
98,2015-05-26,72.91,-0.0163,0.172899,24.205478883635315
99,2015-05-27,73.33,0.0057,0.173608,24.304737320806716
100,2015-05-28,73.38,0.0007,0.17130900000000002,23.982882388427246
101,2015-05-29,72.99,-0.0054,0.17087700000000003,23.922403340672602
102,2015-06-01,72.81,-0.0025,0.168799,23.6314879211491
103,2015-06-02,72.94,0.0018,0.166807,23.352612312058234
104,2015-06-03,72.96,0.0002,0.162087,22.69182271622044
105,2015-06-04,71.77,-0.0164,0.159366,22.31088871404361
106,2015-06-05,71.92,0.0021,0.16306,22.82804057146412
107,2015-06-08,71.28,-0.0091,0.165236,23.132675774968998
108,2015-06-09,70.99,-0.0041,0.17082699999999998,23.91540345088618
109,2015-06-10,72.28,0.0181,0.179652,25.15088399818884
110,2015-06-11,72.66,0.0052,0.18155200000000002,25.416879810072697
111,2015-06-12,72.0,-0.0091,0.18218399999999998,25.505358416973007
112,2015-06-15,71.2,-0.0112,0.184807,25.87257263516846
