,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,46.57,,,
1,2015-01-05,45.65,-0.02,,
2,2015-01-06,45.01,-0.0143,,
3,2015-01-07,45.22,0.0048,,
4,2015-01-08,45.02,-0.0044,,
5,2015-01-09,44.26,-0.0171,,
6,2015-01-12,43.46,-0.0182,,
7,2015-01-13,43.06,-0.0094,,
8,2015-01-14,42.65,-0.0095,,
9,2015-01-15,41.83,-0.0193,,
10,2015-01-16,42.42,0.014,,
11,2015-01-20,42.04,-0.009,,
12,2015-01-21,42.19,0.0035,,
13,2015-01-22,43.4,0.0281,,
14,2015-01-23,42.76,-0.0148,,
15,2015-01-26,42.51,-0.0058,,
16,2015-01-27,41.89,-0.0146,,
17,2015-01-28,40.85,-0.0253,,
18,2015-01-29,40.89,0.001,,
19,2015-01-30,40.56,-0.0079,,
20,2015-02-02,41.88,0.032,,
21,2015-02-03,42.61,0.0171,,
22,2015-02-04,42.76,0.0035,,
23,2015-02-05,42.85,0.0021,,
24,2015-02-06,43.25,0.0093,,
25,2015-02-09,43.28,0.0008,,
26,2015-02-10,43.5,0.0052,,
27,2015-02-11,43.37,-0.0031,,
28,2015-02-12,43.54,0.0038,,
29,2015-02-13,44.79,0.0284,,
30,2015-02-17,45.64,0.0189,,
31,2015-02-18,45.41,-0.0051,,
32,2015-02-19,45.64,0.0049,,
33,2015-02-20,45.84,0.0044,,
34,2015-02-23,45.3,-0.0118,,
35,2015-02-24,45.69,0.0086,,
36,2015-02-25,45.49,-0.0044,,
37,2015-02-26,45.6,0.0024,,
38,2015-02-27,45.93,0.0073,,
39,2015-03-02,46.19,0.0058,,
40,2015-03-03,46.13,-0.0013,,
41,2015-03-04,45.97,-0.0036,,
42,2015-03-05,46.16,0.0041,,
43,2015-03-06,46.48,0.007,,
44,2015-03-09,46.57,0.002,,
45,2015-03-10,45.27,-0.0284,,
46,2015-03-11,45.52,0.0055,,
47,2015-03-12,46.25,0.016,,
48,2015-03-13,46.0,-0.0054,,
49,2015-03-16,46.53,0.0113,,
50,2015-03-17,46.42,-0.0023,0.337881,40.95648593022214
51,2015-03-18,46.94,0.011,0.33711199999999997,40.863271047821705
52,2015-03-19,46.3,-0.0137,0.342879,41.56232205796904
53,2015-03-20,46.54,0.0052,0.34673000000000004,42.029123764242215
54,2015-03-23,46.45,-0.002,0.35117800000000005,42.56829125048036
55,2015-03-24,46.06,-0.0083,0.355413,43.08163979009782
56,2015-03-25,45.36,-0.0155,0.358448,43.44952947551435
57,2015-03-26,45.06,-0.0064,0.358514,43.45752971249541
58,2015-03-27,44.95,-0.0026,0.35696100000000003,43.26928171201703
59,2015-03-30,45.49,0.012,0.353703,42.874360922861484
60,2015-03-31,45.58,0.002,0.346931,42.053488122320864
61,2015-04-01,45.6,0.0004,0.342845,41.55820072376668
62,2015-04-02,45.87,0.006,0.33622399999999997,40.75563149571301
63,2015-04-06,46.1,0.0051,0.33039,40.0484590328728
64,2015-04-07,45.74,-0.008,0.330054,40.00773055369653
65,2015-04-08,46.13,0.0085,0.32589100000000004,39.50310954533112
66,2015-04-09,46.83,0.015,0.320804,38.88648521923098
67,2015-04-10,47.08,0.0053,0.313233,37.9687610649349
68,2015-04-13,47.8,0.0153,0.295503,35.81960649411607
