,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,57.91,,,
1,2015-01-05,56.61,-0.0227,,
2,2015-01-06,55.83,-0.014,,
3,2015-01-07,56.05,0.004,,
4,2015-01-08,56.89,0.0148,,
5,2015-01-09,56.69,-0.0035,,
6,2015-01-12,56.42,-0.0048,,
7,2015-01-13,56.42,0.0,,
8,2015-01-14,55.99,-0.0076,,
9,2015-01-15,55.25,-0.0132,,
10,2015-01-16,55.7,0.008,,
11,2015-01-20,55.07,-0.0113,,
12,2015-01-21,55.51,0.0079,,
13,2015-01-22,56.36,0.0153,,
14,2015-01-23,55.78,-0.0104,,
15,2015-01-26,55.86,0.0014,,
16,2015-01-27,55.65,-0.0038,,
17,2015-01-28,54.54,-0.02,,
18,2015-01-29,55.06,0.0095,,
19,2015-01-30,54.27,-0.0145,,
20,2015-02-02,55.18,0.0167,,
21,2015-02-03,56.11,0.0166,,
22,2015-02-04,56.02,-0.0015,,
23,2015-02-05,56.64,0.0109,,
24,2015-02-06,56.7,0.0011,,
25,2015-02-09,56.26,-0.0077,,
26,2015-02-10,56.44,0.0032,,
27,2015-02-11,56.65,0.0038,,
28,2015-02-12,56.76,0.0018,,
29,2015-02-13,52.5,-0.0779,,
30,2015-02-17,52.01,-0.0093,,
31,2015-02-18,51.76,-0.0049,,
32,2015-02-19,52.21,0.0088,,
33,2015-02-20,52.08,-0.0026,,
34,2015-02-23,51.69,-0.0074,,
35,2015-02-24,52.14,0.0088,,
36,2015-02-25,52.59,0.0085,,
37,2015-02-26,52.41,-0.0034,,
38,2015-02-27,52.59,0.0034,,
39,2015-03-02,52.95,0.0068,,
40,2015-03-03,52.68,-0.0052,,
41,2015-03-04,51.97,-0.0135,,
42,2015-03-05,52.91,0.0178,,
43,2015-03-06,52.87,-0.0008,,
44,2015-03-09,53.39,0.0099,,
45,2015-03-10,52.25,-0.0216,,
46,2015-03-11,51.76,-0.0094,,
47,2015-03-12,53.11,0.0257,,
48,2015-03-13,52.55,-0.0106,,
49,2015-03-16,53.02,0.0089,,
50,2015-03-17,53.09,0.0013,0.362718,49.20452629128386
51,2015-03-18,53.23,0.0027,0.35240299999999997,47.80524451123822
52,2015-03-19,52.62,-0.0115,0.34858199999999995,47.28690658767502
53,2015-03-20,53.38,0.0143,0.349262,47.37915201767319
54,2015-03-23,53.39,0.0002,0.346705,47.03228206987128
55,2015-03-24,53.31,-0.0014,0.33962899999999996,46.07238697771394
56,2015-03-25,52.34,-0.0184,0.333166,45.195648427599075
57,2015-03-26,52.62,0.0054,0.330265,44.802113144621615
58,2015-03-27,52.3,-0.0062,0.32563899999999996,44.17457291054589
59,2015-03-30,52.88,0.0111,0.32364600000000004,43.90421240762482
60,2015-03-31,52.71,-0.0033,0.32244100000000003,43.740748079466314
61,2015-04-01,52.5,-0.0041,0.319597,43.354945134003415
62,2015-04-02,52.71,0.0041,0.319316,43.316826066607106
63,2015-04-06,52.64,-0.0013,0.316524,42.938077183438196
64,2015-04-07,52.49,-0.0029,0.308686,41.87481294766527
65,2015-04-08,52.96,0.009,0.30398800000000004,41.23750555041327
66,2015-04-09,53.05,0.0016,0.297359,40.338248262975306
67,2015-04-10,53.04,-0.0002,0.29134499999999997,39.52241882766804
68,2015-04-13,53.39,0.0066,0.289802,39.31310309459869
