,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,60.02,,,
1,2015-01-05,58.83,-0.02,,
2,2015-01-06,58.79,-0.0007,,
3,2015-01-07,59.76,0.0163,,
4,2015-01-08,60.9,0.019,,
5,2015-01-09,60.28,-0.0103,,
6,2015-01-12,59.66,-0.0103,,
7,2015-01-13,60.02,0.006,,
8,2015-01-14,59.43,-0.0099,,
9,2015-01-15,59.26,-0.0029,,
10,2015-01-16,60.64,0.023,,
11,2015-01-20,60.23,-0.0068,,
12,2015-01-21,60.18,-0.0009,,
13,2015-01-22,61.59,0.0232,,
14,2015-01-23,61.14,-0.0073,,
15,2015-01-26,61.4,0.0042,,
16,2015-01-27,61.15,-0.0041,,
17,2015-01-28,60.19,-0.0158,,
18,2015-01-29,60.82,0.0103,,
19,2015-01-30,59.74,-0.0179,,
20,2015-02-02,60.7,0.0159,,
21,2015-02-03,61.66,0.0157,,
22,2015-02-04,62.13,0.0076,,
23,2015-02-05,61.89,-0.0039,,
24,2015-02-06,60.72,-0.0191,,
25,2015-02-09,59.95,-0.0128,,
26,2015-02-10,59.96,0.0003,,
27,2015-02-11,60.93,0.016,,
28,2015-02-12,61.26,0.0055,,
29,2015-02-13,61.17,-0.0015,,
30,2015-02-17,61.01,-0.0027,,
31,2015-02-18,60.53,-0.0079,,
32,2015-02-19,60.92,0.0065,,
33,2015-02-20,61.29,0.006,,
34,2015-02-23,61.0,-0.0048,,
35,2015-02-24,61.35,0.0057,,
36,2015-02-25,60.88,-0.0077,,
37,2015-02-26,61.3,0.0069,,
38,2015-02-27,60.69,-0.01,,
39,2015-03-02,61.02,0.0054,,
40,2015-03-03,60.59,-0.0069,,
41,2015-03-04,59.74,-0.0141,,
42,2015-03-05,59.8,0.0009,,
43,2015-03-06,59.43,-0.0061,,
44,2015-03-09,59.82,0.0065,,
45,2015-03-10,58.79,-0.0174,,
46,2015-03-11,59.39,0.0102,,
47,2015-03-12,60.52,0.0188,,
48,2015-03-13,59.8,-0.012,,
