,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,85.91,,,
1,2015-01-05,84.67,-0.0146,,
2,2015-01-06,84.45,-0.0027,,
3,2015-01-07,85.34,0.0105,,
4,2015-01-08,86.13,0.0092,,
5,2015-01-09,85.69,-0.0051,,
6,2015-01-12,85.32,-0.0043,,
7,2015-01-13,84.37,-0.0112,,
8,2015-01-14,83.84,-0.0064,,
9,2015-01-15,82.99,-0.0101,,
10,2015-01-16,83.97,0.0118,,
11,2015-01-20,83.72,-0.003,,
12,2015-01-21,83.4,-0.0039,,
13,2015-01-22,85.19,0.0213,,
14,2015-01-23,85.85,0.0078,,
15,2015-01-26,87.72,0.0215,,
16,2015-01-27,86.53,-0.0136,,
17,2015-01-28,85.23,-0.0152,,
18,2015-01-29,84.84,-0.0047,,
19,2015-01-30,83.57,-0.015,,
20,2015-02-02,84.35,0.0092,,
21,2015-02-03,85.41,0.0126,,
22,2015-02-04,84.35,-0.0126,,
23,2015-02-05,85.85,0.0176,,
24,2015-02-06,82.52,-0.0395,,
25,2015-02-09,83.35,0.0101,,
26,2015-02-10,83.07,-0.0034,,
27,2015-02-11,82.72,-0.0043,,
28,2015-02-12,82.72,0.0001,,
29,2015-02-13,83.1,0.0045,,
30,2015-02-17,82.94,-0.0019,,
31,2015-02-18,82.92,-0.0002,,
32,2015-02-19,82.11,-0.0098,,
33,2015-02-20,83.21,0.0132,,
34,2015-02-23,83.9,0.0083,,
35,2015-02-24,81.59,-0.0279,,
36,2015-02-25,84.35,0.0332,,
37,2015-02-26,85.23,0.0105,,
38,2015-02-27,85.46,0.0026,,
39,2015-03-02,85.68,0.0026,,
40,2015-03-03,84.72,-0.0113,,
41,2015-03-04,84.96,0.0028,,
42,2015-03-05,85.54,0.0069,,
43,2015-03-06,83.28,-0.0269,,
44,2015-03-09,83.25,-0.0003,,
45,2015-03-10,81.52,-0.021,,
46,2015-03-11,81.57,0.0006,,
47,2015-03-12,82.98,0.0172,,
48,2015-03-13,81.23,-0.0213,,
49,2015-03-16,81.55,0.0039,,
50,2015-03-17,81.13,-0.0052,0.283312,39.934067699918906
51,2015-03-18,82.33,0.0147,0.289695,40.83377951632125
52,2015-03-19,81.54,-0.0097,0.292475,41.22563269658109
53,2015-03-20,84.21,0.0322,0.29922,42.176369999046045
54,2015-03-23,84.16,-0.0005,0.296676,41.81778205279388
55,2015-03-24,83.75,-0.0049,0.290155,40.89861853175993
56,2015-03-25,82.29,-0.0175,0.285541,40.24825501603371
57,2015-03-26,82.06,-0.0028,0.285105,40.186798905748354
58,2015-03-27,82.79,0.0088,0.28799800000000003,40.59457993110509
59,2015-03-30,82.89,0.0012,0.288958,40.72989613723798
60,2015-03-31,81.16,-0.0211,0.289148,40.756677469701785
61,2015-04-01,83.15,0.0242,0.296733,41.825816452533026
62,2015-04-02,83.42,0.0033,0.296956,41.85724927958264
63,2015-04-06,84.51,0.0129,0.296945,41.855698781387375
64,2015-04-07,83.5,-0.012,0.294764,41.54827727557921
65,2015-04-08,83.57,0.0008,0.287965,40.58992843651927
66,2015-04-09,82.54,-0.0124,0.263779,37.18080576825869
67,2015-04-10,82.31,-0.0028,0.250631,35.32753756176362
68,2015-04-13,82.05,-0.0031,0.24679099999999998,34.786272737232046
69,2015-04-14,81.81,-0.003,0.245349,34.58301651926993
70,2015-04-15,82.39,0.0071,0.24820399999999998,34.9854412781339
71,2015-04-16,83.77,0.0166,0.247165,34.83898967587132
72,2015-04-17,83.2,-0.0068,0.239941,33.8207352247213
73,2015-04-20,82.97,-0.0027,0.237638,33.49611728438374
74,2015-04-21,82.23,-0.009,0.225429,31.775205242012404
75,2015-04-22,83.04,0.0098,0.226083,31.867389407440438
76,2015-04-23,83.15,0.0012,0.225931,31.845964341469394
77,2015-04-24,82.52,-0.0075,0.225946,31.848078657190225
78,2015-04-27,82.41,-0.0014,0.226219,31.886559203309265
79,2015-04-28,82.9,0.006,0.226711,31.955908758952372
80,2015-04-29,80.96,-0.0238,0.22673400000000002,31.95915070972431
81,2015-04-30,81.84,0.0108,0.233589,32.925392994141994
82,2015-05-01,80.93,-0.0112,0.23566700000000002,33.218296198667154
83,2015-05-04,81.93,0.0123,0.24099399999999999,33.969160188323315
84,2015-05-05,80.51,-0.0175,0.242432,34.17185258875988
85,2015-05-06,80.39,-0.0015,0.249449,35.160929482962494
86,2015-05-07,81.06,0.0083,0.255979,36.081361593428944
87,2015-05-08,82.2,0.014,0.256909,36.21244916812018
88,2015-05-11,81.08,-0.0138,0.24813600000000002,34.97585638019949
89,2015-05-12,81.03,-0.0005,0.24005400000000002,33.836663069818194
90,2015-05-13,80.46,-0.0071,0.22844799999999998,32.20074651942407
91,2015-05-14,82.08,0.0199,0.226975,31.99312071563892
92,2015-05-15,82.69,0.0074,0.216269,30.484063108494382
93,2015-05-18,82.42,-0.0033,0.198188,27.93546693861018
94,2015-05-19,82.63,0.0026,0.19647099999999998,27.693448265766243
95,2015-05-20,81.66,-0.0119,0.194971,27.4820166936836
96,2015-05-21,81.29,-0.0045,0.194594,27.42887689190016
97,2015-05-22,81.68,0.0048,0.195509,27.557850150870575
98,2015-05-26,81.91,0.0028,0.19524899999999998,27.52120201170958
99,2015-05-27,82.38,0.0058,0.193431,27.264946946345418
100,2015-05-28,81.9,-0.0059,0.1924,27.119622979133947
101,2015-05-29,80.33,-0.0193,0.190031,26.785702049624756
102,2015-06-01,81.58,0.0154,0.19742300000000002,27.827636836848033
103,2015-06-02,81.51,-0.0008,0.19730499999999998,27.811004219844193
104,2015-06-03,80.24,-0.0157,0.190977,26.919044894418214
105,2015-06-04,81.96,0.0212,0.19067399999999998,26.876335716857515
106,2015-06-05,80.1,-0.023,0.185485,26.144923431832954
107,2015-06-08,80.37,0.0033,0.193154,27.225902582700822
108,2015-06-09,79.71,-0.0082,0.19851,27.980854249417252
109,2015-06-10,80.25,0.0068,0.20699,29.176147403591145
110,2015-06-11,80.88,0.0077,0.210456,29.66469528948344
111,2015-06-12,80.69,-0.0024,0.21133600000000002,29.788735145105264
112,2015-06-15,80.25,-0.0054,0.211045,29.747717420121226
113,2015-06-16,81.12,0.0108,0.210929,29.73136671188017
114,2015-06-17,81.87,0.0092,0.19792200000000001,27.89797307316086
115,2015-06-18,83.66,0.0217,0.191852,27.042379978133088
116,2015-06-19,83.48,-0.0022,0.19253599999999998,27.13879277500277
117,2015-06-22,83.32,-0.0019,0.19721599999999997,27.798459279900623
118,2015-06-23,83.72,0.0048,0.201352,28.381446601323173
119,2015-06-24,82.7,-0.0122,0.208243,29.352763243470847
120,2015-06-25,82.41,-0.0036,0.209771,29.568141538232368
121,2015-06-26,81.97,-0.0053,0.209808,29.57335685034374
122,2015-06-29,80.84,-0.0139,0.202665,28.566519704086183
123,2015-06-30,81.15,0.0038,0.20011900000000002,28.20764984907124
124,2015-07-01,81.77,0.0077,0.197564,27.8475114046238
125,2015-07-02,82.56,0.0095,0.196986,27.766039772181287
126,2015-07-06,82.62,0.0007,0.194876,27.4686260274517
127,2015-07-07,83.18,0.0068,0.192363,27.114407667022576
128,2015-07-08,82.18,-0.0121,0.19543,27.54671475474089
129,2015-07-09,82.1,-0.001,0.19487,27.46778030116337
130,2015-07-10,83.0,0.0109,0.192214,27.093405464195698
131,2015-07-13,83.24,0.0029,0.194781,27.4552353612198
132,2015-07-14,83.05,-0.0023,0.199324,28.09559111586744
133,2015-07-15,83.46,0.0049,0.20145,28.39526013069924
134,2015-07-16,85.09,0.0193,0.206689,29.133720134793226
135,2015-07-17,84.33,-0.0089,0.222286,31.33218562130857
136,2015-07-20,84.43,0.0011,0.228246,32.172273734383616
137,2015-07-21,84.33,-0.0011,0.236512,33.337402650940376
138,2015-07-22,83.97,-0.0042,0.244651,34.48463036106081
139,2015-07-23,85.24,0.015,0.24852900000000003,35.031251452085144
140,2015-07-24,84.19,-0.0124,0.260668,36.74229668775929
