,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,24.95,,,
1,2015-01-05,24.49,-0.0184,,
2,2015-01-06,24.18,-0.0128,,
3,2015-01-07,24.59,0.017,,
4,2015-01-08,25.07,0.0193,,
5,2015-01-09,24.93,-0.0058,,
6,2015-01-12,24.63,-0.0122,,
7,2015-01-13,24.57,-0.0023,,
8,2015-01-14,24.39,-0.0072,,
9,2015-01-15,24.15,-0.01,,
10,2015-01-16,24.38,0.0094,,
11,2015-01-20,24.35,-0.0013,,
12,2015-01-21,25.08,0.0297,,
13,2015-01-22,25.47,0.0153,,
14,2015-01-23,25.54,0.0027,,
15,2015-01-26,25.48,-0.0022,,
16,2015-01-27,25.26,-0.0086,,
17,2015-01-28,25.1,-0.0065,,
18,2015-01-29,25.56,0.0182,,
19,2015-01-30,24.98,-0.023,,
20,2015-02-02,25.23,0.0098,,
21,2015-02-03,25.38,0.0062,,
22,2015-02-04,25.38,-0.0002,,
23,2015-02-05,25.69,0.0122,,
24,2015-02-06,25.6,-0.0034,,
25,2015-02-09,25.49,-0.0046,,
26,2015-02-10,25.92,0.017,,
27,2015-02-11,25.83,-0.0034,,
28,2015-02-12,26.04,0.0081,,
29,2015-02-13,26.23,0.0069,,
30,2015-02-17,26.04,-0.0069,,
31,2015-02-18,26.16,0.0045,,
32,2015-02-19,26.15,-0.0005,,
33,2015-02-20,26.47,0.0124,,
34,2015-02-23,26.38,-0.0035,,
35,2015-02-24,26.43,0.0018,,
36,2015-02-25,26.44,0.0005,,
37,2015-02-26,26.42,-0.0009,,
38,2015-02-27,26.26,-0.006,,
39,2015-03-02,26.61,0.0134,,
40,2015-03-03,26.66,0.0017,,
41,2015-03-04,27.09,0.0159,,
42,2015-03-05,27.31,0.0082,,
43,2015-03-06,26.87,-0.0163,,
44,2015-03-09,26.9,0.0011,,
45,2015-03-10,26.69,-0.0078,,
46,2015-03-11,26.7,0.0005,,
47,2015-03-12,27.17,0.0173,,
48,2015-03-13,27.01,-0.0058,,
49,2015-03-16,27.64,0.0232,,
50,2015-03-17,27.5,-0.0052,0.175348,25.119434437290355
51,2015-03-18,28.06,0.0201,0.180169,25.81006560173008
52,2015-03-19,27.95,-0.0038,0.186565,26.726323002218876
53,2015-03-20,27.99,0.0013,0.188937,27.066123276446426
54,2015-03-23,27.84,-0.0052,0.19307400000000002,27.658768189801986
55,2015-03-24,27.54,-0.0109,0.197494,28.29195419826985
56,2015-03-25,26.85,-0.0254,0.198875,28.489789012227796
57,2015-03-26,26.8,-0.0019,0.19548100000000002,28.003582380386185
58,2015-03-27,26.86,0.0024,0.191169,27.385867885247396
59,2015-03-30,27.39,0.0194,0.185254,26.53851602097422
60,2015-03-31,27.47,0.0027,0.178359,25.550774498714958
61,2015-04-01,27.16,-0.0111,0.172708,24.7412418892462
62,2015-04-02,27.41,0.0089,0.164518,23.567985461791036
63,2015-04-06,27.48,0.0029,0.16217600000000001,23.232482830154897
64,2015-04-07,27.42,-0.0022,0.161881,23.190222678006023
65,2015-04-08,27.6,0.0063,0.161305,23.107707940250936
66,2015-04-09,27.64,0.0015,0.160836,23.04052146107188
67,2015-04-10,27.75,0.004,0.15883,22.75315242645954
68,2015-04-13,27.5,-0.0089,0.155604,22.291012593129825
69,2015-04-14,27.47,-0.0014,0.153769,22.028140121288526
70,2015-04-15,27.6,0.0049,0.146997,21.05801893365405
71,2015-04-16,27.39,-0.0078,0.142005,20.342891206443284
72,2015-04-17,27.01,-0.0137,0.136874,19.60785106855898
73,2015-04-20,27.24,0.0082,0.13045400000000001,18.68815555399706
74,2015-04-21,27.11,-0.0048,0.126245,18.085196298422115
75,2015-04-22,26.48,-0.0235,0.12071799999999999,17.293427278331187
76,2015-04-23,26.43,-0.0019,0.11439099999999999,16.387054455802637
77,2015-04-24,26.18,-0.0094,0.11164099999999999,15.99310388492331
78,2015-04-27,26.2,0.0009,0.10930400000000001,15.658317527052407
79,2015-04-28,26.1,-0.0041,0.108331,15.518930652337646
80,2015-04-29,26.0,-0.0036,0.10909200000000001,15.627947519406437
81,2015-04-30,25.81,-0.0076,0.10937200000000001,15.668058850259605
82,2015-05-01,26.33,0.02,0.111819,16.01860323096568
83,2015-05-04,26.49,0.006,0.110876,15.883513998842334
84,2015-05-05,26.06,-0.0161,0.110821,15.875634987424748
85,2015-05-06,25.96,-0.0039,0.11248,16.113294622729768
86,2015-05-07,25.98,0.0009,0.114939,16.46555806047241
87,2015-05-08,26.48,0.0188,0.117219,16.792178897419635
88,2015-05-11,26.64,0.006,0.117006,16.76166563502062
89,2015-05-12,26.46,-0.0067,0.115685,16.572426106245494
90,2015-05-13,26.54,0.0032,0.116134,16.63674749036361
91,2015-05-14,27.07,0.0196,0.116421,16.677861604488108
92,2015-05-15,26.93,-0.0052,0.116412,16.676572311710682
93,2015-05-18,27.11,0.0066,0.116089,16.63030102647649
94,2015-05-19,27.06,-0.0017,0.116092,16.630730790735633
95,2015-05-20,27.16,0.0036,0.116082,16.629298243205163
96,2015-05-21,27.02,-0.0052,0.115863,16.597925452287864
97,2015-05-22,27.0,-0.0007,0.11557,16.555951809645087
98,2015-05-26,26.65,-0.013,0.115485,16.543775155636087
99,2015-05-27,26.87,0.0082,0.115877,16.59993101883052
100,2015-05-28,26.86,-0.0003,0.114537,16.407969649747503
101,2015-05-29,26.59,-0.0101,0.113681,16.285343581139248
102,2015-06-01,26.66,0.0026,0.11005699999999999,15.766188356096816
103,2015-06-02,26.87,0.008,0.10668699999999999,15.28341983832833
104,2015-06-03,26.98,0.0038,0.10248499999999999,14.681463366024717
105,2015-06-04,26.54,-0.0162,0.09910000000000001,14.196546026960528
106,2015-06-05,26.63,0.0033,0.097749,14.003008855593992
