,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,72.33,,,
1,2015-01-05,73.2,0.012,,
2,2015-01-06,73.57,0.005,,
3,2015-01-07,74.57,0.0135,,
4,2015-01-08,75.43,0.0114,,
5,2015-01-09,75.21,-0.0029,,
6,2015-01-12,75.7,0.0065,,
7,2015-01-13,75.95,0.0033,,
8,2015-01-14,76.4,0.0059,,
9,2015-01-15,76.73,0.0043,,
10,2015-01-16,77.9,0.0151,,
11,2015-01-20,76.96,-0.0122,,
12,2015-01-21,77.3,0.0045,,
13,2015-01-22,79.08,0.0227,,
14,2015-01-23,79.27,0.0024,,
15,2015-01-26,80.63,0.017,,
16,2015-01-27,79.99,-0.008,,
17,2015-01-28,79.71,-0.0034,,
18,2015-01-29,80.01,0.0037,,
19,2015-01-30,78.56,-0.0183,,
20,2015-02-02,78.1,-0.0059,,
21,2015-02-03,78.16,0.0007,,
22,2015-02-04,77.49,-0.0086,,
23,2015-02-05,78.05,0.0073,,
24,2015-02-06,75.94,-0.0274,,
25,2015-02-09,76.01,0.0008,,
26,2015-02-10,76.35,0.0044,,
27,2015-02-11,76.39,0.0006,,
28,2015-02-12,77.49,0.0142,,
29,2015-02-13,76.45,-0.0135,,
30,2015-02-17,76.26,-0.0025,,
31,2015-02-18,77.56,0.017,,
32,2015-02-19,76.34,-0.0159,,
33,2015-02-20,77.41,0.0139,,
34,2015-02-23,78.46,0.0135,,
35,2015-02-24,77.09,-0.0176,,
36,2015-02-25,77.45,0.0046,,
37,2015-02-26,76.56,-0.0115,,
38,2015-02-27,77.26,0.0091,,
39,2015-03-02,78.47,0.0155,,
40,2015-03-03,78.56,0.0011,,
41,2015-03-04,78.21,-0.0044,,
42,2015-03-05,78.81,0.0076,,
43,2015-03-06,76.32,-0.0321,,
44,2015-03-09,76.85,0.0068,,
45,2015-03-10,75.84,-0.0132,,
46,2015-03-11,76.48,0.0085,,
47,2015-03-12,78.51,0.0262,,
48,2015-03-13,77.96,-0.0071,,
49,2015-03-16,78.49,0.0068,,
50,2015-03-17,78.7,0.0027,0.324227,50.751415016380754
51,2015-03-18,80.08,0.0174,0.298259,46.686630944895725
52,2015-03-19,80.14,0.0008,0.285752,44.72890395852546
53,2015-03-20,82.51,0.0291,0.274751,43.00691190790906
54,2015-03-23,82.11,-0.0048,0.293642,45.96392961795309
55,2015-03-24,81.44,-0.0083,0.310007,48.52555128037809
56,2015-03-25,79.94,-0.0186,0.316162,49.48899651913311
57,2015-03-26,78.6,-0.0169,0.314232,49.18689265060392
58,2015-03-27,79.06,0.0059,0.309131,48.38843056077624
59,2015-03-30,80.27,0.0152,0.306544,47.98348615254566
60,2015-03-31,79.58,-0.0086,0.30916899999999997,48.394378719845726
61,2015-04-01,78.56,-0.0129,0.311162,48.706344009990126
62,2015-04-02,78.69,0.0017,0.309151,48.391561170812814
63,2015-04-06,79.26,0.0072,0.3081,48.22704761339096
64,2015-04-07,77.72,-0.0195,0.30847,48.28496389906754
65,2015-04-08,78.02,0.0038,0.307784,48.177583974813125
66,2015-04-09,76.52,-0.0193,0.301053,47.12397716700483
67,2015-04-10,77.12,0.0078,0.300678,47.0652782288191
68,2015-04-13,76.65,-0.0062,0.298956,46.79573270467026
69,2015-04-14,75.96,-0.0089,0.296962,46.48361088402404
70,2015-04-15,75.58,-0.005,0.301935,47.262037069617655
71,2015-04-16,75.62,0.0005,0.308934,48.357594051916
72,2015-04-17,75.39,-0.003,0.315227,49.34264049992337
73,2015-04-20,75.5,0.0014,0.322282,50.446963190324134
74,2015-04-21,76.13,0.0082,0.328478,51.41682617965412
75,2015-04-22,75.93,-0.0026,0.32774000000000003,51.30130666930462
76,2015-04-23,76.31,0.005,0.328061,51.351552960391594
77,2015-04-24,76.52,0.0027,0.32817399999999997,51.369240907098224
78,2015-04-27,75.99,-0.0069,0.32780000000000004,51.310698499414336
79,2015-04-28,76.27,0.0037,0.331405,51.87499095850643
80,2015-04-29,74.72,-0.0205,0.331976,51.96436987505056
81,2015-04-30,74.99,0.0036,0.339733,53.17857697773499
82,2015-05-01,75.8,0.0108,0.34781599999999996,54.44381302401554
83,2015-05-04,75.73,-0.001,0.349679,54.735429348922224
84,2015-05-05,73.81,-0.0256,0.35361,55.350750751610434
85,2015-05-06,73.47,-0.0046,0.367739,57.56237021194669
86,2015-05-07,74.65,0.0159,0.383851,60.08438965740906
87,2015-05-08,76.03,0.0183,0.391456,61.27480412381556
88,2015-05-11,74.27,-0.0233,0.392608,61.455127261922094
89,2015-05-12,75.2,0.0124,0.401712,62.88018095056965
90,2015-05-13,74.19,-0.0135,0.40469900000000003,63.34773755953167
91,2015-05-14,75.74,0.0207,0.411687,64.44157270630991
92,2015-05-15,76.56,0.0107,0.412609,64.58589382899588
93,2015-05-18,76.73,0.0023,0.410385,64.23776999292907
94,2015-05-19,76.73,0.0,0.40994100000000006,64.16827045011719
95,2015-05-20,76.82,0.0011,0.410008,64.1787579937397
96,2015-05-21,76.09,-0.0094,0.408576,63.95460631512114
97,2015-05-22,75.88,-0.0028,0.409179,64.0489942077238
