,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,46.81,,,
1,2015-01-05,46.09,-0.0155,,
2,2015-01-06,46.21,0.0026,,
3,2015-01-07,46.8,0.0127,,
4,2015-01-08,46.98,0.0039,,
5,2015-01-09,47.12,0.003,,
6,2015-01-12,46.97,-0.0031,,
7,2015-01-13,47.07,0.0022,,
8,2015-01-14,47.91,0.0175,,
9,2015-01-15,47.94,0.0007,,
10,2015-01-16,48.34,0.0083,,
11,2015-01-20,48.71,0.0077,,
12,2015-01-21,49.08,0.0075,,
13,2015-01-22,49.05,-0.0005,,
14,2015-01-23,49.08,0.0005,,
15,2015-01-26,49.34,0.0053,,
16,2015-01-27,49.29,-0.0011,,
17,2015-01-28,49.17,-0.0023,,
18,2015-01-29,49.77,0.0121,,
19,2015-01-30,48.71,-0.0215,,
20,2015-02-02,49.21,0.0101,,
21,2015-02-03,49.05,-0.0032,,
22,2015-02-04,48.28,-0.0159,,
23,2015-02-05,49.18,0.0184,,
24,2015-02-06,47.84,-0.0275,,
25,2015-02-09,47.07,-0.0164,,
26,2015-02-10,47.38,0.0067,,
27,2015-02-11,46.72,-0.0141,,
28,2015-02-12,46.78,0.0013,,
29,2015-02-13,45.93,-0.0183,,
30,2015-02-17,46.03,0.0021,,
31,2015-02-18,47.22,0.0255,,
32,2015-02-19,46.95,-0.0057,,
33,2015-02-20,47.07,0.0026,,
34,2015-02-23,47.38,0.0067,,
35,2015-02-24,47.3,-0.0018,,
36,2015-02-25,47.52,0.0048,,
37,2015-02-26,46.81,-0.0152,,
38,2015-02-27,47.19,0.0082,,
39,2015-03-02,46.48,-0.0151,,
40,2015-03-03,46.78,0.0064,,
41,2015-03-04,46.62,-0.0034,,
42,2015-03-05,47.05,0.0091,,
43,2015-03-06,45.62,-0.0309,,
44,2015-03-09,45.63,0.0002,,
45,2015-03-10,45.6,-0.0006,,
46,2015-03-11,45.54,-0.0013,,
47,2015-03-12,46.22,0.0148,,
48,2015-03-13,45.6,-0.0135,,
49,2015-03-16,46.11,0.011,,
50,2015-03-17,46.38,0.0058,0.22981000000000001,33.03586570547322
51,2015-03-18,47.34,0.0205,0.230881,33.18982511616275
52,2015-03-19,47.42,0.0017,0.22818000000000002,32.80154839508672
53,2015-03-20,48.01,0.0124,0.225842,32.465453995280804
54,2015-03-23,47.64,-0.0077,0.225757,32.453234994432435
55,2015-03-24,47.37,-0.0057,0.225467,32.411546638596796
56,2015-03-25,47.06,-0.0067,0.225292,32.38638987214426
57,2015-03-26,46.65,-0.0088,0.225162,32.3677019884938
58,2015-03-27,47.21,0.0119,0.225993,32.48716069090557
59,2015-03-30,47.39,0.0039,0.225726,32.44877865294655
60,2015-03-31,47.3,-0.0018,0.225293,32.38653362509541
61,2015-04-01,47.52,0.0046,0.223885,32.18412946986585
62,2015-04-02,47.9,0.0079,0.22097899999999998,31.766383393802556
63,2015-04-06,48.15,0.0053,0.216467,31.11777007818054
64,2015-04-07,47.71,-0.0091,0.21253,30.551814709474012
65,2015-04-08,47.26,-0.0096,0.207333,29.804730622309204
66,2015-04-09,47.01,-0.0054,0.19964200000000001,28.699126674957938
67,2015-04-10,47.28,0.0057,0.191818,27.57440358510274
68,2015-04-13,46.85,-0.0091,0.184134,26.469805908409576
69,2015-04-14,47.13,0.0059,0.16991499999999998,24.425782695903052
70,2015-04-15,47.06,-0.0015,0.164179,23.60121576806443
71,2015-04-16,47.01,-0.0011,0.15348,22.063202943631822
72,2015-04-17,46.77,-0.005,0.14321899999999999,20.588153911806135
73,2015-04-20,47.23,0.0097,0.138993,19.98065394021513
74,2015-04-21,47.02,-0.0044,0.125319,18.01497608608937
75,2015-04-22,47.35,0.007,0.12284700000000001,17.65961879082837
76,2015-04-23,47.67,0.0068,0.123319,17.727470183774646
77,2015-04-24,48.39,0.0149,0.124346,17.875104464613255
78,2015-04-27,47.65,-0.0153,0.130191,18.715340464128033
79,2015-04-28,48.03,0.0078,0.131374,18.885400205347192
80,2015-04-29,48.04,0.0002,0.131048,18.83853674326989
81,2015-04-30,47.57,-0.0097,0.13086499999999998,18.812229953208092
82,2015-05-01,47.38,-0.004,0.131519,18.90624438326501
83,2015-05-04,47.66,0.0059,0.13172499999999998,18.935857491203425
84,2015-05-05,46.65,-0.0215,0.13263999999999998,19.06739144151241
85,2015-05-06,46.3,-0.0075,0.132944,19.11109233866425
86,2015-05-07,46.54,0.0051,0.134468,19.330171836228068
87,2015-05-08,46.53,-0.0002,0.13459300000000002,19.34814095512274
88,2015-05-11,46.3,-0.0049,0.135165,19.43036764318475
89,2015-05-12,46.07,-0.0049,0.136547,19.629034221684222
90,2015-05-13,45.87,-0.0044,0.138193,19.865651579289242
91,2015-05-14,46.54,0.0144,0.14147600000000002,20.33759251793886
92,2015-05-15,47.12,0.0124,0.141662,20.36433056685413
93,2015-05-18,47.3,0.0039,0.141694,20.36893066129116
