,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,616.79,,,
1,2015-01-05,608.49,-0.0135,,
2,2015-01-06,607.82,-0.0011,,
3,2015-01-07,607.24,-0.001,,
4,2015-01-08,606.0,-0.002,,
5,2015-01-09,606.02,0.0,,
6,2015-01-12,597.36,-0.0144,,
7,2015-01-13,588.95,-0.0142,,
8,2015-01-14,582.78,-0.0105,,
9,2015-01-15,575.28,-0.013,,
10,2015-01-16,580.85,0.0096,,
11,2015-01-20,584.33,0.006,,
12,2015-01-21,586.06,0.003,,
13,2015-01-22,600.1,0.0237,,
14,2015-01-23,604.0,0.0065,,
15,2015-01-26,612.14,0.0134,,
16,2015-01-27,608.59,-0.0058,,
17,2015-01-28,610.57,0.0032,,
18,2015-01-29,611.13,0.0009,,
19,2015-01-30,596.96,-0.0235,,
20,2015-02-02,593.75,-0.0054,,
21,2015-02-03,607.84,0.0235,,
22,2015-02-04,601.63,-0.0103,,
23,2015-02-05,614.88,0.0218,,
24,2015-02-06,611.34,-0.0058,,
25,2015-02-09,613.05,0.0028,,
26,2015-02-10,616.66,0.0059,,
27,2015-02-11,620.51,0.0062,,
28,2015-02-12,617.51,-0.0048,,
29,2015-02-13,618.5,0.0016,,
30,2015-02-17,615.15,-0.0054,,
31,2015-02-18,617.92,0.0045,,
32,2015-02-19,618.34,0.0007,,
33,2015-02-20,623.31,0.008,,
34,2015-02-23,636.77,0.0214,,
35,2015-02-24,637.79,0.0016,,
36,2015-02-25,637.12,-0.0011,,
37,2015-02-26,644.97,0.0122,,
38,2015-02-27,642.68,-0.0036,,
39,2015-03-02,649.53,0.0106,,
40,2015-03-03,651.9,0.0036,,
41,2015-03-04,652.48,0.0009,,
42,2015-03-05,650.97,-0.0023,,
43,2015-03-06,645.2,-0.0089,,
44,2015-03-09,650.89,0.0088,,
45,2015-03-10,643.05,-0.0121,,
46,2015-03-11,643.81,0.0012,,
47,2015-03-12,652.76,0.0138,,
48,2015-03-13,654.66,0.0029,,
49,2015-03-16,665.41,0.0163,,
50,2015-03-17,662.18,-0.0049,4.356674,544.255203191325
51,2015-03-18,667.42,0.0079,4.510675,563.4936969474948
52,2015-03-19,667.39,-0.0,4.679018,584.523857494471
53,2015-03-20,662.43,-0.0075,4.829162,603.2805175585379
54,2015-03-23,671.27,0.0133,4.931665,616.085650807599
55,2015-03-24,667.45,-0.0057,5.07513,634.0079403169457
56,2015-03-25,660.72,-0.0101,5.178636,646.9383728123588
57,2015-03-26,662.04,0.002,5.202768,649.9530501931803
58,2015-03-27,681.34,0.0287,5.179111000000001,646.9977119370021
59,2015-03-30,689.38,0.0117,5.215739,651.5734455315956
60,2015-03-31,682.16,-0.0105,5.2277260000000005,653.0709151886446
61,2015-04-01,692.93,0.0157,5.19525,649.0138680056692
62,2015-04-02,689.11,-0.0055,5.238408,654.4053584085158
63,2015-04-06,695.45,0.0092,5.232861000000001,653.7124023571561
64,2015-04-07,693.11,-0.0034,5.338049999999999,666.8530827405153
65,2015-04-08,698.24,0.0074,5.421495999999999,677.2775303088905
66,2015-04-09,695.77,-0.0035,5.557559,694.2751288695865
67,2015-04-10,701.73,0.0085,5.637646999999999,704.2800800578523
68,2015-04-13,699.05,-0.0038,5.746089,717.8271397516631
69,2015-04-14,695.81,-0.0046,5.816763999999999,726.6561768762097
70,2015-04-15,694.17,-0.0024,5.761644,719.7703399281376
71,2015-04-16,692.4,-0.0026,5.646882000000001,705.4337575653896
72,2015-04-17,683.43,-0.013,5.597124,699.2177656411844
73,2015-04-20,689.36,0.0086,5.445996,680.3381798957515
74,2015-04-21,690.73,0.002,5.387949,673.086689015404
75,2015-04-22,693.41,0.0039,5.296163,661.6203713427668
76,2015-04-23,702.33,0.0128,5.208478,650.6663689336283
77,2015-04-24,702.0,-0.0005,5.170490999999999,645.9208629803187
78,2015-04-27,692.38,-0.0138,5.135141999999999,641.5049077866066
79,2015-04-28,693.05,0.001,5.015651,626.5775575913581
80,2015-04-29,682.39,-0.0155,4.88623,610.4097073798838
81,2015-04-30,672.66,-0.0144,4.677139,584.2891244098298
82,2015-05-01,679.25,0.0097,4.456958,556.7831290349477
83,2015-05-04,684.74,0.008,4.223712,527.6449954211946
84,2015-05-05,672.91,-0.0174,4.020498,502.25859357856837
85,2015-05-06,675.03,0.0031,3.894885,486.5664557600233
86,2015-05-07,677.48,0.0036,3.7672250000000003,470.61859754538426
87,2015-05-08,686.13,0.0127,3.62474,452.818734019512
88,2015-05-11,678.83,-0.0107,3.538435,442.03712738302113
89,2015-05-12,678.97,0.0002,3.417262,426.899654224299
90,2015-05-13,680.36,0.002,3.334038,416.50293988891497
91,2015-05-14,682.13,0.0026,3.26003,407.2575294960824
92,2015-05-15,689.85,0.0113,3.185218,397.91167982701154
93,2015-05-18,693.52,0.0053,3.107006,388.14108694996827
94,2015-05-19,694.58,0.0015,2.9838760000000004,372.7591365977161
95,2015-05-20,687.81,-0.0098,2.895719,361.7461698373531
96,2015-05-21,691.91,0.0059,2.703344,337.71382435684865
