,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,48.1,,,
1,2015-01-05,47.34,-0.0158,,
2,2015-01-06,47.26,-0.0017,,
3,2015-01-07,47.88,0.0129,,
4,2015-01-08,49.07,0.0247,,
5,2015-01-09,48.75,-0.0066,,
6,2015-01-12,50.25,0.0304,,
7,2015-01-13,51.01,0.015,,
8,2015-01-14,50.88,-0.0027,,
9,2015-01-15,49.81,-0.0212,,
10,2015-01-16,50.36,0.011,,
11,2015-01-20,50.47,0.0022,,
12,2015-01-21,50.07,-0.008,,
13,2015-01-22,50.18,0.0023,,
14,2015-01-23,50.16,-0.0003,,
15,2015-01-26,50.48,0.0063,,
16,2015-01-27,50.1,-0.0076,,
17,2015-01-28,49.57,-0.0107,,
18,2015-01-29,49.41,-0.0031,,
19,2015-01-30,48.71,-0.0143,,
20,2015-02-02,48.68,-0.0007,,
21,2015-02-03,48.38,-0.0062,,
22,2015-02-04,47.88,-0.0104,,
23,2015-02-05,48.68,0.0166,,
24,2015-02-06,48.23,-0.0093,,
25,2015-02-09,47.56,-0.0138,,
26,2015-02-10,48.35,0.0165,,
27,2015-02-11,47.93,-0.0087,,
28,2015-02-12,48.07,0.0029,,
29,2015-02-13,48.52,0.0094,,
30,2015-02-17,48.57,0.001,,
31,2015-02-18,48.5,-0.0015,,
32,2015-02-19,48.13,-0.0077,,
33,2015-02-20,48.91,0.0162,,
34,2015-02-23,49.53,0.0126,,
35,2015-02-24,49.66,0.0026,,
36,2015-02-25,49.48,-0.0037,,
37,2015-02-26,49.67,0.0039,,
38,2015-02-27,49.24,-0.0088,,
39,2015-03-02,50.35,0.0224,,
40,2015-03-03,50.04,-0.0061,,
41,2015-03-04,53.07,0.0588,,
42,2015-03-05,53.38,0.0058,,
43,2015-03-06,52.63,-0.0142,,
44,2015-03-09,53.63,0.0189,,
45,2015-03-10,52.96,-0.0126,,
46,2015-03-11,53.02,0.0011,,
47,2015-03-12,53.87,0.0159,,
48,2015-03-13,54.04,0.0033,,
49,2015-03-16,54.98,0.0172,,
50,2015-03-17,54.65,-0.006,0.37369300000000005,
51,2015-03-18,55.34,0.0125,0.391443,
52,2015-03-19,55.22,-0.0022,0.409479,
53,2015-03-20,54.76,-0.0082,0.423035,
54,2015-03-23,54.62,-0.0027,0.433632,
55,2015-03-24,53.09,-0.0284,0.445712,
56,2015-03-25,52.29,-0.0152,0.447607,
57,2015-03-26,52.53,0.0046,0.449465,
58,2015-03-27,52.74,0.004,0.45201399999999997,
59,2015-03-30,53.15,0.0076,0.455134,
60,2015-03-31,52.13,-0.0193,0.45858600000000005,
61,2015-04-01,51.67,-0.0089,0.459587,
62,2015-04-02,51.4,-0.0052,0.45986600000000005,
63,2015-04-06,51.21,-0.0036,0.459398,
64,2015-04-07,51.21,0.0,0.458934,
65,2015-04-08,51.63,0.0082,0.45841299999999996,
66,2015-04-09,51.58,-0.0009,0.45848799999999995,
67,2015-04-10,52.54,0.0184,0.458005,
68,2015-04-13,51.98,-0.0107,0.457849,
69,2015-04-14,52.05,0.0013,0.455986,
70,2015-04-15,51.56,-0.0094,0.451477,
71,2015-04-16,51.76,0.0039,0.445999,
72,2015-04-17,53.12,0.0259,0.43884300000000004,
73,2015-04-20,53.54,0.0078,0.430634,
74,2015-04-21,54.31,0.0143,0.42719700000000005,
75,2015-04-22,54.14,-0.0031,0.423394,
76,2015-04-23,53.65,-0.009,0.412849,
77,2015-04-24,53.49,-0.003,0.404484,
78,2015-04-27,52.97,-0.0098,0.391318,
79,2015-04-28,52.46,-0.0096,0.376478,
80,2015-04-29,52.26,-0.0039,0.36318,
81,2015-04-30,51.8,-0.0087,0.349068,
82,2015-05-01,52.56,0.0145,0.333463,
83,2015-05-04,53.1,0.0102,0.312519,
84,2015-05-05,52.86,-0.0044,0.297443,
85,2015-05-06,52.57,-0.0056,0.285916,
86,2015-05-07,52.88,0.0059,0.274325,
87,2015-05-08,54.4,0.0285,0.260088,
88,2015-05-11,55.36,0.0175,0.250098,
89,2015-05-12,54.87,-0.009,0.23946699999999999,
90,2015-05-13,54.79,-0.0015,0.234257,
91,2015-05-14,54.83,0.0007,0.224182,
92,2015-05-15,54.98,0.0028,0.22889199999999998,
93,2015-05-18,55.27,0.0053,0.234116,
94,2015-05-19,55.49,0.004,0.240282,
95,2015-05-20,56.15,0.0118,0.247719,
96,2015-05-21,56.0,-0.0028,0.25945,
97,2015-05-22,55.52,-0.0086,0.269034,
98,2015-05-26,54.87,-0.0118,0.274822,
99,2015-05-27,55.6,0.0132,0.277086,
100,2015-05-28,56.21,0.0109,0.280123,
101,2015-05-29,52.51,-0.0681,0.288116,
102,2015-06-01,54.04,0.0287,0.284717,
103,2015-06-02,53.49,-0.0103,0.280979,
104,2015-06-03,53.4,-0.0015,0.278503,
105,2015-06-04,53.46,0.0011,0.276421,
106,2015-06-05,53.81,0.0065,0.276334,
107,2015-06-08,53.1,-0.0134,0.27497,
108,2015-06-09,52.9,-0.0037,0.27407,
109,2015-06-10,53.27,0.0069,0.273817,
110,2015-06-11,53.53,0.0049,0.27375,
111,2015-06-12,53.06,-0.0087,0.271454,
112,2015-06-15,53.18,0.0021,0.267231,
113,2015-06-16,53.62,0.0084,0.261203,
114,2015-06-17,53.89,0.005,0.25342400000000004,
115,2015-06-18,54.15,0.0048,0.245169,
