,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,15.02,,,
1,2015-01-05,14.82,-0.013,,
2,2015-01-06,14.75,-0.005,,
3,2015-01-07,14.88,0.009,,
4,2015-01-08,15.17,0.019,,
5,2015-01-09,14.98,-0.0129,,
6,2015-01-12,14.82,-0.0105,,
7,2015-01-13,14.77,-0.0031,,
8,2015-01-14,14.68,-0.0066,,
9,2015-01-15,14.62,-0.0038,,
10,2015-01-16,14.68,0.0041,,
11,2015-01-20,14.59,-0.0063,,
12,2015-01-21,14.58,-0.0003,,
13,2015-01-22,14.84,0.0176,,
14,2015-01-23,14.64,-0.0135,,
15,2015-01-26,14.68,0.0025,,
16,2015-01-27,14.52,-0.0107,,
17,2015-01-28,14.33,-0.0134,,
18,2015-01-29,14.27,-0.0042,,
19,2015-01-30,14.23,-0.0029,,
20,2015-02-02,14.57,0.0235,,
21,2015-02-03,14.79,0.0155,,
22,2015-02-04,14.85,0.0037,,
23,2015-02-05,15.01,0.0105,,
24,2015-02-06,14.86,-0.0096,,
25,2015-02-09,14.79,-0.0047,,
26,2015-02-10,14.91,0.0081,,
27,2015-02-11,15.03,0.0077,,
28,2015-02-12,15.19,0.0104,,
29,2015-02-13,15.28,0.0061,,
30,2015-02-17,15.31,0.0021,,
31,2015-02-18,15.31,0.0,,
32,2015-02-19,15.32,0.0006,,
33,2015-02-20,15.32,-0.0003,,
34,2015-02-23,15.11,-0.0134,,
35,2015-02-24,15.08,-0.0021,,
36,2015-02-25,15.01,-0.0049,,
37,2015-02-26,14.98,-0.0019,,
38,2015-02-27,14.88,-0.0068,,
39,2015-03-02,14.82,-0.0041,,
40,2015-03-03,14.77,-0.0028,,
41,2015-03-04,14.7,-0.0053,,
42,2015-03-05,14.75,0.0035,,
43,2015-03-06,14.74,-0.0006,,
44,2015-03-09,14.77,0.0022,,
45,2015-03-10,14.71,-0.0041,,
46,2015-03-11,14.88,0.0116,,
47,2015-03-12,15.09,0.0142,,
48,2015-03-13,14.99,-0.0071,,
49,2015-03-16,15.26,0.0178,,
50,2015-03-17,15.29,0.0024,0.050184,7.370368969171343
51,2015-03-18,15.17,-0.0079,0.051372,7.544846857250723
52,2015-03-19,15.2,0.0015,0.052027000000000004,7.641044682749034
53,2015-03-20,15.33,0.0091,0.052644,7.731661565699351
54,2015-03-23,15.28,-0.0036,0.054057,7.939184508339218
55,2015-03-24,15.27,-0.0003,0.054560000000000004,8.013058563645556
56,2015-03-25,15.09,-0.0119,0.055494,8.150232256798871
57,2015-03-26,15.07,-0.0018,0.055701,8.18063370699452
58,2015-03-27,15.16,0.0064,0.055755,8.188564520089038
59,2015-03-30,15.39,0.0148,0.055793999999999996,8.194292329546188
60,2015-03-31,15.33,-0.0042,0.056601,8.312813925236474
61,2015-04-01,15.28,-0.003,0.05713,8.390506520180912
62,2015-04-02,15.33,0.0036,0.056949,8.363923609623363
63,2015-04-06,15.38,0.003,0.05686,8.350852454708326
64,2015-04-07,15.32,-0.0039,0.057774,8.485088809678487
65,2015-04-08,15.33,0.0009,0.057677,8.470842719490188
66,2015-04-09,15.39,0.0036,0.057686,8.472164521672607
67,2015-04-10,15.37,-0.0012,0.05695700000000001,8.365098544896625
68,2015-04-13,15.4,0.0021,0.054306,7.975754368719492
69,2015-04-14,15.42,0.0012,0.050676,7.442627488476945
70,2015-04-15,15.39,-0.0021,0.045880000000000004,6.73825379215649
71,2015-04-16,15.35,-0.0024,0.044138000000000004,6.4824116364037305
72,2015-04-17,15.08,-0.0183,0.043694,6.417202728737698
73,2015-04-20,15.27,0.0128,0.043049,6.322473572330965
74,2015-04-21,15.02,-0.0162,0.043073,6.325998378150751
75,2015-04-22,14.91,-0.0074,0.042527999999999996,6.24595591265979
76,2015-04-23,14.94,0.0016,0.04192,6.156660831891892
77,2015-04-24,15.01,0.0049,0.04183099999999999,6.143589676976854
78,2015-04-27,14.85,-0.0105,0.041871,6.149464353343164
79,2015-04-28,14.93,0.0053,0.042563000000000004,6.251096254480311
80,2015-04-29,14.94,0.0006,0.042717,6.2737137584906
81,2015-04-30,14.84,-0.0069,0.042699,6.271070154125761
82,2015-05-01,14.79,-0.0031,0.043028000000000004,6.319389367238654
83,2015-05-04,14.83,0.0022,0.043469,6.384157674177211
84,2015-05-05,14.71,-0.0079,0.043674,6.414265390554545
85,2015-05-06,14.74,0.0022,0.044865,6.589183879361397
86,2015-05-07,14.78,0.0028,0.045799000000000006,6.726357572514714
87,2015-05-08,14.82,0.0025,0.046440999999999996,6.820646128193973
88,2015-05-11,14.92,0.0066,0.046868999999999994,6.88350516531348
89,2015-05-12,14.8,-0.0078,0.046756,6.866909204578657
90,2015-05-13,14.78,-0.0013,0.046814999999999996,6.875574352218963
91,2015-05-14,14.89,0.0072,0.046775000000000004,6.8696996758526545
92,2015-05-15,14.89,-0.0003,0.045909000000000005,6.742512932522064
93,2015-05-18,15.03,0.0096,0.045326000000000005,6.656889524483109
94,2015-05-19,15.03,0.0,0.044383,6.518394029147372
95,2015-05-20,15.08,0.0034,0.043575,6.39972556654793
96,2015-05-21,15.05,-0.0018,0.042324,6.215995063191614
97,2015-05-22,15.0,-0.0034,0.041934,6.158716968620101
98,2015-05-26,14.98,-0.0015,0.042012999999999995,6.17031945444356
99,2015-05-27,15.02,0.0028,0.042031,6.1729630588084
100,2015-05-28,15.16,0.0092,0.041840999999999996,6.145058346068431
101,2015-05-29,15.04,-0.0077,0.041513,6.096885999864698
102,2015-06-01,15.07,0.0015,0.041463,6.089542654406811
103,2015-06-02,15.14,0.0046,0.041352,6.073240427490304
104,2015-06-03,15.27,0.0089,0.040794,5.991288692180292
105,2015-06-04,15.26,-0.0006,0.040765,5.987029551814719
106,2015-06-05,15.29,0.0021,0.04072,5.98042054090262
107,2015-06-08,15.28,-0.0012,0.041136,6.041517175112235
108,2015-06-09,15.3,0.0018,0.041464,6.089689521315969
109,2015-06-10,15.35,0.0033,0.04183,6.143442810067697
110,2015-06-11,15.53,0.0111,0.041649000000000005,6.116859899510149
111,2015-06-12,15.5,-0.0015,0.042839,6.291631521407843
112,2015-06-15,15.43,-0.0048,0.04398,6.459206664756809
113,2015-06-16,15.46,0.0021,0.044431000000000005,6.5254436407869445
114,2015-06-17,15.54,0.0051,0.044863,6.588890145543081
115,2015-06-18,15.58,0.0024,0.046044,6.762339965258357
116,2015-06-19,15.58,0.0,0.04739499999999999,6.960757159530443
117,2015-06-22,15.64,0.0039,0.048479,7.11996088905742
118,2015-06-23,15.63,-0.0006,0.050045,7.34995446879842
119,2015-06-24,15.53,-0.0063,0.051349,7.541468918340095
120,2015-06-25,15.38,-0.0096,0.051901,7.62253945219516
121,2015-06-26,15.39,0.0003,0.051872,7.618280311829586
122,2015-06-29,15.22,-0.0109,0.051990999999999996,7.635757474019354
123,2015-06-30,15.26,0.0027,0.052034000000000004,7.6420727511131386
124,2015-07-01,15.43,0.0109,0.052018,7.639722880566614
125,2015-07-02,15.39,-0.0027,0.05256,7.719324745330102
126,2015-07-06,15.46,0.0048,0.05261999999999999,7.728136759879564
127,2015-07-07,15.5,0.0024,0.05297399999999999,7.780127645721399
128,2015-07-08,15.39,-0.0072,0.053609,7.873388133036556
129,2015-07-09,15.46,0.0045,0.053226,7.817138106829148
130,2015-07-10,15.63,0.0111,0.053315,7.830209261744185
131,2015-07-13,15.79,0.0103,0.054178,7.956955404347303
132,2015-07-14,15.87,0.0047,0.055527,8.155078864801077
133,2015-07-15,15.83,-0.0023,0.056921,8.359811336166947
134,2015-07-16,16.0,0.0105,0.057897,8.503153439504887
135,2015-07-17,15.93,-0.0044,0.059167,8.6896744141352
136,2015-07-20,16.01,0.0052,0.059677,8.764576537805642
137,2015-07-21,15.33,-0.0436,0.060783,8.927011339334086
138,2015-07-22,15.42,0.0063,0.059101999999999995,8.680128065039947
139,2015-07-23,15.63,0.0132,0.057942999999999995,8.509909317326143
140,2015-07-24,15.5,-0.0081,0.056337,8.274041061218835
141,2015-07-27,15.44,-0.0042,0.05404,7.936687770883537
142,2015-07-28,15.35,-0.0054,0.052287,7.6792300791300425
143,2015-07-29,15.57,0.0141,0.050364000000000006,7.396805012819735
144,2015-07-30,15.58,0.0003,0.04946,7.264037326941149
145,2015-07-31,15.54,-0.0027,0.048457999999999994,7.116876683965107
146,2015-08-03,15.59,0.0036,0.047572,6.986752602451363
147,2015-08-04,15.61,0.0015,0.046536,6.834598484563958
148,2015-08-05,15.67,0.0033,0.04507,6.619291595738731
149,2015-08-06,15.67,0.0003,0.04338,6.371086519262173
150,2015-08-07,15.65,-0.0015,0.041833,6.14388341079517
151,2015-08-10,15.9,0.016,0.041048999999999995,6.028739754015512
152,2015-08-11,15.87,-0.0021,0.040499,5.947962953978763
153,2015-08-12,15.78,-0.0056,0.039662,5.825035351013747
154,2015-08-13,15.88,0.0062,0.038683,5.681252646948332
155,2015-08-14,16.02,0.0093,0.038957,5.721494180057548
156,2015-08-17,16.0,-0.0015,0.040104,5.889950524861462
157,2015-08-18,16.05,0.0032,0.04101,6.023011944558361
158,2015-08-19,15.83,-0.014,0.042003000000000006,6.168850785351984
159,2015-08-20,15.52,-0.0196,0.041631,6.11421629514531
160,2015-08-21,15.22,-0.0194,0.041106,6.0371111678375025
161,2015-08-24,14.65,-0.0384,0.042386,6.225100811559393
162,2015-08-25,14.41,-0.0167,0.049615,7.286801697860597
163,2015-08-26,15.0,0.0403,0.058907,8.65148901775419
164,2015-08-27,15.33,0.0218,0.060837,8.934942152428604
165,2015-08-28,15.09,-0.0156,0.061155999999999995,8.981792696449917
166,2015-08-31,14.94,-0.0102,0.062427,9.16846053798939
167,2015-09-01,14.52,-0.0285,0.06454900000000001,9.480112119222085
168,2015-09-02,14.71,0.0128,0.070059,10.289348788681156
169,2015-09-03,14.72,0.001,0.073282,10.762700836896508
170,2015-09-04,14.51,-0.0143,0.076198,11.19096474400044
171,2015-09-08,14.83,0.0216,0.08053300000000001,11.827632795199184
172,2015-09-09,14.77,-0.0038,0.082315,12.089349627318251
173,2015-09-10,14.76,-0.0006,0.08412000000000001,12.354444398347951
174,2015-09-11,14.81,0.0035,0.08597400000000001,12.626735647926374
175,2015-09-14,14.8,-0.0009,0.087577,12.86216330330621
176,2015-09-15,14.93,0.0091,0.08915800000000002,13.094359886684575
177,2015-09-16,15.11,0.0118,0.09004899999999999,13.225218302744107
178,2015-09-17,15.05,-0.004,0.090327,13.266047303489957
179,2015-09-18,14.63,-0.0286,0.090785,13.333312347884196
180,2015-09-21,14.79,0.0114,0.09301399999999999,13.660678688396764
181,2015-09-22,14.63,-0.0111,0.093977,13.80211152191566
182,2015-09-23,14.55,-0.0057,0.095121,13.970127265992096
183,2015-09-24,14.53,-0.0013,0.0962,14.128596660973283
184,2015-09-25,14.58,0.0032,0.09727000000000001,14.285744253772052
185,2015-09-28,14.32,-0.0174,0.096974,14.242271648661365
186,2015-09-29,14.32,0.0,0.098236,14.427617688018415
187,2015-09-30,14.43,0.0075,0.098601,14.481224109860984
188,2015-10-01,14.4,-0.0019,0.100548,14.767173981991078
189,2015-10-02,14.49,0.0058,0.10232200000000001,15.027715878836887
190,2015-10-05,14.7,0.0147,0.102909,15.11392675451247
191,2015-10-06,14.68,-0.0016,0.102949,15.119801430878779
192,2015-10-07,14.84,0.0107,0.10314399999999999,15.148440478164535
193,2015-10-08,14.87,0.0025,0.103089,15.140362798160862
194,2015-10-09,14.9,0.0016,0.102305,15.025219141381202
195,2015-10-12,14.79,-0.0072,0.101397,14.891863987865987
196,2015-10-13,14.66,-0.0085,0.100725,14.793169424911994
197,2015-10-14,14.4,-0.018,0.10000999999999999,14.68815958486422
198,2015-10-15,14.54,0.0097,0.099952,14.679641304133073
199,2015-10-16,14.59,0.0035,0.09889799999999999,14.524843581880827
200,2015-10-19,14.57,-0.0019,0.09746600000000001,14.314530167966966
201,2015-10-20,14.51,-0.0042,0.096041,14.105244822417205
202,2015-10-21,14.46,-0.0032,0.09283799999999999,13.634830112385005
203,2015-10-22,14.73,0.0185,0.08962300000000001,13.162652999442917
204,2015-10-23,14.93,0.0138,0.086109,12.646562680662667
205,2015-10-26,14.92,-0.0012,0.08136499999999999,11.94982606361841
206,2015-10-27,14.74,-0.0116,0.074447,10.93380078606526
207,2015-10-28,15.18,0.029,0.066773,9.806744125188867
208,2015-10-29,15.2,0.0018,0.057965,8.513140389327614
209,2015-10-30,15.04,-0.0111,0.051517,7.566142559078593
210,2015-11-02,15.16,0.0078,0.04764,6.996739552274088
211,2015-11-03,15.09,-0.0043,0.047161,6.926390302787537
212,2015-11-04,15.04,-0.0031,0.048021,7.052695844663181
213,2015-11-05,15.03,-0.0009,0.047721,7.008635771915864
214,2015-11-06,15.02,-0.0006,0.047836,7.025525466469001
215,2015-11-09,14.88,-0.0091,0.045781,6.723713968149874
216,2015-11-10,14.96,0.005,0.044979,6.605926707005377
217,2015-11-11,15.02,0.0037,0.045043,6.615326189191472
218,2015-11-12,14.89,-0.0084,0.045122,6.626928675014932
219,2015-11-13,14.66,-0.0155,0.045221,6.641468499021547
