,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,104.12,,,
1,2015-01-05,105.06,0.009,,
2,2015-01-06,107.1,0.0192,,
3,2015-01-07,108.3,0.0111,,
4,2015-01-08,108.73,0.004,,
5,2015-01-09,109.28,0.005,,
6,2015-01-12,109.73,0.0041,,
7,2015-01-13,109.5,-0.0022,,
8,2015-01-14,110.78,0.0117,,
9,2015-01-15,111.03,0.0022,,
10,2015-01-16,111.92,0.008,,
11,2015-01-20,111.46,-0.004,,
12,2015-01-21,111.46,0.0,,
13,2015-01-22,113.56,0.0186,,
14,2015-01-23,113.17,-0.0034,,
15,2015-01-26,114.41,0.0109,,
16,2015-01-27,114.4,-0.0001,,
17,2015-01-28,113.41,-0.0086,,
18,2015-01-29,113.78,0.0032,,
19,2015-01-30,110.1,-0.0329,,
20,2015-02-02,111.22,0.0101,,
21,2015-02-03,112.49,0.0113,,
22,2015-02-04,111.95,-0.0048,,
23,2015-02-05,114.06,0.0187,,
24,2015-02-06,111.8,-0.0199,,
25,2015-02-09,111.2,-0.0054,,
26,2015-02-10,112.81,0.0144,,
27,2015-02-11,111.78,-0.0092,,
28,2015-02-12,113.16,0.0123,,
29,2015-02-13,111.91,-0.0111,,
30,2015-02-17,111.25,-0.0059,,
31,2015-02-18,112.46,0.0108,,
32,2015-02-19,109.84,-0.0236,,
33,2015-02-20,110.55,0.0065,,
34,2015-02-23,111.79,0.0111,,
35,2015-02-24,109.67,-0.0191,,
36,2015-02-25,109.19,-0.0043,,
37,2015-02-26,108.06,-0.0104,,
38,2015-02-27,109.0,0.0086,,
39,2015-03-02,110.07,0.0098,,
40,2015-03-03,110.06,-0.0001,,
41,2015-03-04,108.91,-0.0105,,
42,2015-03-05,110.28,0.0125,,
43,2015-03-06,106.15,-0.0382,,
44,2015-03-09,107.04,0.0083,,
45,2015-03-10,106.89,-0.0014,,
46,2015-03-11,106.75,-0.0013,,
47,2015-03-12,108.94,0.0203,,
48,2015-03-13,107.86,-0.01,,
49,2015-03-16,108.87,0.0093,,
50,2015-03-17,109.08,0.0019,0.464678,64.76888046542776
51,2015-03-18,111.95,0.026,0.43343899999999996,60.41465010190829
52,2015-03-19,111.96,0.0001,0.408972,57.00433113189547
53,2015-03-20,114.8,0.025,0.399114,55.630279372121635
54,2015-03-23,114.81,0.0001,0.408775,56.976872398209586
55,2015-03-24,114.21,-0.0053,0.41863999999999996,58.351899849028094
56,2015-03-25,111.97,-0.0198,0.425283,59.277830650425706
57,2015-03-26,111.38,-0.0053,0.424499,59.16855325342198
58,2015-03-27,111.42,0.0004,0.422324,58.865392107397625
59,2015-03-30,113.36,0.0173,0.422301,58.86218626539369
60,2015-03-31,111.95,-0.0125,0.426581,59.45875164699564
61,2015-04-01,111.34,-0.0055,0.42662599999999995,59.46502394656855
62,2015-04-02,112.31,0.0087,0.426576,59.45805472482087
63,2015-04-06,113.3,0.0088,0.427618,59.60329330604265
64,2015-04-07,111.18,-0.0189,0.426598,59.46112118238985
65,2015-04-08,111.34,0.0014,0.42306699999999997,58.96895474256824
66,2015-04-09,109.46,-0.017,0.41344499999999995,57.62779770944348
67,2015-04-10,109.64,0.0017,0.405389,56.50491670145627
68,2015-04-13,109.23,-0.0037,0.401325,55.93845835780432
69,2015-04-14,109.69,0.0042,0.395841,55.174074116518085
70,2015-04-15,108.77,-0.0085,0.39653700000000003,55.27108568324588
71,2015-04-16,109.72,0.0087,0.400147,55.774263493428826
72,2015-04-17,108.86,-0.0079,0.398225,55.50636660944777
73,2015-04-20,108.69,-0.0015,0.399779,55.72297002136586
74,2015-04-21,108.99,0.0028,0.39183599999999996,54.615839454528405
75,2015-04-22,108.79,-0.0019,0.39240499999999995,54.69514919801707
76,2015-04-23,109.2,0.0038,0.394507,54.98813528028981
77,2015-04-24,109.87,0.0061,0.390304,54.402302500179296
78,2015-04-27,109.81,-0.0005,0.38852200000000003,54.153919437091766
79,2015-04-28,110.25,0.004,0.38073,53.06783591993232
80,2015-04-29,107.49,-0.0254,0.377984,52.68508626154939
81,2015-04-30,105.44,-0.0192,0.38396399999999997,53.51860518257267
82,2015-05-01,105.95,0.0048,0.39896299999999996,55.60923232244361
83,2015-05-04,105.95,0.0,0.413724,57.666685966795576
84,2015-05-05,103.32,-0.0251,0.427008,59.51826880072088
85,2015-05-06,102.52,-0.0077,0.458286,63.877935157203545
86,2015-05-07,104.79,0.0219,0.497246,69.30835274300073
87,2015-05-08,106.25,0.0138,0.513354,71.55355722123535
88,2015-05-11,104.27,-0.0189,0.519246,72.37481031198271
89,2015-05-12,104.69,0.004,0.5373640000000001,74.90017750447434
90,2015-05-13,104.12,-0.0055,0.5511240000000001,76.81810732943762
91,2015-05-14,106.28,0.0205,0.567331,79.07711086673265
92,2015-05-15,107.34,0.01,0.572346,79.7761238080256
93,2015-05-18,107.03,-0.0029,0.573037,79.87243845257862
94,2015-05-19,106.3,-0.0069,0.5702929999999999,79.48996756306559
95,2015-05-20,106.24,-0.0006,0.57251,79.798982855358
96,2015-05-21,105.38,-0.0081,0.574537,80.0815151050092
97,2015-05-22,105.89,0.0048,0.579611,80.78875172796441
98,2015-05-26,104.58,-0.0124,0.585406,81.59648452852126
99,2015-05-27,105.08,0.0048,0.596222,83.10406657698077
100,2015-05-28,104.83,-0.0024,0.604623,84.27503521502703
101,2015-05-29,103.62,-0.0116,0.613584,85.52405913664738
102,2015-06-01,104.91,0.0124,0.621332,86.60400973866885
103,2015-06-02,103.26,-0.0159,0.62103,86.56191563931282
104,2015-06-03,101.92,-0.013,0.609669,84.97836907380353
105,2015-06-04,101.57,-0.0034,0.603408,84.10568312655826
106,2015-06-05,100.55,-0.0101,0.600686,83.72627869461421
107,2015-06-08,100.4,-0.0015,0.617633,86.08842671377501
108,2015-06-09,99.53,-0.0088,0.635417,88.56723950499209
109,2015-06-10,100.59,0.0106,0.6567050000000001,91.53445535628703
