,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,22.74,,,
1,2015-01-05,22.49,-0.0109,,
2,2015-01-06,22.27,-0.0099,,
3,2015-01-07,22.79,0.0234,,
4,2015-01-08,23.29,0.0215,,
5,2015-01-09,23.0,-0.0123,,
6,2015-01-12,22.65,-0.0156,,
7,2015-01-13,22.74,0.0039,,
8,2015-01-14,22.54,-0.0087,,
9,2015-01-15,23.07,0.0231,,
10,2015-01-16,23.0,-0.003,,
11,2015-01-20,23.02,0.0011,,
12,2015-01-21,23.0,-0.0008,,
13,2015-01-22,23.59,0.0253,,
14,2015-01-23,23.33,-0.0111,,
15,2015-01-26,23.45,0.0049,,
16,2015-01-27,23.27,-0.0076,,
17,2015-01-28,23.35,0.0033,,
18,2015-01-29,23.31,-0.0016,,
19,2015-01-30,22.64,-0.0289,,
20,2015-02-02,22.85,0.009,,
21,2015-02-03,22.99,0.0064,,
22,2015-02-04,23.17,0.0078,,
23,2015-02-05,23.29,0.0052,,
24,2015-02-06,23.29,-0.0003,,
25,2015-02-09,23.11,-0.0077,,
26,2015-02-10,23.28,0.0074,,
27,2015-02-11,23.12,-0.0072,,
28,2015-02-12,23.28,0.0069,,
29,2015-02-13,22.26,-0.0446,,
30,2015-02-17,21.58,-0.0312,,
31,2015-02-18,21.45,-0.0056,,
32,2015-02-19,22.03,0.0265,,
33,2015-02-20,22.06,0.0014,,
34,2015-02-23,22.07,0.0003,,
35,2015-02-24,22.18,0.0052,,
36,2015-02-25,22.2,0.0009,,
37,2015-02-26,22.16,-0.002,,
38,2015-02-27,22.36,0.0089,,
39,2015-03-02,22.43,0.0034,,
40,2015-03-03,22.34,-0.004,,
41,2015-03-04,22.06,-0.0127,,
42,2015-03-05,22.28,0.0098,,
43,2015-03-06,21.9,-0.0174,,
44,2015-03-09,21.95,0.0023,,
45,2015-03-10,21.67,-0.0126,,
46,2015-03-11,21.46,-0.0098,,
47,2015-03-12,21.84,0.0174,,
48,2015-03-13,21.69,-0.0068,,
49,2015-03-16,22.0,0.0143,,
50,2015-03-17,22.04,0.0017,0.114342,15.697260853203046
51,2015-03-18,22.08,0.0017,0.115248,15.821639632068223
52,2015-03-19,21.96,-0.0055,0.116023,15.92803428286349
53,2015-03-20,22.34,0.0173,0.116926,16.052001211467523
54,2015-03-23,22.4,0.0026,0.11691700000000001,16.050765660684092
55,2015-03-24,22.13,-0.0121,0.115248,15.821639632068223
56,2015-03-25,22.33,0.0089,0.11506,15.795830349036596
57,2015-03-26,22.21,-0.0055,0.11512800000000001,15.805165621622505
58,2015-03-27,23.49,0.0562,0.115269,15.824522583896222
59,2015-03-30,23.58,0.0038,0.118301,16.24076591449138
60,2015-03-31,23.35,-0.0101,0.120848,16.59042678620176
61,2015-04-01,23.56,0.009,0.12219799999999999,16.775759403716094
62,2015-04-02,24.17,0.0257,0.124587,17.103729495006277
63,2015-04-06,24.31,0.0058,0.13151300000000002,18.054554464565012
64,2015-04-07,24.26,-0.0021,0.136956,18.80178812169873
65,2015-04-08,24.23,-0.0011,0.142851,19.61107388484466
66,2015-04-09,24.22,-0.0008,0.147779,20.287606580482176
67,2015-04-10,24.19,-0.0011,0.15295899999999998,20.998734698055696
68,2015-04-13,24.03,-0.0066,0.157466,21.617471073712814
69,2015-04-14,24.15,0.005,0.16084099999999998,22.08080261749865
70,2015-04-15,24.01,-0.0058,0.165689,22.746352639505687
71,2015-04-16,23.89,-0.0051,0.16936,23.2503200757243
72,2015-04-17,23.84,-0.0021,0.1721,23.62647664756821
73,2015-04-20,24.06,0.0093,0.17424499999999998,23.920949584285427
74,2015-04-21,24.04,-0.0011,0.177199,24.32648480809087
75,2015-04-22,23.98,-0.0024,0.179936,24.70222952967364
76,2015-04-23,23.97,-0.0003,0.18259,25.066579727364786
77,2015-04-24,23.98,0.0003,0.18485800000000002,25.37793852478887
78,2015-04-27,23.87,-0.0045,0.18732700000000002,25.716891289709533
79,2015-04-28,23.8,-0.003,0.189036,25.95150865514064
80,2015-04-29,23.43,-0.0158,0.190011,26.085359990012105
81,2015-04-30,23.26,-0.0072,0.187079,25.682845001455043
82,2015-05-01,23.52,0.0113,0.182849,25.102136133243462
83,2015-05-04,23.88,0.0152,0.181656,24.938357012728943
84,2015-05-05,23.81,-0.003,0.18141300000000002,24.904997141576363
85,2015-05-06,23.93,0.0051,0.180692,24.806015795481667
86,2015-05-07,24.04,0.0043,0.18057099999999998,24.789404501615564
87,2015-05-08,24.13,0.004,0.18063600000000002,24.798327923940334
88,2015-05-11,24.04,-0.0037,0.18060500000000002,24.794072137908522
89,2015-05-12,24.24,0.0083,0.1807,24.807114062844715
90,2015-05-13,24.1,-0.0059,0.181569,24.926413355155795
91,2015-05-14,24.4,0.0125,0.18132,24.89222978348093
92,2015-05-15,24.76,0.0147,0.18069400000000002,24.806290362322432
93,2015-05-18,24.78,0.0008,0.182484,25.0520276848044
94,2015-05-19,24.79,0.0003,0.181772,24.954281889493135
