,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2020-03-19,11.67,,,
1,2020-03-20,12.4,0.0606,,
2,2020-03-23,11.22,-0.0997,,
3,2020-03-24,11.38,0.0138,,
4,2020-03-25,13.08,0.1394,,
5,2020-03-26,15.03,0.1386,,
6,2020-03-27,14.15,-0.06,,
7,2020-03-30,15.47,0.0887,,
8,2020-03-31,16.78,0.0815,,
9,2020-04-01,14.64,-0.1364,,
10,2020-04-02,12.92,-0.1251,,
11,2020-04-03,16.46,0.2422,,
12,2020-04-06,15.02,-0.0915,,
13,2020-04-07,14.83,-0.0124,,
14,2020-04-08,13.87,-0.0671,,
15,2020-04-09,14.38,0.0358,,
16,2020-04-13,13.61,-0.0549,,
17,2020-04-14,13.49,-0.0086,,
18,2020-04-15,13.0,-0.0375,,
19,2020-04-16,12.54,-0.0358,,
20,2020-04-17,13.36,0.0639,,
21,2020-04-20,14.06,0.0504,,
22,2020-04-21,14.29,0.0165,,
23,2020-04-22,14.39,0.0068,,
24,2020-04-23,15.29,0.061,,
25,2020-04-24,15.81,0.0332,,
26,2020-04-27,16.34,0.0333,,
27,2020-04-28,16.54,0.0118,,
28,2020-04-29,17.16,0.037,,
29,2020-04-30,17.23,0.004,,
30,2020-05-01,16.31,-0.0545,,
31,2020-05-04,15.95,-0.0223,,
32,2020-05-05,15.53,-0.0266,,
33,2020-05-06,15.85,0.0198,,
34,2020-05-07,15.96,0.0073,,
35,2020-05-08,17.86,0.1123,,
36,2020-05-11,17.85,-0.0005,,
37,2020-05-12,17.31,-0.0304,,
38,2020-05-13,15.99,-0.0795,,
39,2020-05-14,16.1,0.0067,,
40,2020-05-15,16.25,0.0096,,
41,2020-05-18,17.07,0.049,,
42,2020-05-19,17.28,0.0125,,
43,2020-05-20,18.22,0.0526,,
44,2020-05-21,18.92,0.0377,,
45,2020-05-22,18.53,-0.0208,,
46,2020-05-26,18.98,0.0239,,
47,2020-05-27,19.44,0.0243,,
48,2020-05-28,19.06,-0.0197,,
49,2020-05-29,19.91,0.0434,,
50,2020-06-01,21.22,0.0639,0.41550800000000004,37.88630872359587
51,2020-06-02,20.78,-0.0213,0.428609,39.08086702473045
52,2020-06-03,21.61,0.0395,0.439233,40.049570741336346
53,2020-06-04,22.06,0.0205,0.44589599999999996,40.65710772022801
54,2020-06-05,22.92,0.0381,0.45423900000000006,41.41782826876369
55,2020-06-08,23.7,0.0338,0.478519,43.63169557290442
56,2020-06-09,22.58,-0.0488,0.514038,46.8703427218243
57,2020-06-10,21.59,-0.0445,0.532676,48.56976853791059
58,2020-06-11,20.48,-0.0527,0.546001,49.7847513149977
59,2020-06-12,20.95,0.0225,0.5539229999999999,50.507084790426156
60,2020-06-15,21.37,0.0198,0.559342,51.00119298322429
61,2020-06-16,21.47,0.0045,0.557562,50.838891343958615
62,2020-06-17,20.68,-0.0374,0.567685,51.76191353175996
63,2020-06-18,20.67,-0.0005,0.569954,51.96880253147558
64,2020-06-19,20.86,0.0094,0.570669,52.033996729270505
65,2020-06-22,22.12,0.0584,0.566833,51.68422757858336
66,2020-06-23,21.78,-0.0155,0.570021,51.9749116381221
67,2020-06-24,21.22,-0.0258,0.565741,51.58465825831476
68,2020-06-25,21.01,-0.0102,0.556564,50.74789300913438
69,2020-06-26,20.47,-0.0259,0.541263,49.35273717632313
70,2020-06-29,21.59,0.0534,0.518242,47.25366636871917
71,2020-06-30,21.69,0.0045,0.503234,45.8852264798994
72,2020-07-01,22.07,0.0174,0.49162599999999995,44.8268009582163
73,2020-07-02,22.37,0.0132,0.481352,43.89001048528625
74,2020-07-06,23.64,0.0552,0.47105800000000003,42.951396398431854
75,2020-07-07,23.44,-0.0083,0.472363,43.0703872069946
76,2020-07-08,23.42,-0.0008,0.47355800000000003,43.17934813897352
77,2020-07-09,23.34,-0.0033,0.475891,43.39207270324701
78,2020-07-10,24.3,0.0402,0.477267,43.51753734124115
79,2020-07-13,23.7,-0.0248,0.485877,44.30260313566667
80,2020-07-14,24.55,0.0352,0.489631,44.64489546926405
81,2020-07-15,25.82,0.0504,0.492131,44.87284720980572
82,2020-07-16,25.98,0.006,0.499154,45.51320923933539
83,2020-07-17,25.85,-0.0049,0.50132,45.7107066273407
84,2020-07-20,25.78,-0.0026,0.501719,45.74708772513115
85,2020-07-21,25.94,0.006,0.499569,45.551049228265306
86,2020-07-22,25.97,0.0011,0.5079359999999999,46.313958113510175
87,2020-07-23,26.7,0.0278,0.514421,46.90526492847528
88,2020-07-24,25.95,-0.0286,0.520791,47.486085963375466
89,2020-07-27,25.63,-0.0125,0.509864,46.48975449581592
90,2020-07-28,25.45,-0.0069,0.494863,45.12195287186967
91,2020-07-29,26.53,0.0417,0.477115,43.503677875416216
92,2020-07-30,26.26,-0.0104,0.469741,42.8313114215145
93,2020-07-31,26.59,0.0126,0.45953299999999997,41.90053887453473
94,2020-08-03,26.96,0.0139,0.45612699999999995,41.58997742322075
95,2020-08-04,27.11,0.0054,0.45772100000000004,41.73531945299013
96,2020-08-05,27.44,0.0122,0.455395,41.523233153590155
97,2020-08-06,27.6,0.0057,0.45613,41.59025096530941
98,2020-08-07,28.28,0.0245,0.458766,41.83060328053655
99,2020-08-10,28.76,0.0168,0.461403,42.07104677645991
100,2020-08-11,28.79,0.001,0.47071599999999997,42.92021260032575
101,2020-08-12,29.08,0.0101,0.484469,44.1742207153936
102,2020-08-13,28.84,-0.0084,0.496197,45.2435879206227
103,2020-08-14,28.82,-0.0007,0.5076740000000001,46.290068771101424
104,2020-08-17,29.13,0.0108,0.5189,47.31366326682975
105,2020-08-18,28.76,-0.0128,0.5329740000000001,48.59694038538316
106,2020-08-19,28.56,-0.0072,0.544818,49.676884551373384
107,2020-08-20,28.32,-0.0082,0.552269,50.356271918883785
108,2020-08-21,28.82,0.0174,0.5539200000000001,50.50681124833751
109,2020-08-24,29.66,0.0287,0.550841,50.226065884686385
110,2020-08-25,29.75,0.003,0.553294,50.44973213250587
111,2020-08-26,30.29,0.0182,0.556567,50.748166551223036
112,2020-08-27,29.56,-0.0245,0.561753,51.22102964180267
113,2020-08-28,29.58,0.0007,0.555879,50.685434232225965
114,2020-08-31,29.14,-0.015,0.547831,49.9516119890742
115,2020-09-01,29.58,0.015,0.5368780000000001,48.95290982341304
116,2020-09-02,30.05,0.0157,0.534036,48.69377428476525
117,2020-09-03,28.63,-0.0483,0.529786,48.30625632584441
118,2020-09-04,29.29,0.0226,0.513825,46.850921233530144
119,2020-09-08,28.87,-0.0144,0.496167,45.24085249973621
120,2020-09-09,29.41,0.0188,0.469068,42.769946812960676
121,2020-09-10,28.45,-0.0334,0.45110799999999995,41.13234150890929
122,2020-09-11,28.55,0.0034,0.42823,39.046309540864335
123,2020-09-14,28.46,-0.0031,0.406371,37.05319070226415
124,2020-09-15,28.99,0.0184,0.384392,35.049130180117984
125,2020-09-16,29.53,0.0187,0.372479,33.9628945460888
126,2020-09-17,29.93,0.0135,0.35920699999999994,32.75274434590116
127,2020-09-18,30.06,0.0042,0.34536,31.49016524538894
128,2020-09-21,28.81,-0.0425,0.328833,29.983221879016043
129,2020-09-22,29.54,0.0251,0.3145,28.676328960142524
130,2020-09-23,28.42,-0.0387,0.29439699999999996,26.843323424098816
131,2020-09-24,29.17,0.0261,0.27788,25.33729186468809
132,2020-09-25,29.77,0.0202,0.271498,24.755376661433306
133,2020-09-28,30.01,0.0082,0.26732700000000004,24.37506197751358
134,2020-09-29,29.78,-0.0078,0.262424,23.928003023963246
135,2020-09-30,29.82,0.0013,0.254926,23.24433016373066
136,2020-10-01,30.04,0.0075,0.247652,22.58108177945061
137,2020-10-02,30.49,0.0148,0.240374,21.917468672385688
138,2020-10-05,31.32,0.0269,0.239508,21.838506189462052
139,2020-10-06,30.76,-0.0179,0.237393,21.645659016963794
140,2020-10-07,31.36,0.0192,0.22633099999999998,20.637018155414996
141,2020-10-08,31.19,-0.0053,0.214945,19.598834748292003
142,2020-10-09,31.47,0.0087,0.2114,19.27559918020391
143,2020-10-12,32.22,0.0236,0.205517,18.73918314436124
144,2020-10-13,31.72,-0.0156,0.20789100000000002,18.95564611717962
145,2020-10-14,31.74,0.0006,0.20703600000000003,18.877686621914368
146,2020-10-15,31.83,0.0028,0.20602,18.78504703455823
147,2020-10-16,31.98,0.0049,0.206951,18.869936262735948
148,2020-10-19,31.55,-0.0135,0.208951,19.052297655169287
149,2020-10-20,32.44,0.0278,0.21101299999999998,19.240312250768056
150,2020-10-21,32.56,0.0036,0.22106,20.156404705656936
151,2020-10-22,33.09,0.0161,0.23087800000000003,21.051616781112198
152,2020-10-23,34.1,0.0302,0.24494800000000003,22.334529176880736
153,2020-10-26,32.91,-0.0356,0.266642,24.312603200605157
154,2020-10-27,32.8,-0.0033,0.274712,25.048431419073683
155,2020-10-28,32.51,-0.009,0.28199799999999997,25.71277397170833
156,2020-10-29,33.34,0.0253,0.285302,26.01403499200821
157,2020-10-30,32.68,-0.0202,0.292261,26.648561456980012
158,2020-11-02,34.35,0.0499,0.29251,26.671265450337962
159,2020-11-03,36.16,0.0514,0.30639299999999997,27.937127055913983
160,2020-11-04,35.99,-0.0046,0.33958599999999994,30.963687905433886
161,2020-11-05,37.38,0.0379,0.36656599999999995,33.423743089359625
162,2020-11-06,38.12,0.0194,0.40596899999999997,37.01653606238505
163,2020-11-09,37.97,-0.0039,0.446725,40.73269651739163
164,2020-11-10,37.0,-0.0258,0.48034,43.797735620714974
165,2020-11-11,37.25,0.0066,0.499776,45.569923632382164
166,2020-11-12,37.15,-0.0026,0.520083,47.421530030454065
167,2020-11-13,37.47,0.0087,0.538577,49.10782582628515
168,2020-11-16,39.63,0.0561,0.552401,50.36830777078439
169,2020-11-17,39.5,-0.0035,0.584428,53.28855192851565
170,2020-11-18,38.55,-0.0243,0.609287,55.555212855765845
171,2020-11-19,38.29,-0.0066,0.625541,57.037263892071586
172,2020-11-20,37.72,-0.0152,0.6334029999999999,57.75412652572704
173,2020-11-23,37.94,0.0059,0.636038,57.99438766025796
174,2020-11-24,38.53,0.0154,0.637446,58.12277008053103
175,2020-11-25,37.78,-0.0195,0.6429300000000001,58.62280501858326
176,2020-11-27,37.0,-0.0209,0.645005,58.812004963232845
177,2020-11-30,37.26,0.0069,0.643966,58.717268219863726
178,2020-12-01,36.8,-0.0124,0.643307,58.657180141056934
179,2020-12-02,36.04,-0.0207,0.6331869999999999,57.73443149534423
180,2020-12-03,35.91,-0.0038,0.623622,56.8622881360318
181,2020-12-04,36.89,0.0272,0.605372,55.19824043007758
182,2020-12-07,36.05,-0.0231,0.592957,54.06623208654763
183,2020-12-08,36.5,0.0124,0.580538,52.933859020232816
184,2020-12-09,37.03,0.0144,0.5692929999999999,51.90853209127636
185,2020-12-10,36.74,-0.008,0.556552,50.74679884077979
186,2020-12-11,36.37,-0.0102,0.5415610000000001,49.3799090237957
187,2020-12-14,35.84,-0.0146,0.525645,47.92867706281118
188,2020-12-15,36.86,0.0283,0.510583,46.555313416395705
189,2020-12-16,37.19,0.0087,0.501282,45.707241760884465
190,2020-12-17,37.87,0.0183,0.48797199999999996,44.49362669424059
191,2020-12-18,37.96,0.0023,0.47929499999999997,43.70245179316855
192,2020-12-21,37.7,-0.007,0.46826500000000004,42.69672871389869
193,2020-12-22,37.33,-0.0097,0.456602,41.63328825392368
194,2020-12-23,37.46,0.0034,0.44748699999999997,40.80217620790873
195,2020-12-24,37.2,-0.0071,0.43414700000000006,39.585825720378374
196,2020-12-28,37.07,-0.0034,0.418805,38.18693147902222
197,2020-12-29,36.49,-0.0157,0.40229,36.681082281003924
198,2020-12-30,37.04,0.015,0.384844,35.09034385480792
199,2020-12-31,37.03,-0.0003,0.36202599999999996,33.009782728535946
200,2021-01-04,36.35,-0.0185,0.345145,31.470561395702354
201,2021-01-05,37.24,0.0243,0.327411,29.85356292899594
202,2021-01-06,39.32,0.0541,0.313095,28.548220081958103
203,2021-01-07,40.34,0.0256,0.31271899999999997,28.513936140180633
204,2021-01-08,39.94,-0.0098,0.308411,28.121129700879223
205,2021-01-11,40.81,0.0214,0.297212,27.09999708394874
206,2021-01-12,40.98,0.0041,0.286485,26.12190175563253
207,2021-01-13,40.62,-0.0087,0.283164,25.819090663496972
208,2021-01-14,40.05,-0.0141,0.265212,24.182214805015324
209,2021-01-15,39.64,-0.0103,0.25846199999999997,23.5667451055528
210,2021-01-19,39.63,-0.0002,0.26037299999999997,23.740991416022855
211,2021-01-20,39.31,-0.0082,0.260704,23.771172226470576
212,2021-01-21,39.01,-0.0075,0.263487,24.02492810404157
213,2021-01-22,38.79,-0.0058,0.265254,24.18604439425642
214,2021-01-25,38.18,-0.0158,0.26639,24.28962566515856
215,2021-01-26,36.64,-0.0412,0.265365,24.196165451536473
216,2021-01-27,35.57,-0.0296,0.267013,24.346431238901545
217,2021-01-28,37.5,0.0529,0.273671,24.95351231431213
218,2021-01-29,37.79,0.0078,0.273641,24.95077689342563
219,2021-02-01,37.95,0.0041,0.269283,24.55341141931338
220,2021-02-02,37.77,-0.0047,0.265376,24.197168439194854
221,2021-02-03,37.45,-0.0086,0.264578,24.12440624361395
222,2021-02-04,37.63,0.0047,0.26435400000000003,24.103981767661423
223,2021-02-05,38.43,0.0212,0.264378,24.10617010437062
224,2021-02-08,38.97,0.014,0.264951,24.158416643302772
225,2021-02-09,36.57,-0.0637,0.266158,24.26847174363629
226,2021-02-10,36.51,-0.0016,0.268188,24.453568556956128
227,2021-02-11,36.52,0.0003,0.269556,24.578303749380535
228,2021-02-12,36.6,0.0021,0.271298,24.73714052218997
229,2021-02-16,36.72,0.0035,0.271866,24.78893115764104
230,2021-02-17,36.56,-0.0046,0.269319,24.556693924377182
231,2021-02-18,35.98,-0.016,0.26655999999999996,24.30512638351539
232,2021-02-19,36.95,0.0267,0.26990200000000003,24.609852270271503
233,2021-02-22,36.62,-0.0091,0.26678799999999997,24.32591558225279
234,2021-02-23,36.42,-0.0054,0.266405,24.290993375601808
235,2021-02-24,36.76,0.0094,0.268158,24.45083313606963
236,2021-02-25,35.48,-0.0356,0.26808499999999996,24.44417694524581
237,2021-02-26,35.86,0.0107,0.272536,24.85002222410621
238,2021-03-01,36.52,0.0182,0.272414,24.838898179167774
239,2021-03-02,36.46,-0.0016,0.273395,24.92834644215633
240,2021-03-03,36.44,-0.0005,0.275165,25.08973627445983
241,2021-03-04,34.87,-0.0441,0.277256,25.28039511024889
242,2021-03-05,36.26,0.0392,0.287346,26.200408335075082
243,2021-03-08,36.38,0.0032,0.289666,26.411947550297754
244,2021-03-09,36.44,0.0016,0.291438,26.573519743993693
245,2021-03-10,38.07,0.0437,0.293033,26.71895295445928
246,2021-03-11,38.51,0.0115,0.29319,26.733268323765298
247,2021-03-12,38.86,0.0091,0.29394,26.8016538459278
248,2021-03-15,38.87,0.0003,0.294264,26.831196391502004
249,2021-03-16,37.86,-0.0264,0.29561499999999996,26.954381512090716
250,2021-03-17,38.63,0.02,0.29509799999999997,26.907241092146702
251,2021-03-18,40.25,0.0411,0.293758,26.785058959216368
252,2021-03-19,40.16,-0.0022,0.301064,27.451225125775352
253,2021-03-22,40.65,0.0121,0.305056,27.815218465072295
254,2021-03-23,39.55,-0.0274,0.307096,28.0012270853543
255,2021-03-24,39.4,-0.0037,0.305259,27.83372814640428
256,2021-03-25,39.61,0.0052,0.297278,27.106015009899043
257,2021-03-26,40.34,0.0182,0.288556,26.31073697749725
258,2021-03-29,41.56,0.03,0.286553,26.128102042975264
259,2021-03-30,41.58,0.0005,0.298234,27.193183755482178
260,2021-03-31,41.45,-0.0033,0.311542,28.406616460733613
261,2021-04-01,41.25,-0.0047,0.323016,29.452823769123682
262,2021-04-05,41.8,0.0132,0.333572,30.41532719838684
263,2021-04-06,42.03,0.0054,0.348632,31.78850848340988
264,2021-04-07,41.91,-0.0028,0.36495399999999995,33.276759807058355
265,2021-04-08,41.75,-0.0038,0.37973399999999996,34.62441049714073
266,2021-04-09,41.97,0.0052,0.390056,35.5655776434892
267,2021-04-12,41.82,-0.0035,0.396128,36.11922683091681
268,2021-04-13,42.37,0.0131,0.406446,37.060029254480405
269,2021-04-14,42.34,-0.0007,0.419808,38.278385717327545
270,2021-04-15,42.79,0.0106,0.43204099999999995,39.393799174146054
271,2021-04-16,43.08,0.0066,0.445979,40.664675718013996
272,2021-04-19,43.07,-0.0002,0.459961,41.93956421251547
273,2021-04-20,41.74,-0.0313,0.47285299999999997,43.115065748140765
274,2021-04-21,42.27,0.0126,0.47874,43.6518465067683
275,2021-04-22,42.3,0.0007,0.486911,44.39688397555471
276,2021-04-23,43.66,0.0315,0.489775,44.658025489519254
277,2021-04-26,43.29,-0.0084,0.498892,45.489319896926624
278,2021-04-27,44.14,0.0193,0.504231,45.97613363402742
279,2021-04-28,43.67,-0.0105,0.513599,46.83031439618519
280,2021-04-29,43.34,-0.0077,0.5189860000000001,47.32150480670438
281,2021-04-30,42.9,-0.0103,0.520439,47.4539903583072
282,2021-05-03,42.78,-0.0028,0.515478,47.001642924376306
283,2021-05-04,42.46,-0.0076,0.513797,46.848368174036075
284,2021-05-05,42.59,0.0032,0.5083059999999999,46.34769497111034
285,2021-05-06,43.47,0.0204,0.5010669999999999,45.687637911197875
286,2021-05-07,44.14,0.0153,0.497932,45.40178642855862
287,2021-05-10,44.7,0.0126,0.487781,44.47621118126321
288,2021-05-11,43.8,-0.0202,0.481278,43.88326311376621
289,2021-05-12,41.77,-0.0476,0.472645,43.096100163327705
290,2021-05-13,42.57,0.0191,0.456193,41.59599534917106
291,2021-05-14,42.96,0.009,0.43932000000000004,40.0575034619072
292,2021-05-17,43.48,0.0121,0.405233,36.94942706996959
293,2021-05-18,42.98,-0.0116,0.383643,34.98083583865169
294,2021-05-19,42.76,-0.0051,0.35828400000000005,32.66858456329318
295,2021-05-20,43.2,0.0103,0.32921300000000003,30.017870543578383
296,2021-05-21,43.19,-0.0002,0.314954,28.71772499622489
297,2021-05-24,43.69,0.0113,0.302723,27.60249390079881
298,2021-05-25,44.02,0.0076,0.293626,26.773023107315765
299,2021-05-26,44.02,0.0,0.284574,25.947655445162475
300,2021-05-27,44.6,0.0131,0.26276499999999997,23.95909564137313
301,2021-05-28,45.21,0.0136,0.249756,22.77292596429048
302,2021-06-01,46.12,0.0198,0.253521,23.11622128554624
303,2021-06-02,45.33,-0.0172,0.26306799999999997,23.98672339232678
304,2021-06-03,45.01,-0.007,0.267026,24.34761658795236
305,2021-06-04,45.17,0.0035,0.259176,23.63184812265151
306,2021-06-07,45.34,0.0037,0.248777,22.68366006269436
307,2021-06-08,45.63,0.0065,0.239282,21.817899352117085
308,2021-06-09,45.47,-0.0037,0.236923,21.602804089741962
309,2021-06-10,45.14,-0.0072,0.24052199999999999,21.930963415425754
310,2021-06-11,45.38,0.0052,0.24127300000000002,21.999440118284475
311,2021-06-14,45.49,0.0024,0.241792,22.046762899620926
312,2021-06-15,45.8,0.0069,0.24070699999999998,21.947831844225835
313,2021-06-16,46.18,0.0081,0.24399200000000001,22.247360431297597
314,2021-06-17,45.41,-0.0168,0.250067,22.801283160813863
315,2021-06-18,44.34,-0.0237,0.249714,22.76909637504938
316,2021-06-21,45.77,0.0317,0.244198,22.26614365471823
317,2021-06-22,45.39,-0.0084,0.24480899999999997,22.321855060106614
318,2021-06-23,45.5,0.0024,0.241677,22.036277119556008
319,2021-06-24,45.62,0.0026,0.24144200000000002,22.014849655945092
320,2021-06-25,46.44,0.018,0.240997,21.974274246128672
321,2021-06-28,47.25,0.0173,0.24687699999999999,22.510416739882686
322,2021-06-29,48.07,0.0172,0.259125,23.627197907144456
323,2021-06-30,47.96,-0.0023,0.27732,25.286230674806756
324,2021-07-01,48.11,0.0031,0.28522,26.006558174918442
325,2021-07-02,47.89,-0.0047,0.295673,26.95966999247129
326,2021-07-06,47.54,-0.0072,0.30241599999999996,27.574501427060287
327,2021-07-07,48.19,0.0136,0.310859,28.344340045217628
328,2021-07-08,47.42,-0.0161,0.32183,29.34468346341071
329,2021-07-09,47.64,0.0046,0.32864899999999997,29.966444630912175
330,2021-07-12,48.57,0.0193,0.33498100000000003,30.54380079935613
331,2021-07-13,48.59,0.0004,0.345469,31.50010394127656
332,2021-07-14,48.36,-0.0047,0.352703,32.15970509770794
333,2021-07-15,48.91,0.0114,0.356346,32.49187637402527
334,2021-07-16,48.44,-0.0097,0.36043,32.864258337374146
335,2021-07-19,47.62,-0.0171,0.360591,32.87893842946503
336,2021-07-20,49.25,0.0336,0.360092,32.83343926205291
337,2021-07-21,49.79,0.011,0.370491,33.78162732201006
338,2021-07-22,50.15,0.0071,0.385028,35.10712110291178
339,2021-07-23,51.22,0.0212,0.397862,36.27733415815651
340,2021-07-26,50.84,-0.0075,0.40531,36.95644798357827
341,2021-07-27,51.28,0.0087,0.412215,37.58605069095437
342,2021-07-28,50.9,-0.0075,0.42271099999999995,38.54308327844453
343,2021-07-29,53.23,0.0449,0.430709,39.27234648678546
344,2021-07-30,54.53,0.024,0.454187,41.41308687256042
345,2021-08-02,53.9,-0.0117,0.485481,44.26649557996487
346,2021-08-03,56.43,0.046,0.507278,46.25396121539961
347,2021-08-04,56.29,-0.0025,0.551652,50.300013429318106
348,2021-08-05,55.58,-0.0127,0.589526,53.75339111782824
349,2021-08-06,55.64,0.0011,0.61626,56.19101585048468
350,2021-08-09,55.5,-0.0025,0.639278,58.289813115999976
351,2021-08-10,55.87,0.0066,0.6600929999999999,60.18773930774994
352,2021-08-11,56.15,0.0049,0.6829959999999999,62.27605079320032
353,2021-08-12,55.25,-0.0161,0.707931,64.54964145336298
354,2021-08-13,55.42,0.003,0.721156,65.75550616082843
355,2021-08-16,55.86,0.008,0.7318439999999999,66.73004544199219
356,2021-08-17,54.43,-0.026,0.74363,67.80470112760186
357,2021-08-18,54.45,0.0004,0.746016,68.02225826877483
358,2021-08-19,54.53,0.0014,0.748134,68.21537898336173
359,2021-08-20,54.65,0.0022,0.748297,68.23024143684505
360,2021-08-23,55.15,0.0092,0.7457309999999999,67.99627177035308
361,2021-08-24,55.87,0.013,0.744816,67.91284143331482
362,2021-08-25,56.98,0.0198,0.7460519999999999,68.02554077383863
363,2021-08-26,56.63,-0.0063,0.752927,68.65240806032824
364,2021-08-27,57.56,0.0162,0.7571720000000001,69.039470115768
365,2021-08-30,57.27,-0.005,0.760339,69.32823938068618
366,2021-08-31,56.85,-0.0074,0.751936,68.56204799037752
367,2021-09-01,57.13,0.005,0.747552,68.16231181816363
368,2021-09-02,57.16,0.0005,0.739606,67.43779000602598
369,2021-09-03,56.66,-0.0088,0.729664,66.53127152423986
370,2021-09-07,55.48,-0.0209,0.715318,65.22319325631551
371,2021-09-08,55.92,0.0078,0.6997709999999999,63.80560697223495
372,2021-09-09,55.99,0.0012,0.6887179999999999,62.797786736952105
373,2021-09-10,55.69,-0.0053,0.680878,62.082930078613416
374,2021-09-13,55.01,-0.0123,0.670062,61.096719668333925
375,2021-09-14,54.26,-0.0137,0.657036,59.908999919415585
376,2021-09-15,55.03,0.0141,0.640171,58.371237477721465
377,2021-09-16,54.35,-0.0125,0.620432,56.57142171510062
378,2021-09-17,54.28,-0.0013,0.6025699999999999,54.94275211927847
379,2021-09-20,53.12,-0.0217,0.577185,52.62813014581832
380,2021-09-21,51.01,-0.0404,0.551685,50.30302239229325
381,2021-09-22,51.9,0.0173,0.5376449999999999,49.022845417411204
382,2021-09-23,52.79,0.017,0.519904,47.40520868583128
383,2021-09-24,52.43,-0.0069,0.49688899999999997,45.30668496240463
384,2021-09-27,51.68,-0.0142,0.477933,43.57826368492145
385,2021-09-28,51.28,-0.0079,0.456157,41.592712844107254
386,2021-09-29,52.16,0.017,0.42594299999999996,38.83777928861681
387,2021-09-30,51.08,-0.0208,0.406677,37.08109199530646
388,2021-10-01,51.77,0.0134,0.397075,36.205574950234
389,2021-10-04,51.65,-0.0025,0.386195,35.213528975396635
390,2021-10-05,52.13,0.0093,0.383682,34.98439188580414
