,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2018-04-26,31.21,,,
1,2018-04-27,30.52,-0.0224,,
2,2018-04-30,31.58,0.0341,,
3,2018-05-01,31.48,-0.0032,,
4,2018-05-02,32.75,0.0396,,
5,2018-05-03,33.79,0.0313,,
6,2018-05-04,34.09,0.0088,,
7,2018-05-07,33.99,-0.0029,,
8,2018-05-08,32.95,-0.0311,,
9,2018-05-09,33.47,0.0157,,
10,2018-05-10,33.13,-0.0102,,
11,2018-05-11,34.38,0.037,,
12,2018-05-14,36.48,0.0593,,
13,2018-05-15,36.95,0.0128,,
14,2018-05-16,37.2,0.0067,,
15,2018-05-17,38.33,0.0299,,
16,2018-05-18,36.82,-0.0402,,
17,2018-05-21,35.16,-0.0461,,
18,2018-05-22,34.32,-0.0242,,
19,2018-05-23,33.97,-0.0103,,
20,2018-05-24,33.71,-0.0077,,
21,2018-05-25,33.6,-0.0033,,
22,2018-05-29,34.24,0.0189,,
23,2018-05-30,34.67,0.0125,,
24,2018-05-31,34.52,-0.0043,,
25,2018-06-01,34.53,0.0003,,
26,2018-06-04,35.96,0.0406,,
27,2018-06-05,36.35,0.0108,,
28,2018-06-06,38.16,0.0486,,
29,2018-06-07,37.11,-0.0279,,
30,2018-06-08,37.4,0.0078,,
31,2018-06-11,36.49,-0.0246,,
32,2018-06-12,37.62,0.0305,,
33,2018-06-13,37.66,0.0011,,
34,2018-06-14,38.19,0.014,,
35,2018-06-15,38.45,0.0068,,
36,2018-06-18,39.78,0.034,,
37,2018-06-19,37.2,-0.0671,,
38,2018-06-20,37.01,-0.0051,,
39,2018-06-21,36.55,-0.0125,,
40,2018-06-22,35.75,-0.0221,,
41,2018-06-25,34.82,-0.0264,,
42,2018-06-26,35.03,0.006,,
43,2018-06-27,34.33,-0.0202,,
44,2018-06-28,34.04,-0.0085,,
45,2018-06-29,33.19,-0.0253,,
46,2018-07-02,32.82,-0.0112,,
47,2018-07-03,33.38,0.0169,,
48,2018-07-05,33.93,0.0163,,
49,2018-07-06,33.85,-0.0024,,
50,2018-07-09,32.92,-0.0279,0.403984,28.245456494985763
51,2018-07-10,33.12,0.0061,0.394378,27.573831244751016
52,2018-07-11,32.58,-0.0164,0.377833,26.417050090770807
53,2018-07-12,34.48,0.0567,0.371723,25.989855599938593
54,2018-07-13,34.66,0.0052,0.358163,25.041777482805223
55,2018-07-16,35.12,0.0132,0.35199800000000003,24.610737542382864
56,2018-07-17,34.89,-0.0066,0.34968000000000005,24.448669321474668
57,2018-07-18,34.9,0.0003,0.348302,24.35232332992527
58,2018-07-19,34.84,-0.0017,0.346606,24.233743648018326
59,2018-07-20,35.03,0.0054,0.340677,23.819204182200938
60,2018-07-23,35.06,0.0009,0.336811,23.548904034646544
61,2018-07-24,34.96,-0.0029,0.331143,23.15261297506602
62,2018-07-25,34.72,-0.0069,0.330141,23.082555875260145
63,2018-07-26,34.92,0.0057,0.329446,23.033963375893798
