,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,18.83,,,
1,2015-01-05,18.4,-0.0231,,
2,2015-01-06,17.91,-0.027,,
3,2015-01-07,18.42,0.0281,,
4,2015-01-08,18.61,0.0103,,
5,2015-01-09,18.55,-0.0032,,
6,2015-01-12,18.36,-0.0103,,
7,2015-01-13,18.43,0.0038,,
8,2015-01-14,18.26,-0.0093,,
9,2015-01-15,17.73,-0.0295,,
10,2015-01-16,18.33,0.0333,,
11,2015-01-20,18.14,-0.0104,,
12,2015-01-21,18.34,0.011,,
13,2015-01-22,18.36,0.0011,,
14,2015-01-23,18.45,0.0049,,
15,2015-01-26,18.58,0.007,,
16,2015-01-27,18.35,-0.0125,,
17,2015-01-28,18.12,-0.0126,,
18,2015-01-29,18.01,-0.0061,,
19,2015-01-30,17.99,-0.0011,,
20,2015-02-02,17.9,-0.005,,
21,2015-02-03,18.24,0.0188,,
22,2015-02-04,18.1,-0.0077,,
23,2015-02-05,17.21,-0.0504,,
24,2015-02-06,17.13,-0.0047,,
25,2015-02-09,17.16,0.0017,,
26,2015-02-10,17.24,0.0047,,
27,2015-02-11,17.61,0.0212,,
28,2015-02-12,17.92,0.0175,,
29,2015-02-13,18.02,0.0056,,
30,2015-02-17,17.94,-0.0044,,
31,2015-02-18,18.0,0.0033,,
32,2015-02-19,18.23,0.0127,,
33,2015-02-20,18.5,0.0147,,
34,2015-02-23,18.47,-0.0016,,
35,2015-02-24,18.67,0.0108,,
36,2015-02-25,18.73,0.0032,,
37,2015-02-26,18.51,-0.0118,,
38,2015-02-27,18.36,-0.0081,,
39,2015-03-02,18.59,0.0124,,
40,2015-03-03,18.45,-0.0076,,
41,2015-03-04,18.43,-0.0011,,
42,2015-03-05,18.21,-0.012,,
43,2015-03-06,18.09,-0.0066,,
44,2015-03-09,18.2,0.0061,,
45,2015-03-10,17.84,-0.02,,
46,2015-03-11,17.83,-0.0006,,
47,2015-03-12,17.95,0.0067,,
48,2015-03-13,18.11,0.0089,,
49,2015-03-16,18.52,0.0224,,
50,2015-03-17,18.39,-0.007,0.076184,7.535835336681824
51,2015-03-18,18.63,0.013,0.07423300000000001,7.342849739419063
52,2015-03-19,18.6,-0.0016,0.075047,7.423367564212445
53,2015-03-20,18.66,0.0032,0.075632,7.481233568517271
54,2015-03-23,18.52,-0.0075,0.076482,7.565312378190948
55,2015-03-24,18.49,-0.0016,0.076143,7.531779770568153
56,2015-03-25,17.99,-0.0274,0.075943,7.5119965212331685
57,2015-03-26,18.0,0.0006,0.07594000000000001,7.511699772493145
58,2015-03-27,18.08,0.0044,0.075735,7.491421941924786
59,2015-03-30,18.44,0.0197,0.07571699999999999,7.489641449484638
60,2015-03-31,18.44,0.0,0.075153,7.433852686359985
61,2015-04-01,18.39,-0.0027,0.07538299999999999,7.456603423095215
62,2015-04-02,18.5,0.006,0.075599,7.477969332376998
63,2015-04-06,18.46,-0.0022,0.075974,7.515062924880092
64,2015-04-07,18.65,0.0102,0.076196,7.537022331641923
65,2015-04-08,19.07,0.0223,0.076902,7.606857201794414
66,2015-04-09,19.02,-0.0026,0.079841,7.897572050771992
67,2015-04-10,19.06,0.0021,0.082784,8.188682564736272
68,2015-04-13,19.07,0.0005,0.085844,8.491366279561516
69,2015-04-14,18.65,-0.0223,0.088546,8.75863797807714
70,2015-04-15,18.73,0.0043,0.088885,8.792170585699937
71,2015-04-16,18.6,-0.007,0.08917199999999999,8.820559548495636
72,2015-04-17,18.43,-0.0092,0.089575,8.86042279590563
73,2015-04-20,18.64,0.0113,0.0895,8.853004077405009
74,2015-04-21,18.83,0.0101,0.08479300000000001,8.38740530430618
75,2015-04-22,19.3,0.0247,0.079212,7.835353731613471
76,2015-04-23,19.22,-0.0042,0.076137,7.531186273088102
77,2015-04-24,18.99,-0.012,0.072343,7.155898033203471
78,2015-04-27,18.76,-0.0122,0.070112,6.935215886871732
79,2015-04-28,19.42,0.0346,0.06888,6.813351070968235
80,2015-04-29,18.93,-0.0256,0.072145,7.136312616361837
81,2015-04-30,18.65,-0.0149,0.071239,7.046694496874363
82,2015-05-01,18.96,0.0165,0.06976600000000001,6.900990865522212
83,2015-05-04,18.87,-0.0048,0.07009,6.933039729444884
84,2015-05-05,18.59,-0.0149,0.070563,6.97982711412212
85,2015-05-06,18.64,0.0027,0.07051400000000001,6.974980218035049
86,2015-05-07,18.98,0.0181,0.07048700000000001,6.972309479374827
87,2015-05-08,19.18,0.0105,0.07123,7.045804250654289
88,2015-05-11,19.14,-0.0021,0.07305299999999999,7.22612856834266
89,2015-05-12,19.0,-0.0073,0.074267,7.34621289180601
90,2015-05-13,18.99,-0.0005,0.075033,7.421982736758996
91,2015-05-14,19.26,0.0141,0.075581,7.4761888399368495
92,2015-05-15,19.2,-0.0031,0.07731099999999999,7.647313946684454
93,2015-05-18,19.48,0.0145,0.07783999999999999,7.699640641175485
94,2015-05-19,19.4,-0.0041,0.079315,7.845542105020987
95,2015-05-20,19.56,0.0082,0.08044499999999999,7.9573174637636415
96,2015-05-21,19.82,0.0132,0.079995,7.91280515275993
97,2015-05-22,19.9,0.004,0.081093,8.021415191608988
98,2015-05-26,19.89,-0.0005,0.08321999999999999,8.231810048286533
99,2015-05-27,20.11,0.011,0.085701,8.477221256287002
100,2015-05-28,19.92,-0.0095,0.091571,9.057859624268762
101,2015-05-29,19.79,-0.0065,0.09460800000000001,9.358268265420483
102,2015-06-01,19.81,0.001,0.09709799999999999,9.604569719641022
103,2015-06-02,19.95,0.007,0.099369,9.829208515839758
104,2015-06-03,20.23,0.0139,0.10244,10.132980309378427
105,2015-06-04,20.13,-0.005,0.106853,10.569497705954833
106,2015-06-05,20.39,0.0128,0.10982900000000001,10.863872456059385
107,2015-06-08,20.0,-0.0193,0.11150299999999999,11.029458252993193
108,2015-06-09,19.71,-0.0146,0.109747,10.85576132383204
109,2015-06-10,19.84,0.0066,0.106699,10.554264603966896
110,2015-06-11,19.75,-0.0045,0.10614000000000001,10.498970422075619
111,2015-06-12,19.85,0.0051,0.104947,10.380963339792443
112,2015-06-15,19.82,-0.0015,0.10357200000000001,10.244953500614432
113,2015-06-16,19.86,0.002,0.10243000000000001,10.131991146911679
114,2015-06-17,20.02,0.008,0.100924,9.983023279419253
115,2015-06-18,20.16,0.007,0.100929,9.98351786065263
116,2015-06-19,20.07,-0.0045,0.10296699999999999,10.185109171376107
117,2015-06-22,20.15,0.004,0.104209,10.307963149746353
118,2015-06-23,20.05,-0.005,0.10578,10.463360573272647
119,2015-06-24,20.03,-0.001,0.106724,10.556737510133768
120,2015-06-25,20.14,0.0055,0.105696,10.455051608551955
121,2015-06-26,20.04,-0.005,0.105307,10.416573188595411
122,2015-06-29,19.49,-0.0278,0.10343,10.230907393586593
123,2015-06-30,19.66,0.0087,0.09900199999999999,9.792906253310063
124,2015-07-01,19.49,-0.0087,0.09589600000000001,9.485672391137776
125,2015-07-02,19.36,-0.0067,0.093796,9.277948273120451
126,2015-07-06,19.38,0.001,0.09368,9.26647398850616
127,2015-07-07,19.27,-0.0057,0.09333,9.231853302169938
128,2015-07-08,19.22,-0.0026,0.09232100000000001,9.13204680927495
