,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,67.1,,,
1,2015-01-05,67.48,0.0057,,
2,2015-01-06,66.45,-0.0153,,
3,2015-01-07,67.22,0.0115,,
4,2015-01-08,67.54,0.0046,,
5,2015-01-09,67.6,0.0009,,
6,2015-01-12,66.7,-0.0134,,
7,2015-01-13,66.33,-0.0055,,
8,2015-01-14,64.72,-0.0246,,
9,2015-01-15,64.61,-0.0016,,
10,2015-01-16,64.74,0.002,,
11,2015-01-20,65.13,0.006,,
12,2015-01-21,65.13,0.0,,
13,2015-01-22,67.43,0.0347,,
14,2015-01-23,67.39,-0.0006,,
15,2015-01-26,67.6,0.003,,
16,2015-01-27,66.52,-0.0161,,
17,2015-01-28,64.84,-0.0255,,
18,2015-01-29,65.64,0.0123,,
19,2015-01-30,64.94,-0.0107,,
20,2015-02-02,66.29,0.0207,,
21,2015-02-03,66.44,0.0022,,
22,2015-02-04,67.95,0.0224,,
23,2015-02-05,69.16,0.0177,,
24,2015-02-06,71.72,0.0364,,
25,2015-02-09,71.43,-0.0041,,
26,2015-02-10,72.04,0.0085,,
27,2015-02-11,72.18,0.002,,
28,2015-02-12,72.56,0.0053,,
29,2015-02-13,71.5,-0.0147,,
30,2015-02-17,71.72,0.003,,
31,2015-02-18,71.38,-0.0047,,
32,2015-02-19,71.7,0.0045,,
33,2015-02-20,71.75,0.0007,,
34,2015-02-23,72.32,0.0078,,
35,2015-02-24,73.22,0.0123,,
36,2015-02-25,73.49,0.0037,,
37,2015-02-26,73.1,-0.0053,,
38,2015-02-27,73.03,-0.0009,,
39,2015-03-02,73.94,0.0123,,
40,2015-03-03,73.92,-0.0002,,
41,2015-03-04,73.46,-0.0063,,
42,2015-03-05,73.71,0.0034,,
43,2015-03-06,73.02,-0.0094,,
44,2015-03-09,73.9,0.012,,
45,2015-03-10,72.93,-0.0132,,
46,2015-03-11,73.69,0.0103,,
47,2015-03-12,74.48,0.0107,,
48,2015-03-13,74.1,-0.0052,,
49,2015-03-16,76.57,0.0328,,
50,2015-03-17,76.33,-0.0031,0.6681050000000001,98.29182254574124
51,2015-03-18,75.75,-0.0076,0.686283,100.96617575404902
52,2015-03-19,76.27,0.0068,0.699746,102.94685664542585
53,2015-03-20,76.33,0.0008,0.710942,104.59401576745326
54,2015-03-23,75.57,-0.0101,0.7232980000000001,106.41183446268109
55,2015-03-24,74.49,-0.0144,0.7307680000000001,107.51082326596303
56,2015-03-25,72.14,-0.032,0.732518,107.76828382898088
57,2015-03-26,72.54,0.0055,0.724179,106.54144746612035
