,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,678.4,,,
1,2015-01-05,667.69,-0.0159,,
2,2015-01-06,664.38,-0.005,,
3,2015-01-07,694.26,0.044,,
4,2015-01-08,719.99,0.0364,,
5,2015-01-09,714.27,-0.008,,
6,2015-01-12,711.7,-0.0036,,
7,2015-01-13,714.06,0.0033,,
8,2015-01-14,709.74,-0.0061,,
9,2015-01-15,700.78,-0.0127,,
10,2015-01-16,711.11,0.0146,,
11,2015-01-20,705.78,-0.0075,,
12,2015-01-21,703.89,-0.0027,,
13,2015-01-22,713.44,0.0135,,
14,2015-01-23,713.69,0.0004,,
15,2015-01-26,723.43,0.0136,,
16,2015-01-27,721.33,-0.0029,,
17,2015-01-28,711.99,-0.013,,
18,2015-01-29,714.53,0.0036,,
19,2015-01-30,709.84,-0.0066,,
20,2015-02-02,712.55,0.0038,,
21,2015-02-03,726.63,0.0196,,
22,2015-02-04,676.0,-0.0722,,
23,2015-02-05,670.91,-0.0076,,
24,2015-02-06,659.92,-0.0165,,
25,2015-02-09,648.01,-0.0182,,
26,2015-02-10,665.03,0.0259,,
27,2015-02-11,669.64,0.0069,,
28,2015-02-12,670.29,0.001,,
29,2015-02-13,674.89,0.0068,,
30,2015-02-17,670.93,-0.0059,,
31,2015-02-18,674.57,0.0054,,
32,2015-02-19,673.28,-0.0019,,
33,2015-02-20,674.0,0.0011,,
34,2015-02-23,671.17,-0.0042,,
35,2015-02-24,667.91,-0.0049,,
36,2015-02-25,675.52,0.0113,,
37,2015-02-26,670.29,-0.0078,,
38,2015-02-27,664.97,-0.008,,
39,2015-03-02,670.86,0.0088,,
40,2015-03-03,668.43,-0.0036,,
41,2015-03-04,664.16,-0.0064,,
42,2015-03-05,670.49,0.0095,,
43,2015-03-06,658.68,-0.0178,,
44,2015-03-09,660.34,0.0025,,
45,2015-03-10,654.74,-0.0085,,
46,2015-03-11,660.77,0.0092,,
47,2015-03-12,670.39,0.0145,,
48,2015-03-13,674.51,0.0061,,
49,2015-03-16,678.88,0.0065,,
50,2015-03-17,672.0,-0.0102,4.33535,396.46403651639196
51,2015-03-18,673.28,0.0019,4.3461099999999995,397.4480292812013
52,2015-03-19,680.67,0.0109,4.332191,396.1751486777272
53,2015-03-20,686.65,0.0087,4.29652,392.91306634375735
54,2015-03-23,687.34,0.001,4.289706,392.2899318921392
55,2015-03-24,680.81,-0.0095,4.181917,382.432720356262
56,2015-03-25,665.97,-0.022,4.101828,375.1086500457769
57,2015-03-26,658.82,-0.0108,4.05677,370.98813461856673
58,2015-03-27,662.72,0.0059,4.015884,367.24914501057447
59,2015-03-30,655.36,-0.0112,3.9735950000000004,363.3818522567619
60,2015-03-31,650.54,-0.0074,3.994083,365.25546227213493
