,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,55.97,,,
1,2015-01-05,55.74,-0.004,,
2,2015-01-06,56.24,0.0089,,
3,2015-01-07,57.79,0.0271,,
4,2015-01-08,57.19,-0.0105,,
5,2015-01-09,57.76,0.01,,
6,2015-01-12,58.55,0.0136,,
7,2015-01-13,57.56,-0.017,,
8,2015-01-14,58.01,0.0079,,
9,2015-01-15,58.64,0.0108,,
10,2015-01-16,58.99,0.0058,,
11,2015-01-20,58.45,-0.0091,,
12,2015-01-21,59.05,0.0101,,
13,2015-01-22,59.65,0.0102,,
14,2015-01-23,59.27,-0.0064,,
15,2015-01-26,60.18,0.0153,,
16,2015-01-27,60.07,-0.0019,,
17,2015-01-28,59.4,-0.0113,,
18,2015-01-29,59.05,-0.0059,,
19,2015-01-30,57.31,-0.0299,,
20,2015-02-02,57.02,-0.0049,,
21,2015-02-03,57.68,0.0114,,
22,2015-02-04,57.26,-0.0072,,
23,2015-02-05,57.46,0.0035,,
24,2015-02-06,55.92,-0.0272,,
25,2015-02-09,55.8,-0.0021,,
26,2015-02-10,55.91,0.0019,,
27,2015-02-11,55.77,-0.0024,,
28,2015-02-12,56.73,0.0169,,
29,2015-02-13,55.96,-0.0136,,
30,2015-02-17,55.82,-0.0025,,
31,2015-02-18,56.39,0.0102,,
32,2015-02-19,55.31,-0.0194,,
33,2015-02-20,56.28,0.0175,,
34,2015-02-23,55.97,-0.0056,,
35,2015-02-24,54.52,-0.0263,,
36,2015-02-25,54.2,-0.0059,,
37,2015-02-26,53.83,-0.0069,,
38,2015-02-27,54.14,0.0058,,
39,2015-03-02,54.38,0.0045,,
40,2015-03-03,54.39,0.0001,,
41,2015-03-04,54.01,-0.007,,
42,2015-03-05,54.71,0.0129,,
43,2015-03-06,54.49,-0.004,,
44,2015-03-09,55.54,0.0191,,
45,2015-03-10,56.0,0.0083,,
46,2015-03-11,55.54,-0.0083,,
47,2015-03-12,56.25,0.0126,,
48,2015-03-13,56.25,0.0,,
49,2015-03-16,57.01,0.0134,,
50,2015-03-17,57.0,-0.0001,0.32844700000000004,50.05656710699763
51,2015-03-18,57.97,0.0168,0.32789700000000005,49.97274502334685
52,2015-03-19,57.91,-0.001,0.328427,50.05351903122851
53,2015-03-20,59.95,0.0347,0.329504,50.21765791139559
54,2015-03-23,59.85,-0.0017,0.339354,51.71883522768688
55,2015-03-24,59.2,-0.0109,0.34881799999999996,53.16118468163417
56,2015-03-25,58.32,-0.0149,0.35360199999999997,53.890284405607524
57,2015-03-26,58.03,-0.005,0.35289299999999996,53.78223011959224
58,2015-03-27,58.15,0.0019,0.353761,53.914516607972025
59,2015-03-30,59.09,0.016,0.354085,53.96389543543176
60,2015-03-31,58.64,-0.0077,0.35586199999999996,54.23471696751801
61,2015-04-01,58.26,-0.0064,0.35448599999999997,54.0250093546026
62,2015-04-02,58.93,0.0114,0.35391599999999995,53.93813919518269
63,2015-04-06,59.37,0.0075,0.35340499999999997,53.860260859281695
64,2015-04-07,58.91,-0.0077,0.351891,53.62952152355937
65,2015-04-08,59.2,0.0048,0.35025300000000004,53.379884118068496
66,2015-04-09,57.6,-0.0274,0.344376,52.48420705331276
67,2015-04-10,57.51,-0.0016,0.33373800000000003,50.86293555171817
68,2015-04-13,57.05,-0.008,0.32685400000000003,49.81378787198727
69,2015-04-14,57.5,0.0079,0.32110700000000003,48.93792329973082
70,2015-04-15,56.92,-0.0101,0.321392,48.98135837944077
71,2015-04-16,57.25,0.0057,0.32134700000000005,48.97450020896026
72,2015-04-17,57.01,-0.0041,0.32065800000000005,48.8694939987141
73,2015-04-20,57.07,0.0009,0.320445,48.83703199177296
74,2015-04-21,57.6,0.0093,0.319981,48.7663166339294
