,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,21.83,,,
1,2015-01-05,21.4,-0.0201,,
2,2015-01-06,21.39,-0.0004,,
3,2015-01-07,21.59,0.0092,,
4,2015-01-08,21.75,0.0077,,
5,2015-01-09,21.97,0.0101,,
6,2015-01-12,22.18,0.0093,,
7,2015-01-13,22.22,0.0018,,
8,2015-01-14,22.08,-0.0064,,
9,2015-01-15,21.67,-0.0184,,
10,2015-01-16,21.89,0.0098,,
11,2015-01-20,22.2,0.014,,
12,2015-01-21,22.01,-0.0082,,
13,2015-01-22,22.54,0.0234,,
14,2015-01-23,22.31,-0.0102,,
15,2015-01-26,22.12,-0.0085,,
16,2015-01-27,21.27,-0.039,,
17,2015-01-28,21.2,-0.0034,,
18,2015-01-29,21.52,0.0152,,
19,2015-01-30,20.85,-0.0317,,
20,2015-02-02,21.22,0.0173,,
21,2015-02-03,21.45,0.0108,,
22,2015-02-04,21.11,-0.016,,
23,2015-02-05,21.56,0.0211,,
24,2015-02-06,21.54,-0.0007,,
25,2015-02-09,21.45,-0.0044,,
26,2015-02-10,21.74,0.0136,,
27,2015-02-11,21.29,-0.0206,,
28,2015-02-12,23.3,0.0898,,
29,2015-02-13,23.27,-0.001,,
30,2015-02-17,23.18,-0.0041,,
31,2015-02-18,23.32,0.0061,,
32,2015-02-19,23.18,-0.0061,,
33,2015-02-20,23.41,0.0102,,
34,2015-02-23,23.43,0.0007,,
35,2015-02-24,23.43,0.0,,
36,2015-02-25,23.32,-0.0047,,
37,2015-02-26,23.65,0.0141,,
38,2015-02-27,23.33,-0.0135,,
39,2015-03-02,23.87,0.0228,,
40,2015-03-03,23.36,-0.0218,,
41,2015-03-04,23.19,-0.0071,,
42,2015-03-05,23.17,-0.001,,
43,2015-03-06,22.88,-0.0127,,
44,2015-03-09,23.22,0.0148,,
45,2015-03-10,22.66,-0.0241,,
46,2015-03-11,22.35,-0.0141,,
47,2015-03-12,22.33,-0.0007,,
48,2015-03-13,22.09,-0.0107,,
49,2015-03-16,22.38,0.0128,,
50,2015-03-17,22.26,-0.0053,0.158701,21.03145605017544
51,2015-03-18,22.26,0.0,0.158156,20.959231278136535
52,2015-03-19,22.35,0.0039,0.156107,20.68769263977377
53,2015-03-20,22.49,0.0063,0.153899,20.395082921128097
54,2015-03-23,22.47,-0.0011,0.15245699999999998,20.203985450889384
55,2015-03-24,22.14,-0.0145,0.151502,20.077426446674433
56,2015-03-25,21.71,-0.0195,0.15123,20.041380321913735
57,2015-03-26,21.42,-0.0136,0.152241,20.17536058710883
58,2015-03-27,21.45,0.0015,0.154397,20.461079134844375
59,2015-03-30,21.86,0.019,0.156184,20.697896873621467
60,2015-03-31,21.94,0.0033,0.15565099999999998,20.627262371792597
61,2015-04-01,21.71,-0.0102,0.155548,20.613612552489833
62,2015-04-02,21.62,-0.0044,0.156474,20.736328403697215
63,2015-04-06,21.69,0.0033,0.157475,20.868983443717287
64,2015-04-07,21.82,0.0062,0.158362,20.986530916742066
65,2015-04-08,21.95,0.0058,0.15894,21.06312893185855
66,2015-04-09,22.02,0.0029,0.159157,21.091886318156607
67,2015-04-10,22.34,0.0147,0.156781,20.777012816570505
68,2015-04-13,22.29,-0.0021,0.153666,20.364205174549994
69,2015-04-14,22.16,-0.0061,0.15198,20.140772210040662
70,2015-04-15,22.51,0.0157,0.14627700000000002,19.384996292723503
71,2015-04-16,22.79,0.0123,0.142658,18.9053973018817
72,2015-04-17,22.25,-0.0241,0.140432,18.610402177920978
73,2015-04-20,22.69,0.0199,0.135624,17.973233913768617
74,2015-04-21,22.86,0.0073,0.133389,17.677046087150377
75,2015-04-22,22.8,-0.0024,0.131131,17.377810242629568
76,2015-04-23,22.85,0.0021,0.12796,16.957581339628916
