,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,57.44,,,
1,2015-01-05,56.74,-0.0122,,
2,2015-01-06,56.45,-0.0051,,
3,2015-01-07,56.68,0.0041,,
4,2015-01-08,57.35,0.0117,,
5,2015-01-09,56.71,-0.0113,,
6,2015-01-12,56.71,0.0,,
7,2015-01-13,56.66,-0.0008,,
8,2015-01-14,56.67,0.0001,,
9,2015-01-15,57.2,0.0094,,
10,2015-01-16,57.64,0.0076,,
11,2015-01-20,58.09,0.0078,,
12,2015-01-21,58.76,0.0114,,
13,2015-01-22,58.35,-0.007,,
14,2015-01-23,58.63,0.0047,,
15,2015-01-26,58.51,-0.002,,
16,2015-01-27,58.54,0.0006,,
17,2015-01-28,57.71,-0.0144,,
18,2015-01-29,58.66,0.0164,,
19,2015-01-30,57.0,-0.0288,,
20,2015-02-02,57.61,0.0107,,
21,2015-02-03,58.25,0.011,,
22,2015-02-04,57.54,-0.0122,,
23,2015-02-05,58.33,0.0136,,
24,2015-02-06,56.12,-0.0386,,
25,2015-02-09,55.76,-0.0064,,
26,2015-02-10,56.82,0.0188,,
27,2015-02-11,54.94,-0.0337,,
28,2015-02-12,54.65,-0.0054,,
29,2015-02-13,54.05,-0.011,,
30,2015-02-17,54.25,0.0037,,
31,2015-02-18,55.35,0.0202,,
32,2015-02-19,54.7,-0.0119,,
33,2015-02-20,54.85,0.0027,,
34,2015-02-23,54.78,-0.0012,,
35,2015-02-24,54.9,0.0022,,
36,2015-02-25,54.37,-0.0096,,
37,2015-02-26,53.8,-0.0105,,
38,2015-02-27,53.91,0.0019,,
39,2015-03-02,52.59,-0.0249,,
40,2015-03-03,53.07,0.0092,,
41,2015-03-04,52.8,-0.0051,,
42,2015-03-05,53.23,0.008,,
43,2015-03-06,52.03,-0.0227,,
44,2015-03-09,52.02,-0.0001,,
45,2015-03-10,51.79,-0.0045,,
46,2015-03-11,51.41,-0.0074,,
47,2015-03-12,52.21,0.0154,,
48,2015-03-13,51.57,-0.0124,,
49,2015-03-16,52.33,0.0147,,
50,2015-03-17,52.34,0.0001,0.43302,81.883647075008
51,2015-03-18,53.78,0.0272,0.43886400000000003,82.9887416052984
52,2015-03-19,53.54,-0.0045,0.43995199999999995,83.19448131251193
53,2015-03-20,53.98,0.0082,0.442027,83.58686172838335
54,2015-03-23,53.99,0.0001,0.442166,83.61314648877185
55,2015-03-24,53.44,-0.0103,0.440081,83.21887508294442
56,2015-03-25,52.87,-0.0107,0.44099499999999997,83.39171156492344
57,2015-03-26,52.62,-0.0048,0.443441,83.85424770816272
58,2015-03-27,52.64,0.0004,0.44648299999999996,84.42948685277999
59,2015-03-30,53.2,0.0106,0.448854,84.87784057134921
60,2015-03-31,53.0,-0.0038,0.447027,84.53235670638678
61,2015-04-01,53.48,0.009,0.443309,83.82928664074343
62,2015-04-02,53.53,0.001,0.435193,82.29455919244828
63,2015-04-06,54.37,0.0157,0.421595,79.72319105027019
64,2015-04-07,53.8,-0.0105,0.40870399999999996,77.28551589798177
65,2015-04-08,53.65,-0.0028,0.39305599999999996,74.32649481482227
66,2015-04-09,53.37,-0.0053,0.377011,71.29240143040931
67,2015-04-10,53.77,0.0074,0.35936300000000004,67.95518235604845
68,2015-04-13,53.16,-0.0113,0.34642,65.5076740559888
69,2015-04-14,53.56,0.0076,0.324097,61.28641717719474
70,2015-04-15,54.16,0.011,0.313816,59.34229040342411
71,2015-04-16,53.69,-0.0086,0.29735,56.228586341863256
72,2015-04-17,53.45,-0.0046,0.272053,51.444949050152765
73,2015-04-20,54.4,0.0178,0.25185199999999996,47.62496024002335
74,2015-04-21,53.91,-0.0091,0.21845099999999998,41.30886468796492
75,2015-04-22,54.23,0.0059,0.20766400000000002,39.269053822420354
76,2015-04-23,54.74,0.0093,0.199721,37.767040500364125
77,2015-04-24,54.99,0.0046,0.181496,34.320711305541664
78,2015-04-27,54.27,-0.0133,0.181799,34.378008301208666
79,2015-04-28,54.4,0.0023,0.180347,34.10343655959648
80,2015-04-29,54.07,-0.0061,0.18135300000000001,34.29367014917077
81,2015-04-30,53.6,-0.0086,0.180887,34.205550017220844
