,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,76.24,,,
1,2015-01-05,74.61,-0.0216,,
2,2015-01-06,73.98,-0.0084,,
3,2015-01-07,73.67,-0.0043,,
4,2015-01-08,74.64,0.0132,,
5,2015-01-09,73.92,-0.0098,,
6,2015-01-12,73.74,-0.0023,,
7,2015-01-13,74.12,0.0051,,
8,2015-01-14,74.63,0.0068,,
9,2015-01-15,75.25,0.0083,,
10,2015-01-16,75.34,0.0011,,
11,2015-01-20,75.19,-0.0019,,
12,2015-01-21,75.62,0.0057,,
13,2015-01-22,77.25,0.0212,,
14,2015-01-23,76.25,-0.013,,
15,2015-01-26,76.31,0.0009,,
16,2015-01-27,74.25,-0.0274,,
17,2015-01-28,72.99,-0.0171,,
18,2015-01-29,74.14,0.0156,,
19,2015-01-30,73.52,-0.0084,,
20,2015-02-02,74.77,0.0169,,
21,2015-02-03,76.49,0.0227,,
22,2015-02-04,76.53,0.0006,,
23,2015-02-05,76.91,0.0049,,
24,2015-02-06,76.79,-0.0016,,
25,2015-02-09,76.76,-0.0003,,
26,2015-02-10,76.59,-0.0023,,
27,2015-02-11,76.65,0.0008,,
28,2015-02-12,77.13,0.0062,,
29,2015-02-13,77.7,0.0075,,
30,2015-02-17,77.6,-0.0013,,
31,2015-02-18,80.04,0.031,,
32,2015-02-19,79.15,-0.0113,,
33,2015-02-20,79.77,0.0078,,
34,2015-02-23,78.52,-0.0158,,
35,2015-02-24,78.96,0.0057,,
36,2015-02-25,79.07,0.0013,,
37,2015-02-26,78.69,-0.0048,,
38,2015-02-27,78.19,-0.0064,,
39,2015-03-02,78.56,0.0047,,
40,2015-03-03,78.77,0.0026,,
41,2015-03-04,78.06,-0.009,,
42,2015-03-05,78.07,0.0001,,
43,2015-03-06,77.89,-0.0022,,
44,2015-03-09,79.41,0.0193,,
45,2015-03-10,78.52,-0.0113,,
46,2015-03-11,77.87,-0.0084,,
47,2015-03-12,77.82,-0.0006,,
48,2015-03-13,77.23,-0.0077,,
49,2015-03-16,76.93,-0.0039,,
50,2015-03-17,76.49,-0.0057,0.362187,39.24321774427444
51,2015-03-18,77.08,0.0078,0.362052,39.22859039874443
52,2015-03-19,76.01,-0.014,0.357914,38.78023517057278
53,2015-03-20,76.96,0.0124,0.350673,37.99566769662619
54,2015-03-23,77.14,0.0024,0.340466,36.88973202384995
55,2015-03-24,76.35,-0.0103,0.33541200000000004,36.342127547489504
56,2015-03-25,76.2,-0.0019,0.32595599999999997,35.317563256143146
57,2015-03-26,75.95,-0.0033,0.31490100000000004,34.11974618329694
58,2015-03-27,76.0,0.0006,0.306516,33.211225499821985
59,2015-03-30,76.99,0.0131,0.300939,32.6069536033712
60,2015-03-31,76.2,-0.0104,0.297085,32.189369976166375
61,2015-04-01,76.12,-0.001,0.294346,31.89259738796866
62,2015-04-02,76.45,0.0043,0.291049,31.535365104913573
63,2015-04-06,76.88,0.0057,0.28885500000000003,31.297643652374035
64,2015-04-07,76.85,-0.0005,0.288868,31.29905221157322
65,2015-04-08,76.33,-0.0067,0.288039,31.209229474948206
66,2015-04-09,76.86,0.0068,0.28800000000000003,31.205003797350653
67,2015-04-10,77.39,0.007,0.277303,30.04597627783586
68,2015-04-13,76.46,-0.0121,0.252683,27.378381855992895
69,2015-04-14,76.4,-0.0009,0.238961,25.891593445898295
70,2015-04-15,77.63,0.016,0.216913,23.502677044078894
71,2015-04-16,77.28,-0.0045,0.20520700000000003,22.23432366056575
72,2015-04-17,76.04,-0.0162,0.203727,22.0739646132738
73,2015-04-20,77.25,0.0158,0.20571899999999999,22.289799222872144
74,2015-04-21,76.4,-0.0111,0.205329,22.247542446896567
75,2015-04-22,76.55,0.002,0.206476,22.37182070854782
76,2015-04-23,76.98,0.0055,0.20703499999999997,22.432388754112814
77,2015-04-24,76.8,-0.0023,0.206187,22.340507354042842
78,2015-04-27,77.27,0.0061,0.20581700000000003,22.30041759221986
79,2015-04-28,77.24,-0.0004,0.20571,22.28882406650348
80,2015-04-29,78.09,0.011,0.205586,22.275388578757397
81,2015-04-30,78.65,0.0072,0.20637699999999998,22.361093988492478
82,2015-05-01,79.41,0.0096,0.196312,21.270544116199652
83,2015-05-04,78.98,-0.0055,0.198215,21.476735512818955
84,2015-05-05,78.32,-0.0083,0.192185,20.823380745811924
85,2015-05-06,78.18,-0.0019,0.19140100000000002,20.73843379103025
86,2015-05-07,77.88,-0.0038,0.187634,20.330276675389207
87,2015-05-08,78.11,0.0029,0.18218,19.73933191597688
88,2015-05-11,79.19,0.0138,0.179592,19.45892028463124
89,2015-05-12,78.56,-0.008,0.18522200000000003,20.0689347685864
90,2015-05-13,78.76,0.0025,0.185224,20.069151470001653
91,2015-05-14,80.12,0.0172,0.185185,20.064925792404097
92,2015-05-15,77.45,-0.034,0.19911500000000001,21.574251149685676
93,2015-05-18,77.49,0.0006,0.198205,21.475652005742656
94,2015-05-19,77.48,-0.0001,0.197692,21.420068092728627
95,2015-05-20,77.32,-0.0021,0.189398,20.52140732364798
96,2015-05-21,77.73,0.0054,0.186429,20.199714072695432
97,2015-05-22,81.11,0.0426,0.186152,20.169700926682008
98,2015-05-26,81.5,0.0048,0.21258500000000002,23.033735181457597
99,2015-05-27,81.99,0.006,0.240334,26.040358967473857
100,2015-05-28,81.24,-0.0092,0.269516,29.20224931752346
101,2015-05-29,81.4,0.0019,0.285853,30.972374828069707
102,2015-06-01,80.5,-0.0112,0.30295500000000003,32.82538862995266
103,2015-06-02,80.59,0.0012,0.308317,33.406365124263054
104,2015-06-03,80.58,-0.0001,0.316385,34.2805386334194
105,2015-06-04,79.83,-0.0094,0.323968,35.10216204937533
106,2015-06-05,80.05,0.0028,0.32479399999999997,35.19165973387745
107,2015-06-08,79.6,-0.0057,0.325408,35.258187068362076
108,2015-06-09,79.81,0.0026,0.322417,34.93411010184168
109,2015-06-10,80.76,0.0118,0.319717,34.64156319124152
110,2015-06-11,80.99,0.0029,0.32486800000000005,35.199677686242055
111,2015-06-12,80.43,-0.007,0.327326,35.466003725595826
112,2015-06-15,80.34,-0.0011,0.325475,35.265446565773274
113,2015-06-16,80.04,-0.0037,0.324148,35.12166517674867
