,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,22.91,,,
1,2015-01-05,22.43,-0.0211,,
2,2015-01-06,22.13,-0.0136,,
3,2015-01-07,23.26,0.0502,,
4,2015-01-08,23.8,0.0226,,
5,2015-01-09,23.91,0.005,,
6,2015-01-12,23.93,0.0008,,
7,2015-01-13,22.78,-0.0495,,
8,2015-01-14,23.07,0.0128,,
9,2015-01-15,21.27,-0.0812,,
10,2015-01-16,21.8,0.0247,,
11,2015-01-20,21.06,-0.0347,,
12,2015-01-21,21.48,0.0198,,
13,2015-01-22,21.74,0.0119,,
14,2015-01-23,21.2,-0.0252,,
15,2015-01-26,22.37,0.0539,,
16,2015-01-27,22.17,-0.0091,,
17,2015-01-28,21.91,-0.0117,,
18,2015-01-29,22.8,0.0394,,
19,2015-01-30,22.5,-0.013,,
20,2015-02-02,22.8,0.0134,,
21,2015-02-03,23.37,0.0246,,
22,2015-02-04,23.84,0.0196,,
23,2015-02-05,23.72,-0.005,,
24,2015-02-06,24.37,0.0272,,
25,2015-02-09,24.33,-0.0015,,
26,2015-02-10,24.75,0.0169,,
27,2015-02-11,24.69,-0.0022,,
28,2015-02-12,25.15,0.0185,,
29,2015-02-13,25.01,-0.0055,,
30,2015-02-17,25.18,0.0066,,
31,2015-02-18,25.04,-0.0055,,
32,2015-02-19,25.14,0.004,,
33,2015-02-20,25.13,-0.0004,,
34,2015-02-23,24.97,-0.0066,,
35,2015-02-24,25.42,0.0179,,
36,2015-02-25,25.19,-0.0091,,
37,2015-02-26,25.04,-0.0059,,
38,2015-02-27,25.12,0.0033,,
39,2015-03-02,24.97,-0.0062,,
40,2015-03-03,24.44,-0.0212,,
41,2015-03-04,24.72,0.0112,,
42,2015-03-05,24.86,0.0056,,
43,2015-03-06,24.08,-0.032,,
44,2015-03-09,24.11,0.0015,,
45,2015-03-10,23.84,-0.0115,,
46,2015-03-11,23.91,0.0031,,
47,2015-03-12,24.47,0.0232,,
48,2015-03-13,24.24,-0.0094,,
49,2015-03-16,24.49,0.0102,,
50,2015-03-17,24.25,-0.0098,0.244303,23.032937621639665
51,2015-03-18,24.93,0.0277,0.243753,22.981083507314825
52,2015-03-19,24.79,-0.0056,0.24321,22.929889354445027
53,2015-03-20,25.14,0.014,0.24039200000000002,22.66420772868611
54,2015-03-23,24.95,-0.0077,0.242452,22.85842495688461
55,2015-03-24,25.23,0.0114,0.24419899999999997,23.023132480021875
56,2015-03-25,24.76,-0.0191,0.246889,23.276746239174283
57,2015-03-26,24.55,-0.0082,0.24793199999999999,23.375080495975755
58,2015-03-27,25.23,0.0273,0.246407,23.23130317898415
59,2015-03-30,25.77,0.0209,0.247471,23.33161732015075
60,2015-03-31,26.2,0.0166,0.240107,22.63733786944505
61,2015-04-01,25.99,-0.0081,0.238153,22.45311434328007
62,2015-04-02,26.69,0.0265,0.226891,21.39133064232304
63,2015-04-06,26.41,-0.0104,0.222508,20.978100491257983
64,2015-04-07,25.79,-0.024,0.21676600000000001,20.436743537706636
65,2015-04-08,26.26,0.018,0.199724,18.830020235299447
66,2015-04-09,26.2,-0.0021,0.19531400000000002,18.41424451862208
67,2015-04-10,26.32,0.0046,0.18733,17.661511339041102
68,2015-04-13,26.11,-0.0081,0.175351,16.53212872904605
69,2015-04-14,26.44,0.0126,0.169564,15.98652916614085
70,2015-04-15,26.72,0.0104,0.161443,15.220879598082597
71,2015-04-16,26.18,-0.0202,0.156918,14.794261657500943
72,2015-04-17,26.01,-0.0067,0.15291,14.416386584384641
73,2015-04-20,25.8,-0.0082,0.150752,14.212929895815535
74,2015-04-21,26.27,0.0184,0.146472,13.809410606160403
75,2015-04-22,24.87,-0.0551,0.147585,13.91434447751231
76,2015-04-23,24.06,-0.0331,0.145875,13.753125322065985
77,2015-04-24,24.44,0.0159,0.148762,14.025312282167473
78,2015-04-27,24.16,-0.0117,0.149571,14.101584970328922
79,2015-04-28,24.29,0.0053,0.152281,14.357084333638596
80,2015-04-29,23.86,-0.0176,0.15418900000000002,14.536970970241867
81,2015-04-30,23.37,-0.021,0.15825699999999998,14.920502855829966
82,2015-05-01,23.73,0.0152,0.165469,15.600451714940439
83,2015-05-04,23.57,-0.0066,0.16972,16.001236878567532
84,2015-05-05,23.16,-0.0173,0.174646,16.465661182502387
85,2015-05-06,23.25,0.0036,0.18202400000000002,17.161260556118176
86,2015-05-07,23.66,0.0177,0.18790800000000002,17.71600529918612
87,2015-05-08,23.85,0.0077,0.191174,18.023924458067818
88,2015-05-11,23.4,-0.0187,0.193482,18.241523177816422
89,2015-05-12,23.4,0.0,0.197732,18.642214061235656
90,2015-05-13,23.31,-0.0038,0.20178000000000001,19.02386034266649
91,2015-05-14,23.78,0.02,0.20579899999999998,19.402772498069286
92,2015-05-15,24.26,0.02,0.20775300000000002,19.586996024234274
93,2015-05-18,24.4,0.0057,0.20829699999999998,19.638284457311933
94,2015-05-19,24.69,0.0116,0.207622,19.574645317004173
