,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,49.98,,,
1,2015-01-05,48.23,-0.0355,,
2,2015-01-06,48.01,-0.0048,,
3,2015-01-07,48.4,0.0082,,
4,2015-01-08,49.39,0.0202,,
5,2015-01-09,48.35,-0.0212,,
6,2015-01-12,47.73,-0.013,,
7,2015-01-13,48.01,0.0059,,
8,2015-01-14,47.76,-0.0054,,
9,2015-01-15,47.62,-0.0028,,
10,2015-01-16,48.3,0.0142,,
11,2015-01-20,48.69,0.008,,
12,2015-01-21,49.78,0.0221,,
13,2015-01-22,50.02,0.0047,,
14,2015-01-23,48.44,-0.0322,,
15,2015-01-26,49.27,0.0171,,
16,2015-01-27,49.05,-0.0044,,
17,2015-01-28,47.63,-0.0294,,
18,2015-01-29,48.7,0.0222,,
19,2015-01-30,48.63,-0.0014,,
20,2015-02-02,50.25,0.0329,,
21,2015-02-03,51.26,0.0198,,
22,2015-02-04,50.17,-0.0215,,
23,2015-02-05,50.5,0.0065,,
24,2015-02-06,50.07,-0.0086,,
25,2015-02-09,50.71,0.0127,,
26,2015-02-10,50.3,-0.0081,,
27,2015-02-11,50.05,-0.005,,
28,2015-02-12,50.88,0.0165,,
29,2015-02-13,51.66,0.0153,,
30,2015-02-17,51.58,-0.0016,,
31,2015-02-18,51.28,-0.0059,,
32,2015-02-19,51.59,0.0061,,
33,2015-02-20,51.73,0.0027,,
34,2015-02-23,51.19,-0.0105,,
35,2015-02-24,51.42,0.0046,,
36,2015-02-25,51.26,-0.0031,,
37,2015-02-26,50.63,-0.0125,,
38,2015-02-27,50.3,-0.0065,,
39,2015-03-02,50.55,0.005,,
40,2015-03-03,50.35,-0.0039,,
41,2015-03-04,50.0,-0.007,,
42,2015-03-05,50.58,0.0115,,
43,2015-03-06,49.36,-0.0244,,
44,2015-03-09,50.06,0.014,,
45,2015-03-10,48.98,-0.0217,,
46,2015-03-11,49.2,0.0044,,
47,2015-03-12,50.21,0.0204,,
48,2015-03-13,49.74,-0.0095,,
49,2015-03-16,49.82,0.0017,,
50,2015-03-17,48.42,-0.0286,0.230599,28.181453636746955
51,2015-03-18,50.33,0.0387,0.23329799999999998,28.511297839738205
52,2015-03-19,49.66,-0.0134,0.230196,28.13220309439591
53,2015-03-20,49.77,0.0022,0.225061,27.50465586121322
54,2015-03-23,48.47,-0.0266,0.221748,27.09977485176156
55,2015-03-24,48.76,0.006,0.22447099999999998,27.432552089533022
56,2015-03-25,48.48,-0.0057,0.222763,27.22381778100799
57,2015-03-26,48.52,0.0007,0.218385,26.688783353184462
58,2015-03-27,48.69,0.0036,0.21566400000000002,26.356250534978017
59,2015-03-30,49.22,0.0107,0.210339,25.705483443118652
60,2015-03-31,48.25,-0.0198,0.20196899999999998,24.682587563519988
61,2015-04-01,48.46,0.0043,0.20227699999999998,24.720228176532697
62,2015-04-02,48.64,0.0037,0.203389,24.856125454682484
63,2015-04-06,49.84,0.0242,0.206128,25.190858048974093
64,2015-04-07,49.82,-0.0003,0.206084,25.185480818543702
