,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,87.66,,,
1,2015-01-05,88.76,0.0124,,
2,2015-01-06,87.66,-0.0124,,
3,2015-01-07,90.65,0.0335,,
4,2015-01-08,93.69,0.0331,,
5,2015-01-09,93.43,-0.0028,,
6,2015-01-12,94.94,0.016,,
7,2015-01-13,94.55,-0.0041,,
8,2015-01-14,91.96,-0.0278,,
9,2015-01-15,90.02,-0.0213,,
10,2015-01-16,91.57,0.017,,
11,2015-01-20,90.65,-0.01,,
12,2015-01-21,90.53,-0.0013,,
13,2015-01-22,92.05,0.0166,,
14,2015-01-23,91.2,-0.0092,,
15,2015-01-26,91.8,0.0065,,
16,2015-01-27,91.97,0.0019,,
17,2015-01-28,92.87,0.0097,,
18,2015-01-29,94.17,0.0139,,
19,2015-01-30,92.09,-0.0224,,
20,2015-02-02,91.18,-0.0098,,
21,2015-02-03,92.38,0.0131,,
22,2015-02-04,92.71,0.0035,,
23,2015-02-05,92.73,0.0002,,
24,2015-02-06,92.84,0.0012,,
25,2015-02-09,91.7,-0.0124,,
26,2015-02-10,93.83,0.0231,,
27,2015-02-11,93.39,-0.0048,,
28,2015-02-12,93.49,0.0011,,
29,2015-02-13,92.97,-0.0056,,
30,2015-02-17,93.59,0.0067,,
31,2015-02-18,94.69,0.0117,,
32,2015-02-19,94.6,-0.001,,
33,2015-02-20,95.29,0.0073,,
34,2015-02-23,97.15,0.0193,,
35,2015-02-24,96.25,-0.0093,,
36,2015-02-25,96.62,0.0039,,
37,2015-02-26,96.69,0.0007,,
38,2015-02-27,94.39,-0.024,,
39,2015-03-02,97.1,0.0283,,
40,2015-03-03,95.6,-0.0155,,
41,2015-03-04,96.02,0.0044,,
42,2015-03-05,96.11,0.001,,
43,2015-03-06,93.78,-0.0246,,
44,2015-03-09,94.23,0.0048,,
45,2015-03-10,92.07,-0.0233,,
46,2015-03-11,91.55,-0.0057,,
47,2015-03-12,93.93,0.0257,,
48,2015-03-13,93.0,-0.01,,
49,2015-03-16,94.69,0.018,,
50,2015-03-17,95.27,0.0061,0.426539,46.70566821151866
51,2015-03-18,95.28,0.0002,0.402648,44.08962344365127
52,2015-03-19,96.78,0.0155,0.386231,42.291975502833424
53,2015-03-20,97.58,0.0083,0.36282899999999996,39.729475831089545
54,2015-03-23,97.01,-0.0058,0.36906700000000003,40.41253167898026
55,2015-03-24,97.08,0.0007,0.379492,41.55406056873027
56,2015-03-25,94.3,-0.029,0.38945799999999997,42.645329337579064
57,2015-03-26,93.76,-0.0057,0.388539,42.54469959660254
58,2015-03-27,94.24,0.0051,0.388088,42.49531546909393
59,2015-03-30,95.64,0.0147,0.38467599999999996,42.12170428714409
60,2015-03-31,93.77,-0.0197,0.372281,40.764462024462894
61,2015-04-01,93.73,-0.0005,0.36621899999999996,40.100678031209696
62,2015-04-02,94.18,0.0049,0.354195,38.78405996211097
63,2015-04-06,94.02,-0.0018,0.340163,37.247567551466155
64,2015-04-07,92.69,-0.0142,0.335068,36.68966925954516
65,2015-04-08,93.53,0.009,0.32738500000000004,35.848387105113574
66,2015-04-09,92.52,-0.0109,0.320977,35.146716397629824
67,2015-04-10,93.73,0.013,0.318394,34.863880030989606
68,2015-04-13,93.45,-0.003,0.31634799999999996,34.639844720828584
69,2015-04-14,91.85,-0.0172,0.317201,34.733247516316055
70,2015-04-15,91.73,-0.0013,0.318475,34.87274946408982
71,2015-04-16,93.66,0.0208,0.314809,34.47132549192449
72,2015-04-17,92.55,-0.0119,0.31085,34.03781826175467
73,2015-04-20,92.94,0.0042,0.311488,34.107678734815636
74,2015-04-21,92.7,-0.0026,0.310711,34.02259787655801
75,2015-04-22,93.07,0.004,0.311226,34.07898995120753
76,2015-04-23,101.87,0.0903,0.304678,33.36198935935303
77,2015-04-24,106.28,0.0424,0.365567,40.02928456971166
78,2015-04-27,102.82,-0.0331,0.482887,52.875727672394824
79,2015-04-28,104.26,0.0139,0.528007,57.816330406737336
80,2015-04-29,102.02,-0.0217,0.58155,63.67924468432823
81,2015-04-30,100.58,-0.0142,0.608224,66.6000256536512
82,2015-05-01,101.04,0.0045,0.624008,68.32836061727846
83,2015-05-04,100.66,-0.0038,0.641258,70.21722137010224
84,2015-05-05,98.59,-0.0208,0.655512,71.77802259739208
85,2015-05-06,98.98,0.004,0.6589879999999999,72.15864172648283
86,2015-05-07,100.66,0.0168,0.6646460000000001,72.77818805340904
87,2015-05-08,101.78,0.0111,0.67719,74.15174569302765
88,2015-05-11,102.44,0.0065,0.695423,76.14824413396886
89,2015-05-12,101.71,-0.0071,0.715418,78.33768011963328
90,2015-05-13,101.36,-0.0035,0.730702,80.01126549622218
91,2015-05-14,102.5,0.0113,0.743421,81.40398549130424
92,2015-05-15,102.9,0.0039,0.7616930000000001,83.40475440003443
93,2015-05-18,103.6,0.0068,0.7811150000000001,85.53144735895289
94,2015-05-19,103.1,-0.0049,0.799432,87.53714373051653
95,2015-05-20,102.97,-0.0013,0.8138979999999999,89.12115878271064
96,2015-05-21,102.65,-0.0031,0.818085,89.57963182456996
97,2015-05-22,101.68,-0.0095,0.8158660000000001,89.33665315729368
98,2015-05-26,101.24,-0.0043,0.8179940000000001,89.56966739972898
99,2015-05-27,101.33,0.0008,0.8138979999999999,89.12115878271064
100,2015-05-28,101.85,0.0051,0.815069,89.24938231555451
101,2015-05-29,101.34,-0.005,0.818737,89.651025286068
102,2015-06-01,101.7,0.0036,0.820043,89.79403120741222
103,2015-06-02,101.53,-0.0017,0.82475,90.30944381979144
104,2015-06-03,101.65,0.0011,0.829323,90.81018354284437
105,2015-06-04,101.68,0.0004,0.833349,91.25102721767732
106,2015-06-05,102.59,0.0089,0.837163,91.668657067606
107,2015-06-08,102.47,-0.0012,0.836145,91.55718690839589
108,2015-06-09,102.99,0.0051,0.8312139999999999,91.01724648102348
109,2015-06-10,104.82,0.0176,0.828782,90.75094448966885
110,2015-06-11,104.68,-0.0013,0.838004,91.76074587300455
111,2015-06-12,105.01,0.0032,0.8372360000000001,91.67665050731362
112,2015-06-15,103.63,-0.0133,0.835668,91.50495580236128
113,2015-06-16,103.58,-0.0005,0.828678,90.73955657556488
114,2015-06-17,103.73,0.0014,0.818954,89.67478660684264
115,2015-06-18,105.27,0.0148,0.799467,87.54097620160923
116,2015-06-19,104.66,-0.0059,0.788957,86.39013988206268
117,2015-06-22,106.48,0.0173,0.7655670000000001,83.82895420040774
118,2015-06-23,106.26,-0.0021,0.7563169999999999,82.81608684019787
119,2015-06-24,104.4,-0.0176,0.740397,81.07285998889617
120,2015-06-25,104.48,0.0007,0.698478,76.4827641107733
121,2015-06-26,107.45,0.0281,0.649128,71.07897987008619
122,2015-06-29,106.61,-0.0079,0.627973,68.76252484249274
123,2015-06-30,106.05,-0.0053,0.5835560000000001,63.89890002752618
124,2015-07-01,107.13,0.0101,0.532366,58.293637306537846
125,2015-07-02,106.5,-0.0059,0.472841,51.77569896961989
126,2015-07-06,105.8,-0.0066,0.399731,43.77021435286942
127,2015-07-07,106.07,0.0026,0.40470399999999995,44.31475374555304
128,2015-07-08,105.9,-0.0016,0.403542,44.18751570527587
129,2015-07-09,106.32,0.004,0.40999899999999995,44.89455187228938
130,2015-07-10,108.41,0.0194,0.41751600000000005,45.71765716382424
131,2015-07-13,111.69,0.0298,0.438213,47.983961569690535
132,2015-07-14,111.09,-0.0054,0.48497799999999996,53.10469044538928
133,2015-07-15,110.86,-0.0021,0.519659,56.9022313015447
134,2015-07-16,108.08,-0.0254,0.545566,59.73902640435082
135,2015-07-17,102.91,-0.049,0.53503,58.58534310627828
136,2015-07-20,103.84,0.009,0.516492,56.55544741724367
137,2015-07-21,104.15,0.003,0.506779,55.49188193943629
138,2015-07-22,105.03,0.0084,0.501741,54.94022510043768
139,2015-07-23,104.41,-0.0059,0.49898400000000004,54.63833587750811
140,2015-07-24,103.77,-0.0062,0.49314,53.99842270420364
141,2015-07-27,104.1,0.0031,0.485832,53.19820274005082
142,2015-07-28,104.53,0.0041,0.482663,52.85119985740163
143,2015-07-29,106.15,0.0154,0.48038,52.60121324298443
144,2015-07-30,106.46,0.0029,0.48121600000000003,52.69275455251259
145,2015-07-31,106.46,0.0,0.481503,52.724180815472614
146,2015-08-03,106.86,0.0038,0.48107799999999995,52.67764366648999
147,2015-08-04,107.76,0.0084,0.480339,52.596723776847284
148,2015-08-05,106.99,-0.0072,0.47795499999999996,52.33567774584833
149,2015-08-06,104.59,-0.0226,0.469125,51.36880003875072
150,2015-08-07,106.08,0.0141,0.457461,50.09160167231963
151,2015-08-10,105.81,-0.0026,0.44847000000000004,49.10709459819566
152,2015-08-11,106.13,0.0031,0.43511299999999997,47.644514130052634
153,2015-08-12,104.63,-0.0143,0.423453,46.36775376031785
154,2015-08-13,106.8,0.0205,0.41001899999999997,44.89674185577091
155,2015-08-14,106.77,-0.0003,0.39698999999999995,43.470077116725065
156,2015-08-17,107.54,0.0072,0.38272599999999996,41.90818089769444
157,2015-08-18,105.58,-0.0183,0.375608,41.12876577661621
158,2015-08-19,103.37,-0.0212,0.36398899999999995,39.85649487301856
159,2015-08-20,100.68,-0.0263,0.361867,39.624137625627725
160,2015-08-21,97.71,-0.03,0.38753,42.434214929959104
161,2015-08-24,95.18,-0.0262,0.44452800000000003,48.675448853985145
162,2015-08-25,98.21,0.0313,0.527326,57.74176146919107
163,2015-08-26,99.41,0.0121,0.560833,61.41075029498041
164,2015-08-27,100.81,0.014,0.581765,63.702787006754725
165,2015-08-28,101.38,0.0056,0.592873,64.91910383239916
166,2015-08-31,99.07,-0.023,0.601978,65.91609381236788
167,2015-09-01,97.12,-0.0199,0.623999,68.32737512471176
168,2015-09-02,98.36,0.0127,0.658384,72.09250422534048
169,2015-09-03,98.34,-0.0003,0.680167,74.47772473425411
170,2015-09-04,98.66,0.0033,0.701629,76.82779600828911
171,2015-09-08,101.94,0.0326,0.7196760000000001,78.80392760285206
172,2015-09-09,101.17,-0.0076,0.718093,78.63059041028856
173,2015-09-10,100.94,-0.0023,0.7204470000000001,78.88835146606522
174,2015-09-11,103.37,0.0239,0.72419,79.29820687463445
175,2015-09-14,103.44,0.0006,0.7197910000000001,78.81652000787088
176,2015-09-15,104.87,0.0138,0.71686,78.49557792865195
177,2015-09-16,104.69,-0.0018,0.7155809999999999,78.35552848500778
178,2015-09-17,105.61,0.0087,0.71357,78.13532564593947
179,2015-09-18,104.74,-0.0082,0.7130190000000001,78.07499160102319
180,2015-09-21,104.13,-0.0058,0.7104,77.78821326411621
181,2015-09-22,103.98,-0.0014,0.699645,76.61054964692086
182,2015-09-23,104.08,0.0009,0.665432,72.86425440423335
183,2015-09-24,103.44,-0.0061,0.633555,69.3737492321891
184,2015-09-25,105.93,0.0238,0.600683,65.7742923819385
185,2015-09-28,101.8,-0.0398,0.590957,64.70930341486812
186,2015-09-29,99.29,-0.0249,0.592349,64.86172626518295
187,2015-09-30,101.21,0.0191,0.602131,65.93284718600162
188,2015-10-01,98.79,-0.0242,0.604088,66.1471370696698
189,2015-10-02,100.24,0.0146,0.613381,67.16471289436494
190,2015-10-05,101.62,0.0137,0.616888,67.54872649785207
191,2015-10-06,100.6,-0.0101,0.617573,67.62373343209465
192,2015-10-07,101.32,0.0072,0.61991,67.87963300191198
193,2015-10-08,96.26,-0.0512,0.61957,67.84240328272588
194,2015-10-09,98.83,0.0263,0.637095,69.76137630842076
195,2015-10-12,99.49,0.0066,0.636028,69.64454068968088
196,2015-10-13,99.58,0.0008,0.6311610000000001,69.1116082094494
197,2015-10-14,97.89,-0.0171,0.622676,68.18250771740824
198,2015-10-15,99.28,0.0142,0.6136780000000001,67.19723414906575
199,2015-10-16,99.62,0.0034,0.601951,65.91313733466781
200,2015-10-19,100.59,0.0097,0.59985,65.68307956993257
201,2015-10-20,99.59,-0.0099,0.588339,64.42263457713521
202,2015-10-21,97.03,-0.026,0.57917,63.41863665002559
203,2015-10-22,97.5,0.0048,0.576906,63.17073051991586
204,2015-10-23,97.63,0.0013,0.578404,63.33476028268281
205,2015-10-26,99.24,0.0163,0.5646629999999999,61.83013213169431
206,2015-10-27,98.44,-0.0081,0.54334,59.495281242855995
207,2015-10-28,102.9,0.0443,0.5144299999999999,56.329660120297426
208,2015-10-29,102.6,-0.0028,0.500126,54.76338393430374
209,2015-10-30,100.04,-0.0253,0.497388,54.46357519568163
210,2015-11-02,102.0,0.0193,0.497582,54.48481803545252
211,2015-11-03,100.51,-0.0146,0.49274,53.95462303457294
212,2015-11-04,98.52,-0.02,0.46921199999999996,51.378326466895395
213,2015-11-05,97.64,-0.009,0.468033,51.24922694065892
214,2015-11-06,97.95,0.0032,0.47422,51.92669833067171
215,2015-11-09,96.64,-0.0135,0.480077,52.56803499323917
216,2015-11-10,97.76,0.0115,0.491761,53.84742334315181
217,2015-11-11,98.67,0.0094,0.496022,54.3139993238928
218,2015-11-12,96.5,-0.0223,0.489763,53.628643993346486
219,2015-11-13,95.31,-0.0124,0.498548,54.590594237610645
220,2015-11-16,97.06,0.0182,0.514955,56.38714718668773
221,2015-11-17,95.89,-0.0122,0.52094,57.04249974353701
222,2015-11-18,97.61,0.0177,0.533523,58.42032785094463
223,2015-11-19,98.03,0.0043,0.537991,58.90957016071951
224,2015-11-20,98.5,0.0048,0.540975,59.236315696164496
225,2015-11-23,101.02,0.0253,0.535654,58.65367059090216
226,2015-11-24,100.77,-0.0025,0.528351,57.853998122619736
227,2015-11-25,102.37,0.0158,0.511807,56.04244378669414
228,2015-11-27,101.9,-0.0046,0.49957700000000005,54.70326888773562
229,2015-11-30,100.79,-0.0109,0.477725,52.310492935810686
230,2015-12-01,102.1,0.0129,0.45913200000000004,50.27457479220186
231,2015-12-02,102.04,-0.0006,0.447873,49.04172359127184
232,2015-12-03,100.77,-0.0126,0.437072,47.859023012068974
233,2015-12-04,103.01,0.022,0.42117400000000005,46.11820514259696
234,2015-12-07,103.53,0.0051,0.418414,45.815987422145156
235,2015-12-08,103.11,-0.0041,0.395817,43.34163458553305
236,2015-12-09,102.32,-0.0077,0.40286,44.11283726855554
237,2015-12-10,102.55,0.0022,0.40945099999999995,44.83454632489533
238,2015-12-11,102.18,-0.0036,0.414813,45.42168089629481
239,2015-12-14,102.88,0.0068,0.419487,45.93348003592949
240,2015-12-15,103.39,0.005,0.427765,46.83991419893675
241,2015-12-16,102.73,-0.0065,0.436,47.741639897458704
242,2015-12-17,102.87,0.0014,0.44252,48.45557451243905
243,2015-12-18,102.37,-0.0049,0.448218,49.07950080632832
244,2015-12-21,103.21,0.0081,0.441543,48.34859381936608
245,2015-12-22,102.91,-0.0029,0.448465,49.10654710232527
246,2015-12-23,102.97,0.0006,0.45435699999999996,49.75171623598542
247,2015-12-24,103.03,0.0005,0.46018000000000003,50.38932992663428
248,2015-12-28,103.58,0.0054,0.461438,50.52707988762282
249,2015-12-29,105.34,0.0168,0.468552,51.30605701200475
250,2015-12-30,104.88,-0.0044,0.48623399999999994,53.242221408029664
251,2015-12-31,104.64,-0.0023,0.500068,54.757032982207285
252,2016-01-04,102.74,-0.0183,0.510629,55.91345375963174
253,2016-01-05,103.39,0.0064,0.502945,55.07206210602607
254,2016-01-06,103.24,-0.0015,0.498836,54.62212999974475
255,2016-01-07,100.4,-0.0279,0.49383699999999997,54.07474362853512
256,2016-01-08,102.49,0.0206,0.491581,53.827713491817995
