,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,42.19,,,
1,2015-01-05,41.88,-0.0074,,
2,2015-01-06,42.02,0.0034,,
3,2015-01-07,43.88,0.0433,,
4,2015-01-08,44.58,0.0157,,
5,2015-01-09,43.67,-0.0207,,
6,2015-01-12,43.63,-0.0008,,
7,2015-01-13,43.2,-0.0099,,
8,2015-01-14,43.22,0.0005,,
9,2015-01-15,42.86,-0.0085,,
10,2015-01-16,43.09,0.0054,,
11,2015-01-20,43.2,0.0025,,
12,2015-01-21,43.48,0.0066,,
13,2015-01-22,44.43,0.0216,,
14,2015-01-23,44.63,0.0046,,
15,2015-01-26,45.33,0.0154,,
16,2015-01-27,44.77,-0.0123,,
17,2015-01-28,44.27,-0.0113,,
18,2015-01-29,45.36,0.0244,,
19,2015-01-30,44.75,-0.0136,,
20,2015-02-02,43.76,-0.0224,,
21,2015-02-03,44.3,0.0123,,
22,2015-02-04,44.23,-0.0016,,
23,2015-02-05,44.46,0.0053,,
24,2015-02-06,44.22,-0.0054,,
25,2015-02-09,43.87,-0.0079,,
26,2015-02-10,44.51,0.0145,,
27,2015-02-11,44.34,-0.0039,,
28,2015-02-12,44.77,0.0098,,
29,2015-02-13,45.0,0.005,,
30,2015-02-17,44.8,-0.0044,,
31,2015-02-18,45.33,0.0116,,
32,2015-02-19,45.44,0.0024,,
33,2015-02-20,45.36,-0.0018,,
34,2015-02-23,45.63,0.0061,,
35,2015-02-24,46.32,0.0149,,
36,2015-02-25,46.9,0.0124,,
37,2015-02-26,46.94,0.0009,,
38,2015-02-27,46.66,-0.0059,,
39,2015-03-02,46.94,0.0059,,
40,2015-03-03,46.58,-0.0076,,
41,2015-03-04,45.85,-0.0158,,
42,2015-03-05,46.81,0.0208,,
43,2015-03-06,45.72,-0.0236,,
44,2015-03-09,46.2,0.0103,,
45,2015-03-10,45.55,-0.0141,,
46,2015-03-11,45.0,-0.0121,,
47,2015-03-12,46.32,0.0289,,
48,2015-03-13,46.01,-0.0068,,
49,2015-03-16,47.33,0.0283,,
50,2015-03-17,47.77,0.0094,0.258749,28.714389939810747
51,2015-03-18,47.53,-0.005,0.260879,28.950764382115054
52,2015-03-19,47.3,-0.0049,0.256737,28.491110419662263
53,2015-03-20,48.67,0.0286,0.25041399999999997,27.789422345159853
54,2015-03-23,50.47,0.0363,0.26568400000000003,29.48399405125693
55,2015-03-24,50.84,0.0073,0.3005,33.34766193072487
56,2015-03-25,50.1,-0.0147,0.33170299999999997,36.81038104960808
57,2015-03-26,49.77,-0.0066,0.350337,38.878269011062756
58,2015-03-27,50.34,0.0115,0.36146900000000004,40.11363065037334
59,2015-03-30,50.61,0.0053,0.37546100000000004,41.666377691087824
60,2015-03-31,50.56,-0.0012,0.38721200000000006,42.9704321847582
61,2015-04-01,49.19,-0.0273,0.397289,44.08871634208237
62,2015-04-02,49.18,-0.0003,0.39671599999999996,44.02512828788501
63,2015-04-06,48.52,-0.0134,0.39636499999999997,43.98617644316726
64,2015-04-07,48.31,-0.0044,0.396481,43.999049417489935
65,2015-04-08,49.62,0.0267,0.396023,43.94822336369869
66,2015-04-09,49.39,-0.0046,0.40286299999999997,44.70728495307026
67,2015-04-10,50.57,0.0235,0.406049,45.06084785127754
68,2015-04-13,50.43,-0.0026,0.41294600000000004,45.82623495389389
69,2015-04-14,49.92,-0.0103,0.421717,46.79958717617138
70,2015-04-15,49.29,-0.0126,0.424476,47.10576421200123
71,2015-04-16,48.84,-0.0093,0.41849,46.44147434738452
72,2015-04-17,47.74,-0.0227,0.413033,45.83588968463589
73,2015-04-20,47.95,0.0043,0.40447299999999997,44.88595295875567
74,2015-04-21,48.0,0.0011,0.39677799999999996,44.03200867071265
75,2015-04-22,47.93,-0.0014,0.38705100000000003,42.952565384189654
76,2015-04-23,48.38,0.0093,0.37400100000000003,41.50435577288863
77,2015-04-24,49.27,0.0181,0.364832,40.486835931814355
78,2015-04-27,48.48,-0.0161,0.35557,39.45899551649864
79,2015-04-28,48.79,0.0065,0.346372,38.43825743184371
80,2015-04-29,47.37,-0.0297,0.338333,37.54613811649896
81,2015-04-30,46.88,-0.0103,0.327723,36.36870486164042
82,2015-05-01,47.05,0.0034,0.321042,35.627288125004235
83,2015-05-04,46.45,-0.0127,0.314384,34.88842378844927
84,2015-05-05,45.4,-0.0229,0.308817,34.27063199487741
85,2015-05-06,45.32,-0.0018,0.310249,34.42954664341251
86,2015-05-07,46.37,0.0229,0.315525,35.01504502726111
87,2015-05-08,47.02,0.014,0.31724,35.20536529418688
88,2015-05-11,47.17,0.0031,0.31703600000000004,35.182726615205624
89,2015-05-12,46.82,-0.0075,0.31571899999999997,35.03657396707662
90,2015-05-13,46.14,-0.0146,0.316047,35.07297341171316
91,2015-05-14,46.6,0.01,0.317761,35.26318270472235
92,2015-05-15,47.0,0.0085,0.314593,34.9116173370134
93,2015-05-18,47.1,0.0022,0.3141,34.85690719614203
94,2015-05-19,47.88,0.0164,0.308708,34.258535837970754
95,2015-05-20,47.33,-0.0116,0.304465,33.787673509943914
96,2015-05-21,47.47,0.0029,0.297083,32.9684640577888
97,2015-05-22,47.6,0.0028,0.284964,31.623571162818905
98,2015-05-26,47.18,-0.0088,0.280813,31.162918435116943
99,2015-05-27,47.73,0.0115,0.275706,30.596174643169487
100,2015-05-28,47.74,0.0003,0.27494,30.511168623073196
101,2015-05-29,48.18,0.0092,0.274974,30.51494173623674
102,2015-06-01,48.38,0.004,0.274295,30.439590446882455
103,2015-06-02,47.83,-0.0113,0.27306,30.30253765991259
104,2015-06-03,48.02,0.004,0.273081,30.30486811216066
105,2015-06-04,47.34,-0.0143,0.266198,29.541034644376367
106,2015-06-05,47.67,0.007,0.257001,28.520407533638007
107,2015-06-08,48.09,0.0088,0.251488,27.908608331561183
108,2015-06-09,47.79,-0.0061,0.247165,27.428868090208358
109,2015-06-10,49.22,0.0294,0.239,26.522766061375187
110,2015-06-11,49.29,0.0015,0.23046,25.575048813826466
111,2015-06-12,50.07,0.0157,0.222303,24.66983457632589
112,2015-06-15,50.09,0.0003,0.227211,25.214494558874968
113,2015-06-16,49.95,-0.0028,0.232121,25.759376489257193
114,2015-06-17,50.18,0.0047,0.237733,26.382162109074926
115,2015-06-18,50.85,0.0131,0.244785,27.164750168760357
116,2015-06-19,50.63,-0.0042,0.252772,28.051098840443217
117,2015-06-22,51.01,0.0074,0.25973199999999996,28.82347729980376
118,2015-06-23,51.02,0.0001,0.263108,29.198125242160263
119,2015-06-24,52.08,0.0207,0.267371,29.6712070485186
120,2015-06-25,52.37,0.0055,0.28408,31.525470220566792
121,2015-06-26,53.64,0.024,0.304612,33.80398667568041
122,2015-06-29,52.35,-0.0244,0.33767800000000003,37.47345020114247
123,2015-06-30,52.26,-0.0017,0.35433,39.321387859945894
124,2015-07-01,51.63,-0.0122,0.368975,40.94660086818372
125,2015-07-02,51.69,0.0013,0.37823,41.97366446608342
126,2015-07-06,51.97,0.0054,0.38705599999999996,42.953120253772525
127,2015-07-07,53.01,0.0197,0.39725900000000003,44.08538712458513
128,2015-07-08,52.48,-0.01,0.413646,45.903916695496235
129,2015-07-09,53.01,0.0101,0.425371,47.20508586733567
130,2015-07-10,53.46,0.0083,0.439847,48.81154428367235
131,2015-07-13,53.62,0.0029,0.45404000000000005,50.38659708161837
132,2015-07-14,53.59,-0.0004,0.466086,51.72338888067831
133,2015-07-15,52.89,-0.0132,0.476866,52.91968770135456
134,2015-07-16,54.04,0.0216,0.47950000000000004,53.21199299761256
135,2015-07-17,53.78,-0.0049,0.481697,53.455802692327374
136,2015-07-20,54.04,0.0049,0.47932400000000003,53.1924615882954
137,2015-07-21,54.09,0.0008,0.48308700000000004,53.61005643636634
138,2015-07-22,55.26,0.0214,0.48870600000000003,54.23361887360009
139,2015-07-23,55.47,0.0037,0.501196,55.61968309161924
140,2015-07-24,54.13,-0.0243,0.5111979999999999,56.729644205200294
141,2015-07-27,53.57,-0.0105,0.506688,56.229151841447994
142,2015-07-28,53.66,0.0017,0.500659,55.56009009841857
143,2015-07-29,54.22,0.0103,0.49589700000000003,55.03163230768942
144,2015-07-30,54.67,0.0084,0.492823,54.69049848813851
145,2015-07-31,54.64,-0.0005,0.494805,54.910448790789744
146,2015-08-03,54.76,0.002,0.49217700000000003,54.6188093380312
147,2015-08-04,54.82,0.0011,0.489317,54.30142393662729
148,2015-08-05,55.5,0.0124,0.48592599999999997,53.925111385522165
149,2015-08-06,52.45,-0.0564,0.481679,53.45380516182903
150,2015-08-07,53.17,0.0136,0.469004,52.04721076924354
151,2015-08-10,52.68,-0.0092,0.45635800000000004,50.643834620238735
152,2015-08-11,52.58,-0.002,0.44468,49.34788122247832
153,2015-08-12,52.39,-0.0035,0.433172,48.07079339053561
154,2015-08-13,53.3,0.0172,0.41665199999999997,46.237504288720054
155,2015-08-14,53.62,0.0058,0.401131,44.51507812956272
156,2015-08-17,53.76,0.0028,0.378153,41.96511947450716
157,2015-08-18,53.05,-0.0133,0.35590200000000005,39.49583885680148
158,2015-08-19,53.54,0.0092,0.33386299999999997,37.05008470940964
159,2015-08-20,53.05,-0.0092,0.306239,33.984541237947596
160,2015-08-21,51.99,-0.0202,0.29003799999999996,32.186652815519395
161,2015-08-24,49.47,-0.0498,0.27399799999999996,30.406631193659738
162,2015-08-25,49.5,0.0007,0.279147,30.978035890103342
163,2015-08-26,50.5,0.0199,0.283961,31.512264324494392
164,2015-08-27,51.01,0.0101,0.280088,31.082462345600224
165,2015-08-28,51.16,0.0029,0.27496200000000004,30.513610049237844
166,2015-08-31,50.38,-0.0152,0.273341,30.333721330470105
167,2015-09-01,49.69,-0.0139,0.274972,30.51471978840359
168,2015-09-02,51.09,0.0278,0.283991,31.515593541991635
169,2015-09-03,51.27,0.0036,0.283634,31.475975853774433
170,2015-09-04,50.96,-0.0062,0.2862,31.76073492370535
171,2015-09-08,52.17,0.0236,0.290613,32.2504628175499
172,2015-09-09,51.09,-0.021,0.290376,32.22416199932168
173,2015-09-10,51.61,0.0102,0.293895,32.614679211748374
174,2015-09-11,52.04,0.0081,0.29529299999999997,32.76982074711992
175,2015-09-14,52.01,-0.0006,0.294292,32.65873585662856
176,2015-09-15,51.89,-0.0023,0.29353,32.574173732198574
177,2015-09-16,51.36,-0.0102,0.29371200000000003,32.59437098501519
178,2015-09-17,52.07,0.0136,0.29620799999999997,32.87136188078586
179,2015-09-18,51.46,-0.0117,0.29672,32.928180526072154
180,2015-09-21,52.06,0.0116,0.298701,33.14801985480682
181,2015-09-22,51.63,-0.0083,0.298551,33.1313737673206
182,2015-09-23,52.68,0.0202,0.298849,33.16444399445989
183,2015-09-24,52.94,0.0049,0.297748,33.042261712311046
184,2015-09-25,52.42,-0.0098,0.297783,33.04614579939116
185,2015-09-28,50.46,-0.0382,0.29532,32.77281704286745
186,2015-09-29,50.3,-0.0032,0.299157,33.19862396076493
187,2015-09-30,50.78,0.0095,0.302302,33.54763692839264
188,2015-10-01,50.69,-0.0018,0.30234300000000003,33.55218685897221
189,2015-10-02,50.76,0.0015,0.295342,32.77525846903209
190,2015-10-05,50.73,-0.0007,0.285102,31.63888556330623
191,2015-10-06,50.33,-0.0078,0.282922,31.396962425173182
192,2015-10-07,49.62,-0.0143,0.284346,31.554989282375683
193,2015-10-08,49.86,0.005,0.288644,32.03195517581414
194,2015-10-09,49.8,-0.0012,0.287786,31.936739555392965
195,2015-10-12,49.48,-0.0065,0.283103,31.417048704073217
196,2015-10-13,49.61,0.0026,0.279091,30.97182135077515
197,2015-10-14,47.62,-0.0409,0.271919,30.17591642110075
198,2015-10-15,47.65,0.0006,0.278248,30.878270339102606
199,2015-10-16,48.65,0.0208,0.274416,30.453018290788005
200,2015-10-19,49.07,0.0086,0.281788,31.271118003777367
201,2015-10-20,47.6,-0.0304,0.282621,31.36355927628417
202,2015-10-21,46.9,-0.0147,0.29526800000000003,32.76704639920556
203,2015-10-22,47.87,0.0203,0.31274,34.70598266960032
204,2015-10-23,47.73,-0.0028,0.32088700000000003,35.61008716793515
205,2015-10-26,48.33,0.0124,0.324442,36.00459944135853
206,2015-10-27,47.22,-0.0233,0.32094900000000004,35.61696755076279
207,2015-10-28,48.44,0.0255,0.322126,35.74758385057131
208,2015-10-29,46.63,-0.038,0.319048,35.406006135354104
209,2015-10-30,46.23,-0.0087,0.323168,35.863218671642244
210,2015-11-02,46.8,0.0124,0.33195,36.83779160700207
211,2015-11-03,46.72,-0.0018,0.339867,37.71637210452469
212,2015-11-04,45.87,-0.0182,0.35119799999999995,38.973817553233644
213,2015-11-05,46.14,0.0058,0.368126,40.85238401301172
214,2015-11-06,46.09,-0.0011,0.38146299999999994,42.33244313836971
215,2015-11-09,45.83,-0.0057,0.39299500000000004,43.61219434431022
216,2015-11-10,45.69,-0.0031,0.404669,44.90770384640433
217,2015-11-11,46.38,0.0151,0.41768500000000003,46.35214034454182
218,2015-11-12,46.06,-0.0069,0.42615699999999995,47.292311365763446
219,2015-11-13,45.4,-0.0144,0.433354,48.09099064335223
220,2015-11-16,45.09,-0.0068,0.44288200000000005,49.14835012047685
221,2015-11-17,45.06,-0.0007,0.454089,50.392034803530535
222,2015-11-18,45.11,0.0011,0.45908499999999997,50.94646049073818
223,2015-11-19,45.47,0.0079,0.46692900000000004,51.81693989235086
224,2015-11-20,46.06,0.013,0.46939,52.090046701041416
225,2015-11-23,47.08,0.0219,0.465801,51.69176131445449
226,2015-11-24,47.07,-0.0004,0.45801000000000003,50.82716353042029
227,2015-11-25,47.5,0.0092,0.450011,49.93948317173853
228,2015-11-27,47.67,0.0035,0.44323500000000005,49.187523913027746
229,2015-11-30,46.93,-0.0155,0.43147199999999997,47.882137732358466
230,2015-12-01,47.39,0.0097,0.423681,47.01753994832426
231,2015-12-02,47.04,-0.0074,0.41026,45.52815901397399
232,2015-12-03,46.12,-0.0197,0.399181,44.298678992241875
233,2015-12-04,47.99,0.0396,0.380507,42.226352074124215
234,2015-12-07,49.23,0.0256,0.353696,39.25103039683748
235,2015-12-08,49.45,0.0044,0.332125,36.85721204240265
236,2015-12-09,48.54,-0.0186,0.32691200000000004,36.278705015298264
237,2015-12-10,48.25,-0.0059,0.319734,35.48213424212441
238,2015-12-11,48.27,0.0003,0.30827899999999997,34.21092802776017
239,2015-12-14,48.95,0.0141,0.296808,32.93794623073074
240,2015-12-15,49.3,0.007,0.285956,31.7336572880611
