,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,75.83,,,
1,2015-01-05,74.7,-0.015,,
2,2015-01-06,73.62,-0.0146,,
3,2015-01-07,74.29,0.0091,,
4,2015-01-08,75.77,0.0197,,
5,2015-01-09,75.22,-0.0073,,
6,2015-01-12,74.42,-0.0107,,
7,2015-01-13,74.54,0.0016,,
8,2015-01-14,74.69,0.002,,
9,2015-01-15,74.46,-0.0031,,
10,2015-01-16,75.05,0.0079,,
11,2015-01-20,75.21,0.0021,,
12,2015-01-21,75.73,0.0069,,
13,2015-01-22,76.15,0.0055,,
14,2015-01-23,75.85,-0.0039,,
15,2015-01-26,76.19,0.0045,,
16,2015-01-27,76.04,-0.002,,
17,2015-01-28,75.52,-0.0069,,
18,2015-01-29,76.14,0.0082,,
19,2015-01-30,75.06,-0.0143,,
20,2015-02-02,75.57,0.0068,,
21,2015-02-03,75.6,0.0004,,
22,2015-02-04,75.96,0.0048,,
23,2015-02-05,76.77,0.0106,,
24,2015-02-06,75.57,-0.0158,,
25,2015-02-09,74.67,-0.012,,
26,2015-02-10,75.77,0.0146,,
27,2015-02-11,75.95,0.0024,,
28,2015-02-12,76.39,0.0058,,
29,2015-02-13,73.1,-0.044,,
30,2015-02-17,72.78,-0.0044,,
31,2015-02-18,73.28,0.0068,,
32,2015-02-19,73.24,-0.0005,,
33,2015-02-20,73.76,0.0071,,
34,2015-02-23,73.86,0.0014,,
35,2015-02-24,72.93,-0.0127,,
36,2015-02-25,73.93,0.0136,,
37,2015-02-26,74.3,0.005,,
38,2015-02-27,74.6,0.004,,
39,2015-03-02,75.56,0.0128,,
40,2015-03-03,75.89,0.0044,,
41,2015-03-04,76.75,0.0113,,
42,2015-03-05,76.93,0.0023,,
43,2015-03-06,77.63,0.0091,,
44,2015-03-09,78.0,0.0048,,
45,2015-03-10,78.1,0.0013,,
46,2015-03-11,79.41,0.0166,,
47,2015-03-12,79.7,0.0036,,
48,2015-03-13,80.81,0.0138,,
49,2015-03-16,81.41,0.0074,,
50,2015-03-17,81.11,-0.0037,0.35792999999999997,40.41380945662695
51,2015-03-18,81.64,0.0065,0.387104,43.70784034838689
52,2015-03-19,81.44,-0.0025,0.417198,47.10574826833697
53,2015-03-20,81.86,0.0051,0.438351,49.49412954801743
54,2015-03-23,82.84,0.0119,0.462689,52.24212858289964
55,2015-03-24,82.19,-0.0079,0.495959,55.998638069732195
56,2015-03-25,81.05,-0.014,0.519356,58.64038897034601
57,2015-03-26,81.07,0.0002,0.530474,59.8957202740612
58,2015-03-27,81.83,0.0093,0.540647,61.044351804254994
59,2015-03-30,82.17,0.0041,0.554617,62.62170189535963
60,2015-03-31,81.28,-0.0109,0.568373,64.17488928642872
61,2015-04-01,80.05,-0.0152,0.576927,65.14071982897052
62,2015-04-02,80.59,0.0067,0.579482,65.42920440182466
63,2015-04-06,81.47,0.0109,0.584723,66.0209647330687
64,2015-04-07,81.86,0.0048,0.594076,67.07701021639738
65,2015-04-08,81.74,-0.0015,0.603961,68.19312372037513
66,2015-04-09,81.52,-0.0027,0.612911,69.203666548964
67,2015-04-10,81.9,0.0047,0.619679,69.96784016504101
68,2015-04-13,81.76,-0.0017,0.626036,70.68560784787223
69,2015-04-14,82.01,0.0031,0.632378,71.40168188350471
70,2015-04-15,81.61,-0.0049,0.6357459999999999,71.7819621345312
71,2015-04-16,82.13,0.0064,0.638131,72.05125203913283
72,2015-04-17,81.26,-0.0106,0.6418309999999999,72.46901834815839
73,2015-04-20,81.84,0.0071,0.64253,72.54794230762025
74,2015-04-21,83.12,0.0155,0.64666,73.01425983634337
75,2015-04-22,83.22,0.0012,0.6520180000000001,73.6192306157377
76,2015-04-23,83.41,0.0023,0.652582,73.68291175041078
77,2015-04-24,83.91,0.006,0.657281,74.21347496287324
78,2015-04-27,83.79,-0.0014,0.6637869999999999,74.94806620787872
79,2015-04-28,83.59,-0.0024,0.669832,75.63060602897589
80,2015-04-29,82.64,-0.0114,0.655771,74.04298114486551
81,2015-04-30,81.1,-0.0188,0.6326120000000001,71.42810277980524
82,2015-05-01,82.4,0.0159,0.606973,68.53320807788458
83,2015-05-04,82.34,-0.0007,0.580921,65.59168162309163
84,2015-05-05,81.51,-0.0101,0.556015,62.779549814283335
85,2015-05-06,81.41,-0.0012,0.5271589999999999,59.521424243136934
86,2015-05-07,81.76,0.0043,0.48446399999999995,54.70073976642169
87,2015-05-08,82.17,0.005,0.448103,50.59522604683291
88,2015-05-11,81.59,-0.0071,0.411638,46.47796970666612
89,2015-05-12,80.92,-0.0082,0.372284,42.03451691601963
90,2015-05-13,80.98,0.0007,0.339279,38.307928529698366
91,2015-05-14,81.86,0.0108,0.30576899999999996,34.52432068768576
92,2015-05-15,81.48,-0.0047,0.278641,31.461303273835643
93,2015-05-18,82.7,0.0149,0.24938300000000002,28.15778795776269
94,2015-05-19,83.2,0.006,0.22694,25.623753018989525
95,2015-05-20,83.69,0.0059,0.207634,23.443916164382088
96,2015-05-21,83.49,-0.0024,0.18881399999999998,21.318953479014223
97,2015-05-22,84.09,0.0072,0.181634,20.50826101987813
98,2015-05-26,83.75,-0.0041,0.180237,20.35052601076767
99,2015-05-27,84.06,0.0037,0.183063,20.6696091430126
100,2015-05-28,84.23,0.002,0.189771,21.42700817029462
101,2015-05-29,83.78,-0.0054,0.19592700000000002,22.122080980662556
102,2015-06-01,83.88,0.0012,0.199939,22.575075151422165
103,2015-06-02,83.82,-0.0007,0.203564,22.984373224453968
104,2015-06-03,83.96,0.0017,0.20739000000000002,23.41636616994905
105,2015-06-04,82.6,-0.0163,0.21164100000000002,23.89634578607545
106,2015-06-05,82.54,-0.0007,0.211709,23.90402365337646
107,2015-06-08,81.87,-0.0082,0.208691,23.563261836987497
108,2015-06-09,81.49,-0.0047,0.206048,23.264841200567346
109,2015-06-10,81.68,0.0023,0.206949,23.36657294230573
110,2015-06-11,82.19,0.0062,0.20776,23.458142800851604
111,2015-06-12,81.4,-0.0097,0.205611,23.215499612177027
112,2015-06-15,81.28,-0.0015,0.197184,22.264008615917998
113,2015-06-16,81.51,0.0028,0.19324000000000002,21.8186923124594
114,2015-06-17,81.07,-0.0054,0.19309300000000001,21.802094569911628
115,2015-06-18,81.45,0.0047,0.196021,22.13269450310807
116,2015-06-19,82.19,0.009,0.19693000000000002,22.235329523352462
117,2015-06-22,82.13,-0.0007,0.19547799999999999,22.071384474513234
118,2015-06-23,81.57,-0.0068,0.19511,22.02983366323718
119,2015-06-24,80.19,-0.0171,0.195668,22.092837339030766
120,2015-06-25,80.91,0.0089,0.20457799999999998,23.09886377508962
121,2015-06-26,81.08,0.0021,0.207438,23.42178584098506
122,2015-06-29,79.61,-0.0183,0.21031199999999997,23.74628864426599
123,2015-06-30,79.47,-0.0018,0.22119499999999997,24.975086141867397
124,2015-07-01,79.32,-0.0019,0.23399599999999998,26.420444661282595
125,2015-07-02,78.94,-0.0048,0.246067,27.783379017025183
126,2015-07-06,79.55,0.0077,0.259718,29.324710877703012
127,2015-07-07,79.66,0.0014,0.26629200000000003,30.066979990009514
128,2015-07-08,78.81,-0.0107,0.26884,30.3546741941709
129,2015-07-09,78.82,0.0001,0.277102,31.287535071243656
130,2015-07-10,79.3,0.0061,0.284761,32.152311330926565
131,2015-07-13,79.5,0.0025,0.29132,32.89288679603432
132,2015-07-14,80.07,0.0071,0.296912,33.52427847172917
133,2015-07-15,79.67,-0.005,0.299274,33.790971450626024
134,2015-07-16,79.84,0.0021,0.303142,34.22770660827762
135,2015-07-17,79.97,0.0016,0.30670000000000003,34.62943972382166
136,2015-07-20,79.88,-0.0011,0.309576,34.9541683467291
137,2015-07-21,79.62,-0.0033,0.312561,35.291204139280794
138,2015-07-22,80.06,0.0055,0.315848,35.66233869543405
139,2015-07-23,80.13,0.0009,0.317909,35.89504582054261
140,2015-07-24,79.39,-0.0093,0.319478,36.0722013175321
141,2015-07-27,78.43,-0.0122,0.323771,36.556923145815
142,2015-07-28,79.02,0.0075,0.332766,37.57254691600012
143,2015-07-29,79.07,0.0006,0.338184,38.184292284189446
144,2015-07-30,78.63,-0.0056,0.340541,38.450420714020055
145,2015-07-31,79.03,0.0051,0.342375,38.657497311520835
146,2015-08-03,79.71,0.0086,0.338773,38.25079616419379
147,2015-08-04,80.2,0.0061,0.33309199999999994,37.60935551511967
148,2015-08-05,80.49,0.0036,0.321588,36.31044102348992
149,2015-08-06,81.14,0.008,0.311259,35.144195562429104
150,2015-08-07,81.02,-0.0015,0.297774,33.6216067307508
151,2015-08-10,81.05,0.0004,0.281476,31.78140259439982
152,2015-08-11,80.77,-0.0035,0.26797899999999997,30.257458844962514
153,2015-08-12,79.95,-0.0102,0.252012,28.45462785679734
154,2015-08-13,79.65,-0.0038,0.23518799999999998,26.555033158676775
155,2015-08-14,80.28,0.0079,0.214879,24.26194776137944
156,2015-08-17,80.28,0.0,0.205634,23.218096537881785
157,2015-08-18,80.0,-0.0035,0.19607399999999997,22.138678723210326
158,2015-08-19,80.08,0.001,0.19098600000000002,21.564193593393554
159,2015-08-20,78.53,-0.0195,0.187715,21.194865594252306
160,2015-08-21,75.99,-0.0329,0.18827300000000002,21.257869270045894
161,2015-08-24,74.08,-0.0255,0.210645,23.783887612078296
162,2015-08-25,74.33,0.0034,0.261066,29.476913305964217
163,2015-08-26,76.12,0.0238,0.297636,33.60602517652228
164,2015-08-27,76.65,0.0069,0.30875800000000003,34.861808119490476
165,2015-08-28,76.29,-0.0047,0.31610099999999997,35.69090487818633
166,2015-08-31,75.64,-0.0086,0.323208,36.49335492095517
167,2015-09-01,74.05,-0.0212,0.329619,37.217219733701896
168,2015-09-02,75.12,0.0143,0.349258,39.43465555612163
169,2015-09-03,75.44,0.0043,0.35885599999999995,40.518363943696585
