,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,50.13,,,
1,2015-01-05,49.65,-0.0095,,
2,2015-01-06,49.93,0.0056,,
3,2015-01-07,50.67,0.0147,,
4,2015-01-08,50.99,0.0062,,
5,2015-01-09,50.72,-0.0052,,
6,2015-01-12,50.55,-0.0034,,
7,2015-01-13,50.45,-0.0019,,
8,2015-01-14,51.0,0.0107,,
9,2015-01-15,51.66,0.013,,
10,2015-01-16,52.21,0.0106,,
11,2015-01-20,52.88,0.0128,,
12,2015-01-21,53.23,0.0066,,
13,2015-01-22,52.93,-0.0057,,
14,2015-01-23,53.17,0.0046,,
15,2015-01-26,53.2,0.0006,,
16,2015-01-27,53.56,0.0067,,
17,2015-01-28,53.53,-0.0004,,
18,2015-01-29,53.95,0.0077,,
19,2015-01-30,52.35,-0.0301,,
20,2015-02-02,52.48,0.0026,,
21,2015-02-03,52.13,-0.0068,,
22,2015-02-04,51.55,-0.0111,,
23,2015-02-05,51.99,0.0085,,
24,2015-02-06,50.45,-0.0301,,
25,2015-02-09,49.9,-0.011,,
26,2015-02-10,50.63,0.0144,,
27,2015-02-11,49.82,-0.0159,,
28,2015-02-12,49.58,-0.005,,
29,2015-02-13,48.78,-0.0161,,
30,2015-02-17,48.71,-0.0016,,
31,2015-02-18,49.92,0.0246,,
32,2015-02-19,49.45,-0.0094,,
33,2015-02-20,48.65,-0.0163,,
34,2015-02-23,49.05,0.0081,,
35,2015-02-24,49.8,0.0153,,
36,2015-02-25,48.68,-0.0228,,
37,2015-02-26,48.13,-0.0115,,
38,2015-02-27,48.19,0.0013,,
39,2015-03-02,47.18,-0.0211,,
40,2015-03-03,47.45,0.0056,,
41,2015-03-04,47.22,-0.0048,,
42,2015-03-05,47.56,0.0072,,
43,2015-03-06,45.77,-0.0383,,
44,2015-03-09,46.11,0.0073,,
45,2015-03-10,45.85,-0.0056,,
46,2015-03-11,45.58,-0.006,,
47,2015-03-12,46.86,0.0277,,
48,2015-03-13,46.43,-0.0092,,
49,2015-03-16,47.1,0.0144,,
50,2015-03-17,46.68,-0.009,0.445725,77.199926166417
51,2015-03-18,47.39,0.0149,0.454368,78.69690067279726
52,2015-03-19,46.43,-0.0203,0.459341,79.55822824658287
53,2015-03-20,46.91,0.0103,0.468476,81.1404175461066
54,2015-03-23,46.96,0.001,0.47407499999999997,82.11016882011135
55,2015-03-24,46.46,-0.0106,0.47838099999999995,82.85597146091587
56,2015-03-25,46.23,-0.0049,0.48484299999999997,83.97519502451986
57,2015-03-26,44.87,-0.0298,0.49205800000000005,85.22483878982516
58,2015-03-27,45.64,0.0169,0.506416,87.71165586290253
59,2015-03-30,46.39,0.0164,0.513945,89.01568467911646
60,2015-03-31,46.55,0.0034,0.515056,89.20811076688557
61,2015-04-01,46.67,0.0025,0.512435,88.75415147251756
62,2015-04-02,46.51,-0.0033,0.504863,87.44267502194353
63,2015-04-06,46.97,0.0098,0.494261,85.60640015018102
64,2015-04-07,46.24,-0.0157,0.482788,83.61926738242667
65,2015-04-08,46.25,0.0002,0.470365,81.46759385555383
66,2015-04-09,45.99,-0.0056,0.45577399999999996,78.94042099629264
67,2015-04-10,46.45,0.0099,0.43685899999999994,75.66432788184365
68,2015-04-13,46.14,-0.0066,0.413747,71.661311013689
69,2015-04-14,46.42,0.0059,0.38360700000000003,66.44103892965556
70,2015-04-15,46.37,-0.001,0.365441,63.29467321371158
71,2015-04-16,46.48,0.0025,0.343532,59.500016906840685
72,2015-04-17,46.51,0.0005,0.322022,55.774467718799556
73,2015-04-20,47.16,0.014,0.303587,52.58151098790518
74,2015-04-21,46.91,-0.0054,0.276554,47.89937378658879
75,2015-04-22,47.04,0.0028,0.2632,45.5864503157798
76,2015-04-23,47.39,0.0074,0.253139,43.84387707631529
77,2015-04-24,47.7,0.0064,0.235199,40.736654740961605
78,2015-04-27,47.08,-0.013,0.22398800000000002,38.79490058256416
79,2015-04-28,47.52,0.0094,0.213474,36.97386738111998
80,2015-04-29,47.38,-0.0031,0.208588,36.127608276853636
81,2015-04-30,46.97,-0.0086,0.20372099999999999,35.28463998776967
82,2015-05-01,47.06,0.0018,0.187317,32.443454079790754
83,2015-05-04,47.39,0.0071,0.17424099999999998,30.178680431123816
