,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,46.47,,,
1,2015-01-05,46.27,-0.0043,,
2,2015-01-06,46.29,0.0004,,
3,2015-01-07,47.29,0.0214,,
4,2015-01-08,48.67,0.0288,,
5,2015-01-09,48.34,-0.0068,,
6,2015-01-12,47.75,-0.0123,,
7,2015-01-13,47.87,0.0025,,
8,2015-01-14,46.42,-0.0308,,
9,2015-01-15,45.41,-0.022,,
10,2015-01-16,47.45,0.0439,,
11,2015-01-20,46.53,-0.0196,,
12,2015-01-21,46.41,-0.0026,,
13,2015-01-22,46.82,0.0088,,
14,2015-01-23,46.39,-0.0092,,
15,2015-01-26,47.3,0.0194,,
16,2015-01-27,46.61,-0.0147,,
17,2015-01-28,47.5,0.0189,,
18,2015-01-29,47.81,0.0065,,
19,2015-01-30,48.93,0.0232,,
20,2015-02-02,46.74,-0.0458,,
21,2015-02-03,47.46,0.0153,,
22,2015-02-04,50.51,0.0623,,
23,2015-02-05,51.39,0.0173,,
24,2015-02-06,51.01,-0.0074,,
25,2015-02-09,51.0,-0.0002,,
26,2015-02-10,51.4,0.0078,,
27,2015-02-11,51.41,0.0002,,
28,2015-02-12,56.01,0.0857,,
29,2015-02-13,54.08,-0.0351,,
30,2015-02-17,52.85,-0.023,,
31,2015-02-18,53.26,0.0077,,
32,2015-02-19,55.9,0.0484,,
33,2015-02-20,57.32,0.0251,,
34,2015-02-23,56.88,-0.0077,,
35,2015-02-24,57.41,0.0093,,
36,2015-02-25,57.99,0.0101,,
37,2015-02-26,61.36,0.0565,,
38,2015-02-27,61.68,0.0052,,
39,2015-03-02,61.7,0.0003,,
40,2015-03-03,60.47,-0.0201,,
41,2015-03-04,59.54,-0.0155,,
42,2015-03-05,59.82,0.0047,,
43,2015-03-06,59.45,-0.0062,,
44,2015-03-09,60.92,0.0244,,
45,2015-03-10,59.55,-0.0227,,
46,2015-03-11,60.33,0.013,,
47,2015-03-12,61.66,0.0218,,
48,2015-03-13,61.47,-0.0031,,
49,2015-03-16,61.69,0.0036,,
50,2015-03-17,61.73,0.0006,1.118328,82.49048585914574
51,2015-03-18,61.53,-0.0032,1.130978,83.42357941141144
52,2015-03-19,61.58,0.0008,1.138455,83.97510039878618
53,2015-03-20,61.38,-0.0033,1.143206,84.32554525782288
54,2015-03-23,62.69,0.0211,1.148538,84.71884603416129
55,2015-03-24,61.95,-0.0119,1.163408,85.8156919726744
56,2015-03-25,60.13,-0.0298,1.170659,86.35054267207981
57,2015-03-26,61.01,0.0145,1.165685,85.98364881208224
58,2015-03-27,61.97,0.0156,1.162444,85.74458508062823
59,2015-03-30,62.23,0.0042,1.153267,85.06766812180275
60,2015-03-31,61.29,-0.0152,1.135575,83.76266487068142
61,2015-04-01,61.4,0.0018,1.123045,82.83842279875343
62,2015-04-02,61.72,0.0052,1.102493,81.32245926625029
63,2015-04-06,66.07,0.0681,1.0787930000000001,79.57429189955488
64,2015-04-07,66.49,0.0063,1.075703,79.34636628085914
65,2015-04-08,66.88,0.0058,1.06689,78.69629881239135
66,2015-04-09,67.83,0.0141,1.061718,78.31480000983655
67,2015-04-10,68.77,0.0138,1.0519150000000002,77.59170782858276
68,2015-04-13,69.4,0.0091,1.049423,77.40789208690322
69,2015-04-14,67.29,-0.0309,1.047522,77.26766988588685
70,2015-04-15,67.57,0.0042,1.034141,76.28065606589733
71,2015-04-16,67.81,0.0035,0.9980209999999999,73.61636048425014
72,2015-04-17,66.61,-0.0179,0.962499,70.99617477961914
73,2015-04-20,67.76,0.0171,0.940612,69.38173852835911
74,2015-04-21,68.15,0.0057,0.926948,68.37384996723986
75,2015-04-22,67.99,-0.0024,0.907792,66.96085865599862
76,2015-04-23,67.56,-0.0063,0.8823019999999999,65.08065670759919
77,2015-04-24,66.61,-0.0142,0.852476,62.88062126966428
78,2015-04-27,64.89,-0.0262,0.81259,59.93853673008566
79,2015-04-28,66.91,0.0307,0.7983530000000001,58.88838235035391
80,2015-04-29,65.86,-0.0158,0.775204,57.18085803087575
81,2015-04-30,64.71,-0.0176,0.732735,54.04824537702817
82,2015-05-01,66.79,0.0316,0.6856059999999999,50.57190023673329
83,2015-05-04,67.18,0.0058,0.6641859999999999,48.99191099645414
84,2015-05-05,65.8,-0.0208,0.652082,48.09909167972498
85,2015-05-06,66.41,0.0092,0.629451,46.42977625037121
86,2015-05-07,65.25,-0.0176,0.610071,45.00026217583294
87,2015-05-08,65.6,0.0053,0.589842,43.50812387790544
88,2015-05-11,64.1,-0.0231,0.587163,43.31051457936633
89,2015-05-12,64.11,0.0002,0.583604,43.04799442501743
90,2015-05-13,65.76,0.0254,0.5799340000000001,42.77728665135616
91,2015-05-14,66.33,0.0086,0.5727129999999999,42.24464882203515
92,2015-05-15,66.24,-0.0014,0.560602,41.351313168952956
93,2015-05-18,67.7,0.0218,0.548582,40.46468988846017
94,2015-05-19,68.76,0.0155,0.537312,39.633388360078
95,2015-05-20,68.74,-0.0003,0.538488,39.72013286738744
96,2015-05-21,67.91,-0.0121,0.528779,39.00397434573151
97,2015-05-22,66.52,-0.0207,0.51854,38.2487217859174
98,2015-05-26,67.48,0.0143,0.510774,37.675883483396014
99,2015-05-27,69.84,0.0344,0.503467,37.13690209316634
100,2015-05-28,72.01,0.0306,0.5073190000000001,37.42103461200646
101,2015-05-29,71.91,-0.0014,0.5257229999999999,38.778556646464786
102,2015-06-01,71.69,-0.0031,0.538579,39.72684523997687
103,2015-06-02,71.49,-0.0028,0.5468350000000001,40.33582708721052
104,2015-06-03,71.44,-0.0007,0.549482,40.53107599099291
105,2015-06-04,71.25,-0.0027,0.556953,41.08215440435078
106,2015-06-05,71.5,0.0035,0.5568110000000001,41.07168015261784
107,2015-06-08,70.22,-0.0181,0.541338,39.93035552540778
108,2015-06-09,69.95,-0.0039,0.523178,38.590831500969436
109,2015-06-10,70.79,0.0119,0.508944,37.540898408246115
110,2015-06-11,70.09,-0.0099,0.49816499999999997,36.74581418691237
111,2015-06-12,69.74,-0.005,0.47326799999999997,34.909353303848405
112,2015-06-15,70.98,0.0176,0.444343,32.77577773078237
113,2015-06-16,71.42,0.0062,0.419885,30.971698513287166
114,2015-06-17,72.18,0.0106,0.426633,31.4694467576104
115,2015-06-18,73.0,0.0113,0.43835700000000005,32.33423638660353
116,2015-06-19,72.88,-0.0016,0.455525,33.60058817358357
117,2015-06-22,73.57,0.0094,0.471645,34.789637032281036
118,2015-06-23,74.08,0.0069,0.491709,36.2696045447442
119,2015-06-24,72.69,-0.0189,0.513748,37.89525267109864
120,2015-06-25,73.34,0.0089,0.524038,38.654267110056274
121,2015-06-26,72.09,-0.0172,0.5376460000000001,39.65802498035127
122,2015-06-29,69.58,-0.0354,0.543984,40.12553066685403
123,2015-06-30,71.23,0.0234,0.540507,39.869059024069216
124,2015-07-01,73.82,0.0357,0.542813,40.03915497122532
125,2015-07-02,73.75,-0.0009,0.557264,41.10509449089264
126,2015-07-06,73.98,0.0031,0.569846,42.03317220430031
127,2015-07-07,74.33,0.0047,0.58173,42.909763807077034
128,2015-07-08,72.8,-0.0208,0.591429,43.6251847053715
129,2015-07-09,73.26,0.0063,0.583487,43.03936423168817
130,2015-07-10,74.79,0.0207,0.585958,43.22163096430861
131,2015-07-13,75.55,0.0101,0.590399,43.54920949913959
132,2015-07-14,75.12,-0.0057,0.590399,43.54920949913959
133,2015-07-15,74.31,-0.0108,0.5970179999999999,44.0374424020998
134,2015-07-16,75.06,0.01,0.5994039999999999,44.2134393361477
135,2015-07-17,74.92,-0.0019,0.59698,44.0346394333262
136,2015-07-20,74.57,-0.0047,0.595354,43.91470187475039
137,2015-07-21,74.71,0.0019,0.58255,42.97024892271798
138,2015-07-22,74.86,0.002,0.570479,42.07986376308167
139,2015-07-23,73.91,-0.0128,0.543141,40.0633490174817
140,2015-07-24,73.82,-0.0012,0.507356,37.423763818443916
141,2015-07-27,72.39,-0.0196,0.48343899999999995,35.65959002480449
142,2015-07-28,72.68,0.004,0.459065,33.86170684354567
143,2015-07-29,74.23,0.0211,0.431378,31.819449042630218
144,2015-07-30,72.99,-0.0168,0.41769399999999995,30.81008523478802
145,2015-07-31,74.11,0.0152,0.407059,30.025622789859508
146,2015-08-03,73.83,-0.0038,0.39773600000000003,29.337936529956497
147,2015-08-04,72.99,-0.0114,0.379514,27.99383924067701
148,2015-08-05,70.14,-0.0398,0.341484,25.188657596988115
149,2015-08-06,70.01,-0.0019,0.318169,23.468888729709477
150,2015-08-07,70.86,0.0121,0.31705500000000003,23.386717487241178
151,2015-08-10,70.76,-0.0014,0.32048000000000004,23.63935348854632
152,2015-08-11,69.58,-0.0168,0.324072,23.90430779998809
153,2015-08-12,68.77,-0.0117,0.33372,24.615966819139032
154,2015-08-13,68.55,-0.0032,0.34842599999999996,25.700715734523957
155,2015-08-14,69.02,0.0068,0.363867,26.839679966977293
156,2015-08-17,68.81,-0.003,0.37450000000000006,27.623994887233515
157,2015-08-18,69.22,0.0059,0.38658000000000003,28.515043907895144
158,2015-08-19,69.51,0.0042,0.391734,28.895214988399285
159,2015-08-20,68.98,-0.0077,0.39395899999999995,29.05933618632744
160,2015-08-21,68.75,-0.0033,0.40239199999999997,29.681373967059187
161,2015-08-24,66.67,-0.0307,0.40958,30.21157763928732
162,2015-08-25,67.94,0.0189,0.431838,31.853379717258065
163,2015-08-26,69.63,0.0246,0.44616999999999996,32.91054151892383
164,2015-08-27,72.07,0.0344,0.45112,33.27566508285389
165,2015-08-28,71.85,-0.0031,0.451128,33.276255181543064
166,2015-08-31,70.61,-0.0174,0.45062199999999997,33.238931439452436
167,2015-09-01,69.09,-0.0218,0.452044,33.343821481454164
168,2015-09-02,69.44,0.0051,0.45737900000000004,33.73734354480101
169,2015-09-03,69.36,-0.0012,0.458932,33.85189645283805
170,2015-09-04,68.96,-0.0058,0.46356299999999995,34.19348983153705
171,2015-09-08,72.57,0.051,0.468178,34.53390301285771
172,2015-09-09,71.72,-0.0118,0.468605,34.56539953039268
173,2015-09-10,73.57,0.0255,0.46469,34.27661998437527
174,2015-09-11,74.35,0.0105,0.466782,34.43093079159581
175,2015-09-14,73.53,-0.0111,0.468652,34.56886636019161
176,2015-09-15,74.12,0.008,0.46803400000000006,34.52328123645247
177,2015-09-16,74.61,0.0066,0.468519,34.559055969484
178,2015-09-17,74.71,0.0013,0.469672,34.64410394306205
179,2015-09-18,75.32,0.0081,0.475264,35.05658292679879
180,2015-09-21,74.76,-0.0075,0.482799,35.612382129670095
181,2015-09-22,72.38,-0.0324,0.48266800000000004,35.60271926363478
182,2015-09-23,72.78,0.0055,0.472588,34.85919491526812
183,2015-09-24,72.48,-0.0041,0.464857,34.28893829451191
184,2015-09-25,72.01,-0.0065,0.46024299999999996,33.9485988755274
185,2015-09-28,70.44,-0.022,0.45149900000000004,33.30362100825379
186,2015-09-29,69.79,-0.0093,0.444235,32.76781139847845
187,2015-09-30,74.52,0.0656,0.439664,32.43064375994829
188,2015-10-01,75.19,0.009,0.43868,32.35806162117916
189,2015-10-02,75.64,0.006,0.44061500000000003,32.50079174162455
190,2015-10-05,78.45,0.0365,0.44984900000000005,33.18191315361044
191,2015-10-06,77.84,-0.0078,0.483022,35.628831130630985
192,2015-10-07,80.98,0.0395,0.5105270000000001,37.6576641863676
193,2015-10-08,80.47,-0.0063,0.567241,41.84102131863611
194,2015-10-09,81.05,0.0072,0.60926,44.94044092121733
195,2015-10-12,80.89,-0.002,0.655266,48.33395095801857
196,2015-10-13,76.4,-0.0571,0.6940170000000001,51.1923152460698
197,2015-10-14,76.52,0.0016,0.701419,51.73830405823349
198,2015-10-15,78.7,0.0281,0.709904,52.36417748044491
199,2015-10-16,79.21,0.0065,0.726075,53.55698821828591
200,2015-10-19,78.19,-0.013,0.7431789999999999,54.8186192157525
201,2015-10-20,77.74,-0.0058,0.75472,55.66991033723064
202,2015-10-21,77.82,0.001,0.7627039999999999,56.25882882903217
203,2015-10-22,77.81,-0.0001,0.7664190000000001,56.532855907820085
204,2015-10-23,79.5,0.0215,0.765364,56.455036643184485
205,2015-10-26,78.67,-0.0105,0.7697750000000001,56.78040230793105
206,2015-10-27,79.3,0.008,0.770047,56.80046566336316
207,2015-10-28,79.44,0.0018,0.770429,56.8286428757715
208,2015-10-29,77.53,-0.0243,0.7714719999999999,56.90557699237332
209,2015-10-30,77.35,-0.0023,0.7645740000000001,56.396764397627976
210,2015-11-02,78.11,0.0098,0.753024,55.544809415124504
211,2015-11-03,78.73,0.0079,0.74072,54.63723763116584
212,2015-11-04,75.57,-0.041,0.712756,52.57454766313754
213,2015-11-05,71.69,-0.0527,0.6850740000000001,50.53265867390284
214,2015-11-06,71.61,-0.0011,0.674701,49.767521961044956
215,2015-11-09,71.87,0.0036,0.676442,49.89594218827773
216,2015-11-10,72.77,0.0124,0.676367,49.89041001306668
217,2015-11-11,74.42,0.0224,0.667749,49.25472620014764
218,2015-11-12,73.65,-0.0104,0.645933,47.64552707475408
219,2015-11-13,71.45,-0.0303,0.626638,46.22228279878834
220,2015-11-16,71.83,0.0053,0.613792,45.274731828637734
221,2015-11-17,74.2,0.0325,0.595487,43.924512265458
222,2015-11-18,74.25,0.0007,0.590917,43.587418389263995
223,2015-11-19,74.55,0.004,0.582327,42.95379992175709
