,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,188.06,,,
1,2015-01-05,186.13,-0.0103,,
2,2015-01-06,182.07,-0.022,,
3,2015-01-07,182.67,0.0033,,
4,2015-01-08,184.85,0.0119,,
5,2015-01-09,179.96,-0.0268,,
6,2015-01-12,179.95,-0.0,,
7,2015-01-13,180.26,0.0017,,
8,2015-01-14,181.61,0.0075,,
9,2015-01-15,181.06,-0.0031,,
10,2015-01-16,182.74,0.0093,,
11,2015-01-20,184.53,0.0098,,
12,2015-01-21,185.38,0.0046,,
13,2015-01-22,190.13,0.0253,,
14,2015-01-23,191.34,0.0063,,
15,2015-01-26,190.35,-0.0052,,
16,2015-01-27,184.12,-0.0333,,
17,2015-01-28,180.14,-0.0219,,
18,2015-01-29,184.13,0.022,,
19,2015-01-30,179.94,-0.0231,,
20,2015-02-02,180.88,0.0052,,
21,2015-02-03,185.53,0.0254,,
22,2015-02-04,184.3,-0.0066,,
23,2015-02-05,187.35,0.0164,,
24,2015-02-06,182.07,-0.0286,,
25,2015-02-09,180.3,-0.0098,,
26,2015-02-10,182.39,0.0115,,
27,2015-02-11,183.43,0.0057,,
28,2015-02-12,188.96,0.0297,,
29,2015-02-13,188.93,-0.0002,,
30,2015-02-17,186.84,-0.0111,,
31,2015-02-18,189.93,0.0164,,
32,2015-02-19,190.35,0.0022,,
33,2015-02-20,195.3,0.0257,,
34,2015-02-23,193.3,-0.0103,,
35,2015-02-24,192.64,-0.0034,,
36,2015-02-25,189.5,-0.0164,,
37,2015-02-26,187.85,-0.0088,,
38,2015-02-27,186.01,-0.0099,,
39,2015-03-02,185.56,-0.0024,,
40,2015-03-03,183.47,-0.0113,,
41,2015-03-04,185.72,0.0122,,
42,2015-03-05,194.41,0.0457,,
43,2015-03-06,195.42,0.0052,,
44,2015-03-09,193.26,-0.0111,,
45,2015-03-10,190.25,-0.0157,,
46,2015-03-11,189.73,-0.0028,,
47,2015-03-12,193.46,0.0195,,
48,2015-03-13,192.63,-0.0043,,
49,2015-03-16,197.35,0.0242,,
50,2015-03-17,195.78,-0.008,0.921878,121.94809153396066
51,2015-03-18,197.66,0.0096,0.9532219999999999,126.09434622388758
52,2015-03-19,197.15,-0.0026,0.996333,131.79716609172323
53,2015-03-20,199.7,0.0128,1.022398,135.24510280984936
54,2015-03-23,199.45,-0.0013,1.066065,141.02147160595197
55,2015-03-24,193.34,-0.0311,1.108508,146.6359269340712
56,2015-03-25,191.27,-0.0108,1.094628,144.79984937229904
57,2015-03-26,190.43,-0.0044,1.072686,141.89731235065608
58,2015-03-27,191.99,0.0082,1.049114,138.7791552695255
59,2015-03-30,195.75,0.0194,1.033904,136.76714232179103
60,2015-03-31,194.6,-0.0059,1.026456,135.78190416040206
61,2015-04-01,195.22,0.0032,1.0204389999999999,134.98596189172892
62,2015-04-02,196.9,0.0086,1.022643,135.27751195989507
63,2015-04-06,196.52,-0.0019,1.033692,136.73909848583313
64,2015-04-07,195.8,-0.0037,1.0489279999999999,138.75455077193976
65,2015-04-08,199.82,0.0203,1.059871,140.20211537989888
66,2015-04-09,200.63,0.004,1.091597,144.39890188744806
