,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,64.44,,,
1,2015-01-05,63.95,-0.0076,,
2,2015-01-06,63.83,-0.0018,,
3,2015-01-07,64.48,0.0101,,
4,2015-01-08,64.86,0.0059,,
5,2015-01-09,64.49,-0.0057,,
6,2015-01-12,63.94,-0.0086,,
7,2015-01-13,63.21,-0.0116,,
8,2015-01-14,64.02,0.0128,,
9,2015-01-15,65.01,0.0153,,
10,2015-01-16,65.14,0.002,,
11,2015-01-20,65.16,0.0003,,
12,2015-01-21,65.88,0.011,,
13,2015-01-22,65.69,-0.0029,,
14,2015-01-23,65.82,0.002,,
15,2015-01-26,65.26,-0.0086,,
16,2015-01-27,64.97,-0.0044,,
17,2015-01-28,65.33,0.0055,,
18,2015-01-29,66.04,0.0108,,
19,2015-01-30,64.29,-0.0269,,
20,2015-02-02,64.76,0.0073,,
21,2015-02-03,65.69,0.0143,,
22,2015-02-04,64.26,-0.022,,
23,2015-02-05,63.56,-0.0109,,
24,2015-02-06,60.54,-0.0487,,
25,2015-02-09,59.73,-0.0136,,
26,2015-02-10,60.74,0.0169,,
27,2015-02-11,60.09,-0.0108,,
28,2015-02-12,59.86,-0.0038,,
29,2015-02-13,58.72,-0.0192,,
30,2015-02-17,58.53,-0.0033,,
31,2015-02-18,59.57,0.0176,,
32,2015-02-19,59.2,-0.0062,,
33,2015-02-20,58.87,-0.0055,,
34,2015-02-23,59.59,0.012,,
35,2015-02-24,59.72,0.0022,,
36,2015-02-25,58.92,-0.0135,,
37,2015-02-26,58.78,-0.0023,,
38,2015-02-27,59.01,0.0039,,
39,2015-03-02,57.65,-0.0234,,
40,2015-03-03,57.51,-0.0024,,
41,2015-03-04,56.78,-0.0127,,
42,2015-03-05,57.17,0.0068,,
43,2015-03-06,55.42,-0.031,,
44,2015-03-09,55.44,0.0004,,
45,2015-03-10,56.02,0.0104,,
46,2015-03-11,55.44,-0.0105,,
47,2015-03-12,56.6,0.0208,,
48,2015-03-13,55.41,-0.0213,,
49,2015-03-16,56.41,0.0179,,
50,2015-03-17,56.39,-0.0004,0.6875870000000001,103.0107522967606
51,2015-03-18,58.0,0.0282,0.6947450000000001,104.08312708706381
52,2015-03-19,57.85,-0.0026,0.695525,104.19998268030723
53,2015-03-20,58.67,0.0141,0.696395,104.3303216112326
54,2015-03-23,58.26,-0.0071,0.691926,103.66079898789299
55,2015-03-24,57.37,-0.0154,0.686038,102.77868907376819
56,2015-03-25,57.11,-0.0045,0.6834560000000001,102.3918670971598
57,2015-03-26,56.8,-0.0055,0.6829559999999999,102.31695966559347
58,2015-03-27,56.91,0.0021,0.685215,102.65539144141005
59,2015-03-30,57.38,0.0082,0.683056,102.33194115190675
60,2015-03-31,57.52,0.0023,0.673404,100.8859280929508
61,2015-04-01,57.66,0.0026,0.661165,99.05234398307083
62,2015-04-02,57.65,-0.0003,0.6468640000000001,96.90984162541142
63,2015-04-06,58.94,0.0222,0.62581,93.75563949701746
64,2015-04-07,57.98,-0.0165,0.602184,90.21611354064648
65,2015-04-08,57.86,-0.0019,0.576246,86.33021562071288
66,2015-04-09,57.16,-0.0123,0.552551,82.78035243878573
67,2015-04-10,57.96,0.0139,0.5301440000000001,79.42345080057339
68,2015-04-13,57.36,-0.0104,0.5001180000000001,74.9251097201537
69,2015-04-14,57.73,0.0064,0.459207,68.79603385453555
70,2015-04-15,57.75,0.0004,0.431869,64.70039512621632
71,2015-04-16,57.42,-0.0058,0.395601,59.266909670122885
72,2015-04-17,57.37,-0.0009,0.339835,50.91233401266987
73,2015-04-20,58.16,0.0137,0.295608,44.28647206090401
74,2015-04-21,57.94,-0.0038,0.252958,37.896868148298275
75,2015-04-22,57.8,-0.0024,0.24224900000000002,36.29250077901118
76,2015-04-23,58.32,0.0089,0.23664300000000002,35.45263865628978
77,2015-04-24,58.74,0.0072,0.222908,33.3949315111634
