,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,19.31,,,
1,2015-01-05,18.98,-0.0172,,
2,2015-01-06,18.66,-0.0173,,
3,2015-01-07,18.53,-0.0066,,
4,2015-01-08,18.95,0.0224,,
5,2015-01-09,18.74,-0.0115,,
6,2015-01-12,18.6,-0.0072,,
7,2015-01-13,18.69,0.0048,,
8,2015-01-14,18.31,-0.0209,,
9,2015-01-15,17.92,-0.0211,,
10,2015-01-16,18.44,0.0282,,
11,2015-01-20,18.5,0.0033,,
12,2015-01-21,18.69,0.0103,,
13,2015-01-22,18.93,0.0126,,
14,2015-01-23,18.86,-0.0035,,
15,2015-01-26,18.78,-0.0041,,
16,2015-01-27,18.5,-0.0153,,
17,2015-01-28,18.34,-0.0087,,
18,2015-01-29,18.45,0.0058,,
19,2015-01-30,18.2,-0.0132,,
20,2015-02-02,18.44,0.0128,,
21,2015-02-03,18.77,0.0179,,
22,2015-02-04,17.31,-0.081,,
23,2015-02-05,17.24,-0.0038,,
24,2015-02-06,17.36,0.0066,,
25,2015-02-09,17.33,-0.0019,,
26,2015-02-10,17.43,0.0059,,
27,2015-02-11,17.3,-0.0073,,
28,2015-02-12,17.32,0.0009,,
29,2015-02-13,17.42,0.0061,,
30,2015-02-17,17.47,0.0026,,
31,2015-02-18,17.65,0.0105,,
32,2015-02-19,17.61,-0.0023,,
33,2015-02-20,17.53,-0.0044,,
34,2015-02-23,17.31,-0.0132,,
35,2015-02-24,17.26,-0.0026,,
36,2015-02-25,17.4,0.0078,,
37,2015-02-26,17.31,-0.0052,,
38,2015-02-27,17.03,-0.0158,,
39,2015-03-02,17.01,-0.0012,,
40,2015-03-03,16.85,-0.0097,,
41,2015-03-04,16.33,-0.0316,,
42,2015-03-05,16.65,0.0199,,
43,2015-03-06,16.62,-0.0017,,
44,2015-03-09,16.76,0.0079,,
45,2015-03-10,16.65,-0.0066,,
46,2015-03-11,16.57,-0.0044,,
47,2015-03-12,16.81,0.0142,,
48,2015-03-13,16.74,-0.0042,,
49,2015-03-16,16.96,0.0129,,
50,2015-03-17,17.46,0.0293,0.157388,19.60695042605317
51,2015-03-18,17.57,0.0061,0.15177300000000002,18.9074496595253
52,2015-03-19,17.41,-0.0089,0.147901,18.425086886952563
53,2015-03-20,17.34,-0.004,0.145779,18.160734148471324
54,2015-03-23,17.31,-0.0019,0.144159,17.958919145483765
55,2015-03-24,17.38,0.004,0.139966,17.43656710380053
56,2015-03-25,17.17,-0.0119,0.136722,17.03243878917606
57,2015-03-26,17.0,-0.0103,0.134355,16.737564645922014
58,2015-03-27,16.88,-0.007,0.131607,16.39522660381719
59,2015-03-30,17.14,0.0152,0.13106099999999998,16.32720747318064
60,2015-03-31,16.99,-0.0086,0.13094,16.31213363653774
61,2015-04-01,16.91,-0.0048,0.129011,16.071824290387738
62,2015-04-02,16.83,-0.0046,0.126672,15.780438307679157
63,2015-04-06,16.86,0.0019,0.122855,15.304927279035011
64,2015-04-07,16.54,-0.0191,0.1162,14.475866263675618
65,2015-04-08,16.59,0.0027,0.11058299999999999,13.776116342823071
66,2015-04-09,16.56,-0.002,0.104534,13.02254908784051
67,2015-04-10,16.4,-0.0092,0.10058,12.529970987956057
68,2015-04-13,16.41,0.0002,0.09821300000000001,12.235096844702012
69,2015-04-14,17.14,0.0435,0.094138,11.72744490817466
70,2015-04-15,16.96,-0.0106,0.089527,11.15301961263414
71,2015-04-16,16.82,-0.0083,0.082003,10.215701043203028
72,2015-04-17,16.62,-0.0118,0.068139,8.488563264548993
73,2015-04-20,16.73,0.0064,0.068782,8.568666379932326
74,2015-04-21,16.92,0.0112,0.069079,8.605665797146713
75,2015-04-22,17.05,0.0077,0.068561,8.541134827055629
76,2015-04-23,17.25,0.0117,0.068061,8.47884624588663
77,2015-04-24,17.18,-0.0038,0.067424,8.399490593477323
78,2015-04-27,17.5,0.0186,0.067124,8.362117444775924
79,2015-04-28,17.64,0.0075,0.067937,8.463398677756716
80,2015-04-29,17.78,0.0079,0.069113,8.609901420666205
81,2015-04-30,17.59,-0.0105,0.07106499999999999,8.853076041549981
82,2015-05-01,17.68,0.0051,0.07066900000000001,8.803743485264135
83,2015-05-04,17.81,0.0072,0.071115,8.859304899666881
