,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,40.65,,,
1,2015-01-05,40.1,-0.0135,,
2,2015-01-06,39.2,-0.0229,,
3,2015-01-07,39.76,0.0143,,
4,2015-01-08,41.05,0.0319,,
5,2015-01-09,41.55,0.0121,,
6,2015-01-12,41.6,0.0013,,
7,2015-01-13,41.33,-0.0066,,
8,2015-01-14,41.44,0.0026,,
9,2015-01-15,39.65,-0.0441,,
10,2015-01-16,40.76,0.0275,,
11,2015-01-20,40.14,-0.0153,,
12,2015-01-21,40.24,0.0025,,
13,2015-01-22,40.69,0.0112,,
14,2015-01-23,40.7,0.0002,,
15,2015-01-26,41.25,0.0133,,
16,2015-01-27,41.15,-0.0024,,
17,2015-01-28,41.02,-0.0031,,
18,2015-01-29,41.18,0.004,,
19,2015-01-30,40.65,-0.0131,,
20,2015-02-02,41.64,0.024,,
21,2015-02-03,42.78,0.0271,,
22,2015-02-04,42.86,0.0019,,
23,2015-02-05,39.87,-0.0724,,
24,2015-02-06,39.3,-0.0144,,
25,2015-02-09,39.06,-0.006,,
26,2015-02-10,40.2,0.0289,,
27,2015-02-11,40.36,0.0038,,
28,2015-02-12,41.35,0.0242,,
29,2015-02-13,42.27,0.0221,,
30,2015-02-17,42.64,0.0088,,
31,2015-02-18,42.74,0.0023,,
32,2015-02-19,43.36,0.0143,,
33,2015-02-20,43.56,0.0046,,
34,2015-02-23,43.44,-0.0027,,
35,2015-02-24,43.52,0.0017,,
36,2015-02-25,43.31,-0.0048,,
37,2015-02-26,42.69,-0.0144,,
38,2015-02-27,42.16,-0.0124,,
39,2015-03-02,43.01,0.0201,,
40,2015-03-03,42.35,-0.0156,,
41,2015-03-04,42.2,-0.0034,,
42,2015-03-05,42.14,-0.0015,,
43,2015-03-06,40.92,-0.0294,,
44,2015-03-09,41.26,0.0082,,
45,2015-03-10,40.97,-0.0071,,
46,2015-03-11,41.3,0.0082,,
47,2015-03-12,41.33,0.0007,,
48,2015-03-13,40.86,-0.0115,,
49,2015-03-16,41.04,0.0044,,
50,2015-03-17,40.25,-0.0195,0.228031,25.2353929750141
51,2015-03-18,40.93,0.0168,0.229229,25.367971443661197
52,2015-03-19,41.03,0.0024,0.226919,25.11233182548524
53,2015-03-20,42.01,0.0237,0.21904,24.2403904611526
54,2015-03-23,41.76,-0.0061,0.214753,23.76596316975851
55,2015-03-24,42.01,0.0061,0.21459,23.747924530034403
56,2015-03-25,40.91,-0.0266,0.21507500000000002,23.80159778320122
57,2015-03-26,40.37,-0.0134,0.21560400000000002,23.86014036242853
58,2015-03-27,40.31,-0.0014,0.217638,24.085236026225022
59,2015-03-30,42.79,0.0596,0.219811,24.325714333712625
60,2015-03-31,43.21,0.0099,0.217211,24.03798143013795
61,2015-04-01,42.5,-0.0166,0.22112600000000002,24.471240783020587
62,2015-04-02,42.67,0.0038,0.21917799999999998,24.255662438342327
63,2015-04-06,42.59,-0.0019,0.217858,24.109582656527493
64,2015-04-07,42.12,-0.011,0.217749,24.097520007877634
65,2015-04-08,42.21,0.0022,0.216397,23.947898898018803
66,2015-04-09,41.86,-0.0084,0.21645199999999998,23.953985555594418
67,2015-04-10,42.0,0.0033,0.215893,23.892122981325866
68,2015-04-13,41.79,-0.0048,0.21508400000000003,23.802593781713597
69,2015-04-14,41.97,0.0041,0.214502,23.738185877913416
70,2015-04-15,41.77,-0.0048,0.212313,23.495936906403813
71,2015-04-16,41.08,-0.0167,0.21227000000000001,23.491178246844697
72,2015-04-17,40.83,-0.006,0.21139,23.393791725634802
73,2015-04-20,41.59,0.0186,0.21065799999999998,23.312783846628395
74,2015-04-21,42.1,0.012,0.204394,22.61956888201618
