,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,129.73,,,
1,2015-01-05,127.7,-0.0158,,
2,2015-01-06,127.02,-0.0053,,
3,2015-01-07,128.04,0.008,,
4,2015-01-08,129.62,0.0122,,
5,2015-01-09,128.6,-0.0079,,
6,2015-01-12,128.68,0.0006,,
7,2015-01-13,129.44,0.0059,,
8,2015-01-14,129.19,-0.0019,,
9,2015-01-15,127.78,-0.011,,
10,2015-01-16,129.39,0.0126,,
11,2015-01-20,128.66,-0.0057,,
12,2015-01-21,128.28,-0.0029,,
13,2015-01-22,131.85,0.0275,,
14,2015-01-23,133.17,0.01,,
15,2015-01-26,134.78,0.0121,,
16,2015-01-27,134.58,-0.0015,,
17,2015-01-28,133.74,-0.0063,,
18,2015-01-29,133.76,0.0001,,
19,2015-01-30,132.49,-0.0095,,
20,2015-02-02,133.16,0.005,,
21,2015-02-03,137.19,0.0298,,
22,2015-02-04,136.35,-0.0061,,
23,2015-02-05,136.94,0.0043,,
24,2015-02-06,136.55,-0.0028,,
25,2015-02-09,137.04,0.0036,,
26,2015-02-10,138.39,0.0098,,
27,2015-02-11,139.16,0.0055,,
28,2015-02-12,141.92,0.0197,,
29,2015-02-13,143.07,0.008,,
30,2015-02-17,142.14,-0.0065,,
31,2015-02-18,143.49,0.0095,,
32,2015-02-19,144.08,0.0041,,
33,2015-02-20,145.84,0.0121,,
34,2015-02-23,145.86,0.0002,,
35,2015-02-24,145.33,-0.0037,,
36,2015-02-25,145.47,0.001,,
37,2015-02-26,144.19,-0.0088,,
38,2015-02-27,143.89,-0.0021,,
39,2015-03-02,144.17,0.002,,
40,2015-03-03,143.02,-0.0081,,
41,2015-03-04,141.24,-0.0125,,
42,2015-03-05,142.92,0.0118,,
43,2015-03-06,140.7,-0.0157,,
44,2015-03-09,141.21,0.0037,,
45,2015-03-10,138.86,-0.0168,,
46,2015-03-11,139.48,0.0045,,
47,2015-03-12,141.94,0.0174,,
48,2015-03-13,140.4,-0.0109,,
49,2015-03-16,142.63,0.0158,,
50,2015-03-17,147.04,0.0305,1.177326,151.14966671043777
51,2015-03-18,145.76,-0.0087,1.191999,153.03344321723557
52,2015-03-19,144.72,-0.0072,1.184532,152.0748008689592
53,2015-03-20,143.96,-0.0053,1.163463,149.36988113736214
54,2015-03-23,144.96,0.0069,1.142017,146.61656068723022
55,2015-03-24,145.59,0.0043,1.1308669999999998,145.18508055018964
56,2015-03-25,143.8,-0.0123,1.112536,142.8316758513475
57,2015-03-26,144.88,0.0074,1.083849,139.14872780728638
58,2015-03-27,145.97,0.0075,1.060385,136.1363287099304
59,2015-03-30,147.91,0.0132,1.035475,132.93828653829993
60,2015-03-31,147.26,-0.0044,1.003222,128.79752161812343
61,2015-04-01,148.1,0.0056,0.975115,125.18903621796214
62,2015-04-02,147.99,-0.0007,0.938571,120.49737611679541
63,2015-04-06,147.98,-0.0001,0.889627,114.21375604259704
64,2015-04-07,148.02,0.0003,0.867359,111.35490405231735
65,2015-04-08,148.98,0.0065,0.851194,109.27957881328057
66,2015-04-09,148.97,-0.0001,0.8479869999999999,108.86785174606182
67,2015-04-10,146.66,-0.0156,0.83968,107.80136694799943
68,2015-04-13,145.72,-0.0065,0.81053,104.05897717268718
69,2015-04-14,146.75,0.007,0.774445,99.42624526729638
70,2015-04-15,146.78,0.0003,0.723554,92.89266180055829
71,2015-04-16,146.5,-0.002,0.672392,86.32428630537731
72,2015-04-17,144.53,-0.0135,0.652775,83.80577995126754
73,2015-04-20,145.64,0.0077,0.619719,79.56192278445033
74,2015-04-21,146.37,0.0049,0.590042,75.75187471028424
75,2015-04-22,146.61,0.0016,0.554444,71.18166574899557
76,2015-04-23,147.71,0.0075,0.519745,66.72687388575167
77,2015-04-24,147.75,0.0003,0.498187,63.95917444231492
78,2015-04-27,146.93,-0.0056,0.48046500000000003,61.683955519567625
79,2015-04-28,147.89,0.0065,0.476431,61.16605499285718
80,2015-04-29,146.96,-0.0063,0.479715,61.58766761797297
81,2015-04-30,145.59,-0.0094,0.475259,61.01558909863193
82,2015-05-01,147.21,0.0111,0.473061,60.733401355025194
83,2015-05-04,148.07,0.0058,0.474948,60.97566171543734
84,2015-05-05,147.05,-0.0069,0.48064300000000004,61.70680784821276
85,2015-05-06,147.21,0.0011,0.482676,61.967812253468665
86,2015-05-07,147.71,0.0034,0.48524500000000004,62.29763041239756
87,2015-05-08,148.99,0.0087,0.48923900000000003,62.81039558435629
88,2015-05-11,149.58,0.0039,0.49722299999999997,63.83541239279858
89,2015-05-12,149.46,-0.0008,0.5068050000000001,65.0655866235719
90,2015-05-13,150.64,0.0079,0.51534,66.16134294371906
91,2015-05-14,152.73,0.0138,0.526172,67.55199701048346
92,2015-05-15,152.86,0.0008,0.541554,69.52679768025543
93,2015-05-18,154.08,0.008,0.563634,72.36151350320206
94,2015-05-19,155.27,0.0077,0.579583,74.40910782657959
95,2015-05-20,154.96,-0.002,0.6060070000000001,77.80152317556247
96,2015-05-21,155.13,0.0011,0.603271,77.45026491054516
97,2015-05-22,154.1,-0.0066,0.602067,77.29569073251854
98,2015-05-26,152.58,-0.0099,0.607639,78.01104564943243
99,2015-05-27,154.63,0.0133,0.5863929999999999,75.28340197305904
100,2015-05-28,153.93,-0.0046,0.593966,76.25565301142748
101,2015-05-29,153.19,-0.0048,0.612374,78.61894326816667
102,2015-06-01,154.65,0.0095,0.6214970000000001,79.79018930316407
103,2015-06-02,154.37,-0.0018,0.633857,81.37701392144398
104,2015-06-03,154.71,0.0022,0.637845,81.88900879018995
105,2015-06-04,153.18,-0.0099,0.646795,83.03804441588616
106,2015-06-05,152.69,-0.0032,0.648301,83.23139052228822
107,2015-06-08,151.69,-0.0066,0.636645,81.7349481476385
108,2015-06-09,151.57,-0.0008,0.62658,80.44276450823824
109,2015-06-10,153.85,0.0149,0.620617,79.67721149862633
110,2015-06-11,154.36,0.0033,0.628453,80.68322749448728
111,2015-06-12,153.72,-0.0042,0.636036,81.65676237154365
112,2015-06-15,153.49,-0.0015,0.64178,82.3941993138899
113,2015-06-16,150.01,-0.0229,0.645581,82.8821863991716
114,2015-06-17,152.24,0.0147,0.6426919999999999,82.51128540222899
115,2015-06-18,152.97,0.0048,0.6419459999999999,82.4155110361095
116,2015-06-19,152.37,-0.0039,0.6447759999999999,82.77883738479333
117,2015-06-22,151.66,-0.0046,0.645672,82.89386933123177
118,2015-06-23,154.08,0.0158,0.637776,81.88015030324324
119,2015-06-24,151.88,-0.0144,0.6303540000000001,80.92728522906255
120,2015-06-25,152.99,0.0073,0.621312,79.76643828743738
121,2015-06-26,153.15,0.001,0.613683,78.78699775241655
122,2015-06-29,150.44,-0.0178,0.603817,77.52036250290608
123,2015-06-30,150.73,0.0019,0.576445,74.00623924630756
124,2015-07-01,152.94,0.0146,0.555826,71.35909225566732
125,2015-07-02,151.69,-0.0082,0.540353,69.37260865383519
126,2015-07-06,150.89,-0.0053,0.523597,67.22140854834181
127,2015-07-07,149.61,-0.0085,0.513136,65.87838489689958
128,2015-07-08,148.63,-0.0066,0.5051,64.84669212728005
129,2015-07-09,149.19,0.0037,0.495246,63.58159748419508
130,2015-07-10,150.73,0.0103,0.48904899999999996,62.78600264928564
131,2015-07-13,151.11,0.0025,0.47205199999999997,60.60386203141318
132,2015-07-14,151.39,0.0018,0.440554,56.560026932175276
133,2015-07-15,152.88,0.0098,0.42145699999999997,54.108280189837785
134,2015-07-16,154.33,0.0094,0.40799399999999997,52.37984816427934
135,2015-07-17,153.18,-0.0075,0.388059,49.82051573989342
136,2015-07-20,154.59,0.0092,0.363292,46.640832461500345
137,2015-07-21,153.06,-0.01,0.345006,44.29320503675387
138,2015-07-22,153.15,0.0006,0.331601,42.572219275585404
139,2015-07-23,151.98,-0.0077,0.321519,41.27785311041566
140,2015-07-24,152.45,0.0031,0.309952,39.79283690008851
141,2015-07-27,149.86,-0.0171,0.304868,39.14013331114554
142,2015-07-28,151.77,0.0126,0.314488,40.375186128932974
143,2015-07-29,153.09,0.0087,0.315369,40.4882923173395
144,2015-07-30,153.63,0.0035,0.313134,40.20135437058743
145,2015-07-31,153.65,0.0001,0.305831,39.26376697679308
146,2015-08-03,154.2,0.0036,0.300265,38.54918236309195
147,2015-08-04,156.23,0.0131,0.295365,37.92010140600687
148,2015-08-05,158.47,0.0143,0.30898800000000004,39.66907485057218
149,2015-08-06,156.76,-0.0108,0.347489,44.61198218296657
150,2015-08-07,157.51,0.0047,0.36082299999999995,46.32385268945073
151,2015-08-10,158.99,0.0094,0.381888,49.028258885572605
152,2015-08-11,156.85,-0.0136,0.416659,53.49229438736958
153,2015-08-12,155.74,-0.0071,0.427491,54.88294845413398
154,2015-08-13,157.54,0.0115,0.432359,55.50792112741769
155,2015-08-14,158.73,0.0075,0.44721299999999997,57.41493511446701
156,2015-08-17,160.64,0.012,0.47271599999999997,60.68910892029165
157,2015-08-18,160.36,-0.0017,0.513698,65.95053663116117
158,2015-08-19,158.79,-0.0099,0.545505,70.03404234585608
159,2015-08-20,154.53,-0.0272,0.5610499999999999,72.02976958624127
160,2015-08-21,150.23,-0.0282,0.56153,72.09139384326186
161,2015-08-24,142.23,-0.0547,0.568774,73.02140658879743
162,2015-08-25,142.75,0.0036,0.646136,82.95343944635165
163,2015-08-26,146.19,0.0238,0.706738,90.73375866293733
164,2015-08-27,148.22,0.0138,0.726585,93.28179330686947
165,2015-08-28,149.05,0.0056,0.737999,94.74716678527132
166,2015-08-31,146.88,-0.0146,0.7456130000000001,95.72468156226027
167,2015-09-01,142.65,-0.0292,0.7630800000000001,97.96716259846538
168,2015-09-02,145.1,0.0171,0.810423,104.04524009872634
169,2015-09-03,147.33,0.0152,0.8342430000000001,107.10334385337258
170,2015-09-04,144.84,-0.017,0.845484,108.54650692247326
171,2015-09-08,150.5,0.0383,0.8691500000000001,111.5848395613254
172,2015-09-09,149.74,-0.0051,0.869897,111.68074231131367
173,2015-09-10,150.79,0.007,0.8711199999999999,111.83775578284732
174,2015-09-11,153.04,0.0148,0.8710519999999999,111.82902567976942
175,2015-09-14,153.62,0.0038,0.8711220000000001,111.83801255058493
176,2015-09-15,154.73,0.0072,0.871986,111.94893621322198
177,2015-09-16,154.72,-0.0001,0.874018,112.20981223460909
178,2015-09-17,154.13,-0.0038,0.8735250000000001,112.14651898729421
179,2015-09-18,152.83,-0.0085,0.8687999999999999,111.53990520724787
180,2015-09-21,154.33,0.0098,0.8641989999999999,110.94921102693186
181,2015-09-22,151.3,-0.0198,0.86413,110.94035253998516
182,2015-09-23,151.7,0.0026,0.863902,110.91108101790039
183,2015-09-24,148.28,-0.0228,0.863619,110.87474838303201
184,2015-09-25,148.67,0.0026,0.871388,111.87216265968384
185,2015-09-28,145.45,-0.0219,0.8759560000000001,112.45862017232969
186,2015-09-29,145.15,-0.002,0.895474,114.96441652342897
187,2015-09-30,148.64,0.0237,0.913138,117.23218918178627
188,2015-10-01,148.77,0.0009,0.9173009999999999,117.76665122757099
189,2015-10-02,150.1,0.0089,0.920703,118.20341314920437
190,2015-10-05,149.75,-0.0023,0.921943,118.36260914650751
191,2015-10-06,149.4,-0.0024,0.923478,118.55967838510458
192,2015-10-07,150.4,0.0066,0.92428,118.66264224787646
193,2015-10-08,151.27,0.0058,0.925028,118.75867338173353
194,2015-10-09,152.15,0.0058,0.9243600000000001,118.6729129573799
195,2015-10-12,152.78,0.0041,0.922932,118.48958079274367
196,2015-10-13,152.09,-0.0045,0.921845,118.35002752736582
197,2015-10-14,150.64,-0.0096,0.919283,118.02110805551847
198,2015-10-15,153.08,0.0161,0.910776,116.92894648369752
199,2015-10-16,153.81,0.0047,0.891515,114.45614478687797
200,2015-10-19,155.86,0.0132,0.8817860000000001,113.20709812739213
201,2015-10-20,156.26,0.0026,0.874278,112.24319204049523
202,2015-10-21,156.45,0.0012,0.859364,110.32847502131834
203,2015-10-22,161.24,0.0302,0.857499,110.08903910601963
204,2015-10-23,163.71,0.0152,0.891213,114.41737285850255
205,2015-10-26,163.67,-0.0002,0.937435,120.35153204184671
206,2015-10-27,161.73,-0.0119,0.974641,125.12818226415432
207,2015-10-28,163.27,0.0094,0.982616,126.1520436177775
208,2015-10-29,163.03,-0.0015,1.004799,128.9999829792098
209,2015-10-30,162.88,-0.0009,1.0333320000000001,132.66315990747685
