,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,28.64,,,
1,2015-01-05,27.87,-0.0272,,
2,2015-01-06,28.02,0.0052,,
3,2015-01-07,28.25,0.0083,,
4,2015-01-08,28.51,0.009,,
5,2015-01-09,28.47,-0.0013,,
6,2015-01-12,28.1,-0.0132,,
7,2015-01-13,28.22,0.0044,,
8,2015-01-14,28.9,0.0235,,
9,2015-01-15,29.17,0.0096,,
10,2015-01-16,29.9,0.0245,,
11,2015-01-20,29.93,0.001,,
12,2015-01-21,30.17,0.0083,,
13,2015-01-22,29.87,-0.0102,,
14,2015-01-23,30.12,0.0085,,
15,2015-01-26,30.21,0.0029,,
16,2015-01-27,30.05,-0.0053,,
17,2015-01-28,29.76,-0.0095,,
18,2015-01-29,30.23,0.0153,,
19,2015-01-30,29.47,-0.0255,,
20,2015-02-02,29.48,0.0005,,
21,2015-02-03,29.55,0.0022,,
22,2015-02-04,29.6,0.002,,
23,2015-02-05,30.25,0.0214,,
24,2015-02-06,28.71,-0.0523,,
25,2015-02-09,27.98,-0.0258,,
26,2015-02-10,28.47,0.0175,,
27,2015-02-11,27.68,-0.0281,,
28,2015-02-12,27.4,-0.0102,,
29,2015-02-13,27.44,0.0016,,
30,2015-02-17,27.22,-0.0081,,
31,2015-02-18,26.62,-0.0225,,
32,2015-02-19,26.71,0.0033,,
33,2015-02-20,26.43,-0.0105,,
34,2015-02-23,26.24,-0.007,,
35,2015-02-24,26.59,0.0131,,
36,2015-02-25,26.43,-0.0061,,
37,2015-02-26,26.25,-0.0067,,
38,2015-02-27,25.79,-0.0179,,
39,2015-03-02,25.28,-0.0199,,
40,2015-03-03,25.33,0.002,,
41,2015-03-04,25.29,-0.0015,,
42,2015-03-05,25.62,0.0127,,
43,2015-03-06,25.14,-0.0189,,
44,2015-03-09,25.17,0.0015,,
45,2015-03-10,25.36,0.0073,,
46,2015-03-11,25.19,-0.0067,,
47,2015-03-12,25.91,0.0283,,
48,2015-03-13,25.51,-0.0158,,
49,2015-03-16,25.88,0.0146,,
50,2015-03-17,25.85,-0.0014,0.33354799999999996,48.03871980042558
51,2015-03-18,26.62,0.0295,0.33663400000000004,48.4831760385206
52,2015-03-19,26.49,-0.0047,0.337888,48.663781392561795
53,2015-03-20,26.82,0.0122,0.339279,48.86411795354369
54,2015-03-23,26.82,0.0,0.339613,48.912221771924685
55,2015-03-24,26.32,-0.0189,0.339416,48.883849160484395
56,2015-03-25,25.74,-0.0221,0.340254,49.00454077666185
57,2015-03-26,25.59,-0.006,0.343367,49.45288564678167
58,2015-03-27,25.54,-0.002,0.346619,49.92124977065885
59,2015-03-30,26.18,0.0248,0.34806899999999996,50.130083712731995
60,2015-03-31,25.85,-0.0128,0.345999,49.83195525749653
61,2015-04-01,25.42,-0.0164,0.34082999999999997,49.0874982598578
62,2015-04-02,26.05,0.0243,0.336094,48.40540339802438
63,2015-04-06,26.38,0.0124,0.326812,47.06857812193953
64,2015-04-07,26.4,0.0008,0.318046,45.806068924551056
