,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,130.33,,,
1,2015-01-05,129.76,-0.0044,,
2,2015-01-06,126.73,-0.0236,,
3,2015-01-07,128.35,0.0127,,
4,2015-01-08,129.65,0.0101,,
5,2015-01-09,129.89,0.0018,,
6,2015-01-12,127.92,-0.0153,,
7,2015-01-13,128.67,0.0058,,
8,2015-01-14,125.6,-0.0241,,
9,2015-01-15,124.22,-0.011,,
10,2015-01-16,126.29,0.0165,,
11,2015-01-20,126.25,-0.0003,,
12,2015-01-21,125.95,-0.0024,,
13,2015-01-22,113.4,-0.105,,
14,2015-01-23,114.85,0.0127,,
15,2015-01-26,114.3,-0.0048,,
16,2015-01-27,113.19,-0.0098,,
17,2015-01-28,112.84,-0.0031,,
18,2015-01-29,113.98,0.0101,,
19,2015-01-30,111.62,-0.0209,,
20,2015-02-02,112.61,0.0088,,
21,2015-02-03,112.35,-0.0023,,
22,2015-02-04,110.1,-0.0202,,
23,2015-02-05,111.08,0.0089,,
24,2015-02-06,111.99,0.0082,,
25,2015-02-09,110.45,-0.0138,,
26,2015-02-10,112.86,0.0216,,
27,2015-02-11,113.77,0.008,,
28,2015-02-12,115.27,0.0131,,
29,2015-02-13,116.64,0.0118,,
30,2015-02-17,116.43,-0.0018,,
31,2015-02-18,117.62,0.0102,,
32,2015-02-19,118.32,0.0059,,
33,2015-02-20,119.36,0.0088,,
34,2015-02-23,118.53,-0.007,,
35,2015-02-24,119.6,0.009,,
36,2015-02-25,118.83,-0.0065,,
37,2015-02-26,119.04,0.0018,,
38,2015-02-27,118.12,-0.0078,,
39,2015-03-02,119.56,0.0121,,
40,2015-03-03,119.01,-0.0046,,
41,2015-03-04,119.24,0.0019,,
42,2015-03-05,119.22,-0.0002,,
43,2015-03-06,117.96,-0.0106,,
44,2015-03-09,114.83,-0.0269,,
45,2015-03-10,112.29,-0.0224,,
46,2015-03-11,112.9,0.0054,,
47,2015-03-12,113.04,0.0012,,
48,2015-03-13,112.36,-0.006,,
49,2015-03-16,113.27,0.0081,,
50,2015-03-17,112.59,-0.006,1.184526,129.15335820588615
51,2015-03-18,114.27,0.0148,1.1479430000000002,125.16457509496591
52,2015-03-19,114.56,0.0025,1.105799,120.5694550822107
53,2015-03-20,116.35,0.0155,1.080736,117.83674122306861
54,2015-03-23,115.42,-0.008,1.038823,113.26680801562252
55,2015-03-24,115.02,-0.0035,0.982,107.07118101095307
56,2015-03-25,112.9,-0.0186,0.916328,99.91071400550368
57,2015-03-26,112.23,-0.006,0.867643,94.60240397748102
58,2015-03-27,113.87,0.0145,0.8056399999999999,87.84198194466825
59,2015-03-30,115.26,0.0121,0.7632840000000001,83.2237467685991
60,2015-03-31,114.94,-0.0028,0.727333,79.30387301246388
61,2015-04-01,114.31,-0.0055,0.6655070000000001,72.56274996034252
62,2015-04-02,113.71,-0.0053,0.595085,64.88437245611304
63,2015-04-06,111.74,-0.0175,0.516641,56.331325894785955
64,2015-04-07,113.12,0.0123,0.522208,56.938316999356196
65,2015-04-08,113.43,0.0027,0.5243990000000001,57.177210031530336
66,2015-04-09,116.09,0.0232,0.525614,57.30968608542881
67,2015-04-10,113.82,-0.0197,0.524672,57.20697625598653
68,2015-04-13,113.64,-0.0016,0.522472,56.96710191970945
69,2015-04-14,113.34,-0.0026,0.523007,57.02543499694046
70,2015-04-15,117.11,0.0327,0.516975,56.36774318038438
71,2015-04-16,118.09,0.0083,0.51613,56.27560962849614
72,2015-04-17,116.22,-0.016,0.517184,56.3905312423307
73,2015-04-20,117.43,0.0104,0.498776,54.383437250426816
74,2015-04-21,118.93,0.0127,0.488418,53.254065261718615
75,2015-04-22,120.42,0.0125,0.488325,53.243925119321446
76,2015-04-23,122.4,0.0163,0.485229,52.90635650790606
77,2015-04-24,123.18,0.0064,0.51087,55.70209189721548
78,2015-04-27,123.47,0.0024,0.543479,59.257574729787954
79,2015-04-28,125.59,0.017,0.578024,63.02414697828426
80,2015-04-29,123.75,-0.0148,0.6303799999999999,68.73272004652199
81,2015-04-30,122.02,-0.0141,0.660433,72.0095125138562
82,2015-05-01,123.37,0.011,0.6759820000000001,73.7048789023891
83,2015-05-04,124.41,0.0084,0.6984279999999999,76.15225133515064
84,2015-05-05,121.96,-0.0199,0.725063,79.05636631094161
85,2015-05-06,122.98,0.0083,0.73665,80.31974082659734
86,2015-05-07,124.43,0.0117,0.751175,81.90345661497219
87,2015-05-08,126.05,0.0129,0.775987,84.60880299302082
88,2015-05-11,126.28,0.0018,0.8110649999999999,88.4334902511697
89,2015-05-12,125.03,-0.0099,0.846518,92.29906518027492
90,2015-05-13,126.24,0.0096,0.869281,94.78100132421822
91,2015-05-14,127.6,0.0107,0.8996989999999999,98.09759112461656
92,2015-05-15,127.79,0.0015,0.93789,102.26170056859753
93,2015-05-18,127.35,-0.0034,0.974938,106.30118439150363
94,2015-05-19,126.93,-0.0033,1.0068510000000002,109.78077970678119
95,2015-05-20,126.96,0.0002,1.029259,112.22400885555248
96,2015-05-21,126.9,-0.0005,1.039909,113.38521871071201
97,2015-05-22,126.77,-0.001,1.0498560000000001,114.4697778120521
98,2015-05-26,126.08,-0.0055,1.056888,115.23650341782503
99,2015-05-27,125.96,-0.001,1.054611,114.98823347977823
100,2015-05-28,126.83,0.0069,1.053676,114.88628688686049
101,2015-05-29,125.69,-0.009,1.050867,114.58001097295033
102,2015-06-01,125.11,-0.0046,1.048718,114.3456973599233
103,2015-06-02,125.26,0.0012,1.043988,113.82996753692757
104,2015-06-03,126.25,0.0079,1.044912,113.93071475816396
105,2015-06-04,124.58,-0.0133,1.044743,113.9122880477863
106,2015-06-05,124.52,-0.0005,1.036113,112.97132644684484
