,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,150.26,,,
1,2015-01-05,143.78,-0.0441,,
2,2015-01-06,142.25,-0.0107,,
3,2015-01-07,143.21,0.0067,,
4,2015-01-08,146.12,0.0201,,
5,2015-01-09,143.55,-0.0177,,
6,2015-01-12,141.41,-0.015,,
7,2015-01-13,141.86,0.0032,,
8,2015-01-14,139.79,-0.0147,,
9,2015-01-15,137.68,-0.0152,,
10,2015-01-16,139.72,0.0147,,
11,2015-01-20,137.02,-0.0195,,
12,2015-01-21,137.4,0.0028,,
13,2015-01-22,141.44,0.029,,
14,2015-01-23,142.96,0.0107,,
15,2015-01-26,143.12,0.0011,,
16,2015-01-27,140.77,-0.0166,,
17,2015-01-28,140.29,-0.0034,,
18,2015-01-29,141.26,0.0069,,
19,2015-01-30,140.5,-0.0054,,
20,2015-02-02,143.06,0.0181,,
21,2015-02-03,145.15,0.0145,,
22,2015-02-04,147.32,0.0148,,
23,2015-02-05,149.47,0.0145,,
24,2015-02-06,150.04,0.0038,,
25,2015-02-09,146.62,-0.0231,,
26,2015-02-10,146.19,-0.0029,,
27,2015-02-11,146.73,0.0037,,
28,2015-02-12,149.22,0.0168,,
29,2015-02-13,150.37,0.0077,,
30,2015-02-17,152.82,0.0162,,
31,2015-02-18,153.08,0.0017,,
32,2015-02-19,154.13,0.0068,,
33,2015-02-20,156.45,0.0149,,
34,2015-02-23,155.65,-0.0051,,
35,2015-02-24,156.96,0.0084,,
36,2015-02-25,156.94,-0.0001,,
37,2015-02-26,155.41,-0.0098,,
38,2015-02-27,153.43,-0.0128,,
39,2015-03-02,154.12,0.0045,,
40,2015-03-03,154.77,0.0042,,
41,2015-03-04,152.11,-0.0173,,
42,2015-03-05,155.42,0.0215,,
43,2015-03-06,153.29,-0.0138,,
44,2015-03-09,152.16,-0.0074,,
45,2015-03-10,148.07,-0.0272,,
46,2015-03-11,149.05,0.0066,,
47,2015-03-12,149.98,0.0062,,
48,2015-03-13,148.21,-0.0119,,
49,2015-03-16,150.16,0.0131,,
50,2015-03-17,150.04,-0.0008,1.1159860000000001,130.6287635676529
51,2015-03-18,152.28,0.0148,1.1155840000000001,130.58170853026516
52,2015-03-19,151.51,-0.0051,1.118611,130.93602593865492
53,2015-03-20,152.16,0.0043,1.113707,130.3620013034572
54,2015-03-23,150.67,-0.0098,1.112684,130.24225676801527
55,2015-03-24,151.47,0.0053,1.113915,130.38634818847373
56,2015-03-25,148.66,-0.0187,1.1107040000000001,130.0104931510309
57,2015-03-26,148.89,0.0015,1.094876,128.15778884313738
58,2015-03-27,148.56,-0.0022,1.080263,126.44730311839342
59,2015-03-30,150.83,0.0152,1.053363,123.29859539269628
60,2015-03-31,150.92,0.0006,1.010339,118.26253586888981
61,2015-04-01,152.51,0.0105,0.97922,114.61998435528497
62,2015-04-02,153.01,0.0033,0.92427,108.18795872230882
63,2015-04-06,152.65,-0.0024,0.8671030000000001,101.49642806970924
64,2015-04-07,154.71,0.0134,0.839391,98.25267385058211
65,2015-04-08,156.27,0.01,0.826029,96.68862059293284
66,2015-04-09,156.53,0.0017,0.818161,95.76765284624938
67,2015-04-10,157.85,0.0084,0.7890250000000001,92.35721610662439
68,2015-04-13,157.39,-0.0029,0.7567400000000001,88.57818157412876
69,2015-04-14,157.43,0.0003,0.724464,84.80020051261941
70,2015-04-15,158.61,0.0075,0.676202,79.15102087479056
71,2015-04-16,158.03,-0.0037,0.656474,76.8418124728369
72,2015-04-17,156.22,-0.0115,0.646694,75.69704066773214
73,2015-04-20,158.37,0.0137,0.639457,74.84993294242098
74,2015-04-21,158.24,-0.0008,0.6524909999999999,76.37559303523645
75,2015-04-22,158.25,0.0001,0.6647230000000001,77.8073771579401
76,2015-04-23,162.66,0.0275,0.657064,76.91087334860498
77,2015-04-24,162.24,-0.0026,0.677739,79.330930308783
78,2015-04-27,163.46,0.0075,0.692326,81.03837267289988
79,2015-04-28,161.45,-0.0124,0.7284959999999999,85.27215551447854
80,2015-04-29,163.22,0.0109,0.7479399999999999,87.54812105419808
81,2015-04-30,160.89,-0.0144,0.784682,91.84885782957224
82,2015-05-01,159.13,-0.011,0.8024039999999999,93.92325925391441
83,2015-05-04,156.46,-0.0169,0.811332,94.96830247231682
84,2015-05-05,154.64,-0.0117,0.811348,94.97017530962577
85,2015-05-06,153.21,-0.0093,0.810968,94.92569542353786
86,2015-05-07,153.36,0.001,0.809601,94.76568488595318
87,2015-05-08,154.82,0.0095,0.8078360000000001,94.55908752030801
88,2015-05-11,153.64,-0.0077,0.807542,94.52467413475576
89,2015-05-12,153.04,-0.0039,0.807341,94.50114661606189
90,2015-05-13,153.32,0.0018,0.808318,94.61550674424056
91,2015-05-14,154.88,0.0101,0.808973,94.69217602157632
92,2015-05-15,154.34,-0.0035,0.806281,94.37707114434298
93,2015-05-18,154.37,0.0002,0.805967,94.34031671215453
94,2015-05-19,153.46,-0.0059,0.8052330000000001,94.25440030060578
95,2015-05-20,152.02,-0.0094,0.80309,94.00355715353629
96,2015-05-21,154.81,0.0182,0.7860680000000001,92.01109236146132
97,2015-05-22,154.25,-0.0036,0.770583,90.19853700337877
98,2015-05-26,152.86,-0.0091,0.759254,88.87245113629984
99,2015-05-27,153.63,0.005,0.738939,86.49453301557354
100,2015-05-28,152.92,-0.0046,0.727962,85.20964956929184
101,2015-05-29,152.14,-0.0051,0.717295,83.96105234587135
102,2015-06-01,153.7,0.0102,0.717715,84.01021432523167
103,2015-06-02,154.17,0.0031,0.711973,83.3380998359769
104,2015-06-03,154.36,0.0012,0.7077589999999999,82.84484130972828
105,2015-06-04,151.3,-0.02,0.697174,81.60584237751623
106,2015-06-05,154.75,0.0225,0.697877,81.68813016677888
107,2015-06-08,152.72,-0.0132,0.674006,78.89397395413513
108,2015-06-09,151.28,-0.0095,0.654207,76.57645483662294
109,2015-06-10,159.51,0.053,0.636757,74.53389164653315
110,2015-06-11,161.37,0.0116,0.632445,74.02916199176713
111,2015-06-12,161.54,0.0011,0.6368670000000001,74.54676740303229
112,2015-06-15,161.36,-0.0011,0.647817,75.8284904363551
113,2015-06-16,163.07,0.0105,0.65765,76.97946601504582
114,2015-06-17,160.75,-0.0143,0.675342,79.0503558694337
115,2015-06-18,162.1,0.0084,0.6834520000000001,79.99965028041527
116,2015-06-19,161.39,-0.0044,0.699535,81.88220293292036
117,2015-06-22,161.93,0.0033,0.7109770000000001,83.22151571349386
118,2015-06-23,161.99,0.0004,0.723979,84.74343013169141
119,2015-06-24,159.98,-0.0125,0.7370319999999999,86.27131421881128
120,2015-06-25,160.11,0.0008,0.741468,86.7905583627218
121,2015-06-26,159.3,-0.0051,0.744987,87.20246551836225
122,2015-06-29,155.34,-0.0252,0.747039,87.442656903237
123,2015-06-30,156.06,0.0046,0.748153,87.57305320087367
124,2015-07-01,155.99,-0.0004,0.747702,87.52026259922722
125,2015-07-02,156.04,0.0003,0.747385,87.48315701004336
126,2015-07-06,155.42,-0.004,0.7469079999999999,87.42732304776983
127,2015-07-07,154.32,-0.0071,0.730807,85.54266345329215
128,2015-07-08,152.96,-0.0089,0.717796,84.0196955641083
129,2015-07-09,153.61,0.0042,0.6988970000000001,81.8075235452254
