,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2019-03-13,37.36,,,
1,2019-03-14,38.09,0.0192,,
2,2019-03-15,39.1,0.0262,,
3,2019-03-18,38.94,-0.0039,,
4,2019-03-19,37.7,-0.0326,,
5,2019-03-20,35.84,-0.0506,,
6,2019-03-21,37.06,0.0335,,
7,2019-03-22,35.7,-0.0372,,
8,2019-03-25,34.74,-0.0273,,
9,2019-03-26,34.99,0.0071,,
10,2019-03-27,34.5,-0.014,,
11,2019-03-28,34.0,-0.0147,,
12,2019-03-29,34.2,0.0059,,
13,2019-04-01,34.45,0.0075,,
14,2019-04-02,34.03,-0.0125,,
15,2019-04-03,33.84,-0.0056,,
16,2019-04-04,34.34,0.0148,,
17,2019-04-05,35.25,0.026,,
18,2019-04-08,35.12,-0.0035,,
19,2019-04-09,35.16,0.0011,,
20,2019-04-10,34.24,-0.0264,,
21,2019-04-11,34.7,0.0133,,
22,2019-04-12,35.22,0.0147,,
23,2019-04-15,35.25,0.0008,,
24,2019-04-16,35.46,0.0062,,
25,2019-04-17,36.42,0.0265,,
26,2019-04-18,36.14,-0.0076,,
27,2019-04-22,35.49,-0.0181,,
28,2019-04-23,35.84,0.0096,,
29,2019-04-24,35.69,-0.004,,
30,2019-04-25,35.87,0.0051,,
31,2019-04-26,36.13,0.0071,,
32,2019-04-29,36.91,0.0214,,
33,2019-04-30,36.69,-0.006,,
34,2019-05-01,36.92,0.0062,,
35,2019-05-02,35.11,-0.0503,,
36,2019-05-03,35.28,0.0049,,
37,2019-05-06,35.56,0.0078,,
38,2019-05-07,34.98,-0.0165,,
39,2019-05-08,35.09,0.0033,,
40,2019-05-09,36.19,0.0308,,
41,2019-05-10,36.27,0.0021,,
42,2019-05-13,35.74,-0.0146,,
43,2019-05-14,35.72,-0.0005,,
44,2019-05-15,35.48,-0.0067,,
45,2019-05-16,34.62,-0.0247,,
46,2019-05-17,35.33,0.0203,,
47,2019-05-20,35.18,-0.0041,,
48,2019-05-21,35.66,0.0135,,
49,2019-05-22,35.17,-0.0138,,
50,2019-05-23,35.02,-0.0044,0.223788,21.909295156192464
51,2019-05-24,34.96,-0.0016,0.219391,21.4788200154263
52,2019-05-28,34.68,-0.008,0.20911100000000002,20.47238734608899
53,2019-05-29,33.86,-0.0241,0.18602,18.211732018494835
54,2019-05-30,33.39,-0.014,0.16453600000000002,16.108405221992616
55,2019-05-31,33.29,-0.0029,0.16001200000000002,15.66549652587569
56,2019-06-03,32.4,-0.0272,0.16787,16.43481052545279
57,2019-06-04,32.7,0.0091,0.176803,17.30936918646351
58,2019-06-05,32.63,-0.0021,0.187796,18.38560598938424
59,2019-06-06,32.36,-0.0083,0.198843,19.467129500879306
60,2019-06-07,32.31,-0.0018,0.211448,20.701184344945148
61,2019-06-10,32.36,0.0018,0.223092,21.841155356789862
62,2019-06-11,32.45,0.0027,0.232349,22.74743426924662
63,2019-06-12,33.28,0.0254,0.240902,23.584790166215694
64,2019-06-13,33.51,0.0069,0.244422,23.92940524365415
