,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2016-07-05,39.68,,,
1,2016-07-06,38.99,-0.0176,,
2,2016-07-07,38.98,-0.0002,,
3,2016-07-08,40.99,0.0502,,
4,2016-07-11,41.74,0.0182,,
5,2016-07-12,41.29,-0.0108,,
6,2016-07-13,41.33,0.001,,
7,2016-07-14,42.11,0.0186,,
8,2016-07-15,41.83,-0.0066,,
9,2016-07-18,41.88,0.0012,,
10,2016-07-19,42.09,0.0051,,
11,2016-07-20,41.1,-0.0238,,
12,2016-07-21,41.02,-0.002,,
13,2016-07-22,40.34,-0.0169,,
14,2016-07-25,39.99,-0.0085,,
15,2016-07-26,40.24,0.0061,,
16,2016-07-27,39.95,-0.0073,,
17,2016-07-28,39.72,-0.0055,,
18,2016-07-29,39.37,-0.0091,,
19,2016-08-01,39.03,-0.0085,,
20,2016-08-02,38.79,-0.0063,,
21,2016-08-03,40.24,0.0368,,
22,2016-08-04,40.85,0.0151,,
23,2016-08-05,41.3,0.0109,,
24,2016-08-08,40.87,-0.0105,,
25,2016-08-09,41.2,0.0082,,
26,2016-08-10,41.19,-0.0002,,
27,2016-08-11,42.91,0.0408,,
28,2016-08-12,43.04,0.003,,
29,2016-08-15,43.82,0.0179,,
30,2016-08-16,43.73,-0.0021,,
31,2016-08-17,43.61,-0.0026,,
32,2016-08-18,43.41,-0.0047,,
33,2016-08-19,42.39,-0.0236,,
34,2016-08-22,41.86,-0.0128,,
35,2016-08-23,42.38,0.0124,,
36,2016-08-24,42.0,-0.0089,,
37,2016-08-25,42.21,0.0049,,
38,2016-08-26,42.41,0.0048,,
39,2016-08-29,42.85,0.0104,,
40,2016-08-30,43.02,0.0038,,
41,2016-08-31,43.07,0.0011,,
42,2016-09-01,43.03,-0.0008,,
43,2016-09-02,43.65,0.0141,,
44,2016-09-06,43.11,-0.0123,,
45,2016-09-07,43.29,0.004,,
46,2016-09-08,42.79,-0.0116,,
47,2016-09-09,41.33,-0.0346,,
48,2016-09-12,41.87,0.013,,
49,2016-09-13,40.91,-0.0231,,
50,2016-09-14,40.9,-0.0004,0.267938,36.4171999352501
51,2016-09-15,41.28,0.0094,0.263521,35.8168566763096
52,2016-09-16,41.09,-0.0046,0.253699,34.48188463888293
53,2016-09-19,41.52,0.0103,0.24338100000000001,33.07949800864792
54,2016-09-20,41.09,-0.0105,0.242669,32.98272544800367
55,2016-09-21,41.68,0.0144,0.243228,33.058702781430824
56,2016-09-22,42.22,0.0129,0.242986,33.0258109841332
57,2016-09-23,41.6,-0.0148,0.243192,33.053809786791504
58,2016-09-26,41.88,0.0067,0.24296099999999998,33.02241307118923
59,2016-09-27,42.2,0.0076,0.242983,33.025403234579926
60,2016-09-28,42.29,0.0021,0.243309,33.069712019369284
61,2016-09-29,41.45,-0.0199,0.243596,33.10872005996605
62,2016-09-30,41.62,0.0039,0.24312799999999998,33.04511112965494
63,2016-10-03,42.02,0.0096,0.24238900000000002,32.944668823031215
64,2016-10-04,41.54,-0.0114,0.239422,32.541404514840934
65,2016-10-05,41.65,0.0026,0.234492,31.87133608229018
66,2016-10-06,41.45,-0.0047,0.230578,31.339358831782345
67,2016-10-07,40.82,-0.0153,0.224951,30.57455658635373
