,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,116.74,,,
1,2015-01-05,114.31,-0.0211,,
2,2015-01-06,114.44,0.0012,,
3,2015-01-07,114.0,-0.0038,,
4,2015-01-08,116.75,0.0238,,
5,2015-01-09,117.18,0.0037,,
6,2015-01-12,116.28,-0.0077,,
7,2015-01-13,116.19,-0.0008,,
8,2015-01-14,116.34,0.0013,,
9,2015-01-15,116.64,0.0026,,
10,2015-01-16,117.79,0.0098,,
11,2015-01-20,116.96,-0.0071,,
12,2015-01-21,117.64,0.0058,,
13,2015-01-22,119.61,0.0166,,
14,2015-01-23,119.7,0.0008,,
15,2015-01-26,118.63,-0.009,,
16,2015-01-27,116.21,-0.0206,,
17,2015-01-28,115.53,-0.0058,,
18,2015-01-29,113.91,-0.0142,,
19,2015-01-30,112.83,-0.0095,,
20,2015-02-02,115.3,0.0216,,
21,2015-02-03,117.69,0.0206,,
22,2015-02-04,117.34,-0.003,,
23,2015-02-05,117.47,0.0012,,
24,2015-02-06,117.98,0.0043,,
25,2015-02-09,115.99,-0.017,,
26,2015-02-10,117.02,0.0089,,
27,2015-02-11,116.22,-0.0069,,
28,2015-02-12,117.02,0.0068,,
29,2015-02-13,116.56,-0.0039,,
30,2015-02-17,116.93,0.0032,,
31,2015-02-18,117.45,0.0044,,
32,2015-02-19,118.17,0.0061,,
33,2015-02-20,120.48,0.0194,,
34,2015-02-23,119.65,-0.0069,,
35,2015-02-24,120.01,0.003,,
36,2015-02-25,118.7,-0.0109,,
37,2015-02-26,118.1,-0.0051,,
38,2015-02-27,117.55,-0.0047,,
39,2015-03-02,118.41,0.0073,,
40,2015-03-03,116.12,-0.0196,,
41,2015-03-04,115.41,-0.0061,,
42,2015-03-05,115.56,0.0013,,
43,2015-03-06,114.01,-0.0135,,
44,2015-03-09,115.13,0.0098,,
45,2015-03-10,112.39,-0.0241,,
46,2015-03-11,112.06,-0.0029,,
47,2015-03-12,113.22,0.0103,,
48,2015-03-13,111.97,-0.0111,,
49,2015-03-16,114.32,0.0208,,
50,2015-03-17,113.61,-0.0062,0.394918,
51,2015-03-18,115.3,0.0147,0.402121,
52,2015-03-19,114.58,-0.0062,0.399201,
53,2015-03-20,114.69,0.001,0.398692,
54,2015-03-23,115.09,0.0035,0.396019,
55,2015-03-24,114.52,-0.005,0.397494,
56,2015-03-25,113.3,-0.0107,0.399999,
57,2015-03-26,113.95,0.0057,0.40828600000000004,
58,2015-03-27,114.38,0.0038,0.413056,
59,2015-03-30,116.47,0.0181,0.416017,
60,2015-03-31,114.97,-0.013,0.41590200000000005,
61,2015-04-01,113.48,-0.013,0.414736,
62,2015-04-02,113.27,-0.0019,0.42009799999999997,
63,2015-04-06,114.78,0.0132,0.424353,
64,2015-04-07,114.35,-0.0038,0.413392,
65,2015-04-08,115.14,0.0069,0.40156,
66,2015-04-09,115.6,0.004,0.393971,
67,2015-04-10,115.71,0.001,0.393717,
68,2015-04-13,114.74,-0.0084,0.393697,
69,2015-04-14,113.32,-0.0125,0.391537,
70,2015-04-15,112.89,-0.0038,0.38909799999999994,
71,2015-04-16,113.36,0.0041,0.396355,
72,2015-04-17,111.76,-0.0142,0.397098,
73,2015-04-20,113.47,0.0152,0.40712499999999996,
74,2015-04-21,113.35,-0.0011,0.406767,
75,2015-04-22,113.84,0.0043,0.403962,
76,2015-04-23,113.06,-0.0068,0.40537,
77,2015-04-24,114.17,0.0097,0.406567,
78,2015-04-27,113.71,-0.004,0.40639200000000003,
79,2015-04-28,113.64,-0.0006,0.404762,
80,2015-04-29,117.94,0.0371,0.404397,
81,2015-04-30,116.91,-0.0088,0.40887799999999996,
82,2015-05-01,119.31,0.0203,0.406755,
83,2015-05-04,119.7,0.0033,0.414463,
84,2015-05-05,117.47,-0.0188,0.407327,
85,2015-05-06,117.17,-0.0025,0.392879,
86,2015-05-07,117.74,0.0049,0.372812,
87,2015-05-08,120.6,0.024,0.366424,
88,2015-05-11,119.38,-0.0102,0.388318,
89,2015-05-12,118.71,-0.0056,0.400401,
90,2015-05-13,118.36,-0.0029,0.40234499999999995,
91,2015-05-14,119.99,0.0137,0.411458,
92,2015-05-15,119.29,-0.0059,0.43263199999999996,
93,2015-05-18,119.43,0.0012,0.446872,
94,2015-05-19,119.23,-0.0016,0.45989199999999997,
95,2015-05-20,119.15,-0.0007,0.471894,
96,2015-05-21,119.93,0.0066,0.47517200000000004,
97,2015-05-22,118.89,-0.0088,0.479942,
98,2015-05-26,117.48,-0.0119,0.482658,
99,2015-05-27,119.67,0.0185,0.472935,
100,2015-05-28,119.54,-0.0011,0.481543,
101,2015-05-29,119.33,-0.0018,0.486101,
102,2015-06-01,119.4,0.0006,0.49307,
103,2015-06-02,119.7,0.0025,0.49835700000000005,
104,2015-06-03,119.77,0.0006,0.504574,
105,2015-06-04,118.32,-0.0122,0.511243,
106,2015-06-05,118.53,0.0017,0.510552,
107,2015-06-08,117.78,-0.0063,0.505008,
108,2015-06-09,118.07,0.0025,0.5001169999999999,
109,2015-06-10,120.5,0.0204,0.496944,
110,2015-06-11,121.11,0.005,0.506576,
111,2015-06-12,120.94,-0.0014,0.516034,
112,2015-06-15,120.91,-0.0002,0.517052,
113,2015-06-16,121.94,0.0085,0.515124,
114,2015-06-17,123.02,0.0088,0.524831,
115,2015-06-18,124.29,0.0103,0.538353,
116,2015-06-19,123.53,-0.0062,0.562677,
117,2015-06-22,123.76,0.0019,0.579632,
118,2015-06-23,123.76,0.0,0.596515,
119,2015-06-24,123.89,0.001,0.607667,
120,2015-06-25,122.71,-0.0096,0.609683,
121,2015-06-26,124.08,0.0111,0.59937,
122,2015-06-29,120.76,-0.0271,0.597521,
123,2015-06-30,121.22,0.0038,0.565283,
124,2015-07-01,122.49,0.0104,0.545778,
125,2015-07-02,122.47,-0.0001,0.5271009999999999,
126,2015-07-06,122.63,0.0013,0.509534,
127,2015-07-07,122.9,0.0022,0.482159,
128,2015-07-08,121.71,-0.0097,0.46287999999999996,
129,2015-07-09,123.09,0.0113,0.43098,
130,2015-07-10,124.99,0.0153,0.398581,
131,2015-07-13,125.1,0.0009,0.411881,
132,2015-07-14,125.74,0.005,0.417971,
133,2015-07-15,125.98,0.0019,0.437935,
134,2015-07-16,127.0,0.0081,0.458511,
135,2015-07-17,127.17,0.0013,0.47692799999999996,
136,2015-07-20,127.48,0.0024,0.49161099999999996,
137,2015-07-21,125.16,-0.0184,0.508957,
138,2015-07-22,124.24,-0.0073,0.517675,
139,2015-07-23,123.88,-0.0029,0.518761,
140,2015-07-24,122.02,-0.0152,0.515325,
141,2015-07-27,121.84,-0.0015,0.50649,
142,2015-07-28,123.44,0.0131,0.503814,
143,2015-07-29,128.3,0.0385,0.500154,
144,2015-07-30,128.57,0.0021,0.52306,
145,2015-07-31,127.57,-0.0078,0.5443169999999999,
146,2015-08-03,127.35,-0.0017,0.554713,
147,2015-08-04,127.3,-0.0003,0.5649029999999999,
148,2015-08-05,128.18,0.0068,0.568551,
149,2015-08-06,127.87,-0.0024,0.566762,
150,2015-08-07,128.09,0.0017,0.5734429999999999,
151,2015-08-10,130.01,0.0149,0.579007,
152,2015-08-11,128.84,-0.009,0.594769,
153,2015-08-12,128.66,-0.0014,0.599695,
154,2015-08-13,128.79,0.001,0.602953,
155,2015-08-14,129.71,0.0071,0.60531,
156,2015-08-17,130.77,0.0081,0.601683,
157,2015-08-18,131.14,0.0028,0.603775,
158,2015-08-19,130.68,-0.0035,0.598671,
159,2015-08-20,127.41,-0.0253,0.588379,
160,2015-08-21,124.2,-0.0256,0.577232,
161,2015-08-24,120.47,-0.0305,0.566492,
162,2015-08-25,118.78,-0.0141,0.569353,
163,2015-08-26,123.24,0.0368,0.584405,
164,2015-08-27,124.2,0.0077,0.579886,
165,2015-08-28,123.65,-0.0044,0.5772740000000001,
166,2015-08-31,121.51,-0.0174,0.578409,
167,2015-09-01,118.82,-0.0224,0.5856210000000001,
168,2015-09-02,121.87,0.0253,0.609944,
169,2015-09-03,122.69,0.0067,0.615379,
170,2015-09-04,120.78,-0.0157,0.618067,
171,2015-09-08,123.53,0.0225,0.6258319999999999,
172,2015-09-09,121.89,-0.0134,0.626672,
173,2015-09-10,120.38,-0.0124,0.6215849999999999,
174,2015-09-11,121.38,0.0083,0.625889,
175,2015-09-14,120.33,-0.0087,0.630008,
176,2015-09-15,121.31,0.0081,0.639167,
177,2015-09-16,121.35,0.0004,0.643855,
178,2015-09-17,121.11,-0.002,0.6489619999999999,
179,2015-09-18,119.12,-0.0165,0.651401,
180,2015-09-21,119.53,0.0034,0.668466,
181,2015-09-22,118.02,-0.0127,0.6838549999999999,
182,2015-09-23,116.84,-0.0101,0.7076349999999999,
183,2015-09-24,118.5,0.0141,0.73744,
184,2015-09-25,118.08,-0.0035,0.7534000000000001,
185,2015-09-28,115.59,-0.0213,0.767976,
186,2015-09-29,116.0,0.0035,0.7968959999999999,
187,2015-09-30,118.02,0.0173,0.8184180000000001,
188,2015-10-01,118.22,0.0017,0.831306,
189,2015-10-02,119.03,0.0069,0.843245,
190,2015-10-05,123.3,0.0352,0.8513160000000001,
191,2015-10-06,120.34,-0.0243,0.8505800000000001,
192,2015-10-07,120.67,0.0028,0.853489,
193,2015-10-08,122.01,0.011,0.8564050000000001,
194,2015-10-09,122.7,0.0057,0.8455370000000001,
195,2015-10-12,123.54,0.0068,0.832093,
196,2015-10-13,121.83,-0.0139,0.822671,
197,2015-10-14,119.93,-0.0157,0.813995,
198,2015-10-15,121.47,0.0127,0.8079940000000001,
199,2015-10-16,121.83,0.0029,0.794076,
200,2015-10-19,121.44,-0.0032,0.780454,
201,2015-10-20,121.44,0.0,0.764889,
202,2015-10-21,123.02,0.0129,0.734778,
203,2015-10-22,126.6,0.0287,0.711443,
204,2015-10-23,127.48,0.007,0.699078,
205,2015-10-26,127.37,-0.0009,0.69037,
206,2015-10-27,127.59,0.0017,0.673411,
207,2015-10-28,129.63,0.0159,0.6470659999999999,
208,2015-10-29,128.94,-0.0054,0.632021,
209,2015-10-30,127.74,-0.0093,0.61523,
210,2015-11-02,127.86,0.0009,0.617537,
211,2015-11-03,126.53,-0.0105,0.636029,
212,2015-11-04,126.62,0.0007,0.6474129999999999,
213,2015-11-05,126.44,-0.0014,0.653548,
214,2015-11-06,125.45,-0.0079,0.663375,
215,2015-11-09,124.05,-0.0112,0.667107,
216,2015-11-10,123.75,-0.0024,0.667854,
217,2015-11-11,123.21,-0.0044,0.668888,
218,2015-11-12,121.96,-0.0102,0.662674,
219,2015-11-13,120.88,-0.0089,0.662635,
220,2015-11-16,123.18,0.0189,0.663703,
221,2015-11-17,122.83,-0.0029,0.6628050000000001,
222,2015-11-18,123.55,0.0059,0.662141,
223,2015-11-19,124.84,0.0103,0.662847,
224,2015-11-20,125.09,0.0021,0.6638639999999999,
225,2015-11-23,124.31,-0.0063,0.6669849999999999,
226,2015-11-24,125.12,0.0065,0.665903,
227,2015-11-25,124.82,-0.0024,0.668334,
228,2015-11-27,125.14,0.0026,0.6697580000000001,
229,2015-11-30,125.92,0.0062,0.671271,
230,2015-12-01,126.9,0.0078,0.6684260000000001,
231,2015-12-02,124.96,-0.0154,0.66988,
232,2015-12-03,122.05,-0.0236,0.6567000000000001,
233,2015-12-04,123.67,0.0132,0.633483,
234,2015-12-07,123.02,-0.0052,0.6191960000000001,
235,2015-12-08,122.08,-0.0076,0.601356,
236,2015-12-09,120.51,-0.013,0.561544,
237,2015-12-10,120.36,-0.0012,0.527764,
238,2015-12-11,118.51,-0.0155,0.512286,
239,2015-12-14,119.67,0.0097,0.509973,
240,2015-12-15,118.68,-0.0083,0.5057699999999999,
241,2015-12-16,120.06,0.0115,0.524529,
242,2015-12-17,118.78,-0.0107,0.5259579999999999,
243,2015-12-18,117.54,-0.0106,0.536562,
244,2015-12-21,118.72,0.01,0.560195,
245,2015-12-22,120.31,0.0133,0.575165,
246,2015-12-23,120.27,-0.0004,0.581731,
247,2015-12-24,120.23,-0.0004,0.5865319999999999,
248,2015-12-28,120.01,-0.0018,0.585282,
249,2015-12-29,120.66,0.0054,0.590267,
250,2015-12-30,119.73,-0.0077,0.5934550000000001,
251,2015-12-31,118.1,-0.0137,0.599428,
252,2016-01-04,116.99,-0.0094,0.614052,
253,2016-01-05,117.48,0.0042,0.637271,
254,2016-01-06,116.29,-0.0102,0.648332,
255,2016-01-07,112.46,-0.0335,0.660988,
256,2016-01-08,111.93,-0.0047,0.705006,
257,2016-01-11,112.88,0.0084,0.746071,
258,2016-01-12,113.91,0.0091,0.758262,
259,2016-01-13,111.53,-0.0211,0.761932,
260,2016-01-14,111.52,-0.0001,0.788759,
261,2016-01-15,108.89,-0.0239,0.809191,
262,2016-01-19,110.09,0.011,0.856309,
263,2016-01-20,107.32,-0.0254,0.884555,
264,2016-01-21,107.44,0.0011,0.933328,
265,2016-01-22,109.22,0.0164,0.9779040000000001,
266,2016-01-25,107.69,-0.0141,1.007536,
267,2016-01-26,110.09,0.0221,1.045632,
268,2016-01-27,111.49,0.0126,1.06458,
269,2016-01-28,111.19,-0.0027,1.077227,
270,2016-01-29,115.61,0.039,1.092035,
271,2016-02-01,115.48,-0.0011,1.085228,
272,2016-02-02,115.4,-0.0007,1.079047,
273,2016-02-03,115.63,0.0019,1.069446,
274,2016-02-04,116.98,0.0116,1.052476,
275,2016-02-05,115.98,-0.0085,1.0315779999999999,
276,2016-02-08,114.31,-0.0146,1.014123,
277,2016-02-09,114.19,-0.001,0.9929730000000001,
278,2016-02-10,115.01,0.0071,0.9716809999999999,
279,2016-02-11,111.13,-0.0343,0.9447249999999999,
280,2016-02-12,112.51,0.0124,0.919713,
281,2016-02-16,113.66,0.0102,0.8768819999999999,
282,2016-02-17,116.7,0.0264,0.843056,
283,2016-02-18,116.72,0.0001,0.825457,
284,2016-02-19,116.9,0.0016,0.795932,
285,2016-02-22,118.07,0.01,0.7695780000000001,
286,2016-02-23,117.46,-0.0052,0.750938,
287,2016-02-24,116.8,-0.0056,0.739594,
288,2016-02-25,118.61,0.0153,0.7273489999999999,
289,2016-02-26,118.5,-0.0009,0.7277039999999999,
290,2016-02-29,117.77,-0.0061,0.7229779999999999,
291,2016-03-01,119.47,0.0144,0.720077,
292,2016-03-02,117.2,-0.0192,0.7172769999999999,
293,2016-03-03,117.31,0.001,0.712504,
294,2016-03-04,116.92,-0.0034,0.7119570000000001,
295,2016-03-07,114.37,-0.022,0.706717,
296,2016-03-08,113.56,-0.0071,0.6917700000000001,
297,2016-03-09,114.0,0.0039,0.67671,
298,2016-03-10,115.44,0.0125,0.6601269999999999,
299,2016-03-11,117.12,0.0145,0.643882,
300,2016-03-14,115.99,-0.0097,0.6258250000000001,
301,2016-03-15,115.2,-0.0069,0.610526,
302,2016-03-16,115.8,0.0052,0.602517,
303,2016-03-17,115.91,0.001,0.599524,
304,2016-03-18,117.06,0.0099,0.5949110000000001,
305,2016-03-21,116.48,-0.005,0.597187,
306,2016-03-22,116.88,0.0034,0.597695,
307,2016-03-23,116.09,-0.0068,0.5973729999999999,
308,2016-03-24,111.56,-0.0398,0.59714,
309,2016-03-28,113.06,0.0134,0.60244,
310,2016-03-29,113.96,0.0079,0.598181,
311,2016-03-30,113.85,-0.001,0.592576,
312,2016-03-31,113.54,-0.0027,0.5717139999999999,
313,2016-04-01,114.37,0.0074,0.558416,
314,2016-04-04,113.81,-0.0049,0.519486,
315,2016-04-05,113.08,-0.0065,0.478121,
316,2016-04-06,114.5,0.0125,0.453836,
317,2016-04-07,114.22,-0.0025,0.405471,
318,2016-04-08,115.54,0.0115,0.38088500000000003,
319,2016-04-11,114.66,-0.0076,0.36582299999999995,
320,2016-04-12,116.09,0.0124,0.34746499999999997,
321,2016-04-13,116.76,0.0057,0.347839,
322,2016-04-14,116.11,-0.0056,0.349519,
323,2016-04-15,117.19,0.0092,0.349863,
324,2016-04-18,118.48,0.0109,0.352701,
325,2016-04-19,118.82,0.0029,0.35942999999999997,
326,2016-04-20,118.84,0.0001,0.369748,
327,2016-04-21,119.72,0.0074,0.37764600000000004,
328,2016-04-22,119.88,0.0013,0.39004,
