,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,167.55,,,
1,2015-01-05,164.48,-0.0185,,
2,2015-01-06,160.93,-0.0218,,
3,2015-01-07,161.0,0.0004,,
4,2015-01-08,162.94,0.012,,
5,2015-01-09,160.67,-0.014,,
6,2015-01-12,160.33,-0.0021,,
7,2015-01-13,159.53,-0.005,,
8,2015-01-14,159.0,-0.0034,,
9,2015-01-15,157.66,-0.0084,,
10,2015-01-16,157.72,0.0004,,
11,2015-01-20,159.46,0.011,,
12,2015-01-21,160.73,0.0079,,
13,2015-01-22,162.34,0.0099,,
14,2015-01-23,163.68,0.0082,,
15,2015-01-26,164.41,0.0045,,
16,2015-01-27,163.01,-0.0086,,
17,2015-01-28,159.4,-0.0224,,
18,2015-01-29,161.0,0.01,,
19,2015-01-30,159.73,-0.0079,,
20,2015-02-02,161.87,0.0133,,
21,2015-02-03,163.61,0.0107,,
22,2015-02-04,161.54,-0.0127,,
23,2015-02-05,163.81,0.014,,
24,2015-02-06,163.94,0.0008,,
25,2015-02-09,164.75,0.0049,,
26,2015-02-10,165.28,0.0032,,
27,2015-02-11,165.61,0.002,,
28,2015-02-12,166.42,0.0048,,
29,2015-02-13,168.15,0.0104,,
30,2015-02-17,168.29,0.0008,,
31,2015-02-18,168.82,0.0032,,
32,2015-02-19,168.76,-0.0004,,
33,2015-02-20,170.11,0.008,,
34,2015-02-23,169.84,-0.0016,,
35,2015-02-24,171.32,0.0087,,
36,2015-02-25,174.83,0.0203,,
37,2015-02-26,174.69,-0.0008,,
38,2015-02-27,175.37,0.0039,,
39,2015-03-02,176.18,0.0046,,
40,2015-03-03,174.49,-0.0096,,
41,2015-03-04,173.14,-0.0078,,
42,2015-03-05,174.22,0.0062,,
43,2015-03-06,171.52,-0.0156,,
44,2015-03-09,173.01,0.0086,,
45,2015-03-10,169.84,-0.0185,,
46,2015-03-11,169.97,0.0008,,
47,2015-03-12,171.39,0.0083,,
48,2015-03-13,168.96,-0.0143,,
49,2015-03-16,171.73,0.0162,,
50,2015-03-17,170.78,-0.0055,1.027654,114.31534407551933
51,2015-03-18,173.01,0.013,1.034635,115.09190449078672
52,2015-03-19,170.92,-0.0122,1.0495869999999998,116.7551520669331
53,2015-03-20,171.39,0.0028,1.045681,116.32065199788366
54,2015-03-23,171.86,0.0028,1.04209,115.9211922569833
55,2015-03-24,170.51,-0.0079,1.0454510000000001,116.29506699637793
56,2015-03-25,168.08,-0.0143,1.035083,115.1417396241544
57,2015-03-26,167.34,-0.0044,1.018054,113.24744836049754
58,2015-03-27,167.74,0.0024,0.99519,110.70407673255403
59,2015-03-30,169.5,0.0104,0.967383,107.61085005051127
60,2015-03-31,167.41,-0.0124,0.928449,103.27986549127608
61,2015-04-01,167.61,0.0012,0.8854120000000001,98.4924667530061
62,2015-04-02,168.28,0.004,0.853164,94.90522706362879
63,2015-04-06,169.9,0.0096,0.827705,92.07318987521843
64,2015-04-07,168.82,-0.0064,0.811594,90.28101613931054
65,2015-04-08,168.76,-0.0004,0.8004519999999999,89.04158967506338
