,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,39.64,,,
1,2015-01-05,38.97,-0.0171,,
2,2015-01-06,38.52,-0.0115,,
3,2015-01-07,38.97,0.0117,,
4,2015-01-08,41.67,0.0669,,
5,2015-01-09,42.02,0.0082,,
6,2015-01-12,41.63,-0.0092,,
7,2015-01-13,41.77,0.0033,,
8,2015-01-14,41.63,-0.0033,,
9,2015-01-15,41.62,-0.0002,,
10,2015-01-16,43.07,0.0341,,
11,2015-01-20,42.81,-0.0061,,
12,2015-01-21,42.58,-0.0054,,
13,2015-01-22,43.43,0.0198,,
14,2015-01-23,43.39,-0.0008,,
15,2015-01-26,43.68,0.0065,,
16,2015-01-27,43.25,-0.0097,,
17,2015-01-28,42.95,-0.007,,
18,2015-01-29,43.23,0.0064,,
19,2015-01-30,42.92,-0.0073,,
20,2015-02-02,43.6,0.0159,,
21,2015-02-03,44.03,0.0096,,
22,2015-02-04,43.77,-0.0059,,
23,2015-02-05,44.58,0.0185,,
24,2015-02-06,44.34,-0.0054,,
25,2015-02-09,44.15,-0.0042,,
26,2015-02-10,44.41,0.0059,,
27,2015-02-11,44.57,0.0034,,
28,2015-02-12,45.32,0.0167,,
29,2015-02-13,45.16,-0.0035,,
30,2015-02-17,45.08,-0.0017,,
31,2015-02-18,45.3,0.0048,,
32,2015-02-19,45.33,0.0008,,
33,2015-02-20,45.58,0.0054,,
34,2015-02-23,45.34,-0.0052,,
35,2015-02-24,45.19,-0.0034,,
36,2015-02-25,45.29,0.0023,,
37,2015-02-26,45.62,0.0072,,
38,2015-02-27,45.16,-0.0102,,
39,2015-03-02,45.61,0.0099,,
40,2015-03-03,45.23,-0.0083,,
41,2015-03-04,45.24,0.0001,,
42,2015-03-05,45.48,0.0053,,
43,2015-03-06,44.51,-0.0214,,
44,2015-03-09,44.46,-0.0012,,
45,2015-03-10,43.39,-0.0243,,
46,2015-03-11,43.86,0.0108,,
47,2015-03-12,44.47,0.0137,,
48,2015-03-13,43.83,-0.0145,,
49,2015-03-16,44.54,0.016,,
50,2015-03-17,45.09,0.0124,0.34631300000000004,37.52369893848557
51,2015-03-18,45.23,0.0029,0.33082500000000004,35.84554348616567
52,2015-03-19,45.7,0.0104,0.30626000000000003,33.18387711954386
53,2015-03-20,45.26,-0.0096,0.273024,29.582690742135245
54,2015-03-23,45.1,-0.0036,0.237662,25.75114805715742
55,2015-03-24,44.79,-0.0069,0.229388,24.85464378207381
56,2015-03-25,43.99,-0.0181,0.22205100000000003,24.05966531140806
57,2015-03-26,44.18,0.0043,0.21032499999999998,22.78913000446699
58,2015-03-27,44.23,0.0012,0.19867,21.526287688042114
