,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,70.81,,,
1,2015-01-05,68.74,-0.0296,,
2,2015-01-06,68.63,-0.0017,,
3,2015-01-07,69.87,0.018,,
4,2015-01-08,71.73,0.0262,,
5,2015-01-09,71.46,-0.0037,,
6,2015-01-12,69.11,-0.0334,,
7,2015-01-13,69.06,-0.0008,,
8,2015-01-14,67.45,-0.0236,,
9,2015-01-15,67.07,-0.0056,,
10,2015-01-16,66.85,-0.0033,,
11,2015-01-20,64.96,-0.0288,,
12,2015-01-21,66.31,0.0206,,
13,2015-01-22,67.39,0.0162,,
14,2015-01-23,65.71,-0.0253,,
15,2015-01-26,69.88,0.0616,,
16,2015-01-27,69.32,-0.008,,
17,2015-01-28,68.44,-0.0128,,
18,2015-01-29,69.1,0.0096,,
19,2015-01-30,67.77,-0.0194,,
20,2015-02-02,67.18,-0.0088,,
21,2015-02-03,66.9,-0.0041,,
22,2015-02-04,66.01,-0.0134,,
23,2015-02-05,65.91,-0.0016,,
24,2015-02-06,65.07,-0.0127,,
25,2015-02-09,64.38,-0.0106,,
26,2015-02-10,66.06,0.0257,,
27,2015-02-11,66.02,-0.0006,,
28,2015-02-12,66.07,0.0007,,
29,2015-02-13,65.61,-0.007,,
30,2015-02-17,66.36,0.0113,,
31,2015-02-18,66.05,-0.0046,,
32,2015-02-19,66.62,0.0087,,
33,2015-02-20,66.81,0.0027,,
34,2015-02-23,67.83,0.0152,,
35,2015-02-24,67.4,-0.0064,,
36,2015-02-25,67.95,0.0081,,
37,2015-02-26,69.18,0.018,,
38,2015-02-27,68.48,-0.0102,,
39,2015-03-02,68.91,0.0063,,
40,2015-03-03,67.76,-0.0168,,
41,2015-03-04,71.73,0.0568,,
42,2015-03-05,69.79,-0.0273,,
43,2015-03-06,69.71,-0.0012,,
44,2015-03-09,68.63,-0.0156,,
45,2015-03-10,67.24,-0.0204,,
46,2015-03-11,68.69,0.0214,,
47,2015-03-12,69.32,0.0092,,
48,2015-03-13,68.73,-0.0086,,
49,2015-03-16,70.01,0.0185,,
50,2015-03-17,70.03,0.0003,0.34163600000000005,35.387219494589516
51,2015-03-18,71.82,0.0252,0.337372,34.94554735252916
52,2015-03-19,72.2,0.0052,0.35296700000000003,36.560903134759734
53,2015-03-20,72.78,0.0081,0.37066099999999996,38.39367679367526
54,2015-03-23,74.32,0.021,0.38923900000000006,40.3180166283838
55,2015-03-24,73.23,-0.0148,0.412851,42.76378647320767
56,2015-03-25,72.42,-0.0112,0.425989,44.124642149190045
57,2015-03-26,72.85,0.0059,0.440452,45.622743507215105
58,2015-03-27,72.82,-0.0004,0.457204,47.357943254821805
59,2015-03-30,72.91,0.0013,0.472289,48.9204723971718
60,2015-03-31,72.01,-0.0124,0.485923,50.332704569979214
61,2015-04-01,71.65,-0.0051,0.492458,51.00961063197837
62,2015-04-02,71.84,0.0027,0.488226,50.5712531026164
63,2015-04-06,72.7,0.0119,0.490181,50.77375522215861
64,2015-04-07,72.48,-0.003,0.498945,51.68154477492994
65,2015-04-08,73.48,0.0136,0.499166,51.70443631887818
66,2015-04-09,74.52,0.0141,0.512432,53.07855044565412
67,2015-04-10,74.9,0.005,0.532142,55.12014470456817
68,2015-04-13,74.1,-0.0107,0.5524249999999999,57.22109124711274
69,2015-04-14,74.03,-0.0009,0.566444,58.673202353947644
70,2015-04-15,75.85,0.0243,0.577013,59.76795677923748
71,2015-04-16,74.48,-0.0182,0.596383,61.77433327823115
72,2015-04-17,74.7,0.003,0.603661,62.52820050382102
73,2015-04-20,75.2,0.0066,0.606608,62.83345561701329
74,2015-04-21,74.36,-0.0113,0.60993,63.17755384776481
75,2015-04-22,74.22,-0.0019,0.601577,62.31233635183843
76,2015-04-23,74.13,-0.0012,0.585049,60.60033889312045
77,2015-04-24,74.42,0.0039,0.577567,59.82534101157835
78,2015-04-27,73.12,-0.0176,0.569237,58.96250589352893
79,2015-04-28,72.7,-0.0056,0.554808,57.46792631149591
80,2015-04-29,72.81,0.0014,0.534215,55.33486945843569
81,2015-04-30,70.85,-0.0273,0.517475,53.60091269059088
82,2015-05-01,71.32,0.0066,0.495768,51.35246588296799
83,2015-05-04,72.22,0.0125,0.47671399999999997,49.37882118437091
84,2015-05-05,70.46,-0.0246,0.45764099999999996,47.40320843448418
