,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,98.61,,,
1,2015-01-05,97.13,-0.0151,,
2,2015-01-06,100.7,0.0361,,
3,2015-01-07,100.52,-0.0018,,
4,2015-01-08,103.74,0.0316,,
5,2015-01-09,102.11,-0.0159,,
6,2015-01-12,101.77,-0.0033,,
7,2015-01-13,101.26,-0.005,,
8,2015-01-14,100.03,-0.0122,,
9,2015-01-15,99.43,-0.0061,,
10,2015-01-16,101.9,0.0246,,
11,2015-01-20,101.14,-0.0075,,
12,2015-01-21,102.13,0.0097,,
13,2015-01-22,105.21,0.0297,,
14,2015-01-23,105.39,0.0018,,
15,2015-01-26,105.31,-0.0008,,
16,2015-01-27,104.9,-0.0039,,
17,2015-01-28,104.36,-0.0051,,
18,2015-01-29,104.41,0.0004,,
19,2015-01-30,102.74,-0.0161,,
20,2015-02-02,103.98,0.012,,
21,2015-02-03,106.77,0.0264,,
22,2015-02-04,106.49,-0.0026,,
23,2015-02-05,106.48,-0.0002,,
24,2015-02-06,107.24,0.0072,,
25,2015-02-09,105.05,-0.0207,,
26,2015-02-10,106.17,0.0106,,
27,2015-02-11,107.47,0.0122,,
28,2015-02-12,109.35,0.0173,,
29,2015-02-13,110.25,0.0082,,
30,2015-02-17,110.59,0.0031,,
31,2015-02-18,113.15,0.0228,,
32,2015-02-19,117.19,0.0351,,
33,2015-02-20,121.32,0.0347,,
34,2015-02-23,125.48,0.0337,,
35,2015-02-24,123.07,-0.0194,,
36,2015-02-25,125.18,0.017,,
37,2015-02-26,125.68,0.004,,
38,2015-02-27,124.53,-0.0092,,
39,2015-03-02,126.49,0.0156,,
40,2015-03-03,125.29,-0.0095,,
41,2015-03-04,126.29,0.0079,,
42,2015-03-05,124.48,-0.0144,,
43,2015-03-06,121.12,-0.0274,,
44,2015-03-09,123.08,0.0161,,
45,2015-03-10,121.35,-0.0142,,
46,2015-03-11,122.74,0.0114,,
47,2015-03-12,124.28,0.0124,,
48,2015-03-13,123.11,-0.0094,,
49,2015-03-16,123.2,0.0007,,
50,2015-03-17,124.02,0.0066,1.8911449999999999,212.1347806206432
51,2015-03-18,125.01,0.0079,1.889829,211.9871613892798
52,2015-03-19,124.88,-0.0011,1.879803,210.86251821781352
53,2015-03-20,126.42,0.0122,1.882556,211.17132957339368
54,2015-03-23,125.68,-0.0059,1.887339,211.7078514454387
55,2015-03-24,125.69,0.0001,1.8979599999999999,212.89923735448946
56,2015-03-25,121.94,-0.0303,1.8975909999999998,212.8578456399202
57,2015-03-26,122.2,0.0022,1.87755,210.60979319633802
58,2015-03-27,121.61,-0.0049,1.852014,207.7453519409458
59,2015-03-30,125.39,0.0306,1.813553,203.43107894894857
60,2015-03-31,123.84,-0.0125,1.778288,199.47530980454826
61,2015-04-01,124.26,0.0034,1.7477690000000001,196.05191214346917
62,2015-04-02,123.21,-0.0085,1.7088079999999999,191.6815528173673
63,2015-04-06,124.93,0.0138,1.668033,187.10771227113383
64,2015-04-07,124.96,0.0003,1.646782,184.72393089901834
65,2015-04-08,124.43,-0.0043,1.622882,182.0430041288165
66,2015-04-09,124.01,-0.0034,1.593016,178.6928552200781
67,2015-04-10,125.47,0.0118,1.5552789999999999,174.45979523986438
68,2015-04-13,123.93,-0.0124,1.5131389999999998,169.7328390015252
69,2015-04-14,122.82,-0.009,1.461629,163.95482486206512
70,2015-04-15,123.47,0.0052,1.387603,155.65113092520477
71,2015-04-16,124.2,0.0059,1.317843,147.82596559092525
72,2015-04-17,121.5,-0.022,1.266466,142.06287041633695
73,2015-04-20,122.08,0.0048,1.203807,135.03424319901154
74,2015-04-21,123.01,0.0076,1.134736,127.28636483312818
