,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,18.41,,,
1,2015-01-05,18.26,-0.008,,
2,2015-01-06,18.18,-0.0042,,
3,2015-01-07,18.28,0.0055,,
4,2015-01-08,18.48,0.0105,,
5,2015-01-09,18.35,-0.0067,,
6,2015-01-12,18.39,0.0021,,
7,2015-01-13,18.36,-0.0017,,
8,2015-01-14,18.34,-0.0013,,
9,2015-01-15,18.37,0.0017,,
10,2015-01-16,18.34,-0.0017,,
11,2015-01-20,18.32,-0.0013,,
12,2015-01-21,18.25,-0.0034,,
13,2015-01-22,18.64,0.021,,
14,2015-01-23,18.66,0.0008,,
15,2015-01-26,18.66,0.0004,,
16,2015-01-27,18.54,-0.0067,,
17,2015-01-28,18.17,-0.0202,,
18,2015-01-29,18.28,0.0059,,
19,2015-01-30,17.7,-0.0322,,
20,2015-02-02,17.77,0.0039,,
21,2015-02-03,18.02,0.0143,,
22,2015-02-04,17.84,-0.0103,,
23,2015-02-05,18.11,0.0151,,
24,2015-02-06,17.91,-0.0112,,
25,2015-02-09,17.74,-0.0095,,
26,2015-02-10,17.89,0.0087,,
27,2015-02-11,17.94,0.0026,,
28,2015-02-12,18.32,0.0213,,
29,2015-02-13,18.26,-0.0034,,
30,2015-02-17,18.21,-0.0025,,
31,2015-02-18,18.2,-0.0008,,
32,2015-02-19,16.91,-0.0736,,
33,2015-02-20,16.83,-0.0046,,
34,2015-02-23,16.71,-0.0074,,
35,2015-02-24,16.48,-0.0135,,
36,2015-02-25,16.43,-0.0033,,
37,2015-02-26,16.33,-0.0061,,
38,2015-02-27,16.24,-0.0057,,
39,2015-03-02,16.57,0.0203,,
40,2015-03-03,16.5,-0.0042,,
41,2015-03-04,16.16,-0.0208,,
42,2015-03-05,15.97,-0.0115,,
43,2015-03-06,15.68,-0.0186,,
44,2015-03-09,15.79,0.0074,,
45,2015-03-10,15.66,-0.0084,,
46,2015-03-11,15.76,0.0064,,
47,2015-03-12,16.12,0.0223,,
48,2015-03-13,16.08,-0.0024,,
49,2015-03-16,16.26,0.011,,
50,2015-03-17,16.28,0.0014,0.192121,22.80712153742535
51,2015-03-18,16.53,0.0151,0.193327,22.95028854454136
52,2015-03-19,16.41,-0.007,0.19371400000000003,22.99623019607859
53,2015-03-20,16.79,0.0228,0.194526,23.092624565712253
54,2015-03-23,16.64,-0.0093,0.19365200000000002,22.988870034850404
55,2015-03-24,16.35,-0.0173,0.192193,22.815668821432276
56,2015-03-25,15.86,-0.0307,0.191891,22.779817713514337
57,2015-03-26,15.68,-0.0113,0.19330100000000003,22.94720202531664
58,2015-03-27,15.65,-0.002,0.19531700000000002,23.186525977510566
59,2015-03-30,15.89,0.0154,0.197048,23.392016930510408
60,2015-03-31,15.76,-0.0084,0.196873,23.371242281882463
61,2015-04-01,15.82,0.004,0.196995,23.38572517978309
62,2015-04-02,16.0,0.0113,0.196447,23.320670851508154
