,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,39.65,,,
1,2015-01-05,39.87,0.0055,,
2,2015-01-06,39.3,-0.0144,,
3,2015-01-07,39.86,0.014,,
4,2015-01-08,40.36,0.0125,,
5,2015-01-09,40.38,0.0006,,
6,2015-01-12,39.32,-0.0265,,
7,2015-01-13,38.17,-0.0298,,
8,2015-01-14,37.9,-0.0072,,
9,2015-01-15,37.47,-0.0112,,
10,2015-01-16,38.15,0.0179,,
11,2015-01-20,37.89,-0.0069,,
12,2015-01-21,37.63,-0.0068,,
13,2015-01-22,39.02,0.0363,,
14,2015-01-23,39.48,0.0117,,
15,2015-01-26,39.67,0.0048,,
16,2015-01-27,38.75,-0.0235,,
17,2015-01-28,37.43,-0.0347,,
18,2015-01-29,37.33,-0.0028,,
19,2015-01-30,37.48,0.0042,,
20,2015-02-02,37.97,0.0129,,
21,2015-02-03,38.51,0.0141,,
22,2015-02-04,39.17,0.017,,
23,2015-02-05,41.15,0.0492,,
24,2015-02-06,41.67,0.0126,,
25,2015-02-09,41.73,0.0014,,
26,2015-02-10,42.14,0.0099,,
27,2015-02-11,42.24,0.0023,,
28,2015-02-12,42.71,0.0111,,
29,2015-02-13,42.49,-0.0052,,
30,2015-02-17,42.78,0.0068,,
31,2015-02-18,42.77,-0.0002,,
32,2015-02-19,42.62,-0.0037,,
33,2015-02-20,42.82,0.0047,,
34,2015-02-23,42.71,-0.0026,,
35,2015-02-24,42.91,0.0047,,
36,2015-02-25,43.52,0.014,,
37,2015-02-26,43.4,-0.0026,,
38,2015-02-27,42.88,-0.0121,,
39,2015-03-02,43.6,0.0167,,
40,2015-03-03,42.93,-0.0156,,
41,2015-03-04,42.44,-0.0114,,
42,2015-03-05,42.65,0.005,,
43,2015-03-06,41.98,-0.0159,,
44,2015-03-09,42.62,0.0151,,
45,2015-03-10,41.53,-0.0259,,
46,2015-03-11,41.65,0.0028,,
47,2015-03-12,42.05,0.0094,,
48,2015-03-13,41.86,-0.0045,,
49,2015-03-16,42.56,0.0167,,
50,2015-03-17,42.67,0.0024,0.39030099999999995,61.65286904983338
51,2015-03-18,42.29,-0.0088,0.39250500000000005,62.001018102451326
52,2015-03-19,43.25,0.0224,0.39366300000000004,62.183938521204304
53,2015-03-20,43.25,-0.0,0.39650799999999997,62.63334144983316
54,2015-03-23,43.0,-0.0058,0.40022199999999997,63.2200136737093
55,2015-03-24,42.81,-0.0043,0.40340699999999996,63.72312380646253
56,2015-03-25,42.2,-0.0144,0.40572800000000003,64.08975445579387
57,2015-03-26,41.98,-0.0052,0.403772,63.7807800697137
58,2015-03-27,42.39,0.0097,0.395806,62.52245186955286
59,2015-03-30,42.93,0.0128,0.386066,60.98389843375491
60,2015-03-31,42.62,-0.0073,0.373478,58.99546818223287
61,2015-04-01,42.19,-0.0101,0.363612,57.437011488435886
62,2015-04-02,41.82,-0.0089,0.34992199999999996,55.274506710604875
63,2015-04-06,41.9,0.002,0.332336,52.4965805584547
64,2015-04-07,41.99,0.0021,0.324118,51.19844584229581
65,2015-04-08,42.12,0.003,0.318079,50.244511119628065
66,2015-04-09,42.19,0.0017,0.31271,49.39641118155833
67,2015-04-10,42.37,0.0044,0.300924,47.53466674682377
68,2015-04-13,42.17,-0.0048,0.274487,43.35861570142432
69,2015-04-14,41.82,-0.0083,0.24212299999999998,38.24632171824516
70,2015-04-15,41.99,0.004,0.20600000000000002,32.540247204761656
71,2015-04-16,42.0,0.0004,0.170026,26.85770908367381
72,2015-04-17,40.87,-0.0274,0.134901,21.3092810105318
73,2015-04-20,41.23,0.0089,0.110771,17.49764914135268
74,2015-04-21,40.95,-0.0069,0.1101,17.3916563943896
75,2015-04-22,41.22,0.0066,0.115205,18.198054268080416
76,2015-04-23,41.14,-0.0019,0.118092,18.654091616042294
77,2015-04-24,40.82,-0.008,0.122467,19.345176963230802
78,2015-04-27,40.7,-0.0029,0.129207,20.409843303813776
79,2015-04-28,40.98,0.0069,0.135854,21.459819144445095
80,2015-04-29,41.07,0.0021,0.140111,22.132264932555145
81,2015-04-30,41.02,-0.001,0.142835,22.56255441501034
82,2015-05-01,41.26,0.0057,0.145473,22.979259134069373
83,2015-05-04,41.4,0.0034,0.14700100000000002,23.220625627898873
84,2015-05-05,42.42,0.0243,0.147158,23.245425719215124
85,2015-05-06,41.52,-0.0214,0.146494,23.14053870880754
86,2015-05-07,42.59,0.0253,0.145645,23.0064286608617
87,2015-05-08,43.53,0.0219,0.14091900000000002,22.259898523533046
88,2015-05-11,43.85,0.0074,0.141837,22.404907974668824
89,2015-05-12,43.84,-0.0002,0.148249,23.4177626595083
90,2015-05-13,43.87,0.0006,0.150175,23.721998174636315
91,2015-05-14,43.94,0.0018,0.156082,24.6550818651146
92,2015-05-15,43.63,-0.0073,0.16355,25.834744807469747
93,2015-05-18,43.43,-0.0046,0.167873,26.517616111674524
94,2015-05-19,43.46,0.0007,0.171234,27.04852762068037
95,2015-05-20,43.08,-0.0088,0.17427099999999998,27.528259323402995
96,2015-05-21,43.0,-0.0017,0.174814,27.61403288763691
97,2015-05-22,43.28,0.0064,0.17524599999999999,27.682272629347864
98,2015-05-26,42.7,-0.0136,0.177257,27.99993494550697
99,2015-05-27,42.88,0.0043,0.17718499999999998,27.988561655221808
100,2015-05-28,43.2,0.0075,0.177732,28.074967068916006
101,2015-05-29,43.26,0.0014,0.179108,28.292323283254607
102,2015-06-01,43.04,-0.0053,0.180895,28.574602029637663
103,2015-06-02,43.1,0.0015,0.18018699999999999,28.462764675166927
104,2015-06-03,42.8,-0.0071,0.179679,28.38251979371053
105,2015-06-04,42.99,0.0044,0.17921199999999998,28.30875136922206
106,2015-06-05,43.22,0.0054,0.179629,28.374621675456947
107,2015-06-08,43.04,-0.0042,0.18116900000000002,28.6178837176673
108,2015-06-09,43.28,0.0055,0.181799,28.71740000766244
109,2015-06-10,43.94,0.015,0.183435,28.975826436919675
110,2015-06-11,44.22,0.0063,0.187588,29.631844139062274
111,2015-06-12,43.72,-0.0113,0.19375,30.605208232633835
