,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,29.62,,,
1,2015-01-05,29.28,-0.0113,,
2,2015-01-06,28.74,-0.0188,,
3,2015-01-07,29.34,0.0208,,
4,2015-01-08,29.89,0.0184,,
5,2015-01-09,29.94,0.0019,,
6,2015-01-12,29.81,-0.0044,,
7,2015-01-13,29.73,-0.0027,,
8,2015-01-14,29.61,-0.0041,,
9,2015-01-15,29.48,-0.0044,,
10,2015-01-16,29.69,0.0072,,
11,2015-01-20,29.4,-0.0099,,
12,2015-01-21,29.71,0.0107,,
13,2015-01-22,30.06,0.0117,,
14,2015-01-23,29.69,-0.0125,,
15,2015-01-26,29.17,-0.0177,,
16,2015-01-27,27.85,-0.0463,,
17,2015-01-28,27.52,-0.0121,,
18,2015-01-29,27.87,0.0126,,
19,2015-01-30,26.91,-0.0348,,
20,2015-02-02,27.41,0.0183,,
21,2015-02-03,27.45,0.0015,,
22,2015-02-04,27.56,0.0042,,
23,2015-02-05,27.84,0.0101,,
24,2015-02-06,27.32,-0.019,,
25,2015-02-09,27.02,-0.0112,,
26,2015-02-10,27.65,0.0231,,
27,2015-02-11,27.52,-0.0045,,
28,2015-02-12,28.0,0.0171,,
29,2015-02-13,28.19,0.0067,,
30,2015-02-17,28.5,0.011,,
31,2015-02-18,28.11,-0.0136,,
32,2015-02-19,28.07,-0.0018,,
33,2015-02-20,28.23,0.0058,,
34,2015-02-23,27.7,-0.0191,,
35,2015-02-24,28.23,0.0191,,
36,2015-02-25,27.85,-0.0135,,
37,2015-02-26,27.61,-0.0089,,
38,2015-02-27,27.28,-0.012,,
39,2015-03-02,27.94,0.0241,,
40,2015-03-03,27.97,0.0012,,
41,2015-03-04,27.99,0.0006,,
42,2015-03-05,27.67,-0.0115,,
43,2015-03-06,27.23,-0.0161,,
44,2015-03-09,26.84,-0.0143,,
45,2015-03-10,26.01,-0.0317,,
46,2015-03-11,26.52,0.0197,,
47,2015-03-12,25.27,-0.0485,,
48,2015-03-13,25.37,0.0042,,
49,2015-03-16,25.29,-0.0032,,
50,2015-03-17,25.1,-0.0078,0.237808,26.336106469588067
