,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,37.19,,,
1,2015-01-05,36.6,-0.0159,,
2,2015-01-06,36.11,-0.0136,,
3,2015-01-07,36.05,-0.0017,,
4,2015-01-08,37.28,0.0337,,
5,2015-01-09,37.07,-0.0058,,
6,2015-01-12,37.17,0.0028,,
7,2015-01-13,37.23,0.0017,,
8,2015-01-14,37.31,0.0021,,
9,2015-01-15,37.28,-0.0007,,
10,2015-01-16,37.78,0.0132,,
11,2015-01-20,37.88,0.0028,,
12,2015-01-21,38.13,0.0066,,
13,2015-01-22,38.55,0.0107,,
14,2015-01-23,37.77,-0.0203,,
15,2015-01-26,38.14,0.0098,,
16,2015-01-27,37.57,-0.0151,,
17,2015-01-28,37.14,-0.0116,,
18,2015-01-29,37.38,0.0066,,
19,2015-01-30,36.79,-0.016,,
20,2015-02-02,36.86,0.0021,,
21,2015-02-03,37.53,0.018,,
22,2015-02-04,37.97,0.0117,,
23,2015-02-05,38.4,0.0112,,
24,2015-02-06,38.06,-0.009,,
25,2015-02-09,37.87,-0.005,,
26,2015-02-10,38.81,0.0244,,
27,2015-02-11,39.06,0.0065,,
28,2015-02-12,40.24,0.0298,,
29,2015-02-13,40.32,0.0021,,
30,2015-02-17,40.09,-0.0058,,
31,2015-02-18,40.29,0.0049,,
32,2015-02-19,39.99,-0.0074,,
33,2015-02-20,40.52,0.0131,,
34,2015-02-23,40.4,-0.0031,,
35,2015-02-24,39.94,-0.0114,,
36,2015-02-25,39.97,0.0009,,
37,2015-02-26,39.94,-0.0009,,
38,2015-02-27,39.69,-0.0062,,
39,2015-03-02,40.09,0.0101,,
40,2015-03-03,39.85,-0.0062,,
41,2015-03-04,39.57,-0.0069,,
42,2015-03-05,39.1,-0.012,,
43,2015-03-06,38.83,-0.0069,,
44,2015-03-09,38.73,-0.0025,,
45,2015-03-10,38.2,-0.0139,,
46,2015-03-11,38.02,-0.0046,,
47,2015-03-12,38.6,0.0151,,
48,2015-03-13,38.48,-0.0031,,
49,2015-03-16,38.58,0.0026,,
50,2015-03-17,38.51,-0.0018,0.23802299999999998,29.53526720968644
51,2015-03-18,38.79,0.0073,0.235653,29.241183935015687
52,2015-03-19,38.17,-0.0161,0.23034500000000002,28.582536668369126
53,2015-03-20,38.94,0.0199,0.22108899999999998,27.433998782144435
54,2015-03-23,38.46,-0.0124,0.210535,26.12439756658531
55,2015-03-24,38.42,-0.0011,0.207517,25.749906713017236
56,2015-03-25,37.93,-0.0129,0.203233,25.21832327475162
57,2015-03-26,38.14,0.0057,0.200199,24.84184704886509
58,2015-03-27,38.29,0.0039,0.196905,24.433108522803717
59,2015-03-30,38.85,0.0144,0.193644,24.028464827149147
60,2015-03-31,39.04,0.0051,0.18979800000000002,23.55123095610117
61,2015-04-01,38.63,-0.0107,0.188229,23.356540383122933
62,2015-04-02,38.47,-0.0042,0.18677700000000003,23.176367845223382
63,2015-04-06,38.21,-0.0066,0.186171,23.101171868661996
64,2015-04-07,37.97,-0.0063,0.186671,23.163214753613634
65,2015-04-08,38.34,0.0096,0.185953,23.074121170823084
66,2015-04-09,38.34,0.0,0.18553899999999998,23.02274966208313
67,2015-04-10,39.6,0.0323,0.18299800000000002,22.707447720758918
68,2015-04-13,39.14,-0.0118,0.178595,22.16109807587481
69,2015-04-14,38.7,-0.0112,0.174253,21.622317662954803
70,2015-04-15,38.51,-0.0049,0.16468800000000003,20.435437273830015
71,2015-04-16,38.47,-0.0011,0.15526199999999998,19.26580480672177
72,2015-04-17,38.03,-0.0114,0.15098699999999998,18.735338140385284
73,2015-04-20,38.45,0.011,0.150719,18.70208315405121
74,2015-04-21,36.95,-0.0398,0.15058,18.684835232034654
75,2015-04-22,37.32,0.0099,0.158223,19.63322277140536
76,2015-04-23,37.21,-0.003,0.161623,20.055114389076483
77,2015-04-24,37.76,0.0148,0.16810199999999997,20.85906609227978
78,2015-04-27,37.52,-0.0065,0.170745,21.18702478213413
79,2015-04-28,37.62,0.0026,0.17022400000000001,21.122376096014527
80,2015-04-29,37.34,-0.0073,0.167961,20.84156999872342
81,2015-04-30,37.8,0.0122,0.16807099999999997,20.855219433412778
82,2015-05-01,38.02,0.0058,0.16393000000000002,20.341380260243334
83,2015-05-04,37.81,-0.0054,0.16051100000000001,19.917131012944047
84,2015-05-05,35.85,-0.0533,0.152977,18.982268822492795
85,2015-05-06,36.45,0.0167,0.16131900000000002,20.01739231502589
86,2015-05-07,36.59,0.0037,0.16502300000000003,20.47700600674761
87,2015-05-08,36.93,0.0094,0.166238,20.627770217180082
88,2015-05-11,37.19,0.007,0.164359,20.394613055531835
89,2015-05-12,36.67,-0.0141,0.16206900000000002,20.110456642453347
90,2015-05-13,36.98,0.0084,0.15889,19.715987979930844
91,2015-05-14,37.73,0.02,0.15488200000000002,19.21865221415853
92,2015-05-15,37.48,-0.0065,0.149674,18.57241352450229
93,2015-05-18,37.73,0.0065,0.14762,18.31754135312097
94,2015-05-19,37.73,0.0,0.146107,18.129799583257316
95,2015-05-20,37.46,-0.0071,0.14486100000000002,17.975188713957845
96,2015-05-21,37.65,0.0049,0.145399,18.041946858165804
97,2015-05-22,37.65,0.0,0.145644,18.072347871792104
98,2015-05-26,37.23,-0.011,0.144784,17.965634109675293
99,2015-05-27,37.51,0.0074,0.14521900000000001,18.019611419583217
100,2015-05-28,37.37,-0.0038,0.144434,17.922204090209146
101,2015-05-29,36.75,-0.0168,0.144089,17.879394499592518
102,2015-06-01,36.74,-0.0002,0.144939,17.9848674040103
103,2015-06-02,36.28,-0.0126,0.14756,18.310096206926772
104,2015-06-03,36.33,0.0014,0.14976,18.58308490071397
105,2015-06-04,36.26,-0.0018,0.153236,19.014407036897744
106,2015-06-05,36.28,0.0004,0.156773,19.453298405045615
107,2015-06-08,35.82,-0.0126,0.16096699999999997,19.973714124019935
108,2015-06-09,35.7,-0.0034,0.1675,20.78436645879801
109,2015-06-10,36.09,0.0107,0.17380600000000002,21.566851323808045
110,2015-06-11,36.55,0.0127,0.174223,21.618595089857706
111,2015-06-12,36.26,-0.0078,0.170485,21.154762481959278
112,2015-06-15,35.85,-0.0114,0.170013,21.09619399856493
113,2015-06-16,35.83,-0.0006,0.17219,21.366328719644358
114,2015-06-17,36.1,0.0075,0.175037,21.71960090655897
115,2015-06-18,36.19,0.0024,0.17678999999999997,21.937123261199403
116,2015-06-19,36.26,0.002,0.176381,21.886372181308968
117,2015-06-22,35.21,-0.0292,0.17529599999999998,21.751739120963915
118,2015-06-23,34.95,-0.0075,0.169684,21.05536978026676
119,2015-06-24,34.8,-0.0043,0.169342,21.012932446959837
120,2015-06-25,34.29,-0.0148,0.172621,21.419809686472664
121,2015-06-26,34.21,-0.0025,0.180838,22.43942245776785
122,2015-06-29,33.82,-0.0115,0.18841999999999998,23.380240765174452
123,2015-06-30,33.74,-0.0023,0.20082999999999998,24.920145169674054
124,2015-07-01,34.42,0.02,0.20952500000000002,25.999070938983007
125,2015-07-02,34.0,-0.0122,0.21700299999999997,26.92698432631967
126,2015-07-06,33.8,-0.0061,0.226068,28.051821830492827
127,2015-07-07,34.03,0.0069,0.23601400000000003,29.285978897950773
128,2015-07-08,33.19,-0.0249,0.241117,29.919188581767166
129,2015-07-09,33.04,-0.0047,0.252836,31.373349719263608
130,2015-07-10,33.28,0.0073,0.263902,32.74648284901321
131,2015-07-13,33.89,0.0182,0.272573,33.822430559844484
132,2015-07-14,33.85,-0.001,0.274227,34.027668423264494
133,2015-07-15,33.48,-0.0112,0.27403700000000003,34.004092126982876
134,2015-07-16,34.11,0.0187,0.276245,34.278073506929296
135,2015-07-17,33.77,-0.0098,0.279946,34.737314941341296
136,2015-07-20,34.49,0.021,0.284286,35.2758471827215
137,2015-07-21,34.09,-0.0116,0.285057,35.37151731131692
138,2015-07-22,34.6,0.0149,0.285926,35.47934784536287
139,2015-07-23,34.46,-0.0041,0.283742,35.20834452389412
140,2015-07-24,33.85,-0.0179,0.283515,35.180177054126084
141,2015-07-27,33.58,-0.0082,0.283987,35.23874553752042
142,2015-07-28,34.55,0.0285,0.28125,34.89912278529517
143,2015-07-29,33.31,-0.0364,0.275886,34.23352671553402
144,2015-07-30,33.65,0.0102,0.27273,33.84191202571929
145,2015-07-31,33.94,0.0084,0.2669,33.11849198718322
146,2015-08-03,33.56,-0.0111,0.260909,32.37509413969272
147,2015-08-04,33.61,0.0015,0.254024,31.520763613908695
148,2015-08-05,33.88,0.008,0.24574100000000001,30.492961181799895
149,2015-08-06,33.51,-0.0109,0.238607,29.607733299309956
150,2015-08-07,33.7,0.0057,0.229454,28.471976247385307
151,2015-08-10,34.02,0.0094,0.219472,27.23335209221085
152,2015-08-11,33.51,-0.0151,0.2126,26.380634681435566
153,2015-08-12,33.71,0.006,0.206491,25.62259471309648
154,2015-08-13,33.51,-0.006,0.20218699999999998,25.088529559432796
155,2015-08-14,33.83,0.0093,0.19758299999999998,24.517238674798133
156,2015-08-17,34.43,0.0178,0.19183499999999998,23.803993669394124
157,2015-08-18,34.03,-0.0117,0.18475999999999998,22.926086847328477
158,2015-08-19,33.62,-0.0123,0.18053,22.40120404063764
159,2015-08-20,32.9,-0.0215,0.177487,22.023611042821987
160,2015-08-21,31.68,-0.0379,0.174288,21.62666066490142
161,2015-08-24,30.04,-0.0533,0.175593,21.78859259462519
162,2015-08-25,29.09,-0.0322,0.19831800000000002,24.608441715677042
163,2015-08-26,30.04,0.0322,0.232635,28.866693081447615
164,2015-08-27,30.85,0.0268,0.248369,30.819058585105694
165,2015-08-28,31.27,0.0134,0.251873,31.25385512284676
166,2015-08-31,30.85,-0.0136,0.250014,31.023179676596577
167,2015-09-01,29.81,-0.0342,0.24912299999999998,30.912619255612757
168,2015-09-02,30.02,0.0069,0.262903,32.62252116487984
169,2015-09-03,30.14,0.004,0.273865,33.98274937455951
170,2015-09-04,29.82,-0.0107,0.282828,35.094930130202535
171,2015-09-08,30.7,0.0293,0.294863,36.5883023709884
172,2015-09-09,30.02,-0.0224,0.299798,37.20066564546105
173,2015-09-10,29.9,-0.0041,0.309297,38.37935637377223
174,2015-09-11,29.77,-0.0043,0.31882699999999997,39.561893760950404
175,2015-09-14,29.67,-0.0034,0.326193,40.47590954205791
176,2015-09-15,29.39,-0.0097,0.33454500000000004,41.51227389229004
177,2015-09-16,29.47,0.0027,0.34435699999999997,42.72980346658093
178,2015-09-17,29.25,-0.0073,0.351859,43.66069491239528
179,2015-09-18,28.9,-0.012,0.36180500000000004,44.89485197985323
180,2015-09-21,28.84,-0.002,0.37338099999999996,46.33126885225349
181,2015-09-22,28.29,-0.0193,0.383879,47.633921264698046
182,2015-09-23,28.07,-0.0079,0.395362,49.05879816049731
183,2015-09-24,27.84,-0.0084,0.40704300000000004,50.50824403873743
184,2015-09-25,27.67,-0.0059,0.42004800000000003,52.12197947632948
185,2015-09-28,26.8,-0.032,0.430486,53.41718674257982
186,2015-09-29,26.73,-0.0024,0.447001,55.466463232532355
187,2015-09-30,27.02,0.0106,0.458754,56.92484328620551
188,2015-10-01,27.42,0.0147,0.468172,58.09348306715452
189,2015-10-02,27.83,0.0148,0.470798,58.419332298920516
190,2015-10-05,28.42,0.0211,0.47037100000000004,58.36634767517182
191,2015-10-06,28.49,0.0025,0.469052,58.2026785446694
192,2015-10-07,28.81,0.011,0.46779200000000004,58.04633047459129
193,2015-10-08,29.38,0.0197,0.45942700000000003,57.008353009350415
194,2015-10-09,30.91,0.0508,0.455114,56.473171083757606
195,2015-10-12,29.99,-0.0301,0.447528,55.53185643327138
196,2015-10-13,30.05,0.0019,0.438068,54.35800504998643
197,2015-10-14,30.11,0.0019,0.42998800000000004,53.355392029168
198,2015-10-15,30.14,0.0009,0.421006,52.240853643896806
199,2015-10-16,30.12,-0.0005,0.40968400000000005,50.83595455705197
200,2015-10-19,29.68,-0.0148,0.399917,49.62400884240672
201,2015-10-20,29.63,-0.0017,0.388402,48.19516120197054
202,2015-10-21,29.46,-0.0058,0.37351599999999996,46.348020431190434
203,2015-10-22,30.52,0.0355,0.361382,44.84236369918413
204,2015-10-23,31.35,0.0268,0.346746,43.02624437087985
205,2015-10-26,31.07,-0.0089,0.33470999999999995,41.532748044324066
206,2015-10-27,30.75,-0.0104,0.31827500000000003,39.49339841596381
207,2015-10-28,31.41,0.0212,0.292928,36.348196406225576
208,2015-10-29,30.73,-0.0219,0.272061,33.75889864565401
209,2015-10-30,30.52,-0.0068,0.251307,31.183622577081504
210,2015-11-02,31.05,0.017,0.23590499999999998,29.27245354903131
211,2015-11-03,30.59,-0.0148,0.23227,28.82140177543292
212,2015-11-04,30.39,-0.0063,0.233582,28.984202305546013
213,2015-11-05,30.06,-0.0111,0.234226,29.064113541363717
214,2015-11-06,30.42,0.0121,0.234256,29.067836114460817
215,2015-11-09,30.11,-0.0104,0.23283,28.890889806578752
216,2015-11-10,29.99,-0.0038,0.228685,28.37655429032969
217,2015-11-11,30.26,0.0088,0.226287,28.078996614101644
218,2015-11-12,29.07,-0.0399,0.226996,28.166973424963064
219,2015-11-13,29.04,-0.0012,0.227013,28.16908288305142
220,2015-11-16,28.89,-0.005,0.22680399999999998,28.143148957141634
221,2015-11-17,28.81,-0.003,0.227274,28.201469268996174
222,2015-11-18,29.67,0.0294,0.22557200000000002,27.990275288620808
223,2015-11-19,29.81,0.0049,0.225118,27.933940349084722
224,2015-11-20,29.78,-0.001,0.224998,27.919050056696328
225,2015-11-23,29.76,-0.0007,0.225008,27.920290914395363
226,2015-11-24,30.22,0.0154,0.225084,27.92972143290801
227,2015-11-25,30.09,-0.0046,0.226025,28.04648614238699
228,2015-11-27,30.24,0.005,0.226631,28.12168211894837
229,2015-11-30,30.22,-0.0005,0.227438,28.22181933526031
230,2015-12-01,29.78,-0.0147,0.227628,28.245395631541932
