,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,33.83,,,
1,2015-01-05,33.32,-0.0152,,
2,2015-01-06,32.96,-0.011,,
3,2015-01-07,33.48,0.0159,,
4,2015-01-08,34.13,0.019,,
5,2015-01-09,33.92,-0.0062,,
6,2015-01-12,33.57,-0.0103,,
7,2015-01-13,33.64,0.0021,,
8,2015-01-14,33.25,-0.0116,,
9,2015-01-15,33.09,-0.0049,,
10,2015-01-16,32.97,-0.0035,,
11,2015-01-20,32.68,-0.0087,,
12,2015-01-21,32.82,0.0043,,
13,2015-01-22,33.17,0.0106,,
14,2015-01-23,33.03,-0.0045,,
15,2015-01-26,32.88,-0.0045,,
16,2015-01-27,32.41,-0.0143,,
17,2015-01-28,32.12,-0.0089,,
18,2015-01-29,32.5,0.0116,,
19,2015-01-30,31.8,-0.0218,,
20,2015-02-02,32.29,0.0153,,
21,2015-02-03,32.61,0.0098,,
22,2015-02-04,32.26,-0.0106,,
23,2015-02-05,32.75,0.0151,,
24,2015-02-06,32.39,-0.0112,,
25,2015-02-09,32.54,0.0046,,
26,2015-02-10,32.69,0.0048,,
27,2015-02-11,32.68,-0.0005,,
28,2015-02-12,33.44,0.0231,,
29,2015-02-13,33.65,0.0063,,
30,2015-02-17,33.6,-0.0016,,
31,2015-02-18,33.32,-0.0082,,
32,2015-02-19,33.3,-0.0007,,
33,2015-02-20,33.27,-0.0009,,
34,2015-02-23,33.1,-0.0049,,
35,2015-02-24,33.2,0.0028,,
36,2015-02-25,33.42,0.0068,,
37,2015-02-26,33.26,-0.0049,,
38,2015-02-27,32.89,-0.0111,,
39,2015-03-02,33.7,0.0243,,
40,2015-03-03,33.6,-0.0032,,
41,2015-03-04,33.35,-0.0074,,
42,2015-03-05,33.25,-0.003,,
43,2015-03-06,32.8,-0.0134,,
44,2015-03-09,33.13,0.0099,,
45,2015-03-10,32.44,-0.0209,,
46,2015-03-11,32.38,-0.0019,,
47,2015-03-12,33.02,0.0195,,
48,2015-03-13,32.79,-0.0071,,
49,2015-03-16,32.97,0.0057,,
50,2015-03-17,32.94,-0.0009,0.095787,11.915636236506662
51,2015-03-18,33.44,0.015,0.09324099999999999,11.598920921712942
52,2015-03-19,33.24,-0.0061,0.093588,11.642086756054429
53,2015-03-20,33.61,0.0112,0.093758,11.663234282965242
54,2015-03-23,33.86,0.0074,0.09428800000000001,11.729164808040135
55,2015-03-24,33.75,-0.0032,0.09222200000000001,11.472160157465185
56,2015-03-25,33.6,-0.0044,0.091121,11.335198821413382
57,2015-03-26,33.26,-0.0103,0.09128299999999999,11.355351170587216
58,2015-03-27,33.34,0.0023,0.089931,11.187166133037685
59,2015-03-30,33.86,0.0155,0.090138,11.212916356982028
60,2015-03-31,33.55,-0.0092,0.092995,11.568319206300824
61,2015-04-01,33.56,0.0005,0.09403800000000001,11.698065503759526
62,2015-04-02,33.76,0.0058,0.09457,11.76424482326866
63,2015-04-06,33.65,-0.0032,0.096218,11.969251437086433
64,2015-04-07,33.35,-0.0091,0.09743399999999999,12.120518453107312
65,2015-04-08,33.51,0.0049,0.097674,12.150373785216697
66,2015-04-09,33.86,0.0104,0.098139,12.20821849117863
67,2015-04-10,33.85,-0.0002,0.098332,12.23222715408326
68,2015-04-13,33.62,-0.0069,0.09618399999999999,11.96502193170427
69,2015-04-14,33.67,0.0016,0.09512999999999999,11.833907264857222
70,2015-04-15,33.79,0.0035,0.087886,10.932773824022306
71,2015-04-16,33.74,-0.0014,0.085248,10.604613965253323
72,2015-04-17,33.06,-0.0205,0.084308,10.487680581158234
73,2015-04-20,33.3,0.0073,0.079781,9.924534379244973
74,2015-04-21,33.17,-0.004,0.078369,9.748885508668092
75,2015-04-22,33.35,0.0055,0.074284,9.240722876722948
76,2015-04-23,33.34,-0.0002,0.071049,8.83829787933187
77,2015-04-24,31.35,-0.0617,0.068773,8.555169813161209
78,2015-04-27,31.32,-0.0007,0.085779,10.670668887545334
79,2015-04-28,31.29,-0.001,0.101326,12.60467242214783
80,2015-04-29,31.32,0.001,0.114178,14.203425456605363
81,2015-04-30,30.83,-0.0159,0.12485099999999999,15.531116954953108
82,2015-05-01,31.03,0.0063,0.14011300000000002,17.42966728267571
83,2015-05-04,31.21,0.006,0.151218,18.811098378820347
84,2015-05-05,30.92,-0.0093,0.159431,19.832772723046904
85,2015-05-06,30.99,0.0023,0.169483,21.08321354956162
86,2015-05-07,30.99,-0.0003,0.177912,22.13175769268662
87,2015-05-08,31.14,0.0048,0.185276,23.04781879957623
88,2015-05-11,30.93,-0.0066,0.19114899999999999,23.77840365573629
89,2015-05-12,30.57,-0.0117,0.19822399999999998,24.658513966877514
90,2015-05-13,30.75,0.0059,0.205918,25.61562615541753
91,2015-05-14,31.01,0.0084,0.21170999999999998,26.33613483699067
92,2015-05-15,30.9,-0.0035,0.215899,26.857234779516553
93,2015-05-18,31.12,0.0071,0.220487,27.42796921167428
94,2015-05-19,31.46,0.011,0.224123,27.880277493131455
95,2015-05-20,31.97,0.0158,0.22564499999999998,28.069610057591802
96,2015-05-21,32.01,0.0015,0.226191,28.137530938140653
97,2015-05-22,32.04,0.001,0.226611,28.189777769332075
98,2015-05-26,31.64,-0.0125,0.226603,28.188782591595096
99,2015-05-27,31.92,0.0086,0.22769999999999999,28.325246338778406
100,2015-05-28,31.9,-0.0005,0.22784,28.342661949175547
101,2015-05-29,31.6,-0.0096,0.227986,28.36082394287542
102,2015-06-01,31.53,-0.0022,0.22749,28.299122923182694
103,2015-06-02,31.6,0.0022,0.227595,28.31218463098055
104,2015-06-03,31.75,0.0047,0.226002,28.114019864104513
105,2015-06-04,31.41,-0.0107,0.222624,27.693806064664926
106,2015-06-05,31.49,0.0025,0.22023900000000002,27.39711870182792
107,2015-06-08,31.38,-0.0035,0.217991,27.117473757736686
108,2015-06-09,31.5,0.0037,0.217177,27.016214422999028
109,2015-06-10,31.68,0.0059,0.21552,26.81008823422715
110,2015-06-11,31.79,0.0032,0.210523,26.188475340266343
111,2015-06-12,31.53,-0.0079,0.206803,25.725717692570885
112,2015-06-15,31.03,-0.016,0.20303100000000002,25.256491389585065
113,2015-06-16,31.25,0.007,0.198933,24.746711593817324
114,2015-06-17,31.53,0.0087,0.194282,24.16814013698088
115,2015-06-18,31.67,0.0045,0.190483,23.69555510913275
116,2015-06-19,31.43,-0.0077,0.185164,23.03388631125852
117,2015-06-22,31.32,-0.0035,0.17689800000000003,22.005618914524476
118,2015-06-23,31.18,-0.0043,0.167956,20.89325899901566
119,2015-06-24,31.08,-0.0033,0.160414,19.95505518747826
120,2015-06-25,30.7,-0.0124,0.151639,18.863469607228893
121,2015-06-26,30.84,0.0046,0.141705,17.627707652334625
122,2015-06-29,30.01,-0.0273,0.12992,16.16168644854673
123,2015-06-30,30.13,0.0039,0.129197,16.07174726056721
124,2015-07-01,30.41,0.0093,0.12391,15.414059173640899
125,2015-07-02,30.07,-0.0111,0.116788,14.528102193294917
126,2015-07-06,29.91,-0.0052,0.108071,13.443731651638652
127,2015-07-07,30.29,0.0125,0.098527,12.256484611422135
128,2015-07-08,29.57,-0.0241,0.10151400000000001,12.628059098966848
129,2015-07-09,29.73,0.0053,0.110429,13.737060289613353
130,2015-07-10,29.53,-0.0066,0.116868,14.538053970664711
131,2015-07-13,29.85,0.0108,0.12435299999999999,15.469167140826135
132,2015-07-14,29.84,-0.0005,0.12858599999999998,15.9957405609054
133,2015-07-15,29.88,0.0016,0.13281,16.521194406030567
134,2015-07-16,30.18,0.0099,0.136346,16.961062965775497
135,2015-07-17,30.06,-0.0039,0.138184,17.18970505084653
136,2015-07-20,29.99,-0.0023,0.140486,17.476067444662377
137,2015-07-21,29.81,-0.006,0.143005,17.78942403459379
138,2015-07-22,29.27,-0.0183,0.14623799999999998,18.19160023755062
