,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,56.87,,,
1,2015-01-05,56.34,-0.0094,,
2,2015-01-06,56.14,-0.0036,,
3,2015-01-07,56.63,0.0088,,
4,2015-01-08,57.8,0.0205,,
5,2015-01-09,57.17,-0.011,,
6,2015-01-12,57.59,0.0073,,
7,2015-01-13,58.05,0.0081,,
8,2015-01-14,57.75,-0.0052,,
9,2015-01-15,57.15,-0.0105,,
10,2015-01-16,58.07,0.016,,
11,2015-01-20,57.67,-0.0069,,
12,2015-01-21,57.77,0.0017,,
13,2015-01-22,59.19,0.0242,,
14,2015-01-23,58.63,-0.0095,,
15,2015-01-26,58.51,-0.002,,
16,2015-01-27,57.76,-0.0129,,
17,2015-01-28,57.24,-0.0091,,
18,2015-01-29,57.27,0.0005,,
19,2015-01-30,56.1,-0.0206,,
20,2015-02-02,56.63,0.0094,,
21,2015-02-03,57.7,0.0187,,
22,2015-02-04,57.08,-0.0108,,
23,2015-02-05,58.64,0.027,,
24,2015-02-06,58.12,-0.0089,,
25,2015-02-09,57.77,-0.006,,
26,2015-02-10,58.79,0.0174,,
27,2015-02-11,59.0,0.0036,,
28,2015-02-12,59.65,0.0111,,
29,2015-02-13,60.13,0.0079,,
30,2015-02-17,60.45,0.0053,,
31,2015-02-18,61.05,0.0099,,
32,2015-02-19,60.97,-0.0013,,
33,2015-02-20,61.48,0.0084,,
34,2015-02-23,61.08,-0.0066,,
35,2015-02-24,61.46,0.0061,,
36,2015-02-25,61.11,-0.0057,,
37,2015-02-26,60.72,-0.0063,,
38,2015-02-27,60.1,-0.0103,,
39,2015-03-02,61.52,0.0234,,
40,2015-03-03,61.09,-0.007,,
41,2015-03-04,60.75,-0.0056,,
42,2015-03-05,61.49,0.012,,
43,2015-03-06,60.91,-0.0094,,
44,2015-03-09,61.33,0.0069,,
45,2015-03-10,60.53,-0.0131,,
46,2015-03-11,60.99,0.0076,,
47,2015-03-12,61.96,0.0158,,
48,2015-03-13,61.12,-0.0137,,
49,2015-03-16,62.09,0.0158,,
50,2015-03-17,62.1,0.0001,0.35253500000000004,53.758107568190816
51,2015-03-18,63.18,0.0173,0.356089,54.300057486063785
52,2015-03-19,63.63,0.0071,0.362877,55.33516048058314
53,2015-03-20,64.2,0.0089,0.369878,56.402743872543944
54,2015-03-23,64.24,0.0006,0.382472,58.3232045550685
55,2015-03-24,63.66,-0.009,0.398479,60.76411404730057
56,2015-03-25,62.83,-0.0132,0.40533,61.80882391993641
57,2015-03-26,63.16,0.0054,0.40767899999999996,62.16702323256545
58,2015-03-27,63.02,-0.0023,0.412729,62.93709838317281
59,2015-03-30,63.93,0.0143,0.414779,63.24970314728074
60,2015-03-31,64.13,0.0032,0.41779000000000005,63.70885092519733
61,2015-04-01,63.87,-0.004,0.425095,64.8227913163234
62,2015-04-02,63.94,0.0011,0.42759199999999997,65.20355916801975
63,2015-04-06,64.31,0.0057,0.429671,65.52058614586386
64,2015-04-07,63.61,-0.0109,0.438225,66.82498670790253
65,2015-04-08,63.38,-0.0038,0.440289,67.13972633381412
66,2015-04-09,62.78,-0.0095,0.440017,67.09824901877151
