,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,50.76,,,
1,2015-01-05,49.18,-0.0315,,
2,2015-01-06,47.9,-0.0263,,
3,2015-01-07,47.98,0.0015,,
4,2015-01-08,49.05,0.0221,,
5,2015-01-09,48.2,-0.0175,,
6,2015-01-12,47.78,-0.0086,,
7,2015-01-13,47.79,0.0002,,
8,2015-01-14,46.14,-0.0351,,
9,2015-01-15,44.66,-0.0326,,
10,2015-01-16,45.43,0.0169,,
11,2015-01-20,45.25,-0.0039,,
12,2015-01-21,45.39,0.0032,,
13,2015-01-22,46.78,0.03,,
14,2015-01-23,46.04,-0.0159,,
15,2015-01-26,46.11,0.0016,,
16,2015-01-27,45.65,-0.0101,,
17,2015-01-28,44.47,-0.0261,,
18,2015-01-29,45.22,0.0167,,
19,2015-01-30,44.17,-0.0234,,
20,2015-02-02,45.05,0.0198,,
21,2015-02-03,46.07,0.0223,,
22,2015-02-04,45.79,-0.006,,
23,2015-02-05,46.11,0.0069,,
24,2015-02-06,47.02,0.0195,,
25,2015-02-09,46.96,-0.0012,,
26,2015-02-10,47.48,0.011,,
27,2015-02-11,47.41,-0.0015,,
28,2015-02-12,48.38,0.0204,,
29,2015-02-13,48.46,0.0017,,
30,2015-02-17,48.81,0.0072,,
31,2015-02-18,48.22,-0.0122,,
32,2015-02-19,48.11,-0.0024,,
33,2015-02-20,48.57,0.0096,,
34,2015-02-23,48.21,-0.0076,,
35,2015-02-24,49.4,0.0245,,
36,2015-02-25,49.66,0.0052,,
37,2015-02-26,50.02,0.0072,,
38,2015-02-27,49.77,-0.0049,,
39,2015-03-02,50.17,0.008,,
40,2015-03-03,50.33,0.0032,,
41,2015-03-04,50.46,0.0026,,
42,2015-03-05,50.36,-0.0021,,
43,2015-03-06,49.46,-0.0181,,
44,2015-03-09,49.95,0.01,,
45,2015-03-10,48.7,-0.0254,,
46,2015-03-11,48.93,0.0047,,
47,2015-03-12,49.85,0.0186,,
48,2015-03-13,49.55,-0.006,,
49,2015-03-16,50.24,0.0138,,
50,2015-03-17,50.04,-0.0039,0.356292,45.21611129788815
51,2015-03-18,50.15,0.0023,0.352421,44.724852535877986
52,2015-03-19,49.71,-0.0089,0.35619700000000004,45.20405508957223
53,2015-03-20,50.15,0.0089,0.359777,45.65838378189885
54,2015-03-23,49.66,-0.0099,0.36503100000000005,46.32515555549777
55,2015-03-24,49.11,-0.0112,0.36680999999999997,46.55092391964555
56,2015-03-25,48.42,-0.0142,0.368133,46.71882248387687
57,2015-03-26,48.36,-0.0012,0.368324,46.743061807964686
58,2015-03-27,48.37,0.0002,0.368454,46.75955977723912
59,2015-03-30,49.51,0.0234,0.36512999999999995,46.33771939363752
60,2015-03-31,49.2,-0.0063,0.35537799999999997,45.100117883143305
61,2015-04-01,49.02,-0.0038,0.348734,44.25694474576394
62,2015-04-02,49.48,0.0095,0.33984699999999995,43.12911818467266
63,2015-04-06,49.44,-0.0008,0.33202800000000005,42.136828786543646
64,2015-04-07,49.75,0.0063,0.330468,41.93885315525047
65,2015-04-08,49.92,0.0033,0.325928,41.36269330520497
66,2015-04-09,50.26,0.0069,0.321592,40.812422576174725
67,2015-04-10,50.45,0.0037,0.314689,39.93638040770246
68,2015-04-13,50.75,0.006,0.296626,37.644051030748294
69,2015-04-14,51.54,0.0155,0.284857,36.15047718158849
70,2015-04-15,52.5,0.0184,0.26307200000000003,33.38579825356178
71,2015-04-16,52.17,-0.0062,0.256371,32.53539139119285
72,2015-04-17,51.38,-0.0153,0.254499,32.297820633641045
73,2015-04-20,51.71,0.0063,0.241811,30.687618832456614
74,2015-04-21,50.95,-0.0148,0.232197,29.467530550884483
75,2015-04-22,51.46,0.0101,0.224939,28.546436235547425
76,2015-04-23,51.35,-0.0022,0.21855799999999997,27.736639759084788
77,2015-04-24,51.18,-0.0032,0.214527,27.22507580412148
78,2015-04-27,50.97,-0.0042,0.2079,26.38406009349339
79,2015-04-28,51.31,0.0067,0.206221,26.17098247494132
80,2015-04-29,52.0,0.0133,0.205988,26.141413037703302
81,2015-04-30,51.72,-0.0054,0.21094200000000002,26.770112574515068
82,2015-05-01,52.01,0.0055,0.21011,26.66452557115871
83,2015-05-04,52.92,0.0173,0.20934899999999998,26.56794899717531
84,2015-05-05,52.65,-0.005,0.217654,27.62191541889952
85,2015-05-06,52.26,-0.0075,0.219871,27.903269248756544
86,2015-05-07,52.74,0.009,0.224421,28.480698173361617
87,2015-05-08,53.55,0.0152,0.232267,29.476414072801486
88,2015-05-11,53.51,-0.0006,0.24653099999999997,31.286622024574402
89,2015-05-12,53.44,-0.0014,0.258535,32.810019125884146
90,2015-05-13,53.57,0.0024,0.269421,34.19153369143378
91,2015-05-14,54.0,0.0081,0.280486,35.59576469159975
92,2015-05-15,53.86,-0.0026,0.294034,37.31510690490734
93,2015-05-18,54.31,0.0082,0.30521899999999996,38.734566799788155
94,2015-05-19,54.79,0.0088,0.316483,40.1640523836896
95,2015-05-20,54.36,-0.0079,0.33161999999999997,42.085050544513116
96,2015-05-21,54.49,0.0026,0.336841,42.74763437206545
97,2015-05-22,54.35,-0.0027,0.342762,43.49905341878779
98,2015-05-26,53.74,-0.0112,0.35021299999999994,44.44464087312457
99,2015-05-27,54.35,0.0112,0.35226199999999996,44.7046742503808
100,2015-05-28,54.13,-0.0041,0.359105,45.57310197149564
101,2015-05-29,53.78,-0.0064,0.36335999999999996,46.11309319659335
102,2015-06-01,54.03,0.0046,0.36568100000000003,46.40764540186992
103,2015-06-02,53.98,-0.0009,0.366848,46.55574640297193
104,2015-06-03,54.53,0.0102,0.368786,46.8016930526169
105,2015-06-04,54.23,-0.0056,0.370687,47.042944126391454
106,2015-06-05,55.12,0.0163,0.36723100000000003,46.604351958603516
107,2015-06-08,54.69,-0.0079,0.36241100000000004,45.99265802089001
108,2015-06-09,54.93,0.0043,0.35281999999999997,44.77548861080489
109,2015-06-10,55.81,0.0159,0.342508,43.46681892497467
110,2015-06-11,56.02,0.0038,0.344582,43.730024988629815
111,2015-06-12,55.8,-0.0039,0.344179,43.678881283879086
112,2015-06-15,55.59,-0.0038,0.338735,42.98799709364831
113,2015-06-16,55.9,0.0056,0.333729,42.35269836912677
114,2015-06-17,55.71,-0.0034,0.32848700000000003,41.68744948499934
115,2015-06-18,56.24,0.0093,0.32271,40.95430511193483
116,2015-06-19,55.66,-0.0102,0.319735,40.576755430462285
117,2015-06-22,56.38,0.0128,0.314214,39.87609936612281
118,2015-06-23,57.03,0.0114,0.312883,39.707185542243835
119,2015-06-24,56.43,-0.0105,0.316712,40.19311419110379
120,2015-06-25,56.13,-0.0054,0.319507,40.54782053050405
121,2015-06-26,56.37,0.0044,0.323594,41.06649130300096
122,2015-06-29,54.94,-0.0257,0.327123,41.514347715073775
123,2015-06-30,55.4,0.0083,0.320374,40.65784929481891
124,2015-07-01,56.02,0.0111,0.316023,40.10567495394931
125,2015-07-02,55.57,-0.0081,0.308001,39.08762334226098
126,2015-07-06,55.41,-0.0028,0.300739,38.16602139710009
127,2015-07-07,54.97,-0.0079,0.291125,36.945933115527964
128,2015-07-08,53.85,-0.0207,0.27804300000000004,35.28572977669641
129,2015-07-09,54.41,0.0103,0.26172999999999996,33.21548844766726
130,2015-07-10,55.18,0.0141,0.24665900000000002,31.302866178936924
131,2015-07-13,56.04,0.0154,0.236907,30.065264668442705
132,2015-07-14,56.82,0.0139,0.22605799999999998,28.688445678763483
133,2015-07-15,56.94,0.0022,0.220622,27.99857674818037
134,2015-07-16,57.25,0.0053,0.221818,28.150358065505127
135,2015-07-17,56.96,-0.005,0.222181,28.196425472017577
136,2015-07-20,57.0,0.0007,0.215638,27.366069987689887
137,2015-07-21,56.87,-0.0023,0.21205300000000002,26.911106758083474
138,2015-07-22,57.67,0.0141,0.212305,26.943087436984673
139,2015-07-23,57.31,-0.0063,0.217121,27.554273744874354
140,2015-07-24,56.71,-0.0105,0.217593,27.614174064086132
141,2015-07-27,55.97,-0.0131,0.214675,27.243858107603142
142,2015-07-28,56.0,0.0006,0.21141500000000002,26.830139801182806
143,2015-07-29,56.73,0.013,0.20709,26.281265054168088
144,2015-07-30,56.82,0.0014,0.206853,26.251187987106245
145,2015-07-31,56.4,-0.0074,0.208387,26.445864024544523
146,2015-08-03,56.4,0.0,0.206506,26.20715109988911
147,2015-08-04,56.34,-0.001,0.204945,26.00904856113998
148,2015-08-05,56.56,0.0039,0.20226299999999997,25.66868276426288
149,2015-08-06,56.17,-0.007,0.195854,24.85533287903345
150,2015-08-07,56.0,-0.0029,0.192017,24.368388970525828
151,2015-08-10,56.69,0.0123,0.186266,23.638544191316207
152,2015-08-11,56.15,-0.0096,0.17851,22.65424996291248
153,2015-08-12,55.34,-0.0146,0.170802,21.6760472923947
154,2015-08-13,55.59,0.0046,0.16281400000000001,20.662310534208913
155,2015-08-14,55.87,0.005,0.158223,20.079678403909593
156,2015-08-17,56.02,0.0026,0.15051399999999998,19.10134882593585
157,2015-08-18,56.13,0.0021,0.148368,18.82900542545179
158,2015-08-19,55.63,-0.009,0.14348,18.208681780733194
159,2015-08-20,54.27,-0.0249,0.140459,17.82529435628662
160,2015-08-21,52.34,-0.0361,0.148814,18.885606150808684
161,2015-08-24,49.58,-0.0541,0.17978100000000002,22.815549339434032
162,2015-08-25,49.3,-0.0057,0.24976199999999998,31.696660014771982
163,2015-08-26,51.77,0.0489,0.306432,38.88850554386419
164,2015-08-27,53.06,0.0247,0.32467100000000004,41.203170633066826
165,2015-08-28,52.78,-0.0054,0.33218899999999996,42.15726088695274
166,2015-08-31,52.75,-0.0005,0.340413,43.20094780474442
167,2015-09-01,50.57,-0.0422,0.348647,44.245903797095664
