,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,9.79,,,
1,2015-01-05,9.76,-0.0031,,
2,2015-01-06,9.77,0.0014,,
3,2015-01-07,9.91,0.0144,,
4,2015-01-08,10.14,0.0229,,
5,2015-01-09,10.1,-0.0047,,
6,2015-01-12,10.01,-0.0084,,
7,2015-01-13,10.09,0.0076,,
8,2015-01-14,10.23,0.0137,,
9,2015-01-15,10.32,0.0093,,
10,2015-01-16,10.45,0.0125,,
11,2015-01-20,10.64,0.0174,,
12,2015-01-21,10.76,0.012,,
13,2015-01-22,10.85,0.0076,,
14,2015-01-23,10.73,-0.0105,,
15,2015-01-26,10.82,0.0077,,
16,2015-01-27,10.83,0.001,,
17,2015-01-28,10.73,-0.0094,,
18,2015-01-29,10.81,0.0079,,
19,2015-01-30,10.56,-0.0232,,
20,2015-02-02,10.73,0.0158,,
21,2015-02-03,10.64,-0.0087,,
22,2015-02-04,10.75,0.0106,,
23,2015-02-05,10.58,-0.0165,,
24,2015-02-06,10.66,0.0081,,
25,2015-02-09,10.65,-0.0014,,
26,2015-02-10,10.77,0.0116,,
27,2015-02-11,10.87,0.0088,,
28,2015-02-12,10.7,-0.0151,,
29,2015-02-13,10.52,-0.0174,,
30,2015-02-17,10.54,0.0016,,
31,2015-02-18,10.67,0.0123,,
32,2015-02-19,10.69,0.0026,,
33,2015-02-20,10.77,0.0076,,
34,2015-02-23,10.78,0.0004,,
35,2015-02-24,10.79,0.0008,,
36,2015-02-25,10.8,0.0015,,
37,2015-02-26,10.69,-0.0107,,
38,2015-02-27,10.77,0.0076,,
39,2015-03-02,10.83,0.0052,,
40,2015-03-03,10.8,-0.0027,,
41,2015-03-04,10.67,-0.0124,,
42,2015-03-05,10.79,0.0112,,
43,2015-03-06,10.71,-0.007,,
44,2015-03-09,10.77,0.0056,,
45,2015-03-10,10.66,-0.0107,,
46,2015-03-11,10.51,-0.014,,
47,2015-03-12,10.67,0.0152,,
48,2015-03-13,10.55,-0.0113,,
49,2015-03-16,10.63,0.0075,,
50,2015-03-17,10.42,-0.02,0.05847,
51,2015-03-18,10.54,0.0119,0.054584,
52,2015-03-19,10.47,-0.0071,0.049710000000000004,
53,2015-03-20,10.6,0.012,0.044414999999999996,
54,2015-03-23,10.65,0.0048,0.0401,
55,2015-03-24,10.68,0.0027,0.037885,
56,2015-03-25,10.62,-0.0057,0.034908,
57,2015-03-26,10.88,0.0247,0.030277,
58,2015-03-27,10.86,-0.0023,0.026576,
59,2015-03-30,10.96,0.0095,0.02408,
60,2015-03-31,10.8,-0.015,0.023113,
61,2015-04-01,10.8,0.0003,0.022269,
62,2015-04-02,10.75,-0.0049,0.022341000000000003,
63,2015-04-06,10.82,0.0071,0.022312,
64,2015-04-07,10.91,0.0082,0.022212999999999997,
65,2015-04-08,10.84,-0.0064,0.022904,
66,2015-04-09,10.87,0.0025,0.023008999999999998,
67,2015-04-10,10.83,-0.0038,0.023203,
68,2015-04-13,10.74,-0.0079,0.023422000000000002,
69,2015-04-14,10.75,0.0006,0.023281,
70,2015-04-15,10.73,-0.0017,0.022946,
71,2015-04-16,10.78,0.0043,0.022946,
72,2015-04-17,10.59,-0.0178,0.022915,
73,2015-04-20,10.7,0.0105,0.02315,
74,2015-04-21,10.89,0.0178,0.022837,
75,2015-04-22,10.84,-0.0048,0.023278,
76,2015-04-23,10.86,0.0018,0.023408,
77,2015-04-24,10.85,-0.0011,0.023663,
78,2015-04-27,10.63,-0.0208,0.023586999999999997,
79,2015-04-28,10.49,-0.0129,0.023738000000000002,
80,2015-04-29,10.36,-0.0125,0.023944999999999998,
