,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,33.42,,,
1,2015-01-05,33.54,0.0036,,
2,2015-01-06,33.61,0.0021,,
3,2015-01-07,33.88,0.008,,
4,2015-01-08,34.12,0.0071,,
5,2015-01-09,33.96,-0.0047,,
6,2015-01-12,34.46,0.0146,,
7,2015-01-13,34.69,0.0067,,
8,2015-01-14,34.93,0.0069,,
9,2015-01-15,34.47,-0.0133,,
10,2015-01-16,34.96,0.0141,,
11,2015-01-20,34.92,-0.0011,,
12,2015-01-21,35.74,0.0232,,
13,2015-01-22,35.78,0.0011,,
14,2015-01-23,34.87,-0.0258,,
15,2015-01-26,34.33,-0.0156,,
16,2015-01-27,33.73,-0.0176,,
17,2015-01-28,33.34,-0.0116,,
18,2015-01-29,33.68,0.0101,,
19,2015-01-30,33.39,-0.0086,,
20,2015-02-02,34.33,0.0278,,
21,2015-02-03,34.05,-0.0082,,
22,2015-02-04,34.21,0.0047,,
23,2015-02-05,34.61,0.0116,,
24,2015-02-06,35.08,0.0135,,
25,2015-02-09,34.97,-0.0031,,
26,2015-02-10,35.76,0.0223,,
27,2015-02-11,35.57,-0.0053,,
28,2015-02-12,36.22,0.0181,,
29,2015-02-13,36.49,0.0074,,
30,2015-02-17,36.52,0.0008,,
31,2015-02-18,36.5,-0.0005,,
32,2015-02-19,37.31,0.0219,,
33,2015-02-20,37.3,-0.0003,,
34,2015-02-23,36.69,-0.0165,,
35,2015-02-24,37.59,0.0242,,
36,2015-02-25,37.3,-0.0077,,
37,2015-02-26,37.44,0.0037,,
38,2015-02-27,37.54,0.0027,,
39,2015-03-02,37.88,0.009,,
40,2015-03-03,37.53,-0.0093,,
41,2015-03-04,37.68,0.004,,
42,2015-03-05,37.34,-0.0091,,
43,2015-03-06,37.13,-0.0056,,
44,2015-03-09,37.39,0.007,,
45,2015-03-10,36.77,-0.0167,,
46,2015-03-11,37.24,0.0127,,
47,2015-03-12,37.33,0.0024,,
48,2015-03-13,37.25,-0.0021,,
49,2015-03-16,37.94,0.0184,,
50,2015-03-17,38.19,0.0066,0.290468,31.243132961009838
51,2015-03-18,38.72,0.0138,0.291709,31.376616608105603
52,2015-03-19,38.72,0.0,0.296006,31.838807769725676
53,2015-03-20,38.74,0.0005,0.299321,32.19537367635136
54,2015-03-23,38.89,0.0039,0.302983,32.58926337471131
55,2015-03-24,38.68,-0.0054,0.307676,33.09404883467943
56,2015-03-25,37.26,-0.0374,0.309083,33.24538766744634
57,2015-03-26,36.72,-0.0146,0.306292,32.945183913180195
58,2015-03-27,36.27,-0.0123,0.30324,32.61690664409375
59,2015-03-30,36.12,-0.0041,0.300748,32.34886373630757
60,2015-03-31,37.15,0.0281,0.296266,31.866773723186512
61,2015-04-01,36.61,-0.0146,0.294237,31.64853172483252
62,2015-04-02,36.79,0.0049,0.29124500000000003,31.32670813731396
63,2015-04-06,36.73,-0.0016,0.290644,31.262063760275637
64,2015-04-07,36.38,-0.0096,0.29002700000000003,31.19569840148588
65,2015-04-08,36.49,0.003,0.28648399999999996,30.814608504902232
66,2015-04-09,37.18,0.0187,0.279896,30.105994268748397
67,2015-04-10,37.05,-0.0035,0.268932,28.92669152357677
68,2015-04-13,36.59,-0.0125,0.25302399999999997,27.21560541721137
69,2015-04-14,36.15,-0.0121,0.238665,25.67113185665689
70,2015-04-15,36.19,0.0011,0.22029800000000002,23.695552367367647
71,2015-04-16,36.07,-0.0033,0.209952,22.58272254234524
72,2015-04-17,35.36,-0.0199,0.19628199999999998,21.112358758461973
73,2015-04-20,36.13,0.0215,0.18665500000000002,20.076865550894734
74,2015-04-21,36.21,0.0022,0.176724,19.008673690050202
75,2015-04-22,36.01,-0.0055,0.17019700000000001,18.306620696823718
76,2015-04-23,35.44,-0.016,0.16312300000000002,17.545731639970008
77,2015-04-24,34.99,-0.0128,0.165183,17.767308040467412
78,2015-04-27,34.34,-0.0188,0.169648,18.247569510477565
