,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,90.78,,,
1,2015-01-05,90.26,-0.0057,,
2,2015-01-06,89.39,-0.0097,,
3,2015-01-07,90.01,0.0069,,
4,2015-01-08,91.91,0.0209,,
5,2015-01-09,91.08,-0.009,,
6,2015-01-12,90.94,-0.0016,,
7,2015-01-13,91.19,0.0028,,
8,2015-01-14,91.31,0.0013,,
9,2015-01-15,91.31,0.0,,
10,2015-01-16,92.43,0.0121,,
11,2015-01-20,92.33,-0.001,,
12,2015-01-21,92.38,0.0005,,
13,2015-01-22,93.47,0.0118,,
14,2015-01-23,87.71,-0.0636,,
15,2015-01-26,86.3,-0.0163,,
16,2015-01-27,86.97,0.0078,,
17,2015-01-28,86.13,-0.0098,,
18,2015-01-29,86.59,0.0054,,
19,2015-01-30,84.81,-0.0207,,
20,2015-02-02,86.5,0.0197,,
21,2015-02-03,86.55,0.0005,,
22,2015-02-04,86.31,-0.0028,,
23,2015-02-05,86.43,0.0015,,
24,2015-02-06,85.67,-0.0089,,
25,2015-02-09,85.02,-0.0076,,
26,2015-02-10,85.8,0.0092,,
27,2015-02-11,85.87,0.0007,,
28,2015-02-12,86.56,0.008,,
29,2015-02-13,87.2,0.0074,,
30,2015-02-17,87.41,0.0024,,
31,2015-02-18,87.75,0.0039,,
32,2015-02-19,86.93,-0.0094,,
33,2015-02-20,87.17,0.0027,,
34,2015-02-23,87.19,0.0003,,
35,2015-02-24,86.72,-0.0054,,
36,2015-02-25,86.54,-0.0021,,
37,2015-02-26,86.35,-0.0023,,
38,2015-02-27,86.15,-0.0023,,
39,2015-03-02,86.74,0.0068,,
40,2015-03-03,86.62,-0.0014,,
41,2015-03-04,85.82,-0.0093,,
42,2015-03-05,85.89,0.0008,,
43,2015-03-06,84.59,-0.0152,,
44,2015-03-09,84.75,0.0019,,
45,2015-03-10,82.97,-0.0212,,
46,2015-03-11,82.48,-0.0059,,
47,2015-03-12,83.7,0.0147,,
48,2015-03-13,83.78,0.0009,,
49,2015-03-16,84.28,0.006,,
50,2015-03-17,83.37,-0.011,0.5225500000000001,93.06730728825448
51,2015-03-18,84.77,0.0168,0.525876,93.6596752225014
52,2015-03-19,84.54,-0.0028,0.523864,93.3013335857892
53,2015-03-20,85.91,0.0161,0.525192,93.53785331419566
54,2015-03-23,86.31,0.0047,0.519981,92.60976272328745
55,2015-03-24,85.92,-0.0045,0.502522,89.50027632400386
56,2015-03-25,85.1,-0.0096,0.48979999999999996,87.23446007039908
57,2015-03-26,84.2,-0.0107,0.47838500000000006,85.20142339889317
58,2015-03-27,84.24,0.0005,0.46655500000000005,83.0944743122602
59,2015-03-30,85.32,0.0128,0.451727,80.45357481466142
60,2015-03-31,84.82,-0.0059,0.431884,76.919492758359
61,2015-04-01,84.62,-0.0024,0.399039,71.0697258310167
62,2015-04-02,84.75,0.0016,0.36263599999999996,64.58627125783838
63,2015-04-06,85.1,0.0041,0.31829999999999997,56.689931891400626
64,2015-04-07,84.7,-0.0047,0.239176,42.59777301306201
65,2015-04-08,84.86,0.0019,0.23374099999999998,41.629787528205696
66,2015-04-09,84.94,0.0009,0.233786,41.637802127436345
67,2015-04-10,84.62,-0.0037,0.23116599999999998,41.17117435000791
68,2015-04-13,84.73,0.0012,0.231866,41.29584589359566
69,2015-04-14,85.25,0.0061,0.230836,41.11240062231655
70,2015-04-15,85.22,-0.0004,0.230215,41.0017991529337
71,2015-04-16,85.27,0.0007,0.22856,40.70704000345124
72,2015-04-17,84.56,-0.0084,0.226583,40.35493194391841
73,2015-04-20,85.02,0.0054,0.226435,40.32857281755985
74,2015-04-21,89.61,0.0525,0.224805,40.038266223205525
75,2015-04-22,88.58,-0.0116,0.25229,44.933405331075924
76,2015-04-23,88.46,-0.0013,0.265803,47.34010042893485
77,2015-04-24,88.41,-0.0005,0.27739,49.40377067972235
78,2015-04-27,88.31,-0.0011,0.287767,51.251937262308154
79,2015-04-28,88.64,0.0037,0.295854,52.692249795156904
80,2015-04-29,87.68,-0.0109,0.303909,54.12686305744164
81,2015-04-30,86.87,-0.0093,0.30513100000000004,54.34450395210483
82,2015-05-01,87.93,0.0122,0.301581,53.71224112390981
83,2015-05-04,87.46,-0.0054,0.30589099999999997,54.479861628000094
84,2015-05-05,86.64,-0.0095,0.307034,54.683432448458376
85,2015-05-06,87.0,0.0042,0.30537,54.38707037912978
86,2015-05-07,86.86,-0.0016,0.306166,54.528839734409566
87,2015-05-08,87.67,0.0093,0.30694099999999996,54.666868943381715
88,2015-05-11,87.05,-0.0072,0.31111,55.40937703654932
89,2015-05-12,86.91,-0.0015,0.312974,55.741359546902984
90,2015-05-13,87.43,0.0059,0.313426,55.82186174361965
91,2015-05-14,88.39,0.011,0.31586200000000003,56.25571871530502
92,2015-05-15,88.54,0.0016,0.32379399999999997,57.66842540635933
93,2015-05-18,88.73,0.0021,0.33207299999999995,59.14293356259214
94,2015-05-19,89.04,0.0036,0.339009,60.378250457341615
95,2015-05-20,88.75,-0.0033,0.34747799999999995,61.88659803254824
96,2015-05-21,88.56,-0.0021,0.344628,61.379006747940984
97,2015-05-22,88.1,-0.0052,0.335459,59.745987629146605
98,2015-05-26,87.04,-0.0121,0.331397,59.02253647192741
99,2015-05-27,87.37,0.0038,0.32412599999999997,57.727555338460945
100,2015-05-28,86.9,-0.0055,0.319664,56.93286329919162
101,2015-05-29,86.21,-0.008,0.308033,54.861356551378606
102,2015-06-01,86.44,0.0027,0.304278,54.1925827711329
103,2015-06-02,85.82,-0.0072,0.29905000000000004,53.26146444273755
104,2015-06-03,86.21,0.0045,0.299214,53.290673204378095
105,2015-06-04,85.29,-0.0107,0.299302,53.30634619842913
106,2015-06-05,84.42,-0.0103,0.30086999999999997,53.58561045606568
107,2015-06-08,84.22,-0.0025,0.30393000000000003,54.13060320374928
108,2015-06-09,84.51,0.0035,0.303821,54.11119006339061
109,2015-06-10,85.52,0.0118,0.302323,53.84439296011283
110,2015-06-11,85.75,0.0027,0.301754,53.7430528053965
111,2015-06-12,85.22,-0.0062,0.298711,53.201087795200046
