,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,29.8,,,
1,2015-01-05,28.99,-0.0275,,
2,2015-01-06,28.42,-0.0199,,
3,2015-01-07,28.8,0.0131,,
4,2015-01-08,29.47,0.0232,,
5,2015-01-09,29.1,-0.0126,,
6,2015-01-12,28.96,-0.0048,,
7,2015-01-13,28.46,-0.0175,,
8,2015-01-14,28.69,0.008,,
9,2015-01-15,28.38,-0.011,,
10,2015-01-16,28.91,0.0185,,
11,2015-01-20,29.11,0.007,,
12,2015-01-21,29.24,0.0043,,
13,2015-01-22,29.29,0.0019,,
14,2015-01-23,29.42,0.0045,,
15,2015-01-26,29.42,0.0,,
16,2015-01-27,29.53,0.0038,,
17,2015-01-28,28.79,-0.0255,,
18,2015-01-29,28.65,-0.0049,,
19,2015-01-30,28.89,0.0083,,
20,2015-02-02,29.29,0.0138,,
21,2015-02-03,29.19,-0.0034,,
22,2015-02-04,28.71,-0.0165,,
23,2015-02-05,29.2,0.0168,,
24,2015-02-06,29.14,-0.0019,,
25,2015-02-09,28.99,-0.0051,,
26,2015-02-10,29.24,0.0085,,
27,2015-02-11,29.0,-0.0082,,
28,2015-02-12,29.39,0.0133,,
29,2015-02-13,29.54,0.005,,
30,2015-02-17,29.63,0.0031,,
31,2015-02-18,29.68,0.0019,,
32,2015-02-19,29.56,-0.004,,
33,2015-02-20,29.47,-0.0033,,
34,2015-02-23,29.58,0.0038,,
35,2015-02-24,29.68,0.0033,,
36,2015-02-25,29.63,-0.0014,,
37,2015-02-26,29.01,-0.0214,,
38,2015-02-27,28.86,-0.0051,,
39,2015-03-02,28.73,-0.0044,,
40,2015-03-03,28.92,0.0063,,
41,2015-03-04,28.88,-0.0012,,
42,2015-03-05,28.74,-0.0049,,
43,2015-03-06,28.44,-0.0106,,
44,2015-03-09,28.21,-0.008,,
45,2015-03-10,28.21,0.0,,
46,2015-03-11,28.02,-0.007,,
47,2015-03-12,27.99,-0.001,,
48,2015-03-13,28.09,0.0038,,
49,2015-03-16,28.59,0.0174,,
50,2015-03-17,28.73,0.0052,0.090818,10.161416822815085
51,2015-03-18,29.25,0.0177,0.088353,9.88561365088618
52,2015-03-19,29.23,-0.0007,0.088653,9.919179959843044
53,2015-03-20,29.64,0.0141,0.087515,9.791851761200006
54,2015-03-23,29.66,0.0007,0.08902499999999999,9.960802182949557
55,2015-03-24,29.01,-0.0223,0.08989699999999999,10.058368254317509
56,2015-03-25,28.94,-0.0022,0.089868,10.055123511118346
57,2015-03-26,29.05,0.0036,0.089878,10.056242388083575
58,2015-03-27,29.04,-0.0002,0.08857,9.909893281031644
59,2015-03-30,29.61,0.0192,0.088083,9.855403972825002
60,2015-03-31,29.6,-0.0002,0.087505,9.790732884234776
61,2015-04-01,29.5,-0.0033,0.088594,9.912578585748195
62,2015-04-02,29.36,-0.0048,0.089337,9.995711144264696
63,2015-04-06,29.54,0.006,0.089559,10.020550212892775
64,2015-04-07,29.55,0.0005,0.090221,10.094619867990923
65,2015-04-08,29.59,0.0014,0.09063399999999999,10.140829486654873
66,2015-04-09,29.8,0.0069,0.091207,10.204941136762486
67,2015-04-10,30.21,0.0138,0.092411,10.339653923376034
68,2015-04-13,30.25,0.0012,0.096731,10.823008772354884
69,2015-04-14,30.27,0.0007,0.100387,11.23207019084254
70,2015-04-15,30.56,0.0097,0.104432,11.684655923277598
71,2015-04-16,30.74,0.0057,0.11082399999999999,12.399842079451858
72,2015-04-17,30.89,0.005,0.118231,13.228594247596845
73,2015-04-20,30.76,-0.0043,0.125387,14.029262603914587
74,2015-04-21,30.69,-0.0023,0.131501,14.713343980455488
75,2015-04-22,31.01,0.0105,0.13649699999999998,15.272334912283801
76,2015-04-23,31.37,0.0113,0.143301,16.033618799425494
77,2015-04-24,31.2,-0.0052,0.15282099999999998,17.098789670323328
78,2015-04-27,31.04,-0.0052,0.159612,17.85861901741022
79,2015-04-28,30.74,-0.0099,0.165079,18.470309054300813
80,2015-04-29,30.64,-0.003,0.16836600000000002,18.838083912771527
81,2015-04-30,30.56,-0.0028,0.170999,19.132684217716275
82,2015-05-01,30.69,0.0042,0.173107,19.36854348198651
83,2015-05-04,30.47,-0.007,0.1757,19.65866827907034
84,2015-05-05,30.34,-0.0042,0.177247,19.83175854559124
85,2015-05-06,30.36,0.0005,0.17833300000000002,19.953268584015092
86,2015-05-07,30.35,-0.0002,0.17941400000000002,20.074219183956327
87,2015-05-08,30.61,0.0086,0.180428,20.18767330823053
88,2015-05-11,30.34,-0.0091,0.181333,20.288931673583736
89,2015-05-12,30.38,0.0014,0.180684,20.216316558540385
90,2015-05-13,30.0,-0.0127,0.179459,20.079254130299855
91,2015-05-14,29.98,-0.0005,0.178075,19.924401558312187
92,2015-05-15,30.32,0.0113,0.17643599999999998,19.74101762371118
93,2015-05-18,30.47,0.0049,0.17454999999999998,19.529997428069027
94,2015-05-19,30.49,0.0007,0.171099,19.143872987368564
95,2015-05-20,30.3,-0.0063,0.165664,18.5357633567667
96,2015-05-21,30.35,0.0016,0.159164,17.808493329367966
97,2015-05-22,30.37,0.0007,0.150208,16.80642711930904
98,2015-05-26,29.95,-0.0142,0.139832,15.645480380187617
99,2015-05-27,29.87,-0.0024,0.129053,14.439442899367473
100,2015-05-28,29.61,-0.0089,0.122403,13.695389717490308
101,2015-05-29,29.52,-0.0031,0.117216,13.11502823562612
102,2015-06-01,29.38,-0.0048,0.11591100000000001,12.96901479166376
103,2015-06-02,29.38,0.0,0.115098,12.878050094390657
104,2015-06-03,29.08,-0.0102,0.11616699999999999,12.997658041973615
105,2015-06-04,28.53,-0.019,0.11897500000000001,13.31183869380987
106,2015-06-05,28.74,0.0075,0.122944,13.755920961309187
107,2015-06-08,28.6,-0.005,0.12447699999999999,13.927444800078764
108,2015-06-09,28.63,0.001,0.127866,14.306632203594813
109,2015-06-10,28.62,-0.0002,0.13086399999999998,14.64207151777041
110,2015-06-11,28.3,-0.0112,0.136173,15.236083298610389
111,2015-06-12,27.69,-0.0219,0.14382,16.091688513920868
112,2015-06-15,28.0,0.0112,0.156676,17.53011674041904
113,2015-06-16,28.1,0.0033,0.164936,18.45430911369804
114,2015-06-17,28.12,0.0008,0.172267,19.27455781690729
115,2015-06-18,28.52,0.0141,0.178987,20.026443137541055
116,2015-06-19,28.13,-0.0136,0.18280200000000002,20.45329469977585
117,2015-06-22,28.21,0.0028,0.18896100000000002,21.14241102266028
118,2015-06-23,28.05,-0.0056,0.193946,21.700171189826843
119,2015-06-24,28.07,0.0005,0.199418,22.312420665200055
120,2015-06-25,27.73,-0.012,0.204267,22.854964105639507
121,2015-06-26,27.72,-0.0005,0.21003,23.499772900700876
122,2015-06-29,27.29,-0.0155,0.214555,24.006064727466917
123,2015-06-30,27.31,0.0008,0.22068100000000002,24.69148875636609
124,2015-07-01,27.02,-0.0107,0.22622499999999998,25.311794145888946
125,2015-07-02,27.06,0.0013,0.233271,26.100154855589174
126,2015-07-06,26.68,-0.014,0.237484,26.571537721040073
127,2015-07-07,26.85,0.0064,0.241314,27.000067598722712
128,2015-07-08,26.54,-0.0117,0.24356000000000003,27.251367365113108
129,2015-07-09,26.68,0.0053,0.247886,27.73539354027109
130,2015-07-10,27.1,0.0156,0.251672,28.159000359306724
131,2015-07-13,27.17,0.0026,0.25244,28.244930110236293
132,2015-07-14,27.05,-0.0045,0.25255299999999997,28.257573419943377
133,2015-07-15,26.74,-0.0116,0.25188099999999997,28.18238488788
134,2015-07-16,26.61,-0.0048,0.25328,28.338915775315517
135,2015-07-17,26.25,-0.0137,0.25525400000000004,28.559782088251687
136,2015-07-20,25.83,-0.0161,0.258547,28.92822827290154
137,2015-07-21,25.5,-0.0128,0.263752,29.51060373330313
138,2015-07-22,25.16,-0.0135,0.268603,30.053370949135633
139,2015-07-23,24.87,-0.0117,0.276327,30.91759151707837
140,2015-07-24,24.79,-0.0029,0.284572,31.840105574909533
141,2015-07-27,25.06,0.0106,0.29373,32.86477309966609
142,2015-07-28,25.31,0.0099,0.299391,33.49816934968212
143,2015-07-29,25.42,0.0046,0.300178,33.58622496684563
144,2015-07-30,25.27,-0.006,0.29803999999999997,33.34700907167971
145,2015-07-31,24.99,-0.0112,0.295317,33.0423388740479
146,2015-08-03,24.35,-0.026,0.294294,32.92787776050499
147,2015-08-04,24.28,-0.0027,0.295912,33.10891205347902
148,2015-08-05,23.26,-0.0431,0.29602799999999996,33.12189102627566
149,2015-08-06,23.58,0.0139,0.306047,34.24289385773842
150,2015-08-07,23.19,-0.017,0.311344,34.835562986220125
151,2015-08-10,23.45,0.0111,0.319714,35.772063006116646
152,2015-08-11,23.73,0.0119,0.32453299999999996,36.31124981566041
153,2015-08-12,24.42,0.0288,0.32655500000000004,36.537486738029685
154,2015-08-13,23.91,-0.0212,0.323191,36.16109652692671
155,2015-08-14,24.5,0.0244,0.32329,36.17217340888248
156,2015-08-17,24.79,0.0117,0.32230800000000004,36.06229969089701
157,2015-08-18,24.48,-0.0123,0.318293,35.61307058935763
158,2015-08-19,24.23,-0.0107,0.315443,35.29419065426742
159,2015-08-20,23.58,-0.0269,0.312683,34.985380611864265
160,2015-08-21,22.93,-0.0279,0.31227499999999997,34.939730431682925
161,2015-08-24,21.84,-0.0487,0.31668399999999997,35.43304328565231
162,2015-08-25,21.59,-0.0116,0.33127,37.06503722713507
163,2015-08-26,22.21,0.0283,0.34444800000000003,38.539493291913615
164,2015-08-27,23.09,0.0385,0.350163,39.17893147754188
165,2015-08-28,23.54,0.0195,0.349054,39.054848022098
166,2015-08-31,23.38,-0.0068,0.342298,38.29893474438941
167,2015-09-01,22.65,-0.032,0.337553,37.76802762438834
168,2015-09-02,22.59,-0.0026,0.334715,37.4504903416564
169,2015-09-03,22.42,-0.0074,0.331864,37.13149851886966
170,2015-09-04,22.2,-0.01,0.328442,36.74861882136836
171,2015-09-08,22.43,0.0103,0.32716500000000004,36.60573823290865
172,2015-09-09,22.1,-0.0146,0.32331200000000004,36.17463493820598
173,2015-09-10,22.0,-0.0046,0.32275,36.11175405276012
174,2015-09-11,21.71,-0.0132,0.321372,35.95757280695159
175,2015-09-14,21.54,-0.008,0.322254,36.05625775528477
176,2015-09-15,21.78,0.011,0.322665,36.102243598555674
177,2015-09-16,22.14,0.0164,0.322639,36.09933451844608
178,2015-09-17,22.24,0.0046,0.318653,35.65335016010587
179,2015-09-18,21.92,-0.0147,0.315136,35.2598411314349
180,2015-09-21,22.13,0.0095,0.311196,34.81900360713474
181,2015-09-22,21.72,-0.0184,0.302017,33.79198644075121
182,2015-09-23,20.96,-0.0355,0.29249400000000003,32.72647990676381
183,2015-09-24,21.17,0.0096,0.286646,32.072160657497996
184,2015-09-25,21.22,0.0027,0.280285,31.36044301991594
185,2015-09-28,19.87,-0.0657,0.27290400000000004,30.534599931880553
186,2015-09-29,18.87,-0.0518,0.27686499999999997,30.97778709780768
187,2015-09-30,19.97,0.0565,0.291582,32.62443832753494
188,2015-10-01,20.29,0.0161,0.295762,33.092128899000585
189,2015-10-02,21.38,0.052,0.298232,33.3684915094121
190,2015-10-05,22.33,0.0436,0.29581399999999997,33.09794705921977
191,2015-10-06,22.93,0.0265,0.29095,32.55372530333247
192,2015-10-07,23.19,0.0113,0.284027,31.779126780304562
193,2015-10-08,23.58,0.0167,0.275268,30.799102446460644
194,2015-10-09,23.34,-0.0101,0.265901,29.751050393130807
195,2015-10-12,23.29,-0.0019,0.25660900000000003,28.711389917040194
196,2015-10-13,22.71,-0.0254,0.24881599999999998,27.83944909803737
197,2015-10-14,22.89,0.0079,0.243966,27.29679376990139
198,2015-10-15,23.25,0.0156,0.23938500000000001,26.784236232130073
199,2015-10-16,23.24,-0.0006,0.23936800000000003,26.782334141289187
200,2015-10-19,22.88,-0.0153,0.238387,26.672572311000234
201,2015-10-20,23.03,0.0066,0.237876,26.615397698077043
202,2015-10-21,22.67,-0.0161,0.236905,26.506754744753326
203,2015-10-22,21.46,-0.0546,0.23447800000000002,26.235203305292295
204,2015-10-23,21.09,-0.0176,0.229655,25.69556894496243
