,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,66.47,,,
1,2015-01-05,64.58,-0.0288,,
2,2015-01-06,63.77,-0.0126,,
3,2015-01-07,64.78,0.0157,,
4,2015-01-08,66.09,0.02,,
5,2015-01-09,65.04,-0.016,,
6,2015-01-12,64.35,-0.0107,,
7,2015-01-13,64.27,-0.0012,,
8,2015-01-14,63.42,-0.0133,,
9,2015-01-15,62.23,-0.0189,,
10,2015-01-16,63.51,0.0204,,
11,2015-01-20,62.81,-0.0111,,
12,2015-01-21,63.01,0.0032,,
13,2015-01-22,64.24,0.0193,,
14,2015-01-23,64.87,0.0098,,
15,2015-01-26,64.77,-0.0015,,
16,2015-01-27,63.7,-0.0167,,
17,2015-01-28,62.53,-0.0185,,
18,2015-01-29,63.31,0.0124,,
19,2015-01-30,62.1,-0.0193,,
20,2015-02-02,62.53,0.0069,,
21,2015-02-03,63.75,0.0193,,
22,2015-02-04,64.46,0.0111,,
23,2015-02-05,64.53,0.0011,,
24,2015-02-06,64.42,-0.0017,,
25,2015-02-09,64.55,0.002,,
26,2015-02-10,65.67,0.0172,,
27,2015-02-11,65.97,0.0046,,
28,2015-02-12,66.58,0.0092,,
29,2015-02-13,67.68,0.0164,,
30,2015-02-17,67.48,-0.003,,
31,2015-02-18,67.51,0.0004,,
32,2015-02-19,68.3,0.0116,,
33,2015-02-20,68.13,-0.0025,,
34,2015-02-23,67.61,-0.0077,,
35,2015-02-24,67.28,-0.0049,,
36,2015-02-25,68.1,0.0121,,
37,2015-02-26,67.73,-0.0054,,
38,2015-02-27,67.11,-0.0092,,
39,2015-03-02,67.77,0.0098,,
40,2015-03-03,67.39,-0.0056,,
41,2015-03-04,64.69,-0.0409,,
42,2015-03-05,64.62,-0.0011,,
43,2015-03-06,63.0,-0.0254,,
44,2015-03-09,63.2,0.0032,,
45,2015-03-10,62.15,-0.0168,,
46,2015-03-11,62.0,-0.0024,,
47,2015-03-12,62.45,0.0072,,
48,2015-03-13,63.32,0.0138,,
49,2015-03-16,64.18,0.0135,,
50,2015-03-17,64.72,0.0084,0.366789,33.34259700481915
51,2015-03-18,65.48,0.0117,0.36417700000000003,33.105155687395275
52,2015-03-19,65.64,0.0024,0.36450099999999996,33.134608592006806
53,2015-03-20,66.55,0.0138,0.363824,33.07306656601295
54,2015-03-23,66.45,-0.0015,0.36652,33.31814382166945
55,2015-03-24,67.3,0.0127,0.36749200000000004,33.40650253550407
56,2015-03-25,66.35,-0.0142,0.37296799999999997,33.90429298504968
57,2015-03-26,65.8,-0.0083,0.37433,34.028104269250036
58,2015-03-27,66.69,0.0134,0.37430300000000005,34.02564986053242
59,2015-03-30,69.22,0.0372,0.37406399999999995,34.00392379818007
60,2015-03-31,69.01,-0.003,0.38138,34.66897765663073
61,2015-04-01,68.39,-0.009,0.391356,35.575836225781046
62,2015-04-02,74.73,0.0887,0.393157,35.7395543776495
63,2015-04-06,73.95,-0.0105,0.460017,41.81739759470947
64,2015-04-07,73.42,-0.0072,0.508951,46.265695231317494
65,2015-04-08,74.07,0.0088,0.5468930000000001,49.714775807771126
66,2015-04-09,74.11,0.0005,0.586519,53.316938764983476
67,2015-04-10,73.19,-0.0125,0.619059,56.27495578985831
68,2015-04-13,73.01,-0.0025,0.635188,57.74114683454811
69,2015-04-14,72.46,-0.0076,0.650588,59.14106884386196
70,2015-04-15,72.4,-0.0008,0.654014,59.452506038920994
71,2015-04-16,71.68,-0.01,0.657068,59.73012693609271
72,2015-04-17,70.61,-0.015,0.6601560000000001,60.01083857016812
73,2015-04-20,70.97,0.0051,0.6603189999999999,60.02565592650045
74,2015-04-21,70.88,-0.0013,0.661137,60.10001542024193
75,2015-04-22,70.84,-0.0006,0.6602889999999999,60.02292880570309
76,2015-04-23,70.72,-0.0017,0.658876,59.89448141614722
77,2015-04-24,69.97,-0.0107,0.659947,59.991839628613135
78,2015-04-27,68.81,-0.0167,0.65937,59.93938800527716
79,2015-04-28,69.39,0.0084,0.6581969999999999,59.83275758210019
80,2015-04-29,68.76,-0.0091,0.658846,59.89175429534986
81,2015-04-30,68.11,-0.0095,0.658687,59.877300555123824
82,2015-05-01,69.81,0.0247,0.65839,59.85030205922992
83,2015-05-04,71.33,0.0215,0.6597310000000001,59.97220435887212
84,2015-05-05,70.3,-0.0145,0.6648189999999999,60.434724046105146
85,2015-05-06,69.97,-0.0047,0.666564,60.5933515724852
86,2015-05-07,70.84,0.0124,0.667152,60.64680314011354
87,2015-05-08,71.53,0.0097,0.6701640000000001,60.92060606816896
88,2015-05-11,71.35,-0.0025,0.6747150000000001,61.33431029312917
89,2015-05-12,71.27,-0.0011,0.6775220000000001,61.589477895735925
90,2015-05-13,71.11,-0.0022,0.680644,61.873280266715
91,2015-05-14,71.72,0.0085,0.6825600000000001,62.04745238164002
92,2015-05-15,72.26,0.0075,0.677313,61.57047895418095
93,2015-05-18,73.0,0.0102,0.672312,61.11586791726026
94,2015-05-19,72.26,-0.0102,0.658776,59.88539101348934
95,2015-05-20,72.3,0.0006,0.64144,58.3094788087189
96,2015-05-21,72.51,0.0029,0.612904,55.71544150626566
97,2015-05-22,72.41,-0.0014,0.5795020000000001,52.6790652104799
98,2015-05-26,71.71,-0.0097,0.545561,49.59369164436812
99,2015-05-27,72.84,0.0156,0.514043,46.728578534656855
100,2015-05-28,72.38,-0.0063,0.49031199999999997,44.571335079914846
101,2015-05-29,71.04,-0.0187,0.466816,42.435454071418874
102,2015-06-01,71.7,0.0092,0.445081,40.4596550537282
103,2015-06-02,72.1,0.0056,0.423258,38.47585648169859
104,2015-06-03,72.81,0.0098,0.40773499999999996,37.06475327711555
105,2015-06-04,73.09,0.0038,0.39144199999999996,35.58365397206682
106,2015-06-05,73.7,0.0083,0.38104999999999994,34.63897932785971
107,2015-06-08,72.16,-0.0211,0.362915,32.9904348058528
108,2015-06-09,72.59,0.0059,0.329898,29.989056560299872
109,2015-06-10,73.15,0.0077,0.303868,27.622824748453162
110,2015-06-11,72.78,-0.0051,0.299696,27.24357314956632
111,2015-06-12,72.86,0.0011,0.29213100000000003,26.55588418849754
112,2015-06-15,71.55,-0.0181,0.27872199999999997,25.336952096102124
113,2015-06-16,72.2,0.009,0.266979,24.269466111987036
114,2015-06-17,72.28,0.0011,0.26037,23.668681400327607
115,2015-06-18,71.96,-0.0044,0.25662199999999996,23.327973108710182
116,2015-06-19,69.27,-0.0381,0.24829,22.57056075925545
117,2015-06-22,68.03,-0.0181,0.247085,22.46102140722797
118,2015-06-23,68.73,0.0102,0.260668,23.695770800248095
119,2015-06-24,68.12,-0.0089,0.267225,24.291828502525423
120,2015-06-25,68.07,-0.0007,0.279484,25.40622096435519
121,2015-06-26,68.41,0.005,0.29085,26.43943613045007
122,2015-06-29,66.35,-0.0306,0.300074,27.277934871613112
123,2015-06-30,66.21,-0.0021,0.32649700000000004,29.679891965905302
124,2015-07-01,67.04,0.0125,0.351681,31.969218971266326
125,2015-07-02,66.67,-0.0055,0.36721699999999996,33.38150392819488
126,2015-07-06,66.32,-0.0053,0.384387,34.94232606455324
127,2015-07-07,66.6,0.0042,0.402926,36.627595813298
128,2015-07-08,65.57,-0.0156,0.41751399999999994,37.953703753029835
129,2015-07-09,66.25,0.0103,0.436797,39.70660609754925
130,2015-07-10,66.92,0.0101,0.451122,41.00880627829086
131,2015-07-13,68.27,0.02,0.45909999999999995,41.73403860233669
132,2015-07-14,68.02,-0.0037,0.45850700000000005,41.680132514575455
133,2015-07-15,67.55,-0.0069,0.462967,42.08556447311699
134,2015-07-16,68.87,0.0194,0.468772,42.61326234740705
