,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,33.07,,,
1,2015-01-05,33.07,0.0,,
2,2015-01-06,33.32,0.0076,,
3,2015-01-07,33.73,0.0124,,
4,2015-01-08,34.14,0.012,,
5,2015-01-09,33.76,-0.0111,,
6,2015-01-12,33.46,-0.0091,,
7,2015-01-13,33.45,-0.0002,,
8,2015-01-14,33.4,-0.0016,,
9,2015-01-15,33.25,-0.0042,,
10,2015-01-16,33.37,0.0035,,
11,2015-01-20,33.87,0.0147,,
12,2015-01-21,34.02,0.0046,,
13,2015-01-22,34.35,0.0096,,
14,2015-01-23,33.98,-0.0108,,
15,2015-01-26,33.74,-0.0072,,
16,2015-01-27,33.26,-0.0143,,
17,2015-01-28,32.89,-0.0111,,
18,2015-01-29,33.03,0.0043,,
19,2015-01-30,32.3,-0.0223,,
20,2015-02-02,32.63,0.0102,,
21,2015-02-03,32.67,0.001,,
22,2015-02-04,32.71,0.0012,,
23,2015-02-05,32.79,0.0026,,
24,2015-02-06,32.52,-0.0082,,
25,2015-02-09,32.35,-0.0053,,
26,2015-02-10,33.27,0.028,,
27,2015-02-11,33.25,-0.0007,,
28,2015-02-12,33.09,-0.0047,,
29,2015-02-13,32.95,-0.0043,,
30,2015-02-17,32.81,-0.0043,,
31,2015-02-18,32.74,-0.0019,,
32,2015-02-19,33.04,0.0091,,
33,2015-02-20,32.93,-0.0033,,
34,2015-02-23,32.84,-0.0029,,
35,2015-02-24,33.06,0.0067,,
36,2015-02-25,33.0,-0.0019,,
37,2015-02-26,33.32,0.0097,,
38,2015-02-27,33.98,0.0196,,
39,2015-03-02,33.9,-0.0023,,
40,2015-03-03,33.7,-0.0058,,
41,2015-03-04,33.35,-0.0105,,
42,2015-03-05,33.27,-0.0024,,
43,2015-03-06,32.58,-0.021,,
44,2015-03-09,32.48,-0.0031,,
45,2015-03-10,31.93,-0.0171,,
46,2015-03-11,31.47,-0.0146,,
47,2015-03-12,32.1,0.0199,,
48,2015-03-13,31.58,-0.0164,,
49,2015-03-16,31.88,0.0095,,
