,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,26.89,,,
1,2015-01-05,26.46,-0.0159,,
2,2015-01-06,26.41,-0.0019,,
3,2015-01-07,26.84,0.0162,,
4,2015-01-08,26.92,0.0028,,
5,2015-01-09,26.41,-0.0192,,
6,2015-01-12,26.16,-0.0092,,
7,2015-01-13,26.79,0.0237,,
8,2015-01-14,26.44,-0.0133,,
9,2015-01-15,26.33,-0.0041,,
10,2015-01-16,26.83,0.019,,
11,2015-01-20,26.59,-0.0092,,
12,2015-01-21,26.52,-0.0026,,
13,2015-01-22,27.17,0.0243,,
14,2015-01-23,27.02,-0.0054,,
15,2015-01-26,27.18,0.0058,,
16,2015-01-27,26.86,-0.0119,,
17,2015-01-28,26.98,0.0045,,
18,2015-01-29,27.06,0.0028,,
19,2015-01-30,26.2,-0.0321,,
20,2015-02-02,26.47,0.0103,,
21,2015-02-03,27.06,0.0218,,
22,2015-02-04,26.63,-0.016,,
23,2015-02-05,26.46,-0.0064,,
24,2015-02-06,26.53,0.0029,,
25,2015-02-09,26.54,0.0005,,
26,2015-02-10,26.66,0.0043,,
27,2015-02-11,27.0,0.0127,,
28,2015-02-12,27.73,0.0266,,
29,2015-02-13,28.14,0.015,,
30,2015-02-17,28.01,-0.005,,
31,2015-02-18,28.35,0.0124,,
32,2015-02-19,28.81,0.0159,,
33,2015-02-20,29.08,0.0092,,
34,2015-02-23,28.8,-0.0094,,
35,2015-02-24,28.74,-0.0022,,
36,2015-02-25,28.49,-0.0086,,
37,2015-02-26,28.56,0.0022,,
38,2015-02-27,28.49,-0.0022,,
39,2015-03-02,28.99,0.0172,,
40,2015-03-03,28.68,-0.0105,,
41,2015-03-04,28.54,-0.0049,,
42,2015-03-05,28.42,-0.0044,,
43,2015-03-06,27.93,-0.0173,,
44,2015-03-09,28.16,0.0081,,
45,2015-03-10,27.71,-0.0159,,
46,2015-03-11,27.95,0.0084,,
47,2015-03-12,28.24,0.0104,,
48,2015-03-13,27.75,-0.0174,,
49,2015-03-16,27.94,0.0068,,
50,2015-03-17,27.74,-0.0073,0.17130099999999998,19.465504977860668
51,2015-03-18,27.8,0.0021,0.170879,19.417551707881763
52,2015-03-19,28.53,0.0261,0.169014,19.205625526576863
53,2015-03-20,29.28,0.0258,0.16890799999999997,19.193580392411544
54,2015-03-23,29.59,0.0108,0.174521,19.831404336467518
55,2015-03-24,28.94,-0.0223,0.18208,20.690358762464147
56,2015-03-25,26.14,-0.1019,0.182519,20.740243799243157
57,2015-03-26,26.31,0.0065,0.18267499999999998,20.757970600467583
58,2015-03-27,26.58,0.0101,0.184824,21.002168650668242
59,2015-03-30,26.73,0.0059,0.18418199999999998,20.929216045629236
60,2015-03-31,26.56,-0.0067,0.182332,20.718994364442075
61,2015-04-01,26.57,0.0005,0.18342099999999997,20.842741072989543
62,2015-04-02,26.68,0.0043,0.183504,20.852172640307675
63,2015-04-06,26.79,0.004,0.18279900000000002,20.772061134774187
64,2015-04-07,26.85,0.0024,0.18383500000000003,20.889785276239
