,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,41.43,,,
1,2015-01-05,41.11,-0.0077,,
2,2015-01-06,40.76,-0.0085,,
3,2015-01-07,42.77,0.0482,,
4,2015-01-08,43.83,0.0244,,
5,2015-01-09,43.76,-0.0015,,
6,2015-01-12,44.03,0.006,,
7,2015-01-13,43.29,-0.0169,,
8,2015-01-14,42.8,-0.0113,,
9,2015-01-15,39.73,-0.0744,,
10,2015-01-16,40.41,0.0168,,
11,2015-01-20,39.59,-0.0203,,
12,2015-01-21,40.47,0.022,,
13,2015-01-22,41.0,0.0129,,
14,2015-01-23,40.9,-0.0023,,
15,2015-01-26,41.99,0.0262,,
16,2015-01-27,42.07,0.002,,
17,2015-01-28,41.81,-0.0063,,
18,2015-01-29,43.26,0.0341,,
19,2015-01-30,42.04,-0.0285,,
20,2015-02-02,41.79,-0.006,,
21,2015-02-03,42.53,0.0175,,
22,2015-02-04,43.5,0.0226,,
23,2015-02-05,43.48,-0.0004,,
24,2015-02-06,44.95,0.0332,,
25,2015-02-09,45.35,0.0087,,
26,2015-02-10,46.23,0.0192,,
27,2015-02-11,46.03,-0.0043,,
28,2015-02-12,47.05,0.0219,,
29,2015-02-13,46.79,-0.0056,,
30,2015-02-17,47.19,0.0086,,
31,2015-02-18,46.94,-0.0054,,
32,2015-02-19,47.03,0.002,,
33,2015-02-20,47.11,0.0016,,
34,2015-02-23,46.62,-0.0104,,
35,2015-02-24,47.94,0.0279,,
36,2015-02-25,47.44,-0.0104,,
37,2015-02-26,46.89,-0.0117,,
38,2015-02-27,47.0,0.0024,,
39,2015-03-02,46.85,-0.0034,,
40,2015-03-03,46.29,-0.0119,,
41,2015-03-04,46.86,0.0121,,
42,2015-03-05,46.92,0.0014,,
43,2015-03-06,45.52,-0.0304,,
44,2015-03-09,45.61,0.0021,,
45,2015-03-10,45.2,-0.0091,,
46,2015-03-11,45.12,-0.0017,,
47,2015-03-12,46.4,0.0278,,
48,2015-03-13,46.06,-0.0073,,
49,2015-03-16,46.16,0.0022,,
50,2015-03-17,45.74,-0.0092,0.473215,45.66108515048435
51,2015-03-18,46.55,0.0174,0.4679,45.14823440066698
52,2015-03-19,46.48,-0.0014,0.462395,44.617050322069694
53,2015-03-20,47.05,0.0122,0.453564,43.76493649861962
54,2015-03-23,46.38,-0.0144,0.455259,43.92848908957737
55,2015-03-24,47.22,0.018,0.456777,44.07496273740855
56,2015-03-25,46.51,-0.0152,0.460668,44.45041001258059
57,2015-03-26,46.27,-0.0052,0.462308,44.60865558731257
58,2015-03-27,47.21,0.0202,0.46165100000000003,44.54526086621568
59,2015-03-30,48.2,0.0208,0.461787,44.558383669973935
60,2015-03-31,48.5,0.0062,0.445832,43.01886650848079
61,2015-04-01,48.54,0.0008,0.434505,41.92591063958496
62,2015-04-02,49.79,0.0255,0.412709,39.822788354915296
63,2015-04-06,48.74,-0.0215,0.404188,39.000586804737736
64,2015-04-07,47.5,-0.0257,0.39056399999999997,37.68599064001303
65,2015-04-08,47.99,0.0102,0.367922,35.50123679667065
66,2015-04-09,47.27,-0.0151,0.35447,34.20323711905199
67,2015-04-10,47.28,0.0002,0.337498,32.5655884029842
68,2015-04-13,47.19,-0.0018,0.315672,30.45957138219138
69,2015-04-14,47.72,0.011,0.304711,29.40193129399794
70,2015-04-15,48.16,0.0092,0.2816,27.171923075930376
71,2015-04-16,46.95,-0.0254,0.252664,24.37985359395196
72,2015-04-17,45.48,-0.0318,0.225517,21.760406876117152
73,2015-04-20,45.19,-0.0064,0.210088,20.27164408798317
74,2015-04-21,46.04,0.0187,0.19456199999999998,18.773521653051013
75,2015-04-22,45.36,-0.015,0.188897,18.226898981796946
76,2015-04-23,43.77,-0.0355,0.18884299999999998,18.22168845677528
77,2015-04-24,44.21,0.01,0.205758,19.853837174209097
78,2015-04-27,43.45,-0.0175,0.21641,20.881661480334134
79,2015-04-28,43.58,0.003,0.234069,22.58559965362197
80,2015-04-29,43.3,-0.0065,0.248721,23.999388776166473
81,2015-04-30,42.91,-0.0089,0.263963,25.470107709132847
82,2015-05-01,43.87,0.022,0.28140699999999996,27.153300273538132
83,2015-05-04,43.46,-0.0092,0.289574,27.941343937462577
84,2015-05-05,42.46,-0.0233,0.299568,28.90567703128661
85,2015-05-06,42.43,-0.0007,0.317164,30.60353625871584
86,2015-05-07,43.54,0.0257,0.32995399999999997,31.83765875921708
87,2015-05-08,44.5,0.0217,0.335289,32.35243933311654
88,2015-05-11,43.75,-0.0168,0.337123,32.52940420144487
89,2015-05-12,43.75,-0.0002,0.341424,32.9444128702999
90,2015-05-13,43.69,-0.0013,0.345615,33.348807506703395
91,2015-05-14,44.3,0.0138,0.350468,33.81707932022431
92,2015-05-15,44.6,0.0067,0.351736,33.93943016702928
93,2015-05-18,45.39,0.0175,0.35174700000000003,33.94049157027444
94,2015-05-19,45.6,0.0047,0.35182699999999995,33.94821086660282
95,2015-05-20,45.68,0.0016,0.35182899999999995,33.94840384901103
96,2015-05-21,45.36,-0.007,0.351522,33.91878104935084
97,2015-05-22,45.47,0.0025,0.35127,33.894465265916416
98,2015-05-26,44.41,-0.0236,0.350892,33.857991590764776
99,2015-05-27,44.2,-0.0047,0.352567,34.01961435764043
100,2015-05-28,44.52,0.0072,0.35461,34.216745887626665
101,2015-05-29,43.69,-0.0189,0.355925,34.343631821024566
102,2015-06-01,44.06,0.0085,0.35883400000000004,34.624324733765626
103,2015-06-02,44.08,0.0004,0.360242,34.76018434914528
104,2015-06-03,44.3,0.0049,0.359827,34.720140499441754
105,2015-06-04,43.49,-0.0184,0.36030500000000004,34.76626329500389
106,2015-06-05,43.76,0.0062,0.360573,34.79212293770399
107,2015-06-08,43.32,-0.0101,0.36164799999999997,34.89585098211671
