,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,111.43,,,
1,2015-01-05,108.49,-0.0267,,
2,2015-01-06,107.1,-0.0129,,
3,2015-01-07,108.3,0.0111,,
4,2015-01-08,110.08,0.0163,,
5,2015-01-09,108.6,-0.0136,,
6,2015-01-12,108.36,-0.0022,,
7,2015-01-13,107.61,-0.0069,,
8,2015-01-14,106.83,-0.0073,,
9,2015-01-15,106.73,-0.001,,
10,2015-01-16,105.92,-0.0076,,
11,2015-01-20,107.1,0.0111,,
12,2015-01-21,107.76,0.0061,,
13,2015-01-22,109.29,0.0141,,
14,2015-01-23,108.33,-0.0088,,
15,2015-01-26,106.77,-0.0145,,
16,2015-01-27,105.64,-0.0107,,
17,2015-01-28,105.15,-0.0046,,
18,2015-01-29,104.14,-0.0097,,
19,2015-01-30,103.4,-0.0071,,
20,2015-02-02,104.8,0.0134,,
21,2015-02-03,105.88,0.0103,,
22,2015-02-04,105.22,-0.0063,,
23,2015-02-05,106.85,0.0154,,
24,2015-02-06,107.4,0.0051,,
25,2015-02-09,107.22,-0.0017,,
26,2015-02-10,107.1,-0.001,,
27,2015-02-11,106.62,-0.0045,,
28,2015-02-12,107.49,0.0081,,
29,2015-02-13,108.8,0.0121,,
30,2015-02-17,109.28,0.0044,,
31,2015-02-18,109.44,0.0014,,
32,2015-02-19,110.49,0.0096,,
33,2015-02-20,110.88,0.0035,,
34,2015-02-23,110.09,-0.0071,,
35,2015-02-24,110.08,-0.0001,,
36,2015-02-25,110.26,0.0016,,
37,2015-02-26,109.67,-0.0054,,
38,2015-02-27,109.67,0.0,,
39,2015-03-02,111.71,0.0184,,
40,2015-03-03,110.65,-0.0095,,
41,2015-03-04,110.12,-0.0048,,
42,2015-03-05,110.14,0.0002,,
43,2015-03-06,108.89,-0.0114,,
44,2015-03-09,108.86,-0.0003,,
45,2015-03-10,107.23,-0.0151,,
46,2015-03-11,107.11,-0.0011,,
47,2015-03-12,108.32,0.0113,,
48,2015-03-13,106.74,-0.0147,,
49,2015-03-16,107.12,0.0035,,
50,2015-03-17,105.9,-0.0115,0.366456,54.3513559702682
51,2015-03-18,107.62,0.0161,0.35856,53.180251371786426
52,2015-03-19,105.2,-0.0227,0.35829500000000003,53.140947582703646
53,2015-03-20,105.12,-0.0007,0.365037,54.14089530344378
54,2015-03-23,105.18,0.0005,0.372189,55.20165266012332
55,2015-03-24,104.8,-0.0035,0.37333500000000003,55.37162300838322
56,2015-03-25,103.73,-0.0103,0.380507,56.43534668876712
57,2015-03-26,103.91,0.0017,0.394146,58.458231138956194
58,2015-03-27,103.61,-0.0029,0.406078,60.22793986097805
59,2015-03-30,104.78,0.0113,0.418904,62.13024325258484
60,2015-03-31,104.11,-0.0064,0.424467,62.95532619095289
61,2015-04-01,104.34,0.0022,0.431788,64.04114898293429
62,2015-04-02,105.43,0.0104,0.439187,65.13854043736269
63,2015-04-06,105.42,-0.0001,0.441725,65.51496691544611
64,2015-04-07,105.86,0.0042,0.440537,65.33876728740707
65,2015-04-08,105.5,-0.0033,0.440602,65.34840783944624
66,2015-04-09,105.68,0.0017,0.442601,65.64489189369714
67,2015-04-10,105.5,-0.0017,0.442494,65.6290220618788
68,2015-04-13,104.52,-0.0094,0.441461,65.47581144254855
69,2015-04-14,104.33,-0.0018,0.439691,65.21329179471259
70,2015-04-15,104.76,0.0041,0.43459200000000003,64.45702756628572
71,2015-04-16,104.54,-0.0021,0.434739,64.47883004551277
72,2015-04-17,103.86,-0.0065,0.439019,65.11362331824606
73,2015-04-20,105.19,0.0128,0.44479399999999997,65.97014928788033
74,2015-04-21,104.53,-0.0063,0.447562,66.38068848856392
75,2015-04-22,104.55,0.0002,0.452377,67.09483092038886
