,Date,Adj Close,Px Change,Volatility,Adj Vol
0,2015-01-02,157.87,,,
1,2015-01-05,154.59,-0.021,,
2,2015-01-06,153.86,-0.0047,,
3,2015-01-07,155.84,0.0128,,
4,2015-01-08,159.36,0.0223,,
5,2015-01-09,159.27,-0.0006,,
6,2015-01-12,158.82,-0.0028,,
7,2015-01-13,158.72,-0.0006,,
8,2015-01-14,157.8,-0.0058,,
9,2015-01-15,157.1,-0.0045,,
10,2015-01-16,159.01,0.0121,,
11,2015-01-20,159.86,0.0053,,
12,2015-01-21,159.66,-0.0013,,
13,2015-01-22,161.77,0.0132,,
14,2015-01-23,161.24,-0.0033,,
15,2015-01-26,159.81,-0.009,,
16,2015-01-27,155.62,-0.0266,,
17,2015-01-28,154.55,-0.0068,,
18,2015-01-29,157.21,0.017,,
19,2015-01-30,153.84,-0.0217,,
20,2015-02-02,154.62,0.0051,,
21,2015-02-03,156.8,0.014,,
22,2015-02-04,157.03,0.0015,,
23,2015-02-05,158.48,0.0092,,
24,2015-02-06,159.45,0.0061,,
25,2015-02-09,157.63,-0.0114,,
26,2015-02-10,159.8,0.0136,,
27,2015-02-11,160.32,0.0033,,
28,2015-02-12,161.28,0.0059,,
29,2015-02-13,160.84,-0.0027,,
30,2015-02-17,161.35,0.0031,,
31,2015-02-18,162.17,0.005,,
32,2015-02-19,164.73,0.0157,,
33,2015-02-20,166.59,0.0112,,
34,2015-02-23,167.9,0.0078,,
35,2015-02-24,168.74,0.005,,
36,2015-02-25,167.3,-0.0086,,
37,2015-02-26,165.63,-0.01,,
38,2015-02-27,164.58,-0.0064,,
39,2015-03-02,167.02,0.0147,,
40,2015-03-03,164.48,-0.0153,,
41,2015-03-04,163.69,-0.0048,,
42,2015-03-05,163.8,0.0007,,
43,2015-03-06,162.61,-0.0073,,
44,2015-03-09,164.32,0.0105,,
45,2015-03-10,162.55,-0.0109,,
46,2015-03-11,162.24,-0.0019,,
47,2015-03-12,163.53,0.0079,,
48,2015-03-13,162.16,-0.0084,,
49,2015-03-16,166.27,0.0251,,
50,2015-03-17,165.09,-0.0072,0.747757,112.11424489030607
51,2015-03-18,166.68,0.0096,0.7530100000000001,112.90184852144397
52,2015-03-19,166.34,-0.002,0.7493219999999999,112.34889169836447
53,2015-03-20,167.64,0.0078,0.7357330000000001,110.31143772091677
54,2015-03-23,166.94,-0.0042,0.7394729999999999,110.87219111525441
55,2015-03-24,167.25,0.0019,0.7510439999999999,112.60707815426004
56,2015-03-25,163.73,-0.0213,0.7626940000000001,114.3538099842156
57,2015-03-26,165.0,0.0077,0.759654,113.89801043373792
58,2015-03-27,166.37,0.0083,0.758671,113.75062525014596
59,2015-03-30,168.56,0.0131,0.7580110000000001,113.65166876879228
60,2015-03-31,166.97,-0.0095,0.763222,114.43297516929854
61,2015-04-01,163.52,-0.0209,0.766569,114.93480447701195
62,2015-04-02,163.49,-0.0002,0.763054,114.40778624677216
63,2015-04-06,164.97,0.0091,0.75863,113.74447795357703
64,2015-04-07,164.66,-0.0019,0.76036,114.00386388197386
65,2015-04-08,165.2,0.0033,0.7605719999999999,114.03564990325715
66,2015-04-09,165.72,0.0031,0.758071,113.6606648125517
67,2015-04-10,164.87,-0.0052,0.7332040000000001,109.93225447645689
68,2015-04-13,162.11,-0.0169,0.6941769999999999,104.08077781313715
69,2015-04-14,162.35,0.0015,0.673732,101.01537590211217
70,2015-04-15,162.24,-0.0007,0.619491,92.88280240952689
71,2015-04-16,162.17,-0.0005,0.568309,85.20887721460976
72,2015-04-17,160.28,-0.0117,0.536233,80.39959222081971
73,2015-04-20,161.91,0.0101,0.511537,76.6968206094393
74,2015-04-21,161.49,-0.0026,0.491852,73.74536858603373
75,2015-04-22,162.59,0.0068,0.480426,72.03222198611338
76,2015-04-23,162.23,-0.0022,0.44797600000000004,67.16686165288958
77,2015-04-24,160.73,-0.0093,0.434607,65.16239316922643
78,2015-04-27,159.47,-0.0079,0.43195500000000003,64.76476803505973
79,2015-04-28,159.62,0.0009,0.44395,66.56322711663198
80,2015-04-29,157.37,-0.0142,0.45213000000000003,67.78968774916729
81,2015-04-30,153.51,-0.0248,0.482779,72.3850168355456
82,2015-05-01,155.49,0.0128,0.559816,83.93548722046278
83,2015-05-04,156.06,0.0036,0.60455,90.64263757936675
84,2015-05-05,154.13,-0.0124,0.634578,95.14485761283497
85,2015-05-06,153.7,-0.0028,0.6728069999999999,100.87668689415432
86,2015-05-07,154.84,0.0074,0.704396,105.61295399943035
87,2015-05-08,156.71,0.012,0.727965,109.1467499221962
88,2015-05-11,156.7,-0.0001,0.741588,111.18930165777425
89,2015-05-12,156.81,0.0007,0.756231,113.38478613726257
90,2015-05-13,157.13,0.002,0.760321,113.99801645353023
91,2015-05-14,158.82,0.0107,0.769926,115.43813312535194
92,2015-05-15,158.25,-0.0036,0.7735569999999999,115.98254370685996
93,2015-05-18,158.85,0.0037,0.77834,116.69967832854903
94,2015-05-19,159.09,0.0016,0.7823019999999999,117.29371708479654
95,2015-05-20,158.99,-0.0007,0.7824639999999999,117.318006402947
96,2015-05-21,158.87,-0.0007,0.785465,117.76795852498105
97,2015-05-22,158.66,-0.0013,0.7887439999999999,118.25959231643375
98,2015-05-26,156.73,-0.0123,0.790589,118.53622066203617
99,2015-05-27,157.42,0.0044,0.8005150000000001,120.02446616797084
100,2015-05-28,157.65,0.0014,0.795616,119.28993919501356
101,2015-05-29,156.05,-0.0102,0.793695,119.00191586064922
102,2015-06-01,158.43,0.0151,0.789156,118.32136515024851
103,2015-06-02,158.19,-0.0016,0.7766649999999999,116.44853877359832
104,2015-06-03,159.11,0.0059,0.754964,113.19481967987599
105,2015-06-04,157.69,-0.009,0.7342369999999999,110.08713636318168
106,2015-06-05,156.99,-0.0044,0.7119230000000001,106.74150768905055
107,2015-06-08,157.02,0.0002,0.709673,106.40415604807201
108,2015-06-09,157.01,-0.0001,0.7002710000000001,104.9944759909697
109,2015-06-10,156.95,-0.0004,0.680384,102.01273728690738
110,2015-06-11,158.77,0.0116,0.637829,95.6322932505333
111,2015-06-12,158.36,-0.0026,0.6027819999999999,90.37755415658893
112,2015-06-15,157.48,-0.0056,0.5914699999999999,88.6815000398115
113,2015-06-16,158.23,0.0047,0.5806819999999999,87.0640113718664
114,2015-06-17,158.39,0.001,0.557192,83.54206024005047
115,2015-06-18,159.83,0.009,0.533947,80.05684295358552
116,2015-06-19,158.49,-0.0084,0.504468,75.63693672051606
117,2015-06-22,159.27,0.0049,0.465154,69.74242898121372
118,2015-06-23,158.91,-0.0023,0.431411,64.68320390497425
119,2015-06-24,157.69,-0.0077,0.419309,62.868701878697685
120,2015-06-25,157.54,-0.0009,0.4046,60.663321751073994
121,2015-06-26,156.42,-0.0071,0.389504,58.39991714120199
122,2015-06-29,153.83,-0.0167,0.37587000000000004,56.35571613093471
123,2015-06-30,154.15,0.002,0.38719000000000003,58.0529697202134
124,2015-07-01,156.03,0.0121,0.383975,57.57093170877073
125,2015-07-02,155.31,-0.0046,0.372389,55.833795658825245
126,2015-07-06,155.88,0.0037,0.351472,52.6976248702261
127,2015-07-07,157.68,0.0115,0.328622,49.271631538510725
128,2015-07-08,157.59,-0.0006,0.315339,47.28005738423609
129,2015-07-09,159.31,0.0109,0.3097,46.43457920491254
130,2015-07-10,161.02,0.0107,0.308065,46.18943701246814
131,2015-07-13,164.08,0.0188,0.324499,48.65345339817538
132,2015-07-14,165.05,0.0059,0.356208,53.407712590970256
133,2015-07-15,165.35,0.0018,0.405615,60.81550482467098
134,2015-07-16,167.18,0.011,0.452204,67.80078286980391
135,2015-07-17,166.82,-0.0022,0.505341,75.76782915721573
136,2015-07-20,170.09,0.0194,0.541887,81.24731941108313
137,2015-07-21,168.45,-0.0097,0.617922,92.64755586521785
138,2015-07-22,168.15,-0.0018,0.668563,100.24036673223748
139,2015-07-23,168.19,0.0002,0.7098869999999999,106.43624193748062
140,2015-07-24,166.7,-0.0089,0.7469159999999999,111.98815034361141
141,2015-07-27,166.81,0.0006,0.769409,115.36061721495821
142,2015-07-28,168.85,0.0122,0.793131,118.9173530493106
143,2015-07-29,172.6,0.022,0.8287990000000001,124.26520119616505
144,2015-07-30,171.2,-0.0081,0.895242,134.2272701212926
145,2015-07-31,171.73,0.003,0.941988,141.2360878142627
146,2015-08-03,172.3,0.0033,0.988389,148.1931782556161
147,2015-08-04,173.74,0.0083,1.034723,155.1402231147715
148,2015-08-05,173.66,-0.0005,1.087837,163.10382091874214
149,2015-08-06,173.52,-0.0008,1.129811,169.39715326471244
150,2015-08-07,173.38,-0.0008,1.167758,175.0867011403625
151,2015-08-10,174.78,0.008,1.200992,180.0696097787095
152,2015-08-11,173.19,-0.0092,1.234429,185.08295503177587
153,2015-08-12,173.12,-0.0004,1.260664,189.01647516558563
154,2015-08-13,173.96,0.0048,1.282744,192.32701926905503
155,2015-08-14,175.76,0.0103,1.30927,196.30417021509797
156,2015-08-17,176.63,0.005,1.3394229999999998,200.82513200639835
157,2015-08-18,176.34,-0.0016,1.368398,205.16947147188864
158,2015-08-19,175.19,-0.0066,1.390959,208.55213385949614
159,2015-08-20,173.41,-0.0102,1.4026269999999998,210.30156450257945
160,2015-08-21,169.72,-0.0215,1.402071,210.21820116374212
